"6.44 - POPULAÇÃO RESIDENTE, EMPREGADA, E QUE EM 31 DE DEZEMBRO DE 2009 RESIDIA NO ESTRANGEIRO, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR GRUPO ETÁRIO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo  de cooperativa de produção,,Outra situação,
Grupo etário,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          20 - 24 anos,361,228,8,6,5,0,4,1,338,219,1,0,5,2
          25 - 29 anos,377,243,16,7,3,1,2,1,341,229,1,1,14,4
          30 - 34 anos,353,238,17,9,15,6,4,1,307,220,0,0,10,2
          35 - 39 anos,281,203,25,12,10,4,2,1,243,186,0,0,1,0
          40 - 44 anos,200,151,14,8,6,4,0,0,180,139,0,0,0,0
          45 - 49 anos,173,112,15,13,6,3,0,0,149,93,1,1,2,2
          50 - 54 anos,127,96,18,12,9,6,0,0,97,76,0,0,3,2
          55 - 59 anos,74,53,8,6,4,2,0,0,61,45,0,0,1,0
          60 - 64 anos,34,25,1,1,5,2,1,1,26,21,0,0,1,0
          65 - 69 anos,9,6,2,2,0,0,0,0,5,4,0,0,2,0
          70 - 74 anos,1,1,0,0,0,0,0,0,1,1,0,0,0,0
          75 ou mais anos,3,2,1,1,0,0,0,0,2,1,0,0,0,0
      Algarve,1584,896,190,123,132,76,10,4,1208,667,3,2,41,24
          15 - 19 anos,68,36,0,0,2,0,1,0,62,34,1,1,2,1
          20 - 24 anos,214,114,16,6,7,3,1,1,182,97,1,1,7,6
          25 - 29 anos,326,172,22,12,14,10,2,0,276,145,0,0,12,5
          30 - 34 anos,246,140,32,21,13,9,1,1,194,105,0,0,6,4
          35 - 39 anos,207,108,26,15,20,6,1,1,155,84,1,0,4,2
          40 - 44 anos,157,89,29,16,20,14,2,0,103,58,0,0,3,1
          45 - 49 anos,141,91,16,14,22,12,0,0,99,63,0,0,4,2
          50 - 54 anos,106,66,24,17,14,10,1,0,67,39,0,0,0,0
          55 - 59 anos,72,44,16,14,10,6,0,0,45,23,0,0,1,1
          60 - 64 anos,40,31,7,6,7,4,1,1,23,18,0,0,2,2
          65 - 69 anos,6,5,2,2,2,2,0,0,2,1,0,0,0,0
          70 - 74 anos,1,0,0,0,1,0,0,0,0,0,0,0,0,0
          75 ou mais anos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Região Autónoma dos Açores,350,259,46,38,30,22,3,2,258,190,0,0,13,7
        15 - 19 anos,2,1,1,1,0,0,0,0,1,0,0,0,0,0
        20 - 24 anos,33,21,1,0,3,1,0,0,28,19,0,0,1,1
        25 - 29 anos,59,43,4,4,2,2,0,0,48,34,0,0,5,3
        30 - 34 anos,80,53,13,9,7,7,1,1,55,34,0,0,4,2
        35 - 39 anos,57,43,12,9,4,3,1,0,39,31,0,0,1,0
        40 - 44 anos,41,39,4,4,4,3,0,0,33,32,0,0,0,0
        45 - 49 anos,35,29,7,7,5,3,1,1,21,17,0,0,1,1
        50 - 54 anos,14,10,1,1,1,1,0,0,12,8,0,0,0,0
        55 - 59 anos,15,12,2,2,1,0,0,0,12,10,0,0,0,0
        60 - 64 anos,10,7,0,0,3,2,0,0,7,5,0,0,0,0
        65 - 69 anos,4,1,1,1,0,0,0,0,2,0,0,0,1,0
        70 - 74 anos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        75 ou mais anos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Região Autónoma dos Açores,350,259,46,38,30,22,3,2,258,190,0,0,13,7
          15 - 19 anos,2,1,1,1,0,0,0,0,1,0,0,0,0,0
          20 - 24 anos,33,21,1,0,3,1,0,0,28,19,0,0,1,1
          25 - 29 anos,59,43,4,4,2,2,0,0,48,34,0,0,5,3
          30 - 34 anos,80,53,13,9,7,7,1,1,55,34,0,0,4,2
          35 - 39 anos,57,43,12,9,4,3,1,0,39,31,0,0,1,0
          40 - 44 anos,41,39,4,4,4,3,0,0,33,32,0,0,0,0
          45 - 49 anos,35,29,7,7,5,3,1,1,21,17,0,0,1,1
          50 - 54 anos,14,10,1,1,1,1,0,0,12,8,0,0,0,0
          55 - 59 anos,15,12,2,2,1,0,0,0,12,10,0,0,0,0
          60 - 64 anos,10,7,0,0,3,2,0,0,7,5,0,0,0,0
          65 - 69 anos,4,1,1,1,0,0,0,0,2,0,0,0,1,0
          70 - 74 anos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          75 ou mais anos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Região Autónoma da Madeira,730,468,104,70,43,31,0,0,563,356,2,1,18,10
        15 - 19 anos,12,9,0,0,0,0,0,0,12,9,0,0,0,0
        20 - 24 anos,95,57,8,5,1,0,0,0,82,49,1,1,3,2
        25 - 29 anos,153,88,16,9,6,6,0,0,127,72,1,0,3,1
        30 - 34 anos,116,77,10,7,5,4,0,0,95,62,0,0,6,4
        35 - 39 anos,99,63,15,13,6,2,0,0,77,48,0,0,1,0
        40 - 44 anos,72,47,14,6,7,6,0,0,51,35,0,0,0,0
        45 - 49 anos,57,38,10,6,2,1,0,0,45,31,0,0,0,0
        50 - 54 anos,40,28,8,6,2,1,0,0,28,19,0,0,2,2
        55 - 59 anos,41,31,12,9,6,5,0,0,22,17,0,0,1,0
        60 - 64 anos,34,21,7,5,5,4,0,0,21,12,0,0,1,0
        65 - 69 anos,5,3,3,3,1,0,0,0,1,0,0,0,0,0
        70 - 74 anos,3,3,1,1,1,1,0,0,1,1,0,0,0,0
        75 ou mais anos,3,3,0,0,1,1,0,0,1,1,0,0,1,1
      Região Autónoma da Madeira,730,468,104,70,43,31,0,0,563,356,2,1,18,10
          15 - 19 anos,12,9,0,0,0,0,0,0,12,9,0,0,0,0
          20 - 24 anos,95,57,8,5,1,0,0,0,82,49,1,1,3,2
          25 - 29 anos,153,88,16,9,6,6,0,0,127,72,1,0,3,1
          30 - 34 anos,116,77,10,7,5,4,0,0,95,62,0,0,6,4
          35 - 39 anos,99,63,15,13,6,2,0,0,77,48,0,0,1,0
          40 - 44 anos,72,47,14,6,7,6,0,0,51,35,0,0,0,0
          45 - 49 anos,57,38,10,6,2,1,0,0,45,31,0,0,0,0
          50 - 54 anos,40,28,8,6,2,1,0,0,28,19,0,0,2,2
          55 - 59 anos,41,31,12,9,6,5,0,0,22,17,0,0,1,0
          60 - 64 anos,34,21,7,5,5,4,0,0,21,12,0,0,1,0
          65 - 69 anos,5,3,3,3,1,0,0,0,1,0,0,0,0,0
          70 - 74 anos,3,3,1,1,1,1,0,0,1,1,0,0,0,0
          75 ou mais anos,3,3,0,0,1,1,0,0,1,1,0,0,1,1
