,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6.12 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Esposende,34254,16278,1791,906,616,330,298,161,1,0,33,15,6,4,10,7,1,1,42,30,23,12,4,3,51,26,7,5,0,0,0,0,8,4,1,0,9,6,1,1,5,3,12,6,1,1,64,24,0,0,3,0,36,21
            Terras de Bouro,7253,3478,205,116,157,84,56,32,1,1,7,3,0,0,5,3,0,0,9,4,1,1,41,19,12,6,16,11,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,2,1,0,0,1,0,1,0
            Vila Verde,47888,22945,2120,1041,886,524,437,259,8,6,64,35,3,1,6,4,1,1,52,38,1,1,54,34,79,44,30,18,9,6,0,0,8,5,5,3,19,10,1,0,56,35,17,9,0,0,16,6,0,0,5,3,15,6
          Ave,511737,247027,18754,9185,6575,3529,2094,1145,52,31,807,433,25,18,309,171,14,7,586,387,40,23,144,69,938,528,110,58,88,42,2,0,96,39,8,3,133,74,8,3,61,38,32,19,31,17,657,250,2,2,48,18,290,154
            Fafe,50633,23946,1281,605,842,471,496,273,3,2,14,7,1,1,15,10,1,0,53,39,10,5,27,12,75,52,28,17,1,0,1,0,2,1,0,0,17,10,0,0,9,5,0,0,0,0,70,29,0,0,5,2,14,6
            Guimarães,158124,76767,4239,2100,1779,971,581,308,31,17,199,115,9,7,100,55,8,4,178,128,13,7,20,12,191,108,13,9,63,30,1,0,13,5,0,0,45,25,1,0,8,4,2,2,2,1,196,75,2,2,13,4,90,53
            Póvoa de Lanhoso,21886,10413,863,424,654,356,243,127,1,1,16,7,0,0,5,4,0,0,88,48,1,1,17,6,226,134,8,3,10,4,0,0,3,2,0,0,2,1,1,0,4,2,3,1,1,1,14,6,0,0,1,0,10,8
            Vieira do Minho,12997,6252,323,145,306,173,90,55,1,0,13,7,1,0,5,2,0,0,28,15,0,0,29,13,78,48,34,19,0,0,0,0,0,0,0,0,2,2,0,0,6,3,2,2,3,1,6,4,0,0,1,0,7,2
            Vila Nova de Famalicão,133832,64849,5592,2743,1691,880,399,224,6,4,280,153,7,5,103,54,1,1,125,75,9,6,22,11,266,136,15,6,4,2,0,0,32,14,2,1,37,23,2,1,22,16,17,9,11,5,232,81,0,0,11,3,88,50
            Vizela,23736,11653,1254,621,174,91,56,27,2,2,22,11,1,1,10,4,1,0,27,23,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,1,0,0,0,28,12,0,0,1,1,3,1
            Santo Tirso,71530,34334,2866,1407,753,395,161,93,2,1,229,116,4,4,44,25,3,2,49,35,2,1,27,14,68,35,11,4,8,5,0,0,7,1,4,2,17,9,1,0,8,5,5,3,8,5,57,18,0,0,13,6,25,11
            Trofa,38999,18813,2336,1140,376,192,68,38,6,4,34,17,2,0,27,17,0,0,38,24,5,3,2,1,17,9,1,0,2,1,0,0,39,16,2,0,9,2,3,2,3,2,2,2,6,4,54,25,0,0,3,2,53,23
          Grande Porto,1287282,610455,90603,43768,15175,7543,1996,1065,184,112,791,401,198,105,1198,671,145,95,1532,944,147,88,255,131,634,347,138,83,138,66,68,31,339,133,60,24,1290,651,115,59,253,124,145,78,290,133,3574,1313,121,76,295,158,1269,655
            Espinho,31786,15112,2154,1024,363,188,95,51,1,0,19,10,0,0,14,10,1,0,38,27,6,3,8,4,27,18,2,1,8,3,0,0,7,4,2,1,11,11,5,2,6,4,2,0,35,13,53,17,0,0,4,3,19,6
            Gondomar,168027,81007,9945,4691,1218,646,218,120,12,6,95,50,12,6,112,60,19,14,132,90,18,12,49,26,68,44,15,8,0,0,1,0,25,10,0,0,101,56,10,5,18,11,7,4,6,4,227,79,1,1,14,7,58,33
