,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6.12 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Tabuaço,6350,3049,231,98,259,141,75,44,0,0,21,10,2,1,1,0,0,0,14,10,1,0,0,0,125,67,3,2,0,0,0,0,1,1,0,0,3,1,0,0,2,1,0,0,0,0,4,0,0,0,3,2,4,2
            Tarouca,8048,3900,404,197,274,160,16,9,6,2,21,11,0,0,3,1,0,0,10,6,0,0,8,3,192,120,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,12,5,0,0,0,0,2,1
          Alto Trás-os-Montes,204381,98261,7386,3448,6296,3328,2607,1328,23,14,307,170,5,4,134,77,2,2,944,554,57,25,95,51,887,474,296,168,22,11,20,10,47,24,11,2,129,67,8,4,205,109,43,24,13,7,318,143,3,3,22,8,98,49
            Alfândega da Fé,5104,2467,185,88,166,89,80,38,0,0,5,3,0,0,2,1,0,0,39,25,0,0,0,0,19,9,5,2,3,2,1,1,1,1,0,0,3,2,0,0,0,0,0,0,0,0,6,3,0,0,0,0,2,2
            Bragança,35341,16966,1689,828,910,473,399,201,2,1,49,30,0,0,27,17,2,2,192,107,12,3,1,1,68,35,10,6,6,3,2,1,5,2,4,1,30,14,2,0,4,2,2,2,10,5,69,34,0,0,3,2,11,4
            Macedo de Cavaleiros,15776,7491,619,264,547,288,215,104,2,1,37,18,0,0,2,2,0,0,117,69,0,0,3,1,54,29,48,25,1,0,4,2,13,9,1,0,10,6,0,0,0,0,1,0,1,1,29,15,0,0,2,1,7,5
            Miranda do Douro,7482,3667,287,129,199,109,110,62,0,0,3,1,0,0,3,2,0,0,55,29,0,0,0,0,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,15,6,0,0,1,0,2,2
            Mirandela,23850,11353,1053,472,561,296,169,88,1,1,13,8,0,0,11,7,0,0,67,42,7,3,7,4,71,41,56,27,1,0,2,0,6,1,6,1,67,37,2,1,6,4,0,0,0,0,45,20,0,0,6,3,18,8
            Mogadouro,9542,4699,234,107,255,147,90,47,2,1,5,3,0,0,2,1,0,0,125,78,0,0,2,1,12,6,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,3,3,1,1,4,3
            Vimioso,4669,2283,167,79,194,96,119,55,0,0,1,0,0,0,0,0,0,0,55,30,5,2,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,5,3,0,0,0,0,0,0
            Vinhais,9066,4485,245,114,263,147,149,82,0,0,22,10,0,0,3,1,0,0,52,35,0,0,0,0,19,12,4,4,4,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,3,1
            Boticas,5750,2779,149,65,197,104,123,65,1,1,5,4,0,0,12,5,0,0,4,2,0,0,3,0,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,11,4,2,0,0,11,8,0,0,0,0,2,1
            Chaves,41243,19738,1521,733,1389,731,559,288,6,3,46,28,5,4,25,14,0,0,118,66,15,8,33,19,210,115,77,47,6,3,0,0,15,7,0,0,5,3,3,2,123,63,9,5,0,0,93,36,0,0,5,1,36,19
            Montalegre,10537,5096,204,93,356,178,186,86,2,1,13,7,0,0,33,18,0,0,17,10,2,1,15,8,32,17,11,6,0,0,0,0,0,0,0,0,1,1,0,0,30,16,0,0,0,0,12,6,0,0,1,0,1,1
            Murça,5952,2900,269,117,159,83,37,22,1,1,22,13,0,0,1,1,0,0,16,10,0,0,12,5,64,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0
            Valpaços,16882,7975,451,212,644,347,275,141,4,2,22,14,0,0,6,4,0,0,57,33,6,3,5,3,132,74,71,41,0,0,11,6,1,0,0,0,2,1,0,0,9,6,20,11,0,0,13,5,0,0,0,0,10,3
            Vila Pouca de Aguiar,13187,6362,313,147,456,240,96,49,2,2,64,31,0,0,7,4,0,0,30,18,10,5,14,9,183,96,10,7,0,0,0,0,6,4,0,0,7,3,0,0,10,5,0,0,2,1,11,6,0,0,3,0,1,0
        Centro,2327755,1111263,129135,60783,43053,21915,10357,5484,569,312,3283,1703,271,124,3052,1633,327,192,1668,1007,408,219,1162,623,4074,2246,175,91,866,439,152,77,1233,484,465,201,2212,1106,185,86,2049,1095,925,497,655,316,6461,2747,145,88,451,195,1908,950
          Baixo Vouga,390822,187078,23343,11100,7264,3660,1249,651,40,24,507,261,38,20,514,286,41,25,379,238,51,24,215,109,435,237,68,36,93,49,27,16,218,88,61,22,425,191,38,20,808,428,200,111,503,244,896,356,16,10,82,41,360,173
            Águeda,47729,22891,2002,917,734,381,114,56,2,2,33,19,5,2,89,48,4,2,32,19,10,6,45,25,63,40,19,12,22,12,0,0,49,25,2,1,40,16,4,1,19,11,14,6,58,31,60,25,0,0,3,1,47,21
            Albergaria-a-Velha,25252,12230,1483,718,327,162,72,37,3,0,26,14,0,0,8,2,1,1,16,12,3,2,7,4,36,17,7,2,0,0,0,0,8,2,13,4,10,6,10,6,21,11,16,9,14,4,31,14,0,0,1,1,24,14
            Anadia,29150,13967,1258,627,643,332,103,52,5,2,19,11,9,5,57,30,7,6,20,14,8,2,42,16,44,26,3,1,1,0,24,15,17,6,4,1,35,17,1,1,109,64,6,3,27,12,79,34,1,1,2,2,20,11
            Aveiro,78450,37120,5977,2764,1561,740,157,86,9,6,77,36,10,5,132,79,5,4,91,57,6,2,24,12,56,28,14,6,8,3,3,1,64,19,10,3,141,59,4,2,63,31,21,13,87,42,397,163,15,9,36,17,131,57
            Estarreja,26997,13012,1309,618,352,195,82,49,0,0,41,26,0,0,14,7,3,2,32,19,1,0,12,7,15,11,0,0,3,2,0,0,5,2,2,0,7,4,2,0,35,19,7,4,68,34,13,3,0,0,2,1,8,5
            Ílhavo,38598,18407,2642,1270,704,361,114,50,6,4,86,47,3,1,37,22,9,3,61,39,8,5,12,7,28,12,3,2,8,5,0,0,10,4,4,2,31,12,6,3,104,61,31,16,36,20,71,26,0,0,5,1,31,19
            Mealhada,20428,9823,1234,597,303,157,102,52,1,1,11,5,0,0,13,8,0,0,8,6,1,0,13,6,26,13,2,1,14,8,0,0,11,4,5,3,14,10,0,0,40,21,6,4,0,0,22,7,0,0,5,3,9,5
            Murtosa,10585,5096,523,258,449,210,49,23,0,0,64,36,1,0,4,2,0,0,9,4,2,1,3,2,1,0,2,1,2,0,0,0,2,1,0,0,2,0,0,0,236,110,26,12,20,9,13,4,0,0,7,3,6,2
            Oliveira do Bairro,23028,10915,2115,1039,612,302,82,42,3,3,21,9,1,1,91,50,2,1,27,15,1,1,30,15,29,17,6,4,14,7,0,0,28,14,12,5,30,11,3,2,34,19,15,8,83,41,71,23,0,0,4,3,25,11
            Ovar,55398,26671,3070,1478,609,306,134,73,10,5,40,13,3,3,35,16,6,6,47,32,4,2,14,8,62,33,8,4,20,11,0,0,12,4,2,1,25,8,7,4,28,17,4,2,39,19,70,26,0,0,7,4,32,15
            Sever do Vouga,12356,5962,357,178,254,133,73,35,1,1,14,5,3,2,11,8,2,0,7,5,3,1,4,2,53,28,2,2,1,1,0,0,8,4,7,2,5,4,1,1,13,8,8,5,3,2,17,8,0,0,7,4,11,5
            Vagos,22851,10984,1373,636,716,381,167,96,0,0,75,40,3,1,23,14,2,0,29,16,4,2,9,5,22,12,2,1,0,0,0,0,4,3,0,0,85,44,0,0,106,56,46,29,68,30,52,23,0,0,3,1,16,8
          Baixo Mondego,332326,156603,18574,8815,5031,2547,1123,610,46,27,236,130,40,15,211,129,31,18,194,115,50,25,289,154,306,169,8,3,76,41,20,7,114,52,21,11,468,228,27,12,226,126,106,57,47,26,992,403,21,12,60,25,319,152
            Cantanhede,36595,17394,1862,885,736,388,262,143,3,3,12,8,2,2,13,6,5,2,25,13,5,2,33,16,94,53,1,0,5,2,1,1,6,1,6,2,36,14,2,1,92,47,26,17,17,10,76,40,0,0,6,2,8,3
            Coimbra,143396,66941,8166,3832,2005,964,201,109,19,11,79,40,33,11,111,71,14,10,89,53,22,10,18,8,76,39,4,2,43,24,6,1,51,22,11,6,280,134,8,4,56,35,13,6,20,9,583,235,15,9,34,13,219,102
            Condeixa-a-Nova,17078,8001,1781,834,175,87,50,23,1,1,14,7,0,0,4,3,1,0,3,2,1,0,11,6,15,9,0,0,0,0,1,0,1,1,0,0,12,8,2,1,8,4,1,1,1,0,37,16,0,0,1,0,11,5
            Figueira da Foz,62125,29375,2798,1326,1029,516,152,77,16,8,59,36,2,1,44,26,2,1,56,33,17,10,157,86,47,20,1,0,15,8,12,5,38,21,1,0,47,26,15,6,41,19,17,10,5,4,207,78,6,3,13,8,59,30
            Mira,12465,5902,542,287,293,156,151,85,1,1,5,3,0,0,9,4,0,0,3,1,0,0,9,6,17,13,0,0,1,0,0,0,5,1,3,3,0,0,0,0,14,10,43,19,1,1,22,4,0,0,3,2,6,3
            Montemor-o-Velho,26171,12616,2071,1028,253,137,38,24,1,1,24,13,0,0,7,5,1,1,11,6,2,1,30,12,10,6,0,0,6,3,0,0,5,2,0,0,70,35,0,0,3,3,0,0,3,2,35,20,0,0,3,0,4,3
            Penacova,15251,7208,503,234,256,144,135,78,0,0,13,9,3,1,16,9,0,0,3,3,3,2,8,6,29,16,2,1,1,1,0,0,1,0,0,0,13,5,0,0,7,5,2,1,0,0,16,5,0,0,0,0,4,2
            Soure,19245,9166,851,389,284,155,134,71,5,2,30,14,0,0,7,5,8,4,4,4,0,0,23,14,18,13,0,0,5,3,0,0,7,4,0,0,10,6,0,0,5,3,4,3,0,0,16,5,0,0,0,0,8,4
          Pinhal Litoral,260942,125876,12747,5999,4899,2413,1624,849,47,29,287,148,14,8,178,100,31,19,132,80,45,22,78,44,349,185,5,3,48,28,3,2,268,96,41,17,226,110,18,10,126,74,54,29,18,8,959,397,19,12,44,15,285,128
            Batalha,15805,7648,1061,480,312,159,116,56,3,2,28,15,0,0,6,3,0,0,3,3,3,2,1,0,20,9,0,0,9,7,0,0,25,10,1,0,9,7,6,4,27,14,5,2,1,1,37,16,0,0,2,1,10,7
            Leiria,126897,61319,6346,3003,2305,1114,569,303,28,18,139,78,9,7,92,54,18,9,71,40,17,8,27,16,146,74,1,0,23,12,2,1,141,48,15,5,131,65,11,5,50,33,26,14,13,5,563,227,0,0,23,8,190,84
            Marinha Grande,38681,18623,2312,1100,632,296,153,75,7,3,45,25,0,0,47,26,5,4,20,14,9,5,10,6,35,16,3,2,12,6,0,0,32,13,11,5,22,12,1,1,9,5,2,1,2,1,133,49,17,10,7,1,50,16
            Pombal,55217,26422,1839,857,1352,697,707,376,7,4,55,21,3,0,18,8,5,4,29,16,8,4,35,20,132,77,1,1,0,0,1,1,37,12,8,4,45,19,0,0,24,13,9,6,0,0,189,89,2,2,8,3,29,17
            Porto de Mós,24342,11864,1189,559,298,147,79,39,2,2,20,9,2,1,15,9,3,2,9,7,8,3,5,2,16,9,0,0,4,3,0,0,33,13,6,3,19,7,0,0,16,9,12,6,2,1,37,16,0,0,4,2,6,4
          Pinhal Interior Norte,131468,62617,7381,3410,2544,1348,577,308,146,77,294,154,14,9,588,303,58,28,76,51,41,22,54,26,154,102,3,1,32,16,1,0,33,11,4,2,110,72,16,7,49,29,15,7,5,1,137,59,1,0,37,15,99,48
            Arganil,12145,5788,635,296,267,147,46,27,14,7,23,11,2,1,87,49,14,9,10,5,5,4,4,1,18,11,0,0,0,0,0,0,3,1,1,1,4,3,4,2,2,1,2,1,2,1,8,4,0,0,0,0,18,8
            Góis,4260,2003,303,133,56,32,7,5,0,0,5,2,0,0,23,11,1,1,2,2,0,0,0,0,5,4,0,0,0,0,0,0,1,1,0,0,0,0,2,1,2,1,0,0,0,0,1,1,0,0,1,0,6,3
            Lousã,17604,8518,1161,562,299,153,36,16,10,5,32,19,1,1,63,32,4,1,12,7,5,3,14,7,13,10,0,0,21,11,0,0,1,0,1,1,46,24,3,2,3,3,3,1,0,0,17,5,0,0,7,3,7,2
            Miranda do Corvo,13098,6311,904,442,106,58,8,4,8,5,17,7,0,0,25,13,0,0,8,5,2,1,2,1,8,6,0,0,1,0,0,0,1,0,0,0,14,10,0,0,3,2,2,2,0,0,5,1,0,0,0,0,2,1
            Oliveira do Hospital,20855,10007,827,374,355,188,45,24,25,12,77,40,5,3,54,32,15,7,5,3,11,5,16,8,18,8,1,0,7,3,1,0,2,1,0,0,9,9,1,0,23,14,0,0,0,0,14,7,0,0,9,4,17,8
            Pampilhosa da Serra,4481,2065,322,148,126,68,84,43,4,3,2,1,0,0,6,2,2,1,2,2,0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,3,1
            Penela,5983,2841,353,156,109,55,20,11,2,1,5,2,0,0,36,16,0,0,3,3,1,0,2,0,6,4,0,0,0,0,0,0,7,3,2,0,7,5,1,1,0,0,1,1,0,0,5,3,1,0,1,0,9,5
            Tábua,12071,5743,662,301,310,156,67,30,58,31,35,17,4,3,68,32,9,3,14,11,12,7,5,3,9,7,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,2,4,1,0,0,16,7,0,0,1,0,3,1
            Vila Nova de Poiares,7281,3485,545,246,147,72,34,19,7,4,11,6,0,0,40,21,7,3,3,0,2,1,2,1,6,3,0,0,0,0,0,0,6,3,0,0,5,2,0,0,0,0,0,0,0,0,21,9,0,0,1,0,2,0
            Alvaiázere,7287,3406,369,174,174,103,54,33,1,1,4,3,2,1,55,29,0,0,8,6,0,0,3,2,4,4,2,1,0,0,0,0,3,1,0,0,11,9,2,1,4,1,0,0,0,0,12,5,0,0,2,1,7,5
            Ansião,13128,6187,601,264,322,168,112,60,6,2,30,16,0,0,59,30,1,0,3,3,2,1,4,2,29,19,0,0,2,1,0,0,5,1,0,0,10,7,3,0,8,4,3,1,3,0,17,8,0,0,7,3,18,10
            Castanheira de Pêra,3191,1520,128,54,42,20,10,4,0,0,2,1,0,0,9,4,1,1,0,0,1,0,0,0,6,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,1,1,4,2
            Figueiró dos Vinhos,6169,2892,307,143,88,50,32,19,4,2,15,8,0,0,11,7,2,1,1,0,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,9,6,0,0,5,2,3,2
            Pedrógão Grande,3915,1851,264,117,143,78,22,13,7,4,36,21,0,0,52,25,2,1,5,4,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,2,1,0,0
          Dão-Lafões,277240,131554,11779,5423,6131,3244,1224,685,45,24,923,480,44,19,359,191,36,23,183,114,61,39,332,178,1350,751,44,20,31,16,15,9,59,19,14,7,320,173,26,11,227,119,58,31,22,10,574,239,12,5,48,19,124,62
            Aguiar da Beira,5473,2580,267,118,147,86,55,32,0,0,5,3,0,0,1,1,2,1,3,2,2,1,0,0,66,39,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,0,0,0,4,3,0,0,0,0,4,2
            Carregal do Sal,9835,4664,445,221,244,131,53,28,0,0,40,22,2,1,27,16,1,1,12,9,5,2,12,6,37,21,0,0,2,1,0,0,3,0,4,2,0,0,2,1,19,9,5,3,1,1,11,5,0,0,1,0,7,3
            Castro Daire,15339,7370,496,237,438,246,57,35,0,0,41,23,2,1,5,3,0,0,13,7,3,1,27,14,235,138,8,4,0,0,0,0,2,0,0,0,10,4,0,0,3,1,7,4,0,0,11,4,0,0,7,5,7,2
            Mangualde,19880,9559,751,358,369,191,72,38,8,4,50,27,1,0,83,41,6,4,9,8,1,1,9,4,40,23,0,0,0,0,1,1,0,0,4,2,3,1,0,0,49,26,1,1,4,2,17,4,0,0,6,2,5,2
            Mortágua,9607,4621,259,112,346,200,79,48,3,1,6,4,0,0,18,10,4,3,4,3,0,0,81,42,20,15,0,0,0,0,0,0,1,1,0,0,62,33,0,0,6,4,5,3,1,0,53,31,0,0,2,1,1,1
            Nelas,14037,6676,565,257,269,149,40,24,0,0,58,31,2,1,37,19,0,0,10,5,0,0,13,7,57,34,0,0,8,5,1,1,2,1,0,0,6,2,0,0,10,7,2,1,0,0,15,6,0,0,2,1,6,4
            Oliveira de Frades,10261,4868,541,276,150,76,31,19,4,2,22,10,1,1,9,4,3,2,12,7,0,0,5,3,20,13,0,0,1,0,0,0,2,0,6,3,1,1,0,0,4,2,0,0,7,4,12,2,0,0,1,0,9,3
            Penalva do Castelo,7956,3815,325,150,180,100,59,34,2,1,24,9,0,0,10,4,1,1,7,6,15,9,1,0,33,19,3,2,0,0,0,0,2,1,0,0,1,1,1,1,9,5,0,0,0,0,8,5,0,0,1,0,3,2
            Santa Comba Dão,11597,5466,526,232,258,136,23,13,2,2,47,25,3,1,14,7,3,1,17,11,3,2,27,18,42,22,0,0,10,3,0,0,4,2,0,0,20,11,1,1,15,8,3,1,0,0,13,5,0,0,3,1,8,2
            São Pedro do Sul,16851,7891,629,297,347,180,103,57,3,2,35,16,1,0,9,4,2,1,5,5,10,8,4,1,114,61,0,0,0,0,0,0,6,2,0,0,10,5,9,3,10,4,3,1,1,0,14,4,0,0,0,0,8,6
            Sátão,12444,5905,484,215,291,146,139,71,5,3,33,17,0,0,1,0,2,1,7,5,2,2,9,4,56,28,1,0,1,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,26,11,0,0,2,1,1,1
            Tondela,28946,13730,982,446,647,356,109,61,7,4,119,65,1,0,42,20,3,2,15,11,9,5,100,57,102,58,1,1,0,0,0,0,1,0,0,0,24,21,2,1,53,24,18,8,0,0,30,12,0,0,3,2,8,4
            Vila Nova de Paiva,5176,2463,185,78,146,72,74,36,0,0,24,12,4,0,5,4,0,0,0,0,0,0,0,0,22,11,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,9,3,0,0,2,1,1,1
            Viseu,99274,46915,4857,2223,2143,1092,304,174,9,4,390,202,27,14,92,54,7,4,68,34,6,5,32,17,476,255,31,13,7,4,13,7,33,12,0,0,163,81,11,4,45,27,12,8,3,2,337,137,12,5,18,5,47,24
            Vouzela,10564,5031,467,203,156,83,26,15,2,1,29,14,0,0,6,4,2,2,1,1,5,3,12,5,30,14,0,0,0,0,0,0,1,0,0,0,12,10,0,0,2,1,0,0,5,1,14,7,0,0,0,0,9,5
          Pinhal Interior Sul,40705,19321,2244,1010,720,381,192,112,8,6,73,40,6,5,91,47,6,3,22,12,6,1,8,5,130,65,0,0,9,4,0,0,11,3,0,0,44,27,7,3,10,6,11,5,0,0,58,25,0,0,18,7,10,5
            Oleiros,5721,2721,281,121,127,59,71,35,0,0,6,4,0,0,16,7,2,1,6,3,2,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,3,0,0,2,1,0,0
            Proença-a-Nova,8314,3985,405,186,131,74,29,19,2,1,13,7,1,1,6,4,1,1,2,1,0,0,3,2,32,15,0,0,3,2,0,0,8,3,0,0,10,8,3,1,2,1,3,2,0,0,7,3,0,0,5,2,1,1
            Sertã,15880,7546,657,303,300,160,56,35,4,3,32,18,0,0,55,26,2,1,1,1,2,0,2,1,69,37,0,0,0,0,0,0,3,0,0,0,30,16,1,1,6,4,0,0,0,0,21,10,0,0,8,4,8,3
            Vila de Rei,3452,1582,463,194,45,23,7,6,0,0,10,4,0,0,1,1,0,0,5,3,0,0,0,0,9,4,0,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,0,6,3,0,0,1,0,0,0
            Mação,7338,3487,438,206,117,65,29,17,2,2,12,7,5,4,13,9,1,0,8,4,2,1,3,2,10,5,0,0,5,2,0,0,0,0,0,0,3,2,0,0,2,1,5,2,0,0,14,6,0,0,2,0,1,1
          Serra da Estrela,43737,20609,1706,760,881,470,245,127,8,3,118,64,5,2,31,15,6,5,23,14,10,6,41,27,156,91,1,1,2,0,23,11,2,1,2,0,12,7,5,3,133,68,3,1,1,1,29,12,0,0,2,0,23,11
            Fornos de Algodres,4989,2353,242,109,105,60,52,31,1,1,10,5,2,1,2,1,0,0,2,1,1,0,0,0,9,5,0,0,0,0,0,0,2,1,0,0,1,1,0,0,14,9,0,0,0,0,8,3,0,0,0,0,1,1
            Gouveia,14046,6500,527,228,368,191,94,43,2,0,37,23,2,0,15,8,3,2,8,7,1,1,7,3,84,47,0,0,0,0,11,4,0,0,0,0,8,5,4,2,73,34,0,0,1,1,7,5,0,0,0,0,11,6
            Seia,24702,11756,937,423,408,219,99,53,5,2,71,36,1,1,14,6,3,3,13,6,8,5,34,24,63,39,1,1,2,0,12,7,0,0,2,0,3,1,1,1,46,25,3,1,0,0,14,4,0,0,2,0,11,4
          Beira Interior Norte,104417,49558,4201,1962,2057,1064,1175,610,10,6,70,38,29,11,28,16,4,1,165,91,6,4,22,10,189,106,9,4,17,8,20,9,22,11,7,3,56,30,1,0,39,23,7,4,11,5,95,37,20,11,12,5,43,21
            Almeida,7242,3395,320,132,172,79,86,40,0,0,11,6,4,1,2,2,0,0,45,18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,5,2
            Celorico da Beira,7693,3611,347,158,161,78,45,23,0,0,9,5,10,4,3,1,0,0,16,7,0,0,7,3,14,8,0,0,0,0,3,2,0,0,0,0,2,2,1,0,29,16,2,1,0,0,15,3,1,1,0,0,4,2
            Figueira de Castelo Rodrigo,6260,2996,312,143,153,82,84,44,0,0,3,2,1,1,7,4,0,0,26,16,0,0,2,1,2,2,0,0,0,0,0,0,6,2,2,2,3,2,0,0,0,0,1,1,1,0,10,3,0,0,3,2,2,0
            Guarda,42541,20319,1751,866,485,247,220,113,9,5,20,11,9,4,4,1,0,0,40,26,2,1,3,1,37,19,9,4,8,3,10,3,10,4,5,1,17,10,0,0,5,4,2,1,10,5,21,11,19,10,3,1,22,9
            Manteigas,3430,1622,94,42,52,30,38,21,0,0,3,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,1
            Meda,5202,2460,216,102,123,71,85,49,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,3,1,2,2
            Pinhel,9627,4584,315,135,154,89,82,47,1,1,9,5,3,1,4,3,2,1,17,10,0,0,1,0,10,5,0,0,1,1,0,0,5,4,0,0,2,2,0,0,2,1,1,1,0,0,9,4,0,0,2,1,3,2
            Sabugal,12544,5885,508,231,463,227,397,194,0,0,10,4,1,0,3,2,2,0,13,8,3,2,9,5,5,3,0,0,4,2,0,0,1,1,0,0,2,1,0,0,1,1,1,0,0,0,8,2,0,0,0,0,3,2
            Trancoso,9878,4686,338,153,294,161,138,79,0,0,3,2,1,0,1,1,0,0,8,6,1,1,0,0,94,53,0,0,3,2,7,4,0,0,0,0,25,8,0,0,0,0,0,0,0,0,11,4,0,0,1,0,1,1
          Beira Interior Sul,75028,35686,3914,1878,1218,631,501,268,16,8,74,40,2,2,78,41,10,4,65,44,10,7,14,9,50,30,1,1,61,28,2,0,30,11,0,0,84,31,1,0,14,9,5,3,12,3,109,47,24,16,13,7,42,22
            Castelo Branco,56109,26661,2887,1387,889,468,307,172,11,6,53,28,2,2,68,35,10,4,48,35,5,4,11,8,44,27,1,1,50,22,2,0,24,8,0,0,60,23,1,0,10,7,0,0,12,3,98,43,21,13,11,6,40,21
            Idanha-a-Nova,9716,4621,472,237,153,74,66,33,4,1,12,7,0,0,6,3,0,0,12,6,5,3,2,1,2,1,0,0,6,3,0,0,2,1,0,0,24,8,0,0,0,0,1,1,0,0,6,2,3,3,0,0,2,1
            Penamacor,5682,2760,229,120,133,68,108,53,1,1,5,3,0,0,1,1,0,0,4,3,0,0,1,0,4,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,4,2,0,0,2,1,0,0
            Vila Velha de Ródão,3521,1644,326,134,43,21,20,10,0,0,4,2,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,3,1,0,0,0,0,0,0,2,1,4,2,0,0,1,0,0,0,0,0,0,0
          Cova da Beira,87869,42025,3496,1663,1469,773,652,343,6,4,97,50,4,2,37,26,8,7,67,36,11,6,9,5,221,127,2,1,9,4,25,13,16,6,2,0,61,31,4,3,13,7,26,15,6,3,129,48,2,2,13,6,49,28
            Belmonte,6859,3294,424,205,80,43,45,24,1,0,4,3,0,0,1,1,1,1,11,6,0,0,3,1,3,2,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,2,1,0,0,4,1,0,0,1,1,0,0
            Covilhã,51797,24725,1943,916,826,429,340,185,4,3,62,33,2,1,15,13,4,4,39,20,8,4,2,1,136,74,2,1,0,0,1,0,5,1,1,0,40,16,1,1,9,5,14,8,3,2,95,34,1,1,4,2,38,20
            Fundão,29213,14006,1129,542,563,301,267,134,1,1,31,14,2,1,21,12,3,2,17,10,3,2,4,3,82,51,0,0,9,4,24,13,10,5,1,0,18,13,3,2,4,2,10,6,3,1,30,13,1,1,8,3,11,8
          Oeste,362540,175117,26289,12422,7260,3587,813,409,142,75,458,222,44,20,638,324,68,39,207,121,89,46,68,38,312,152,23,15,411,207,13,8,322,135,277,121,253,132,28,10,312,162,349,185,17,7,1945,890,13,11,73,29,385,229
            Alcobaça,56693,27457,2536,1169,893,438,139,71,24,13,89,42,6,0,131,63,9,5,16,11,27,16,8,6,35,21,1,0,21,10,1,1,65,25,21,8,57,28,4,2,59,35,14,9,0,0,109,43,2,2,24,13,31,14
            Bombarral,13193,6353,994,465,297,143,56,29,3,2,23,11,0,0,24,13,2,1,15,8,7,4,4,2,28,10,2,2,63,31,0,0,20,8,0,0,4,3,0,0,7,3,10,5,0,0,22,6,0,0,0,0,7,5
            Caldas da Rainha,51729,24505,4013,1861,996,481,122,59,30,13,66,27,8,3,124,68,17,8,29,18,7,3,12,6,54,28,4,2,4,1,1,0,47,19,25,8,50,28,8,3,86,39,46,27,1,0,192,88,6,4,13,4,44,25
