"6.16 - POPULAÇÃO RESIDENTE, SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA e CORPO DIPLOMÁTICO , POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA, SEXO, E GRUPOS ETÁRIOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,Em lugares até 1999 habitantes,Em lugares de 2000 a 4999 habitantes,Em lugares de 5000 a 9999 habitantes,Em lugares de 10000 a 19999 habitantes,Em lugares de 20000 a 49999 habitantes,Em lugares de 50000 a    99999 habitantes,Em lugares de 100000 a 199999 habitantes,Em lugares de 200000 a 499999 habitantes,Em lugares de 500000 a 999999 habitantes,Em lugares com 1 000 000 habitantes ou mais,"População isolada, embarcada e corpo diplomático",,
"Condição perante a actividade económica
Grupos etários de < 15, 15 - 60, 61-65, 66-70 >70 e sexo          ",,,,,,,,,,,,,,
                                                              H,1766260,686250,123730,142837,214163,286679,30683,153194,108104,0,0,20620,,
          Menos de 15 anos                                   HM,557233,210004,39534,48554,71211,92732,9834,50792,28379,0,0,6193,,
                                                              H,284853,107431,20265,24800,36337,47375,5017,26033,14466,0,0,3129,,
          15 - 60 anos                                       HM,2331476,873371,163793,192049,290151,392516,41721,211280,140705,0,0,25890,,
                                                              H,1137289,432769,80329,94138,141117,187715,19849,100869,66961,0,0,13542,,
            Activos                                          HM,1694035,605406,120574,142295,217909,297110,31928,161055,100452,0,0,17306,,
                                                              H,885469,333522,63138,74705,111826,147567,15890,79791,48961,0,0,10069,,
            Inactivos                                        HM,637441,267965,43219,49754,72242,95406,9793,50225,40253,0,0,8584,,
                                                              H,251820,99247,17191,19433,29291,40148,3959,21078,18000,0,0,3473,,
          61 - 65 anos                                       HM,210582,81007,14255,15487,24340,34773,4015,17827,16705,0,0,2173,,
                                                              H,99086,38234,6841,7391,11677,16393,1906,8362,7247,0,0,1035,,
            Activos                                          HM,47592,16634,3129,3613,5678,8183,906,4348,4612,0,0,489,,
                                                              H,28678,10633,1871,2234,3388,4714,546,2555,2427,0,0,310,,
            Inactivos                                        HM,162990,64373,11126,11874,18662,26590,3109,13479,12093,0,0,1684,,
                                                              H,70408,27601,4970,5157,8289,11679,1360,5807,4820,0,0,725,,
          66 - 70 anos                                       HM,168510,69776,11005,12110,18131,26309,2914,13057,13448,0,0,1760,,
                                                              H,76986,31603,5051,5721,8472,12111,1386,6162,5693,0,0,787,,
            Activos                                          HM,8750,2590,567,628,975,1660,154,828,1240,0,0,108,,
                                                              H,5952,1747,370,455,669,1126,113,583,812,0,0,77,,
            Inactivos                                        HM,159760,67186,10438,11482,17156,24649,2760,12229,12208,0,0,1652,,
                                                              H,71034,29856,4681,5266,7803,10985,1273,5579,4881,0,0,710,,
          Mais de 70 anos                                    HM,421881,186957,27839,26996,41127,58985,6331,30431,38354,0,0,4861,,
                                                              H,168046,76213,11244,10787,16560,23085,2525,11768,13737,0,0,2127,,
            Activos                                          HM,5688,1615,386,322,613,1025,84,560,1027,0,0,56,,
                                                              H,4209,1158,284,238,469,748,68,424,774,0,0,46,,
            Inactivos                                        HM,416193,185342,27453,26674,40514,57960,6247,29871,37327,0,0,4805,,
                                                              H,163837,75055,10960,10549,16091,22337,2457,11344,12963,0,0,2081,,
      Centro                                                 HM,2327755,1459671,240202,101742,146189,217611,0,105842,0,0,0,56498,,
                                                              H,1111263,701469,114455,48085,68571,101923,0,48816,0,0,0,27944,,
          Menos de 15 anos                                   HM,319258,190290,36673,16934,21290,32960,0,12870,0,0,0,8241,,
                                                              H,163384,97438,18891,8704,10927,16732,0,6471,0,0,0,4221,,
          15 - 60 anos                                       HM,1371295,832621,146311,63959,88510,139842,0,66429,0,0,0,33623,,
                                                              H,673249,414299,70930,30698,42522,66214,0,31499,0,0,0,17087,,
            Activos                                          HM,1006927,599163,110315,48857,67076,108056,0,50291,0,0,0,23169,,
                                                              H,523493,321429,55696,24293,33201,52200,0,23814,0,0,0,12860,,
            Inactivos                                        HM,364368,233458,35996,15102,21434,31786,0,16138,0,0,0,10454,,
