"6.03 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NÍVEL DE ESCOLARIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,Menos de 10 anos,Com 10 anos,Com 11 anos,Com 12 anos,Com 13 anos,Com 14 anos,Com 15 anos,Com 16 anos,Com 17 anos,Com 18 anos,Com 19 anos,Com 20 anos,Com 21 anos,Com 22 anos,Com 23 anos,Com 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos
Nível de escolaridade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
                                                                    H,216917,0,0,1106,29648,45354,49816,30618,16619,8457,3798,1900,1294,960,847,831,818,3697,4327,4921,4181,3176,2130,1227,630,268,132,162
        Ensino secundário                                      HM,1770324,0,0,0,0,523,1222,46745,73892,86984,67161,50296,41552,37349,35688,35681,35702,198805,221971,200276,173423,153957,120221,67889,46947,28660,17638,27742
                                                                H,876305,0,0,0,0,279,621,21529,34971,41799,33321,26364,21741,19464,18237,18192,18099,99939,109710,96054,81388,72698,58923,35426,25775,17075,10725,13975
          Completo                                               HM,1024059,0,0,0,0,0,0,0,259,760,5927,13108,18289,21592,23019,23935,24154,132479,150429,144560,122384,105964,88616,52001,36352,22739,14395,23097
                                                                  H,479948,0,0,0,0,0,0,0,141,378,2753,6339,8918,10645,11156,11664,11656,61822,67920,64426,53737,46835,41851,26589,19581,13373,8603,11561
          Incompleto                                             HM,322340,0,0,0,0,41,64,787,1301,2034,3187,4546,5397,5842,6656,7267,7696,47343,53386,39634,38454,37960,25354,13113,9474,5429,3017,4358
                                                                  H,187826,0,0,0,0,22,38,399,628,1040,1798,2571,3067,3326,3768,4068,4334,27921,32437,23846,21908,21452,14350,7587,5600,3420,1980,2266
          A frequentar                                           HM,423925,0,0,0,0,482,1158,45958,72332,84190,58047,32642,17866,9915,6013,4479,3852,18983,18156,16082,12585,10033,6251,2775,1121,492,226,287
                                                                  H,208531,0,0,0,0,257,583,21130,34202,40381,28770,17454,9756,5493,3313,2460,2109,10196,9353,7782,5743,4411,2722,1250,594,282,142,148
        Ensino pós-secundário                                  HM,92611,0,0,0,0,0,0,0,11,32,3357,5371,5617,5636,5250,5049,4809,20908,18625,15405,2541,0,0,0,0,0,0,0
                                                                H,49613,0,0,0,0,0,0,0,7,14,1785,2879,3063,3089,2957,2831,2645,11396,9664,7966,1317,0,0,0,0,0,0,0
          Completo                                               HM,60315,0,0,0,0,0,0,0,0,0,260,800,1361,1962,2424,2911,3025,16979,15664,12831,2098,0,0,0,0,0,0,0
                                                                  H,31877,0,0,0,0,0,0,0,0,0,139,466,743,1034,1302,1537,1617,9182,8131,6629,1097,0,0,0,0,0,0,0
          Incompleto                                             HM,11859,0,0,0,0,0,0,0,11,32,88,228,380,509,574,559,537,2963,2961,2574,443,0,0,0,0,0,0,0
                                                                  H,6256,0,0,0,0,0,0,0,7,14,42,108,203,280,320,308,283,1601,1533,1337,220,0,0,0,0,0,0,0
          A frequentar                                           HM,20437,0,0,0,0,0,0,0,0,0,3009,4343,3876,3165,2252,1579,1247,966,0,0,0,0,0,0,0,0,0,0
                                                                  H,11480,0,0,0,0,0,0,0,0,0,1604,2305,2117,1775,1335,986,745,613,0,0,0,0,0,0,0,0,0,0
        Ensino superior                                        HM,1629900,0,0,0,0,0,0,0,0,311,21141,36040,42060,43357,44061,43333,43767,238184,260628,230658,155383,122373,99053,85118,61179,40428,26699,36127
                                                                H,688583,0,0,0,0,0,0,0,0,134,8520,14656,17210,17971,18249,17974,18012,96103,106081,94961,64449,50422,43121,39800,29439,19976,13381,18124
          Bacharelato,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Completo                                               HM,134473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3126,9624,16374,14390,12101,12760,16385,15421,13035,9204,12053
                                                                    H,51318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358,4217,6812,5575,4734,5077,6277,5585,4548,3136,3999
            Incompleto                                             HM,38186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2493,6013,7064,4661,3515,3152,3054,2440,1549,1601,2644
                                                                    H,22105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351,3457,4181,2715,2053,1899,1993,1530,971,765,1190
