"6.06 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NATURALIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 a 84 anos,De 85 ou mais anos,,,,,,,,,
Naturalidade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                H,132,1,5,10,7,12,13,23,20,15,7,9,6,2,1,0,1,0,0,,,,,,,,,
      Polónia  HM,1014,23,29,21,17,84,191,196,129,77,58,49,46,32,15,18,7,7,15,,,,,,,,,
               H,279,10,12,13,9,16,25,40,32,31,25,17,19,13,5,3,2,1,6,,,,,,,,,
      República Checa  HM,259,7,7,5,7,17,64,48,28,16,11,12,2,9,17,1,3,2,3,,,,,,,,,
                       H,82,3,3,3,4,3,14,7,6,7,5,6,1,4,8,0,3,2,3,,,,,,,,,
      Eslováquia  HM,97,2,3,0,2,4,24,35,9,7,5,1,4,0,1,0,0,0,0,,,,,,,,,
                  H,22,1,1,0,1,0,2,6,4,2,2,1,2,0,0,0,0,0,0,,,,,,,,,
      Hungria  HM,416,10,16,19,13,17,53,62,88,45,22,18,9,11,10,9,4,6,4,,,,,,,,,
               H,134,2,5,9,8,2,16,13,20,14,13,10,3,4,5,7,2,1,0,,,,,,,,,
      Roménia  HM,23689,505,937,1362,1427,2912,3511,4243,3282,2537,1356,945,468,112,45,21,14,7,5,,,,,,,,,
               H,12136,267,499,723,723,1339,1689,2183,1780,1342,703,534,255,61,17,9,6,3,3,,,,,,,,,
      Bulgária  HM,5391,105,167,261,333,611,618,687,658,654,572,395,199,97,12,9,7,4,2,,,,,,,,,
                H,2747,46,91,138,172,326,317,353,321,308,286,206,108,57,7,3,5,2,1,,,,,,,,,
      Eslovénia  HM,59,3,1,2,0,5,7,12,7,7,1,2,3,5,3,1,0,0,0,,,,,,,,,
                 H,21,3,0,0,0,0,1,7,3,0,0,1,2,2,2,0,0,0,0,,,,,,,,,
      Chipre  HM,32,0,0,2,3,2,7,1,1,6,1,5,0,0,0,3,1,0,0,,,,,,,,,
              H,16,0,0,1,2,0,3,0,1,2,1,3,0,0,0,3,0,0,0,,,,,,,,,
      Outros países (parcial)  HM,73032,1271,2487,6925,9394,7034,5664,8741,9435,7219,6138,4714,2349,930,340,192,87,56,56,,,,,,,,,
                               H,36560,644,1236,3482,4707,3454,2335,4191,4833,3829,3288,2553,1251,448,151,77,36,30,15,,,,,,,,,
      Noruega  HM,346,15,16,10,13,12,17,18,21,22,22,30,25,33,36,27,17,8,4,,,,,,,,,
               H,168,8,9,6,7,3,6,5,8,11,11,14,10,20,23,11,9,6,1,,,,,,,,,
      Suíça  HM,16842,582,1312,3282,5280,3383,1244,362,267,185,194,155,137,160,138,79,31,31,20,,,,,,,,,
             H,8417,305,644,1698,2656,1672,581,163,121,88,90,83,76,81,79,46,10,19,5,,,,,,,,,
      Rússia (Federação da)  HM,5906,46,83,273,329,431,514,743,870,773,718,570,303,158,37,26,13,9,10,,,,,,,,,
                             H,2338,16,46,140,169,182,156,263,328,317,307,223,114,55,10,4,4,2,2,,,,,,,,,
      Outros países - Europa  HM,49938,628,1076,3360,3772,3208,3889,7618,8277,6239,5204,3959,1884,579,129,60,26,8,22,,,,,,,,,
                              H,25637,315,537,1638,1875,1597,1592,3760,4376,3413,2880,2233,1051,292,39,16,13,3,7,,,,,,,,,
      África  HM,369992,1732,3522,8257,14454,18040,17398,23302,61434,57277,47001,37949,28694,16892,10940,8672,6905,4402,3121,,,,,,,,,
              H,174411,881,1800,4165,7314,8740,8218,10815,30017,27985,23085,18093,13120,7344,4619,3435,2541,1425,814,,,,,,,,,
      África do Sul  HM,11477,44,100,356,738,1274,1572,1809,2245,1916,589,270,144,145,90,83,42,34,26,,,,,,,,,
                     H,5347,22,52,181,370,620,766,858,1066,894,241,100,52,38,26,28,17,8,8,,,,,,,,,
      Angola  HM,162604,537,850,2209,3209,4067,4436,7316,32880,29421,22830,18200,13061,7735,4872,3984,3247,2184,1566,,,,,,,,,
              H,74556,274,453,1100,1590,1964,2197,3479,16150,14291,10783,8211,5539,3086,1900,1403,1132,668,336,,,,,,,,,
      Cabo Verde  HM,61953,404,904,2742,5452,6862,4927,4597,5002,5678,5550,5661,5502,2539,1996,1725,1268,676,468,,,,,,,,,
                  H,28962,198,440,1358,2628,3180,2209,1944,2149,2546,2625,2837,2858,1267,998,794,542,243,146,,,,,,,,,
      Guiné-Bissau  HM,29578,279,721,1382,2546,2716,2490,3040,3476,3604,3546,2347,1457,823,500,281,200,116,54,,,,,,,,,
                    H,16558,145,375,748,1434,1451,1287,1526,1869,2118,2281,1468,863,507,252,123,55,37,19,,,,,,,,,
      Moçambique  HM,73084,101,245,430,425,584,1189,3124,14063,13056,11425,8781,6595,4496,2736,2061,1753,1155,865,,,,,,,,,
                  H,33912,54,106,200,209,282,520,1457,6881,6323,5561,4129,2919,1944,1135,892,642,388,270,,,,,,,,,
      São Tomé e Príncipe  HM,18645,233,456,841,1581,1901,1820,1923,1912,2000,1890,1470,1011,549,365,270,210,124,89,,,,,,,,,
                           H,8247,118,238,410,756,908,752,775,837,885,892,657,416,225,150,91,80,33,24,,,,,,,,,
      Outros países - África  HM,12651,134,246,297,503,636,964,1493,1856,1602,1171,1220,924,605,381,268,185,113,53,,,,,,,,,
                              H,6829,70,136,168,327,335,487,776,1065,928,702,691,473,277,158,104,73,48,11,,,,,,,,,
      América  HM,186165,2314,5340,9795,12093,17196,26703,30590,25054,19917,15320,9188,5030,2405,1357,972,830,993,1068,,,,,,,,,
               H,80345,1175,2712,4930,6149,8146,11695,13114,10361,8084,6071,3493,1824,907,468,341,276,333,266,,,,,,,,,
      Argentina  HM,1375,13,25,44,50,84,97,160,167,151,143,141,103,54,42,24,23,30,24,,,,,,,,,
                 H,644,6,18,25,26,40,39,80,76,69,75,63,48,26,18,10,11,7,7,,,,,,,,,
      Brasil  HM,139703,1812,4310,8034,8682,11733,19858,23242,18486,14865,11820,7300,3878,1777,984,719,599,775,829,,,,,,,,,
              H,58979,904,2185,4035,4405,5502,8505,9704,7372,5893,4600,2695,1375,649,306,221,171,256,201,,,,,,,,,
      Canadá  HM,7572,78,184,352,974,1079,839,1437,1313,719,272,85,54,53,43,34,34,16,6,,,,,,,,,
              H,3531,40,95,181,477,519,388,681,572,309,122,34,20,23,21,20,20,5,4,,,,,,,,,
      Estados Unidos da América  HM,7242,241,384,442,734,915,854,996,854,429,234,185,189,203,131,80,90,109,172,,,,,,,,,
                                 H,3466,125,196,239,380,434,409,461,406,188,102,87,77,108,69,50,50,41,44,,,,,,,,,
"      Venezuela, República Bolivariana da  HM",25157,93,267,664,1352,3030,4554,4074,3580,3185,2370,1130,537,149,51,44,41,25,11,,,,,,,,,
                                           H,11634,54,137,311,715,1493,2165,1941,1675,1399,974,476,198,41,14,16,13,7,5,,,,,,,,,
      Outros países - América  HM,5116,77,170,259,301,355,501,681,654,568,481,347,269,169,106,71,43,38,26,,,,,,,,,
                               H,2091,46,81,139,146,158,189,247,260,226,198,138,106,60,40,24,11,17,5,,,,,,,,,
      Ásia  HM,32853,488,689,1118,1736,2541,3197,3832,4069,3598,2945,2384,1783,1349,967,833,637,384,303,,,,,,,,,
            H,17977,264,364,611,941,1387,1703,2254,2404,2156,1697,1259,905,658,483,358,289,142,102,,,,,,,,,
      China  HM,10887,174,214,393,730,1141,1278,1439,1627,1414,1099,539,350,190,113,73,63,23,27,,,,,,,,,
             H,5620,94,115,218,400,571,594,732,821,780,624,284,172,89,54,34,21,10,7,,,,,,,,,
      Índia  HM,8129,101,146,150,202,300,490,731,709,636,588,826,641,625,596,544,407,252,185,,,,,,,,,
             H,4653,61,86,90,133,193,309,471,509,418,367,453,340,314,315,230,200,100,64,,,,,,,,,
      Japão  HM,323,8,9,16,16,9,20,25,39,35,27,26,26,37,10,12,6,0,2,,,,,,,,,
             H,132,4,8,9,2,6,4,9,14,10,9,7,12,20,7,7,3,0,1,,,,,,,,,
      Macau  HM,2078,7,20,127,249,252,125,84,68,105,148,224,242,130,68,61,65,59,44,,,,,,,,,
             H,913,5,9,57,116,127,60,43,26,50,67,91,113,55,30,20,19,12,13,,,,,,,,,
      Paquistão  HM,2015,61,100,139,168,203,161,237,277,222,184,131,68,33,8,14,6,2,1,,,,,,,,,
                 H,1334,32,51,80,97,120,100,163,211,174,125,95,52,19,4,5,3,2,1,,,,,,,,,
      Timor Leste  HM,1789,7,16,13,20,88,111,113,197,223,224,142,165,188,107,73,48,28,26,,,,,,,,,
                   H,809,3,9,7,12,33,49,57,88,114,114,63,57,81,45,38,20,10,9,,,,,,,,,
      Outros países - Ásia  HM,7632,130,184,280,351,548,1012,1203,1152,963,675,496,291,146,65,56,42,20,18,,,,,,,,,
                            H,4516,65,86,150,181,337,587,779,735,610,391,266,159,80,28,24,23,8,7,,,,,,,,,
      Oceânia  HM,1375,20,27,81,144,203,154,204,238,119,54,20,30,23,30,15,6,2,5,,,,,,,,,
               H,620,10,11,42,67,99,69,86,110,48,18,7,14,10,17,9,3,0,0,,,,,,,,,
      Austrália  HM,1252,17,23,74,139,194,148,189,221,108,44,14,22,13,24,13,2,2,5,,,,,,,,,
                 H,565,9,10,40,65,92,65,79,102,43,15,5,11,6,14,8,1,0,0,,,,,,,,,
      Outros países da Oceânia  HM,123,3,4,7,5,9,6,15,17,11,10,6,8,10,6,2,4,0,0,,,,,,,,,
                                H,55,1,1,2,2,7,4,7,8,5,3,2,3,4,3,1,2,0,0,,,,,,,,,
      Outros países  HM,12,0,1,0,0,0,0,0,3,3,2,1,0,1,0,1,0,0,0,,,,,,,,,
                     H,6,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,,,,,,,,,
