"6.27 - POPULAÇÃO RESIDENTE, C/ 15 OU MAIS ANOS, SEGUNDO O GRUPO ETÁRIO, POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) NÍVEL DE ESCOLARIDADE ATINGIDO E SEXO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Zona Geográfica                                                                                  Condição perante a actividade económica, nível de escolaridade e sexo",Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,
                                                              H,684,17,86,66,59,98,63,59,58,82,49,24,9,14,
"      Reformados, aposentados ou na reserva                  HM",2339094,1050,1925,2653,4271,6801,9361,16907,38995,131025,291749,462911,454456,916990,
                                                              H,1040110,472,956,1346,2277,3558,4890,8625,19819,61832,150451,218847,207580,359457,
        Nenhum nível de escolaridade                         HM,417278,173,347,489,730,1102,1267,1685,2560,4947,10455,31297,86523,275703,
                                                              H,124275,62,140,217,339,537,657,860,1203,2267,4668,10844,27386,75095,
        Ensino básico                                        HM,1668153,638,1299,1812,2955,4893,7014,12880,28775,95545,223740,376510,329124,582968,
                                                              H,791792,301,681,947,1629,2631,3703,6499,14745,47851,119174,179585,159382,254664,
        Ensino básico - 1º ciclo                             HM,1391777,350,849,1066,1745,2789,3693,7649,18217,68871,167089,314044,285355,520060,
                                                              H,639793,147,399,514,881,1465,1892,3809,8718,33554,87859,144440,133780,222335,
        Ensino básico - 2º ciclo                             HM,108937,73,138,272,573,1156,1938,2816,5425,9943,18953,24472,17904,25274,
                                                              H,60112,46,86,160,362,643,1073,1413,2929,5522,11185,13633,10290,12770,
        Ensino básico - 3º ciclo                             HM,167439,215,312,474,637,948,1383,2415,5133,16731,37698,37994,25865,37634,
                                                              H,91887,108,196,273,386,523,738,1277,3098,8775,20130,21512,15312,19559,
        Ensino secundário                                    HM,110678,208,158,242,411,539,826,1708,4549,12374,25591,23442,15578,25052,
                                                              H,63431,94,78,125,231,277,414,927,2830,6761,14357,14280,9764,13293,
        Ensino pós-secundário                                HM,131,11,30,12,26,43,9,0,0,0,0,0,0,0,
                                                              H,76,6,18,11,15,20,6,0,0,0,0,0,0,0,
        Ensino superior                                      HM,142854,20,91,98,149,224,245,634,3111,18159,31963,31662,23231,33267,
                                                              H,60536,9,39,46,63,93,110,339,1041,4953,12252,14138,11048,16405,
      Incapacitados permanentes para o trabalho              HM,141256,2003,5096,6768,9024,11814,14481,17835,21353,24228,22784,3693,613,1564,
                                                              H,72423,1215,2720,3576,4797,6395,7819,9421,10982,12259,11211,1611,152,265,
        Nenhum nível de escolaridade                         HM,23204,492,1191,1761,2245,2632,2790,2806,2690,2647,2540,573,198,639,
                                                              H,11650,290,663,915,1153,1396,1502,1500,1414,1334,1164,217,34,68,
        Ensino básico                                        HM,104890,1388,3335,4029,5398,7608,10141,13260,16592,19873,19076,2932,397,861,
                                                              H,54237,854,1781,2196,2975,4210,5586,7093,8554,10029,9386,1280,111,182,
        Ensino básico - 1º ciclo                             HM,71627,656,1672,1910,2590,3744,5337,7833,11210,16388,16581,2578,354,774,
                                                              H,35942,394,798,948,1329,2004,2992,4179,5767,8187,7997,1094,91,162,
        Ensino básico - 2º ciclo                             HM,16952,190,499,740,1293,2143,2771,3052,3039,1757,1246,167,19,36,
                                                              H,9624,120,326,470,797,1283,1564,1717,1639,926,685,81,8,8,
        Ensino básico - 3º ciclo                             HM,16311,542,1164,1379,1515,1721,2033,2375,2343,1728,1249,187,24,51,
                                                              H,8671,340,657,778,849,923,1030,1197,1148,916,704,105,12,12,
        Ensino secundário                                    HM,9460,109,471,752,1042,1118,1211,1354,1519,1048,690,95,9,42,
                                                              H,4811,61,227,367,522,580,584,644,771,575,406,62,5,7,
        Ensino pós-secundário                                HM,275,7,49,62,63,75,19,0,0,0,0,0,0,0,
                                                              H,149,6,30,37,34,32,10,0,0,0,0,0,0,0,
        Ensino superior                                      HM,3427,7,50,164,276,381,320,415,552,660,478,93,9,22,
                                                              H,1576,4,19,61,113,177,137,184,243,321,255,52,2,8,
      Outros casos                                           HM,405910,34226,41227,34557,34563,36639,36084,38380,40633,44840,40920,9627,5612,8602,
                                                              H,190679,19385,21752,17226,16311,17336,17088,18212,18421,20209,18488,3237,1449,1565,
        Nenhum nível de escolaridade                         HM,21505,916,1014,1155,1469,1724,1814,1953,2167,2594,2353,1069,1130,2147,
                                                              H,9030,484,495,536,747,888,955,1033,1051,1169,999,267,162,244,
        Ensino básico                                        HM,269625,19324,18070,16638,18968,23106,25470,28646,31345,36588,34471,7349,4015,5635,
                                                              H,129429,11788,10433,9102,9859,11652,12500,13836,14116,16230,15326,2395,1096,1096,
        Ensino básico - 1º ciclo                             HM,132455,1912,2480,2880,4404,7137,10319,14493,18993,27741,27932,6127,3443,4594,
                                                              H,59639,1103,1482,1665,2445,3810,5269,7180,8661,12173,12200,1869,908,874,
        Ensino básico - 2º ciclo                             HM,53273,4059,4137,3921,5228,7104,7614,6855,6365,4038,2793,547,239,373,
                                                              H,27589,2674,2585,2288,2746,3624,3827,3366,2871,1899,1308,238,83,80,
        Ensino básico - 3º ciclo                             HM,83897,13353,11453,9837,9336,8865,7537,7298,5987,4809,3746,675,333,668,
                                                              H,42201,8011,6366,5149,4668,4218,3404,3290,2584,2158,1818,288,105,142,
        Ensino secundário                                    HM,71574,12396,12885,8791,7909,6883,5721,5306,4794,3310,2244,560,245,530,
                                                              H,33685,6371,6767,4081,3314,2877,2430,2339,2206,1641,1198,260,94,107,
        Ensino pós-secundário                                HM,4467,433,1592,947,731,642,122,0,0,0,0,0,0,0,
                                                              H,2172,227,884,438,298,270,55,0,0,0,0,0,0,0,
        Ensino superior                                      HM,38739,1157,7666,7026,5486,4284,2957,2475,2327,2348,1852,649,222,290,
                                                              H,16363,515,3173,3069,2093,1649,1148,1004,1048,1169,965,315,97,118,
