"4.14 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS PELO NÚMERO DE PESSOAS COM ACTIVIDADE ECONÓMICA E PESSOAS A CARGO ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Pessoas nas famílias,,,
Número de pessoas com actividade económica e número de pessoas a cargo,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
          2 pessoas activas,484739,0,99739,191382,149757,33293,8562,1546,326,134,1605191,,,
            Nenhuma pessoa a cargo,126806,0,90536,26451,8631,1048,123,14,1,2,301053,,,
            1 pessoa a cargo,186498,0,8929,151585,19530,5716,660,70,7,1,583828,,,
            2 pessoas a cargo,139477,0,274,13146,112544,9773,3409,286,37,8,561851,,,
            3 pessoas a cargo,27060,0,0,200,8910,15163,2221,489,61,16,129447,,,
            4 ou mais pessoas a cargo,4898,0,0,0,142,1593,2149,687,220,107,29012,,,
          3 ou mais pessoas activas,133872,0,0,37136,55534,25035,10591,3479,1281,816,564802,,,
            Nenhuma pessoa a cargo,47503,0,0,26624,15848,3982,833,167,34,15,169761,,,
            1 pessoa a cargo,50979,0,0,9461,28219,9711,2842,585,128,33,212294,,,
            2 pessoas a cargo,25339,0,0,1028,10403,8348,4039,1107,332,82,121849,,,
            3 pessoas a cargo,7410,0,0,23,1041,2663,2152,963,361,207,42031,,,
            4 ou mais pessoas a cargo,2641,0,0,0,23,331,725,657,426,479,18867,,,
      Centro,904770,195368,301017,209076,149577,36393,9912,2379,689,359,2290030,,,
          Nenhuma pessoa activa,307756,128962,155937,17609,3769,966,342,121,27,23,516909,,,
            Nenhuma pessoa a cargo,262076,126334,127449,7636,594,50,11,2,0,0,406846,,,
            1 pessoa a cargo,37951,2628,27813,6590,812,87,15,6,0,0,81839,,,
            2 pessoas a cargo,5329,0,675,3073,1361,175,36,9,0,0,17167,,,
            3 pessoas a cargo,1718,0,0,310,898,423,73,13,0,1,7176,,,
            4 ou mais pessoas a cargo,682,0,0,0,104,231,207,91,27,22,3881,,,
          1 pessoa activa,226803,66406,75057,55031,22784,5660,1452,300,78,35,512822,,,
            Nenhuma pessoa a cargo,128345,65019,43479,18006,1688,136,12,3,1,1,213539,,,
            1 pessoa a cargo,56669,1387,31124,19736,3871,487,55,6,2,1,141159,,,
            2 pessoas a cargo,27391,0,454,17058,8369,1283,205,21,0,1,93360,,,
            3 pessoas a cargo,11463,0,0,231,8781,2018,383,40,7,3,48569,,,
            4 ou mais pessoas a cargo,2935,0,0,0,75,1736,797,230,68,29,16195,,,
          2 pessoas activas,298295,0,70023,113707,92126,17692,3824,700,166,57,967839,,,
            Nenhuma pessoa a cargo,84372,0,64395,15370,4104,450,48,3,1,1,193892,,,
            1 pessoa a cargo,110421,0,5457,91829,10460,2381,267,19,7,1,341946,,,
            2 pessoas a cargo,85526,0,171,6421,73105,4567,1162,90,10,0,342542,,,
            3 pessoas a cargo,15169,0,0,87,4400,9444,1012,198,25,3,72766,,,
            4 ou mais pessoas a cargo,2807,0,0,0,57,850,1335,390,123,52,16693,,,
          3 ou mais pessoas activas,71916,0,0,22729,30898,12075,4294,1258,418,244,292460,,,
            Nenhuma pessoa a cargo,28173,0,0,16916,9028,1883,299,33,9,5,98421,,,
            1 pessoa a cargo,27062,0,0,5342,15732,4619,1144,177,37,11,110551,,,
            2 pessoas a cargo,12267,0,0,467,5676,4141,1517,364,79,23,57306,,,
            3 pessoas a cargo,3255,0,0,4,459,1297,998,351,104,42,18006,,,
            4 ou mais pessoas a cargo,1159,0,0,0,3,135,336,333,189,163,8176,,,
      Lisboa,1147775,293220,376955,255823,160522,42043,12967,3754,1414,1077,2792992,,,
          Nenhuma pessoa activa,316837,148108,146703,16215,3791,1228,518,150,66,58,516733,,,
            Nenhuma pessoa a cargo,269520,143554,119165,6365,388,38,8,1,0,1,402785,,,
            1 pessoa a cargo,38110,4554,26503,6230,727,79,11,4,0,2,79670,,,
            2 pessoas a cargo,5993,0,1035,3226,1447,219,56,8,1,1,19041,,,
            3 pessoas a cargo,2135,0,0,394,1085,530,98,15,8,5,8975,,,
            4 ou mais pessoas a cargo,1079,0,0,0,144,362,345,122,57,49,6262,,,
          1 pessoa activa,358712,145112,112976,67116,24008,6719,1989,550,157,85,719921,,,
            Nenhuma pessoa a cargo,226031,141637,62991,19855,1410,120,16,1,1,0,333535,,,
            1 pessoa a cargo,80108,3475,49014,23293,3855,429,36,4,2,0,189207,,,
            2 pessoas a cargo,34978,0,971,23569,9056,1197,161,17,6,1,116000,,,
            3 pessoas a cargo,12908,0,0,399,9525,2528,387,58,10,1,54754,,,
            4 ou mais pessoas a cargo,4687,0,0,0,162,2445,1389,470,138,83,26425,,,
          2 pessoas activas,390655,0,117276,143699,101461,21440,5092,1153,343,191,1221875,,,
            Nenhuma pessoa a cargo,129766,0,107090,18745,3585,311,33,1,0,1,286524,,,
            1 pessoa a cargo,137431,0,9819,115798,9987,1633,175,18,1,0,416329,,,
            2 pessoas a cargo,96686,0,367,8951,82448,4032,823,60,4,1,382938,,,
            3 pessoas a cargo,20997,0,0,205,5318,14125,1155,147,43,4,100852,,,
            4 ou mais pessoas a cargo,5775,0,0,0,123,1339,2906,927,295,185,35232,,,
          3 ou mais pessoas activas,81571,0,0,28793,31262,12656,5368,1901,848,743,334463,,,
            Nenhuma pessoa a cargo,30175,0,0,20504,7940,1407,256,42,11,15,102393,,,
            1 pessoa a cargo,28019,0,0,7430,15695,3821,887,144,31,11,110868,,,
            2 pessoas a cargo,14918,0,0,831,6911,4983,1712,358,95,28,68870,,,
            3 pessoas a cargo,5359,0,0,28,699,2133,1685,541,191,82,29743,,,
            4 ou mais pessoas a cargo,3100,0,0,0,17,312,828,816,520,607,22589,,,
      Alentejo,302975,71676,103694,68492,44375,10774,2866,711,244,143,741454,,,
          Nenhuma pessoa activa,107657,47816,52564,5282,1234,433,205,72,21,30,178098,,,
            Nenhuma pessoa a cargo,95790,47251,45748,2537,233,17,2,1,0,1,147403,,,
            1 pessoa a cargo,9400,565,6665,1886,236,38,8,1,0,1,20751,,,
            2 pessoas a cargo,1531,0,151,783,504,68,23,1,1,0,5160,,,
            3 pessoas a cargo,589,0,0,76,243,232,30,5,1,2,2601,,,
            4 ou mais pessoas a cargo,347,0,0,0,18,78,142,64,19,26,2183,,,
          1 pessoa activa,76932,23860,26703,17723,6278,1740,447,118,45,18,168290,,,
            Nenhuma pessoa a cargo,47252,23465,16868,6327,542,44,5,0,1,0,78608,,,
            1 pessoa a cargo,17486,395,9719,6130,1086,145,9,2,0,0,43360,,,
            2 pessoas a cargo,8176,0,116,5205,2413,382,55,4,1,0,27775,,,
            3 pessoas a cargo,3096,0,0,61,2215,698,98,22,1,1,13292,,,
            4 ou mais pessoas a cargo,922,0,0,0,22,471,280,90,42,17,5255,,,
          2 pessoas activas,95076,0,24427,37176,26884,5247,1075,195,50,22,302576,,,
            Nenhuma pessoa a cargo,29315,0,22476,5492,1209,124,13,1,0,0,66969,,,
            1 pessoa a cargo,34843,0,1906,29447,2893,538,54,5,0,0,106774,,,
            2 pessoas a cargo,25069,0,45,2210,21404,1140,246,20,4,0,99684,,,
            3 pessoas a cargo,4838,0,0,27,1356,3145,264,41,5,0,23141,,,
            4 ou mais pessoas a cargo,1011,0,0,0,22,300,498,128,41,22,6008,,,
          3 ou mais pessoas activas,23310,0,0,8311,9979,3354,1139,326,128,73,92490,,,
