"4.17 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS POR NÚMERO DE PESSOAS COM ACTIVIDADE  ECONÓMICA E NÚMERO DE DESEMPREGADOS (SENTIDO RESTRITO) NA FAMÍLIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Pessoas nas famílias,,,
Número de pessoas com actividade económica e número de pessoas desempregadas,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
          Todas desempregadas,1544,0,0,488,536,297,144,41,23,15,6580,,,
          4 pessoas activas,24543,0,0,0,11968,7216,3497,1220,415,227,118985,,,
          Todas empregadas,12661,0,0,0,6179,3685,1804,652,220,121,61451,,,
          Com 1 desempregada,7623,0,0,0,3811,2281,1020,344,106,61,36603,,,
          Com 2 desempregadas,3200,0,0,0,1549,942,485,150,49,25,15498,,,
          Com 3 desempregadas,835,0,0,0,363,244,138,45,31,14,4205,,,
          Todas desempregadas,224,0,0,0,66,64,50,29,9,6,1228,,,
          5 ou mais pessoas activas,3943,0,0,0,0,1222,1224,703,409,385,25434,,,
          Todas empregadas,1777,0,0,0,0,541,552,338,178,168,11458,,,
          Com 1 desempregada,1242,0,0,0,0,425,397,193,118,109,7882,,,
          Com 2 desempregadas,579,0,0,0,0,178,178,101,66,56,3736,,,
          Com 3 desempregadas,232,0,0,0,0,62,66,44,33,27,1549,,,
          Com 4 desempregadas,79,0,0,0,0,13,23,19,6,18,559,,,
          Com 5 ou mais desempregadas,34,0,0,0,0,3,8,8,8,7,250,,,
      Centro,904770,195368,301017,209076,149577,36393,9912,2379,689,359,2290030,,,
          Nenhuma pessoa activa,307756,128962,155937,17609,3769,966,342,121,27,23,516909,,,
          1 pessoa activa,226803,66406,75057,55031,22784,5660,1452,300,78,35,512822,,,
          Empregada,199387,59158,65546,47853,20394,4868,1232,247,65,24,449593,,,
          Desempregada,27416,7248,9511,7178,2390,792,220,53,13,11,63229,,,
          2 pessoas activas,298295,0,70023,113707,92126,17692,3824,700,166,57,967839,,,
          Ambas empregadas,247460,0,57380,94152,78271,14132,2895,499,96,35,802920,,,
          Apenas 1 desempregada,45299,0,11079,17660,12489,3090,759,155,50,17,146745,,,
          Ambas desempregadas,5536,0,1564,1895,1366,470,170,46,20,5,18174,,,
          3 pessoas activas,58095,0,0,22729,24166,7933,2437,625,136,69,225259,,,
          Todas empregadas,38498,0,0,15153,16138,5196,1526,378,79,28,148692,,,
          Com 1 desempregada,15768,0,0,6135,6587,2143,678,170,35,20,61193,,,
          Com 2 desempregadas,3369,0,0,1275,1302,516,190,57,16,13,13411,,,
          Todas desempregadas,460,0,0,166,139,78,43,20,6,8,1963,,,
          4 pessoas activas,12265,0,0,0,6732,3523,1373,413,156,68,57565,,,
          Todas empregadas,7200,0,0,0,4045,2068,777,199,85,26,33501,,,
          Com 1 desempregada,3580,0,0,0,1946,1035,391,139,46,23,16865,,,
          Com 2 desempregadas,1190,0,0,0,630,322,157,52,20,9,5680,,,
          Com 3 desempregadas,242,0,0,0,97,81,37,17,5,5,1222,,,
          Todas desempregadas,53,0,0,0,14,17,11,6,0,5,297,,,
          5 ou mais pessoas activas,1556,0,0,0,0,619,484,220,126,107,9636,,,
          Todas empregadas,820,0,0,0,0,334,271,111,65,39,4973,,,
          Com 1 desempregada,430,0,0,0,0,188,122,59,27,34,2646,,,
          Com 2 desempregadas,190,0,0,0,0,64,58,34,19,15,1212,,,
          Com 3 desempregadas,72,0,0,0,0,24,22,11,8,7,469,,,
          Com 4 desempregadas,26,0,0,0,0,7,7,4,5,3,175,,,
          Com 5 ou mais desempregadas,18,0,0,0,0,2,4,1,2,9,161,,,
      Lisboa,1147775,293220,376955,255823,160522,42043,12967,3754,1414,1077,2792992,,,
          Nenhuma pessoa activa,316837,148108,146703,16215,3791,1228,518,150,66,58,516733,,,
          1 pessoa activa,358712,145112,112976,67116,24008,6719,1989,550,157,85,719921,,,
          Empregada,311988,129374,97826,56957,20392,5432,1470,389,100,48,617439,,,
          Desempregada,46724,15738,15150,10159,3616,1287,519,161,57,37,102482,,,
          2 pessoas activas,390655,0,117276,143699,101461,21440,5092,1153,343,191,1221875,,,
          Ambas empregadas,313702,0,94421,115531,83197,16198,3397,673,190,95,976725,,,
          Apenas 1 desempregada,67532,0,20168,25190,15990,4366,1306,338,104,70,213388,,,
          Ambas desempregadas,9421,0,2687,2978,2274,876,389,142,49,26,31762,,,
          3 pessoas activas,66473,0,0,28793,24525,8628,3066,929,333,199,257096,,,
          Todas empregadas,39017,0,0,17699,14567,4633,1501,417,132,68,148162,,,
          Com 1 desempregada,20773,0,0,8661,7739,2858,1025,322,110,58,81070,,,
          Com 2 desempregadas,5701,0,0,2135,1940,924,434,145,74,49,23474,,,
          Todas desempregadas,982,0,0,298,279,213,106,45,17,24,4390,,,
          4 pessoas activas,12912,0,0,0,6737,3374,1681,630,289,201,62574,,,
          Todas empregadas,6228,0,0,0,3595,1545,681,232,110,65,29326,,,
          Com 1 desempregada,4066,0,0,0,2110,1077,558,180,88,53,19648,,,
          Com 2 desempregadas,1909,0,0,0,821,547,280,158,59,44,9691,,,
          Com 3 desempregadas,590,0,0,0,181,173,135,51,23,27,3215,,,
          Todas desempregadas,119,0,0,0,30,32,27,9,9,12,694,,,
          5 ou mais pessoas activas,2186,0,0,0,0,654,621,342,226,343,14793,,,
          Todas empregadas,776,0,0,0,0,272,233,112,73,86,5025,,,
          Com 1 desempregada,594,0,0,0,0,194,190,94,44,72,3843,,,
          Com 2 desempregadas,402,0,0,0,0,114,106,63,49,70,2790,,,
          Com 3 desempregadas,229,0,0,0,0,45,61,46,35,42,1629,,,
          Com 4 desempregadas,127,0,0,0,0,24,25,18,19,41,963,,,
          Com 5 ou mais desempregadas,58,0,0,0,0,5,6,9,6,32,543,,,
      Alentejo,302975,71676,103694,68492,44375,10774,2866,711,244,143,741454,,,
          Nenhuma pessoa activa,107657,47816,52564,5282,1234,433,205,72,21,30,178098,,,
          1 pessoa activa,76932,23860,26703,17723,6278,1740,447,118,45,18,168290,,,
          Empregada,66516,21105,23045,15152,5350,1422,331,72,27,12,143985,,,
          Desempregada,10416,2755,3658,2571,928,318,116,46,18,6,24305,,,
          2 pessoas activas,95076,0,24427,37176,26884,5247,1075,195,50,22,302576,,,
          Ambas empregadas,76151,0,19473,29886,21994,3940,716,107,22,13,241625,,,
          Apenas 1 desempregada,16454,0,4294,6452,4287,1076,270,55,14,6,52645,,,
          Ambas desempregadas,2471,0,660,838,603,231,89,33,14,3,8306,,,
          3 pessoas activas,19097,0,0,8311,7751,2185,629,151,50,20,72292,,,
          Todas empregadas,11885,0,0,5374,4769,1285,340,81,29,7,44536,,,
          Com 1 desempregada,5632,0,0,2333,2376,656,208,46,8,5,21464,,,
          Com 2 desempregadas,1353,0,0,530,521,207,65,18,10,2,5324,,,
          Todas desempregadas,227,0,0,74,85,37,16,6,3,6,968,,,
          4 pessoas activas,3772,0,0,0,2228,1001,376,97,45,25,17453,,,
          Todas empregadas,2011,0,0,0,1258,502,180,51,16,4,9144,,,
          Com 1 desempregada,1189,0,0,0,697,333,120,20,12,7,5477,,,
          Com 2 desempregadas,409,0,0,0,206,123,55,15,4,6,1962,,,
          Com 3 desempregadas,109,0,0,0,53,29,14,7,5,1,540,,,
          Todas desempregadas,54,0,0,0,14,14,7,4,8,7,330,,,
          5 ou mais pessoas activas,441,0,0,0,0,168,134,78,33,28,2745,,,
          Todas empregadas,195,0,0,0,0,77,54,40,12,12,1210,,,
          Com 1 desempregada,120,0,0,0,0,52,44,11,9,4,723,,,
          Com 2 desempregadas,67,0,0,0,0,23,21,17,3,3,414,,,
          Com 3 desempregadas,37,0,0,0,0,12,10,6,5,4,238,,,
          Com 4 desempregadas,16,0,0,0,0,3,4,3,1,5,118,,,
          Com 5 ou mais desempregadas,6,0,0,0,0,1,1,1,3,0,42,,,
      Algarve,182776,45493,60708,40600,26387,6658,2122,512,176,120,446441,,,
          Nenhuma pessoa activa,53297,23499,25655,2939,809,246,100,34,7,8,89060,,,
          1 pessoa activa,55308,21994,17131,10408,4191,1175,319,62,20,8,112706,,,
          Empregada,46606,18906,14396,8581,3502,926,234,42,13,6,93941,,,
          Desempregada,8702,3088,2735,1827,689,249,85,20,7,2,18765,,,
          2 pessoas activas,60269,0,17922,22622,15836,2947,753,132,39,18,187715,,,
          Ambas empregadas,45551,0,13529,17142,12278,2017,487,70,21,7,141330,,,
          Apenas 1 desempregada,12456,0,3709,4680,3045,748,211,44,12,7,39115,,,
          Ambas desempregadas,2262,0,684,800,513,182,55,18,6,4,7270,,,
          3 pessoas activas,11129,0,0,4631,4350,1474,484,124,44,22,43001,,,
          Todas empregadas,6168,0,0,2608,2439,787,244,59,21,10,23654,,,
          Com 1 desempregada,3648,0,0,1515,1441,489,143,40,12,8,14071,,,
          Com 2 desempregadas,1117,0,0,435,400,172,79,20,8,3,4471,,,
          Todas desempregadas,196,0,0,73,70,26,18,5,3,1,805,,,
          4 pessoas activas,2416,0,0,0,1201,702,359,99,34,21,11640,,,
          Todas empregadas,1046,0,0,0,564,294,138,29,13,8,4937,,,
          Com 1 desempregada,779,0,0,0,393,222,116,34,7,7,3744,,,
          Com 2 desempregadas,439,0,0,0,185,137,80,25,8,4,2182,,,
          Com 3 desempregadas,125,0,0,0,53,41,18,5,6,2,629,,,
          Todas desempregadas,27,0,0,0,6,8,7,6,0,0,148,,,
          5 ou mais pessoas activas,357,0,0,0,0,114,107,61,32,43,2319,,,
          Todas empregadas,135,0,0,0,0,38,40,31,11,15,875,,,
          Com 1 desempregada,116,0,0,0,0,50,32,13,9,12,727,,,
          Com 2 desempregadas,54,0,0,0,0,12,22,8,7,5,355,,,
          Com 3 desempregadas,32,0,0,0,0,9,8,5,4,6,217,,,
          Com 4 desempregadas,18,0,0,0,0,4,5,4,1,4,130,,,
          Com 5 ou mais desempregadas,2,0,0,0,0,1,0,0,0,1,15,,,
    Região Autónoma dos Açores,81715,14006,20871,19231,16295,6708,2668,989,436,511,243882,,,
        Nenhuma pessoa activa,18284,7505,8199,1625,553,238,100,34,14,16,33282,,,
        1 pessoa activa,24184,6501,6210,5663,3547,1473,541,157,53,39,62624,,,
        Empregada,21773,6023,5671,5001,3167,1269,452,116,45,29,55550,,,
        Desempregada,2411,478,539,662,380,204,89,41,8,10,7074,,,
        2 pessoas activas,30588,0,6462,10576,9331,2913,882,269,88,67,105110,,,
        Ambas empregadas,25647,0,5527,9047,7938,2253,620,174,53,35,86934,,,
        Apenas 1 desempregada,4323,0,834,1372,1240,542,215,72,28,20,15678,,,
        Ambas desempregadas,618,0,101,157,153,118,47,23,7,12,2498,,,
        3 pessoas activas,6210,0,0,1367,2344,1391,632,252,115,109,28021,,,
        Todas empregadas,3991,0,0,968,1543,879,365,140,55,41,17493,,,
        Com 1 desempregada,1728,0,0,332,659,389,203,73,36,36,7971,,,
        Com 2 desempregadas,406,0,0,61,125,100,49,30,16,25,2070,,,
        Todas desempregadas,85,0,0,6,17,23,15,9,8,7,487,,,
        4 pessoas activas,1877,0,0,0,520,597,364,175,96,125,10522,,,
        Todas empregadas,1004,0,0,0,322,328,184,81,41,48,5410,,,
        Com 1 desempregada,537,0,0,0,138,176,120,49,24,30,3001,,,
        Com 2 desempregadas,238,0,0,0,48,67,43,32,21,27,1455,,,
        Com 3 desempregadas,72,0,0,0,10,19,9,10,7,17,489,,,
        Todas desempregadas,26,0,0,0,2,7,8,3,3,3,167,,,
        5 ou mais pessoas activas,572,0,0,0,0,96,149,102,70,155,4323,,,
        Todas empregadas,235,0,0,0,0,55,59,51,27,43,1641,,,
        Com 1 desempregada,167,0,0,0,0,27,53,30,19,38,1227,,,
        Com 2 desempregadas,82,0,0,0,0,10,20,9,10,33,670,,,
        Com 3 desempregadas,55,0,0,0,0,0,15,8,10,22,477,,,
        Com 4 desempregadas,22,0,0,0,0,4,2,3,1,12,189,,,
        Com 5 ou mais desempregadas,11,0,0,0,0,0,0,1,3,7,119,,,
      Região Autónoma dos Açores,81715,14006,20871,19231,16295,6708,2668,989,436,511,243882,,,
          Nenhuma pessoa activa,18284,7505,8199,1625,553,238,100,34,14,16,33282,,,
          1 pessoa activa,24184,6501,6210,5663,3547,1473,541,157,53,39,62624,,,
          Empregada,21773,6023,5671,5001,3167,1269,452,116,45,29,55550,,,
          Desempregada,2411,478,539,662,380,204,89,41,8,10,7074,,,
          2 pessoas activas,30588,0,6462,10576,9331,2913,882,269,88,67,105110,,,
          Ambas empregadas,25647,0,5527,9047,7938,2253,620,174,53,35,86934,,,
          Apenas 1 desempregada,4323,0,834,1372,1240,542,215,72,28,20,15678,,,
          Ambas desempregadas,618,0,101,157,153,118,47,23,7,12,2498,,,
          3 pessoas activas,6210,0,0,1367,2344,1391,632,252,115,109,28021,,,
          Todas empregadas,3991,0,0,968,1543,879,365,140,55,41,17493,,,
          Com 1 desempregada,1728,0,0,332,659,389,203,73,36,36,7971,,,
          Com 2 desempregadas,406,0,0,61,125,100,49,30,16,25,2070,,,
          Todas desempregadas,85,0,0,6,17,23,15,9,8,7,487,,,
