"6.08 - POPULAÇÃO QUE JÁ RESIDIU NO ESTRANGEIRO, POR ANO DE CHEGADA A PORTUGAL SEGUNDO O PAÍS DE PROVENIENCIA E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,População alguma vez residente no estrangeiro (> 1 ano),Antes de 1931,De 1931 a 1940,De 1941 a 1950,De 1951 a 1960,De 1961 a 1970,De 1971 a 1980,De 1981 a 1990,De 1991 a 2000,De 2001 a 2005,De 2006 a 2011,,,,,,,,,,,,,,,,,
País de proveniencia e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Chipre  HM,112,0,0,0,0,0,1,2,10,11,88,,,,,,,,,,,,,,,,,
              H,68,0,0,0,0,0,1,0,5,6,56,,,,,,,,,,,,,,,,,
      Outros países (parcial)  HM,174786,2,11,38,202,548,3520,14464,72239,47701,36061,,,,,,,,,,,,,,,,,
                               H,93236,0,4,18,122,288,1994,8356,40121,23701,18632,,,,,,,,,,,,,,,,,
      Noruega  HM,932,0,0,3,4,20,63,159,208,139,336,,,,,,,,,,,,,,,,,
               H,518,0,0,0,1,11,38,86,111,71,200,,,,,,,,,,,,,,,,,
      Suíça  HM,109768,2,7,34,173,441,2818,12634,55541,18554,19564,,,,,,,,,,,,,,,,,
             H,59776,0,4,18,103,230,1618,7316,29581,9878,11028,,,,,,,,,,,,,,,,,
      Rússia (Federação da)  HM,5867,0,0,0,4,9,85,420,1684,2580,1085,,,,,,,,,,,,,,,,,
                             H,2570,0,0,0,2,4,53,273,879,962,397,,,,,,,,,,,,,,,,,
      Outros países - Europa  HM,58219,0,4,1,21,78,554,1251,14806,26428,15076,,,,,,,,,,,,,,,,,
                              H,30372,0,0,0,16,43,285,681,9550,12790,7007,,,,,,,,,,,,,,,,,
      África  HM,533498,124,335,983,5423,29697,303094,46468,65055,30560,51759,,,,,,,,,,,,,,,,,
              H,262087,31,94,376,2269,17029,145070,23970,32443,14784,26021,,,,,,,,,,,,,,,,,
      África do Sul  HM,38210,4,7,27,134,852,8440,11460,13211,2449,1626,,,,,,,,,,,,,,,,,
                     H,18519,0,4,8,61,469,3932,5572,6470,1196,807,,,,,,,,,,,,,,,,,
      Angola  HM,248569,69,148,460,2621,15116,178268,12176,20239,7340,12132,,,,,,,,,,,,,,,,,
              H,120694,18,29,171,1109,8641,83632,6334,10293,3551,6916,,,,,,,,,,,,,,,,,
      Cabo Verde  HM,54464,6,18,81,308,1604,10512,4765,11209,9124,16837,,,,,,,,,,,,,,,,,
                  H,25576,1,8,36,125,827,5616,2330,5089,4048,7496,,,,,,,,,,,,,,,,,
      Guiné-Bissau  HM,31465,2,21,33,200,2550,6202,3767,6850,4101,7739,,,,,,,,,,,,,,,,,
                    H,18851,0,4,14,98,1966,4329,2401,3816,2186,4037,,,,,,,,,,,,,,,,,
      Moçambique  HM,119748,31,83,264,1078,7599,91725,8403,4319,2731,3515,,,,,,,,,,,,,,,,,
                  H,57666,8,30,109,469,4160,43669,4084,2114,1288,1735,,,,,,,,,,,,,,,,,
      São Tomé e Príncipe  HM,17768,7,10,34,103,615,2625,1378,5005,2382,5609,,,,,,,,,,,,,,,,,
                           H,7960,2,3,12,42,299,1242,638,2223,1005,2494,,,,,,,,,,,,,,,,,
      Outros países - África  HM,23274,5,48,84,979,1361,5322,4519,4222,2433,4301,,,,,,,,,,,,,,,,,
                              H,12821,2,16,26,365,667,2650,2611,2438,1510,2536,,,,,,,,,,,,,,,,,
      América  HM,330173,381,428,495,3114,10644,33478,71330,70565,64478,75260,,,,,,,,,,,,,,,,,
               H,155259,82,127,176,1490,4843,15629,35344,34853,28846,33869,,,,,,,,,,,,,,,,,
      Argentina  HM,1956,5,12,15,87,185,279,345,352,362,314,,,,,,,,,,,,,,,,,
                 H,941,0,4,8,29,83,139,163,179,187,149,,,,,,,,,,,,,,,,,
      Brasil  HM,165530,327,360,362,1756,5959,11460,17673,25033,46671,55929,,,,,,,,,,,,,,,,,
              H,72327,76,103,109,816,2743,5209,8159,11732,19841,23539,,,,,,,,,,,,,,,,,
      Canadá  HM,36000,1,5,22,104,908,5370,9647,12604,3648,3691,,,,,,,,,,,,,,,,,
              H,18052,0,1,13,58,455,2510,4740,6450,1865,1960,,,,,,,,,,,,,,,,,
      Estados Unidos da América  HM,44865,44,38,42,239,784,4043,10742,14052,6446,8435,,,,,,,,,,,,,,,,,
                                 H,22692,5,14,20,96,314,1778,5273,7268,3371,4553,,,,,,,,,,,,,,,,,
"      Venezuela, República Bolivariana da  HM",69342,1,8,45,840,2498,10665,30863,15655,5263,3504,,,,,,,,,,,,,,,,,
                                           H,34714,0,4,23,455,1076,5168,15966,7780,2489,1753,,,,,,,,,,,,,,,,,
      Outros países - América  HM,12480,3,5,9,88,310,1661,2060,2869,2088,3387,,,,,,,,,,,,,,,,,
                               H,6533,1,1,3,36,172,825,1043,1444,1093,1915,,,,,,,,,,,,,,,,,
      Ásia  HM,51035,12,14,93,814,1562,2667,5001,11909,12208,16755,,,,,,,,,,,,,,,,,
            H,28480,2,8,38,513,928,1586,3024,6545,6664,9172,,,,,,,,,,,,,,,,,
      China  HM,11217,0,1,11,32,27,83,507,3206,3243,4107,,,,,,,,,,,,,,,,,
             H,5796,0,1,5,11,9,39,249,1737,1671,2074,,,,,,,,,,,,,,,,,
      Índia  HM,6388,4,6,34,556,730,414,608,935,975,2126,,,,,,,,,,,,,,,,,
             H,3970,0,5,13,393,423,203,317,609,689,1318,,,,,,,,,,,,,,,,,
      Japão  HM,570,0,0,0,3,8,23,84,136,72,244,,,,,,,,,,,,,,,,,
             H,264,0,0,0,1,3,9,38,58,31,124,,,,,,,,,,,,,,,,,
      Macau  HM,7585,7,5,26,139,265,398,1223,4451,530,541,,,,,,,,,,,,,,,,,
             H,3539,2,1,10,73,138,198,561,2038,266,252,,,,,,,,,,,,,,,,,
      Paquistão  HM,1829,0,0,0,3,10,35,54,340,457,930,,,,,,,,,,,,,,,,,
                 H,1190,0,0,0,0,5,14,25,292,338,516,,,,,,,,,,,,,,,,,
      Timor Leste  HM,2889,1,2,19,62,452,1014,236,137,372,594,,,,,,,,,,,,,,,,,
