"6.38 - POPULAÇÃO RESIDENTE, EMPREGADA, SEGUNDO O GRUPO ETÁRIO, POR NÍVEL DE ESCOLARIDADE E SEXO",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Zona Geográfica      ,Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,,,
Nível de escolaridade e sexo,,,,,,,,,,,,,,,,,
          Incompleto  HM,79237,203,3876,11336,18049,17251,10346,7398,5504,3447,1290,361,116,60,,,
                      H,48172,104,1952,6476,11059,10486,6347,4605,3416,2372,928,283,94,50,,,
          A frequentar  HM,70320,1408,14053,17073,13914,9986,6194,4261,2298,855,204,42,24,8,,,
                        H,36753,527,6270,9228,7872,5516,3264,2200,1213,486,127,30,15,5,,,
        Mestrado  HM,170951,57,13452,41689,35481,27733,19344,15054,10097,5229,2021,557,160,77,,,
                  H,74318,35,5274,17148,14475,12151,8725,6847,4856,2943,1261,405,131,67,,,
          Completo  HM,81581,0,5548,20797,14159,12347,9613,7978,5841,3288,1412,418,121,59,,,
                    H,36108,0,2290,8821,5698,5367,4310,3649,2812,1829,880,297,101,54,,,
          Incompleto  HM,37660,5,931,5622,9232,7936,5340,3932,2601,1429,481,113,27,11,,,
                      H,17392,2,346,2263,3913,3673,2580,1978,1368,841,304,91,24,9,,,
          A frequentar  HM,51710,52,6973,15270,12090,7450,4391,3144,1655,512,128,26,12,7,,,
                        H,20818,33,2638,6064,4864,3111,1835,1220,676,273,77,17,6,4,,,
        Doutoramento  HM,43155,0,360,3958,6981,7360,6949,6494,5101,3144,1753,684,238,133,,,
                      H,22111,0,174,1619,3043,3419,3657,3442,2832,1919,1173,512,203,118,,,
          Completo  HM,22204,0,36,604,2342,3386,3877,3887,3369,2330,1423,608,218,124,,,
                    H,12362,0,13,268,1092,1579,2100,2187,1960,1450,961,455,187,110,,,
          Incompleto  HM,5738,0,35,521,963,1057,922,877,691,414,195,47,13,3,,,
                      H,3006,0,11,223,428,532,512,471,401,251,131,33,11,2,,,
          A frequentar  HM,15213,0,289,2833,3676,2917,2150,1730,1041,400,135,29,7,6,,,
                        H,6743,0,150,1128,1523,1308,1045,784,471,218,81,24,5,6,,,
