"6.09 - POPULAÇÃO RESIDENTE, SEGUNDO AS MIGRAÇÕES (RELATIVAMENTE A 31/12/2009), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População residente em 2011,,População que ainda não tinha nascido (em 31/12/2009),,População que mantém a mesma residência (relativamente a 31/12/2009),,População que mudou de residência (relativamente a 31/12/2009),,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,,,Na mesma freguesia,,Noutra freguesia do mesmo municipio,,Noutro municipio,,No estrangeiro,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,
            Abrantes,39325,18950,312,162,35132,16904,2074,989,904,440,736,363,167,92,,,,,,,,,,,,,,
            Alcanena,13868,6686,133,62,12412,5975,762,374,196,100,278,129,87,46,,,,,,,,,,,,,,
            Constância,4056,1946,47,26,3619,1749,172,72,53,27,156,66,9,6,,,,,,,,,,,,,,
            Entroncamento,20206,9629,256,120,17156,8199,1365,637,383,187,960,444,86,42,,,,,,,,,,,,,,
            Ferreira do Zêzere,8619,4098,72,36,7785,3691,314,143,138,71,217,99,93,58,,,,,,,,,,,,,,
            Sardoal,3939,1916,30,18,3482,1683,239,124,33,14,129,58,26,19,,,,,,,,,,,,,,
            Tomar,40677,19271,363,198,35970,16992,2138,1007,1103,514,805,397,298,163,,,,,,,,,,,,,,
            Torres Novas,36717,17511,409,208,32286,15403,1739,800,1117,523,1003,491,163,86,,,,,,,,,,,,,,
            Vila Nova da Barquinha,7322,3555,72,40,6518,3148,247,118,109,54,349,179,27,16,,,,,,,,,,,,,,
            Ourém,45932,21657,429,217,41256,19473,2074,922,817,368,899,437,457,240,,,,,,,,,,,,,,
        Lisboa,2821876,1334605,36025,18145,2388183,1126721,183348,86151,85218,40982,102827,49357,26275,13249,,,,,,,,,,,,,,
          Grande Lisboa,2042477,961132,25967,13137,1729164,811250,127270,59351,64139,30850,75624,36361,20313,10183,,,,,,,,,,,,,,
            Cascais,206479,96866,2609,1349,173407,81208,14735,6815,6265,2968,7008,3324,2455,1202,,,,,,,,,,,,,,
            Lisboa,547733,250874,5975,3042,464947,211498,28757,12918,23862,11486,17668,8550,6524,3380,,,,,,,,,,,,,,
            Loures,205054,98266,2714,1370,171811,82112,14644,7142,5323,2531,8783,4243,1779,868,,,,,,,,,,,,,,
            Mafra,76685,37317,1221,593,64171,31153,5006,2487,1905,915,3874,1906,508,263,,,,,,,,,,,,,,
            Oeiras,172120,80137,2075,1058,148048,68820,9406,4238,3906,1835,7216,3440,1469,746,,,,,,,,,,,,,,
            Sintra,377835,180705,5098,2608,319814,152732,25392,11966,11569,5638,12495,6035,3467,1726,,,,,,,,,,,,,,
            Vila Franca de Xira,136886,65808,2009,998,117178,56396,9052,4249,3132,1511,4647,2228,868,426,,,,,,,,,,,,,,
            Amadora,175136,82342,2265,1141,149193,69979,9639,4504,4801,2317,7346,3502,1892,899,,,,,,,,,,,,,,
            Odivelas,144549,68817,2001,978,120595,57352,10639,5032,3376,1649,6587,3133,1351,673,,,,,,,,,,,,,,
          Península de Setúbal,779399,373473,10058,5008,659019,315471,56078,26800,21079,10132,27203,12996,5962,3066,,,,,,,,,,,,,,
            Alcochete,17569,8494,285,135,14753,7106,1118,550,236,124,1050,513,127,66,,,,,,,,,,,,,,
            Almada,174030,82496,2055,999,147620,69848,11887,5683,5686,2729,5496,2596,1286,641,,,,,,,,,,,,,,
            Barreiro,78764,37347,876,440,67620,32009,4946,2356,2390,1144,2405,1122,527,276,,,,,,,,,,,,,,
            Moita,66029,31708,819,426,56345,26974,5217,2559,1220,573,1957,930,471,246,,,,,,,,,,,,,,
            Montijo,51222,24723,791,398,42075,20221,4015,1900,1088,529,2721,1387,532,288,,,,,,,,,,,,,,
            Palmela,62831,30486,802,403,53594,26018,4522,2175,947,452,2538,1219,428,219,,,,,,,,,,,,,,
            Seixal,158269,75916,2179,1104,133329,63953,10768,5136,4568,2194,6012,2816,1413,713,,,,,,,,,,,,,,
            Sesimbra,49500,24317,743,357,41596,20512,3987,1905,606,301,2196,1038,372,204,,,,,,,,,,,,,,
            Setúbal,121185,57986,1508,746,102087,48830,9618,4536,4338,2086,2828,1375,806,413,,,,,,,,,,,,,,
        Alentejo,757302,366739,7575,3855,660952,319493,49179,23806,15479,7320,19504,9624,4613,2641,,,,,,,,,,,,,,
          Alentejo Litoral,97925,48624,986,498,84278,41667,7458,3699,1300,621,2817,1433,1086,706,,,,,,,,,,,,,,
            Odemira,26066,13171,232,120,22344,11231,1789,903,496,234,620,281,585,402,,,,,,,,,,,,,,
            Alcácer do Sal,13046,6332,139,62,11563,5614,771,367,229,112,271,128,73,49,,,,,,,,,,,,,,
            Grândola,14826,7506,141,68,12557,6260,1313,666,125,66,596,382,94,64,,,,,,,,,,,,,,
            Santiago do Cacém,29749,14586,297,159,25761,12617,2219,1083,372,179,911,441,189,107,,,,,,,,,,,,,,
            Sines,14238,7029,177,89,12053,5945,1366,680,78,30,419,201,145,84,,,,,,,,,,,,,,
          Alto Alentejo,118410,56796,1113,575,103820,49671,8173,3982,2503,1208,2341,1122,460,238,,,,,,,,,,,,,,
            Mora,4978,2415,39,17,4427,2142,373,189,29,16,94,41,16,10,,,,,,,,,,,,,,
            Alter do Chão,3562,1680,31,12,3138,1491,245,100,10,2,127,67,11,8,,,,,,,,,,,,,,
            Arronches,3165,1535,27,16,2778,1358,207,97,32,16,114,45,7,3,,,,,,,,,,,,,,
            Avis,4571,2178,40,11,3966,1900,286,136,79,31,138,70,62,30,,,,,,,,,,,,,,
            Campo Maior,8456,4098,78,47,7372,3557,635,317,225,107,111,54,35,16,,,,,,,,,,,,,,
            Castelo de Vide,3407,1629,19,12,3082,1480,135,63,78,31,84,38,9,5,,,,,,,,,,,,,,
            Crato,3708,1725,25,10,3313,1532,253,124,31,13,82,43,4,3,,,,,,,,,,,,,,
            Elvas,23078,11092,299,158,19806,9474,1676,808,861,439,331,163,105,50,,,,,,,,,,,,,,
            Fronteira,3410,1627,27,16,3047,1449,209,108,7,5,104,42,16,7,,,,,,,,,,,,,,
            Gavião,4132,1951,30,13,3672,1718,298,156,27,11,87,41,18,12,,,,,,,,,,,,,,
            Marvão,3512,1720,27,13,3121,1511,190,105,81,45,81,41,12,5,,,,,,,,,,,,,,
            Monforte,3329,1553,41,26,2959,1376,218,102,25,11,84,38,2,0,,,,,,,,,,,,,,
            Nisa,7450,3537,52,25,6750,3185,374,188,99,43,152,81,23,15,,,,,,,,,,,,,,
            Ponte de Sor,16722,8085,134,70,14697,7112,1323,634,192,89,320,152,56,28,,,,,,,,,,,,,,
            Portalegre,24930,11971,244,129,21692,10386,1751,855,727,349,432,206,84,46,,,,,,,,,,,,,,
          Alentejo Central,166822,80222,1609,824,145474,69928,10798,5168,4444,2127,3826,1822,671,353,,,,,,,,,,,,,,
            Alandroal,5843,2833,52,20,5222,2538,395,189,40,18,104,52,30,16,,,,,,,,,,,,,,
            Arraiolos,7363,3576,76,40,6401,3093,547,266,98,51,216,112,25,14,,,,,,,,,,,,,,
            Borba,7333,3615,59,30,6470,3194,473,221,128,67,171,82,32,21,,,,,,,,,,,,,,
            Estremoz,14318,6813,123,57,12664,6020,881,421,308,137,313,158,29,20,,,,,,,,,,,,,,
            Évora,56596,26831,611,331,48412,22927,3266,1527,2849,1372,1217,554,241,120,,,,,,,,,,,,,,
            Montemor-o-Novo,17437,8461,150,69,15187,7392,1040,501,571,265,409,193,80,41,,,,,,,,,,,,,,
            Mourão,2663,1315,31,9,2385,1178,146,75,13,7,68,33,20,13,,,,,,,,,,,,,,
            Portel,6428,3152,49,25,5685,2757,475,255,45,22,154,81,20,12,,,,,,,,,,,,,,
            Redondo,7031,3434,69,38,6120,2997,665,314,21,10,139,67,17,8,,,,,,,,,,,,,,
            Reguengos de Monsaraz,10828,5274,115,63,9569,4645,726,361,140,66,235,119,43,20,,,,,,,,,,,,,,
            Vendas Novas,11846,5705,124,54,10344,5030,902,404,61,32,349,149,66,36,,,,,,,,,,,,,,
            Viana do Alentejo,5743,2780,56,31,5076,2451,386,188,28,15,167,83,30,12,,,,,,,,,,,,,,
            Vila Viçosa,8319,4057,62,39,7490,3632,439,227,119,55,178,87,31,17,,,,,,,,,,,,,,
            Sousel,5074,2376,32,18,4449,2074,457,219,23,10,106,52,7,3,,,,,,,,,,,,,,
          Baixo Alentejo,126692,61949,1275,635,111445,54433,7521,3669,2483,1187,3190,1570,778,455,,,,,,,,,,,,,,
            Aljustrel,9257,4579,90,48,8171,4034,672,340,67,31,201,96,56,30,,,,,,,,,,,,,,
            Almodôvar,7449,3677,72,35,6824,3375,264,138,49,23,185,77,55,29,,,,,,,,,,,,,,
            Alvito,2504,1199,21,12,2132,1014,191,103,21,7,113,51,26,12,,,,,,,,,,,,,,
            Barrancos,1834,890,21,11,1656,803,112,54,0,0,31,16,14,6,,,,,,,,,,,,,,
            Beja,35854,17387,448,213,30946,15002,1926,903,1453,690,929,496,152,83,,,,,,,,,,,,,,
            Castro Verde,7276,3567,64,27,6484,3153,412,220,53,26,230,122,33,19,,,,,,,,,,,,,,
            Cuba,4878,2384,45,22,4343,2121,242,113,40,21,164,78,44,29,,,,,,,,,,,,,,
            Ferreira do Alentejo,8255,4021,87,42,7187,3493,524,239,81,46,291,143,85,58,,,,,,,,,,,,,,
            Mértola,7274,3593,44,25,6663,3286,324,159,60,29,157,75,26,19,,,,,,,,,,,,,,
            Moura,15167,7447,171,86,13305,6536,1037,513,307,145,268,114,79,53,,,,,,,,,,,,,,
            Ourique,5389,2656,40,18,4901,2419,251,127,33,11,129,62,35,19,,,,,,,,,,,,,,
            Serpa,15623,7632,114,74,13688,6655,1106,543,273,130,328,166,114,64,,,,,,,,,,,,,,
            Vidigueira,5932,2917,58,22,5145,2542,460,217,46,28,164,74,59,34,,,,,,,,,,,,,,
          Lezíria do Tejo,247453,119148,2592,1323,215935,103794,15229,7288,4749,2177,7330,3677,1618,889,,,,,,,,,,,,,,
            Azambuja,21814,11031,221,114,18655,9290,1501,744,251,107,1059,701,127,75,,,,,,,,,,,,,,
            Almeirim,23376,11100,278,140,20421,9687,1555,746,340,149,613,284,169,94,,,,,,,,,,,,,,
            Alpiarça,7702,3699,77,38,6923,3321,426,199,0,0,208,106,68,35,,,,,,,,,,,,,,
            Benavente,29019,14166,377,211,24526,11967,2323,1142,362,161,1118,532,313,153,,,,,,,,,,,,,,
            Cartaxo,24462,11844,236,116,21194,10283,1533,731,503,236,821,377,175,101,,,,,,,,,,,,,,
            Chamusca,10120,4878,90,41,9029,4350,576,271,142,68,238,122,45,26,,,,,,,,,,,,,,
            Coruche,19944,9523,156,76,18114,8666,1075,508,192,72,339,167,68,34,,,,,,,,,,,,,,
            Golegã,5465,2560,41,16,4907,2296,290,142,47,18,158,72,22,16,,,,,,,,,,,,,,
            Rio Maior,21192,10255,221,118,18584,8996,1386,646,328,170,532,248,141,77,,,,,,,,,,,,,,
            Salvaterra de Magos,22159,10645,245,123,19479,9400,1303,589,336,157,665,304,131,72,,,,,,,,,,,,,,
            Santarém,62200,29447,650,330,54103,25538,3261,1570,2248,1039,1579,764,359,206,,,,,,,,,,,,,,
        Algarve,451006,219931,5355,2671,379560,184841,36053,17740,11255,5464,13615,6600,5168,2615,,,,,,,,,,,,,,
          Algarve,451006,219931,5355,2671,379560,184841,36053,17740,11255,5464,13615,6600,5168,2615,,,,,,,,,,,,,,
            Albufeira,40828,20028,562,287,32356,15833,4629,2305,1173,581,1454,705,654,317,,,,,,,,,,,,,,
            Alcoutim,2917,1454,17,11,2750,1386,61,21,17,6,62,25,10,5,,,,,,,,,,,,,,
            Aljezur,5884,2905,54,20,5069,2511,385,181,75,38,182,88,119,67,,,,,,,,,,,,,,
            Castro Marim,6747,3355,60,25,6118,3034,231,124,41,24,221,106,76,42,,,,,,,,,,,,,,
            Faro,64560,30930,754,382,54196,25890,4760,2297,2251,1062,2048,1035,551,264,,,,,,,,,,,,,,
            Lagoa,22975,11299,269,134,19838,9738,1349,663,452,225,816,400,251,139,,,,,,,,,,,,,,
            Lagos,31049,15090,353,173,26088,12604,2110,1102,1249,597,799,378,450,236,,,,,,,,,,,,,,
            Loulé,70622,34449,832,402,58688,28617,6312,3058,2064,1033,1772,865,954,474,,,,,,,,,,,,,,
            Monchique,6045,3046,51,30,5447,2738,327,168,39,22,108,48,73,40,,,,,,,,,,,,,,
            Olhão,45396,22174,613,299,38809,18982,3052,1494,1279,605,1257,589,386,205,,,,,,,,,,,,,,
            Portimão,55614,26853,700,356,46183,22265,5484,2654,878,436,1818,874,551,268,,,,,,,,,,,,,,
            São Brás de Alportel,10662,5232,120,69,9169,4461,884,453,0,0,346,174,143,75,,,,,,,,,,,,,,
            Silves,37126,18525,412,221,31712,15775,2711,1370,540,269,1342,676,409,214,,,,,,,,,,,,,,
            Tavira,26167,12814,264,131,22399,10972,1708,857,887,422,654,300,255,132,,,,,,,,,,,,,,
            Vila do Bispo,5258,2624,41,22,4538,2277,338,165,79,37,179,85,83,38,,,,,,,,,,,,,,
            Vila Real de Santo António,19156,9153,253,109,16200,7758,1712,828,231,107,557,252,203,99,,,,,,,,,,,,,,
      Região Autónoma dos Açores,246772,121534,3317,1718,210004,103287,16823,8254,9560,4633,5922,2956,1146,686,,,,,,,,,,,,,,
        Região Autónoma dos Açores,246772,121534,3317,1718,210004,103287,16823,8254,9560,4633,5922,2956,1146,686,,,,,,,,,,,,,,
          Região Autónoma dos Açores,246772,121534,3317,1718,210004,103287,16823,8254,9560,4633,5922,2956,1146,686,,,,,,,,,,,,,,
            Vila do Porto,5552,2682,78,37,4451,2142,643,311,179,90,175,87,26,15,,,,,,,,,,,,,,
            Lagoa (R.A.A.),14442,7167,245,134,12499,6173,971,488,279,148,399,191,49,33,,,,,,,,,,,,,,
            Nordeste,4937,2445,75,36,4402,2172,209,103,66,32,138,69,47,33,,,,,,,,,,,,,,
            Ponta Delgada,68809,33516,924,471,57411,27908,4866,2361,3694,1792,1704,865,210,119,,,,,,,,,,,,,,
            Povoação,6327,3091,63,35,5613,2759,438,183,57,28,76,31,80,55,,,,,,,,,,,,,,
            Ribeira Grande,32112,16184,613,305,27303,13769,2548,1277,822,398,709,358,117,77,,,,,,,,,,,,,,
            Vila Franca do Campo,11229,5585,162,79,9897,4919,630,302,277,124,155,77,108,84,,,,,,,,,,,,,,
            Angra do Heroísmo,35402,17265,399,213,30023,14623,2010,978,2073,1006,753,369,144,76,,,,,,,,,,,,,,
            Vila da Praia da Vitória,21035,10432,252,136,18045,8925,1353,694,731,354,575,283,79,40,,,,,,,,,,,,,,
            Santa Cruz da Graciosa,4391,2174,50,32,3790,1870,316,160,100,47,106,49,29,16,,,,,,,,,,,,,,
            Calheta (R.A.A.),3773,1876,32,16,3420,1706,159,82,72,28,72,36,18,8,,,,,,,,,,,,,,
            Velas,5398,2689,58,35,4662,2312,394,195,120,58,124,65,40,24,,,,,,,,,,,,,,
            Lajes do Pico,4711,2327,44,23,4141,2061,322,151,63,30,128,55,13,7,,,,,,,,,,,,,,
            Madalena,6049,2963,59,34,5210,2546,397,196,161,83,184,85,38,19,,,,,,,,,,,,,,
            São Roque do Pico,3388,1666,37,19,2797,1367,321,149,73,40,124,69,36,22,,,,,,,,,,,,,,
            Horta,14994,7320,191,97,12817,6250,866,423,714,338,320,170,86,42,,,,,,,,,,,,,,
            Lajes das Flores,1504,780,14,6,1245,636,142,82,37,17,56,34,10,5,,,,,,,,,,,,,,
            Santa Cruz das Flores,2289,1132,16,7,1932,955,196,100,42,20,90,41,13,9,,,,,,,,,,,,,,
            Corvo,430,240,5,3,346,194,42,19,0,0,34,22,3,2,,,,,,,,,,,,,,
      Região Autónoma da Madeira,267785,126268,3071,1565,238761,112277,11173,5329,6405,2947,6178,2961,2197,1189,,,,,,,,,,,,,,
        Região Autónoma da Madeira,267785,126268,3071,1565,238761,112277,11173,5329,6405,2947,6178,2961,2197,1189,,,,,,,,,,,,,,
          Região Autónoma da Madeira,267785,126268,3071,1565,238761,112277,11173,5329,6405,2947,6178,2961,2197,1189,,,,,,,,,,,,,,
            Calheta (R.A.M.),11521,5211,113,49,10509,4743,382,162,152,64,191,93,174,100,,,,,,,,,,,,,,
            Câmara de Lobos,35666,17221,503,266,32655,15749,1414,669,381,189,504,228,209,120,,,,,,,,,,,,,,
            Funchal,111892,52073,1180,585,98018,45520,4619,2178,4672,2135,2585,1229,818,426,,,,,,,,,,,,,,
            Machico,21828,10620,217,118,20200,9796,690,348,250,123,315,148,156,87,,,,,,,,,,,,,,
            Ponta do Sol,8862,4084,106,56,7812,3581,527,248,89,41,202,93,126,65,,,,,,,,,,,,,,
            Porto Moniz,2711,1183,26,13,2455,1071,123,54,12,4,53,15,42,26,,,,,,,,,,,,,,
            Ribeira Brava,13375,6055,136,64,12217,5511,487,223,149,69,272,130,114,58,,,,,,,,,,,,,,
            Santa Cruz,43005,20877,595,312,37882,18298,1862,935,631,288,1685,847,350,197,,,,,,,,,,,,,,
            Santana,7719,3530,69,32,7114,3248,320,146,42,22,105,48,69,34,,,,,,,,,,,,,,
            São Vicente,5723,2668,44,30,5220,2419,218,99,27,12,103,46,111,62,,,,,,,,,,,,,,
            Porto Santo,5483,2746,82,40,4679,2341,531,267,0,0,163,84,28,14,,,,,,,,,,,,,,
