"6.04 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NIVEL DE ESCOLARIDADE COMPLETO E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,Menos de 15 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,,,,,,,,,,,,,
Nível de escolaridade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Engenharia e técnicas afins                           HM,18023,0,0,0,700,2062,2895,2162,1854,1730,2089,1893,1263,662,713,,,,,,,,,,,,,
                                                                     H,15311,0,0,0,565,1643,2336,1812,1499,1510,1880,1664,1121,616,665,,,,,,,,,,,,,
              Indústrias de transformação e de tratamento           HM,1340,0,0,0,99,298,445,229,67,39,39,39,36,26,23,,,,,,,,,,,,,
                                                                     H,576,0,0,0,33,107,179,108,38,19,27,18,19,13,15,,,,,,,,,,,,,
              Arquitectura e construção                             HM,8373,0,0,0,598,1215,1374,942,872,843,768,629,431,285,416,,,,,,,,,,,,,
                                                                     H,6364,0,0,0,399,857,978,663,651,663,621,503,364,267,398,,,,,,,,,,,,,
"              Agricultura, silvicultura e pesca                     HM",6247,0,0,0,116,533,1026,850,403,388,911,778,580,320,342,,,,,,,,,,,,,
                                                                     H,4618,0,0,0,61,259,557,532,266,317,778,679,530,309,330,,,,,,,,,,,,,
              Ciências veterinárias                                 HM,152,0,0,0,32,32,14,22,12,5,14,7,4,4,6,,,,,,,,,,,,,
                                                                     H,84,0,0,0,12,12,7,14,6,3,12,7,2,4,5,,,,,,,,,,,,,
              Saúde                                                 HM,16848,0,0,0,1081,1199,1418,1274,1294,1366,1977,2143,1790,1484,1822,,,,,,,,,,,,,
                                                                     H,3642,0,0,0,270,320,342,279,323,367,446,402,314,281,298,,,,,,,,,,,,,
              Serviços sociais                                      HM,1068,0,0,0,116,171,135,116,91,62,69,65,50,63,130,,,,,,,,,,,,,
                                                                     H,128,0,0,0,11,25,18,17,19,13,11,5,2,3,4,,,,,,,,,,,,,
              Serviços pessoais                                     HM,6417,0,0,0,515,1010,1259,1081,802,544,491,343,217,97,58,,,,,,,,,,,,,
                                                                     H,1909,0,0,0,220,324,352,182,171,161,196,141,94,45,23,,,,,,,,,,,,,
              Serviços de transporte                                HM,323,0,0,0,25,24,35,20,15,27,30,28,29,40,50,,,,,,,,,,,,,
                                                                     H,290,0,0,0,19,17,29,13,12,24,29,28,29,40,50,,,,,,,,,,,,,
              Protecção do ambiente                                 HM,474,0,0,0,99,154,86,23,26,35,22,17,8,2,2,,,,,,,,,,,,,
                                                                     H,191,0,0,0,24,54,36,7,11,19,14,15,8,1,2,,,,,,,,,,,,,
              Serviços de segurança                                 HM,1795,0,0,0,68,116,118,153,205,238,163,121,145,161,307,,,,,,,,,,,,,
                                                                     H,1713,0,0,0,56,100,96,143,198,230,162,119,143,160,306,,,,,,,,,,,,,
          Licenciatura                                              HM,935515,0,0,68310,154346,182678,154512,99692,77774,61836,51629,33870,20295,12680,17893,,,,,,,,,,,,,
                                                                     H,356633,0,0,21895,53124,66060,56649,37074,28479,24637,23237,16606,10929,7334,10609,,,,,,,,,,,,,
              Formação de professores e ciências da educação        HM,121508,0,0,5255,17503,25912,19308,13815,12822,11302,8456,3741,1563,738,1093,,,,,,,,,,,,,
                                                                     H,16505,0,0,427,1846,3958,2968,1933,1334,1507,1426,618,222,109,157,,,,,,,,,,,,,
              Artes                                                 HM,30705,0,0,4380,7763,6346,3913,2384,1694,1172,942,735,515,361,500,,,,,,,,,,,,,
                                                                     H,12017,0,0,1497,3128,2676,1639,999,681,416,332,223,174,124,128,,,,,,,,,,,,,
              Letras                                                HM,75852,0,0,1686,5955,9341,9854,8685,9380,8598,7027,5567,3938,2635,3186,,,,,,,,,,,,,
                                                                     H,18302,0,0,485,1573,2061,2154,1747,1925,1980,1598,1316,1088,1023,1352,,,,,,,,,,,,,
              Ciências sociais e do comportamento                   HM,100179,0,0,7088,16319,20955,18626,10861,7713,6122,4818,3301,1989,1133,1254,,,,,,,,,,,,,
                                                                     H,35069,0,0,1931,4649,6356,5909,3716,2740,2602,2362,1849,1272,800,883,,,,,,,,,,,,,
              Jornalismo e informação                               HM,21014,0,0,3001,5708,5531,3806,1354,753,405,227,120,63,23,23,,,,,,,,,,,,,
                                                                     H,6373,0,0,793,1668,1603,1159,467,281,185,101,52,35,16,13,,,,,,,,,,,,,
              Comércio e administração                              HM,130711,0,0,8961,21165,29546,30860,16367,8285,5626,4549,2914,1328,583,527,,,,,,,,,,,,,
                                                                     H,54626,0,0,3026,7994,11020,12049,7246,4070,2998,2511,1853,986,457,416,,,,,,,,,,,,,
              Direito                                               HM,59109,0,0,2251,6409,9364,10198,8327,6603,4775,3664,2847,1872,1241,1558,,,,,,,,,,,,,
                                                                     H,25674,0,0,638,1923,2786,3319,2935,2844,2792,2492,2088,1518,1029,1310,,,,,,,,,,,,,
              Ciências da vida                                      HM,11969,0,0,1579,1999,1958,1505,941,824,876,635,361,474,392,425,,,,,,,,,,,,,
                                                                     H,2951,0,0,419,582,564,425,253,203,195,117,47,52,40,54,,,,,,,,,,,,,
              Ciências físicas                                      HM,15028,0,0,1144,2022,2807,2392,1755,1422,590,418,626,688,532,632,,,,,,,,,,,,,
                                                                     H,5401,0,0,395,648,1061,858,682,523,219,129,141,202,273,270,,,,,,,,,,,,,
              Matemáticas e estatísticas                            HM,13576,0,0,251,1224,2757,2689,2022,1497,826,694,454,385,291,486,,,,,,,,,,,,,
                                                                     H,3845,0,0,84,360,733,733,654,478,194,144,101,102,101,161,,,,,,,,,,,,,
              Ciências informáticas                                 HM,27542,0,0,2351,6275,7129,6377,3018,1440,435,232,128,71,32,54,,,,,,,,,,,,,
                                                                     H,20762,0,0,1917,5149,5488,4480,2092,993,304,156,79,52,19,33,,,,,,,,,,,,,
              Engenharia e técnicas afins                           HM,62671,0,0,3783,8380,11941,10363,6553,4928,3995,4160,3735,2114,1148,1571,,,,,,,,,,,,,
                                                                     H,48770,0,0,2751,6248,8862,7631,5053,3894,3278,3542,3110,1907,1060,1434,,,,,,,,,,,,,
              Indústrias de transformação e de tratamento           HM,7010,0,0,667,1322,1829,1503,879,405,189,72,38,36,32,38,,,,,,,,,,,,,
                                                                     H,2520,0,0,155,347,612,549,360,194,121,50,33,32,29,38,,,,,,,,,,,,,
              Arquitectura e construção                             HM,50398,0,0,3585,8493,10636,7400,4630,4041,3586,3253,1750,980,636,1408,,,,,,,,,,,,,
                                                                     H,33729,0,0,1910,5084,6424,4672,3126,2894,2717,2606,1504,890,591,1311,,,,,,,,,,,,,
"              Agricultura, silvicultura e pesca                     HM",13798,0,0,360,1244,3035,2762,1975,1505,892,670,434,321,176,424,,,,,,,,,,,,,
                                                                     H,7388,0,0,166,612,1259,1343,1049,850,524,485,304,265,162,369,,,,,,,,,,,,,
              Ciências veterinárias                                 HM,4527,0,0,628,710,935,664,341,273,202,270,192,112,65,135,,,,,,,,,,,,,
                                                                     H,2002,0,0,159,199,333,257,164,127,114,210,146,102,61,130,,,,,,,,,,,,,
              Saúde                                                 HM,130523,0,0,15508,28048,19421,14137,10935,10569,9623,9345,5285,2576,1703,3373,,,,,,,,,,,,,
                                                                     H,36272,0,0,3204,6074,4915,3264,2564,2861,3322,3936,2364,1290,839,1639,,,,,,,,,,,,,
              Serviços sociais                                      HM,16663,0,0,1594,3552,3110,2323,1590,1217,929,745,634,422,310,237,,,,,,,,,,,,,
                                                                     H,1238,0,0,62,209,276,186,129,117,91,84,50,18,12,4,,,,,,,,,,,,,
              Serviços pessoais                                     HM,27070,0,0,3044,7128,6305,3777,2102,1454,1082,1029,605,255,143,146,,,,,,,,,,,,,
                                                                     H,13888,0,0,1357,3500,3428,2024,1059,732,570,569,342,135,85,87,,,,,,,,,,,,,
              Serviços de transporte                                HM,899,0,0,90,186,233,153,46,29,31,35,25,20,17,34,,,,,,,,,,,,,
                                                                     H,620,0,0,53,119,131,105,33,21,27,35,25,20,17,34,,,,,,,,,,,,,
              Protecção do ambiente                                 HM,7816,0,0,774,2200,2764,1263,339,224,162,55,19,7,4,5,,,,,,,,,,,,,
                                                                     H,2499,0,0,216,663,883,412,117,70,79,35,13,3,4,4,,,,,,,,,,,,,
              Serviços de segurança                                 HM,6947,0,0,330,741,823,639,773,696,418,333,359,566,485,784,,,,,,,,,,,,,
                                                                     H,6182,0,0,250,549,631,513,696,647,402,317,348,564,483,782,,,,,,,,,,,,,
          Mestrado                                                  HM,114518,0,0,8164,27743,19361,16526,12893,10749,7881,4836,3098,1646,852,769,,,,,,,,,,,,,
                                                                     H,50815,0,0,3303,11748,7795,7142,5874,4924,3782,2560,1702,941,547,497,,,,,,,,,,,,,
              Formação de professores e ciências da educação        HM,9735,0,0,274,1036,1513,1475,1375,1558,1142,629,357,195,98,83,,,,,,,,,,,,,
                                                                     H,2295,0,0,50,146,304,339,334,374,303,219,116,50,39,21,,,,,,,,,,,,,
              Artes                                                 HM,3830,0,0,215,843,757,644,436,343,250,133,102,50,24,33,,,,,,,,,,,,,
                                                                     H,1577,0,0,54,283,323,279,191,156,113,68,59,26,12,13,,,,,,,,,,,,,
              Letras                                                HM,8762,0,0,145,739,1179,1293,1317,1200,1056,680,508,324,188,133,,,,,,,,,,,,,
                                                                     H,2892,0,0,43,252,342,386,407,386,391,242,181,119,87,56,,,,,,,,,,,,,
              Ciências sociais e do comportamento                   HM,15230,0,0,1086,3315,2598,2314,1699,1488,1076,706,490,238,138,82,,,,,,,,,,,,,
                                                                     H,5034,0,0,191,681,714,809,669,574,473,362,283,128,92,58,,,,,,,,,,,,,
              Jornalismo e informação                               HM,2343,0,0,205,437,443,389,260,241,155,101,59,37,8,8,,,,,,,,,,,,,
                                                                     H,765,0,0,51,141,134,128,78,91,56,38,23,20,4,1,,,,,,,,,,,,,
              Comércio e administração                              HM,14409,0,0,797,1991,2657,3044,2160,1460,1029,636,378,144,69,44,,,,,,,,,,,,,
                                                                     H,8111,0,0,349,854,1299,1733,1327,914,712,428,276,121,59,39,,,,,,,,,,,,,
              Direito                                               HM,4233,0,0,179,804,733,639,573,475,339,189,123,82,46,51,,,,,,,,,,,,,
                                                                     H,1920,0,0,54,267,279,258,259,254,188,131,78,69,41,42,,,,,,,,,,,,,
              Ciências da vida                                      HM,2906,0,0,302,956,640,391,243,145,114,53,28,16,11,7,,,,,,,,,,,,,
                                                                     H,797,0,0,81,239,169,111,81,44,35,14,6,11,3,3,,,,,,,,,,,,,
              Ciências físicas                                      HM,3444,0,0,197,800,692,559,459,312,172,69,72,62,23,27,,,,,,,,,,,,,
                                                                     H,1383,0,0,81,280,251,212,190,144,92,31,29,32,18,23,,,,,,,,,,,,,
              Matemáticas e estatísticas                            HM,1943,0,0,42,226,488,424,290,203,108,80,44,23,8,7,,,,,,,,,,,,,
                                                                     H,699,0,0,18,88,141,129,119,85,40,34,26,10,3,6,,,,,,,,,,,,,
              Ciências informáticas                                 HM,4038,0,0,389,1588,763,525,346,224,85,60,34,19,4,1,,,,,,,,,,,,,
                                                                     H,3276,0,0,342,1342,609,404,267,170,64,41,22,13,2,0,,,,,,,,,,,,,
              Engenharia e técnicas afins                           HM,10668,0,0,975,4023,1547,1127,919,693,441,358,271,162,72,80,,,,,,,,,,,,,
                                                                     H,8079,0,0,725,2917,1149,834,727,530,363,308,235,151,68,72,,,,,,,,,,,,,
              Indústrias de transformação e de tratamento           HM,840,0,0,50,234,182,159,98,68,26,9,4,4,2,4,,,,,,,,,,,,,
                                                                     H,297,0,0,18,78,61,56,36,21,15,4,1,2,1,4,,,,,,,,,,,,,
              Arquitectura e construção                             HM,8008,0,0,864,3108,1223,801,560,487,387,245,145,75,46,67,,,,,,,,,,,,,
                                                                     H,4914,0,0,483,1765,716,464,358,361,280,191,126,68,41,61,,,,,,,,,,,,,
"              Agricultura, silvicultura e pesca                     HM",1434,0,0,39,217,265,226,239,199,115,65,28,17,9,15,,,,,,,,,,,,,
                                                                     H,684,0,0,10,70,115,97,109,116,71,42,19,13,8,14,,,,,,,,,,,,,
              Ciências veterinárias                                 HM,776,0,0,68,370,111,72,44,33,38,13,12,7,7,1,,,,,,,,,,,,,
                                                                     H,286,0,0,17,117,40,31,17,16,17,7,10,6,7,1,,,,,,,,,,,,,
              Saúde                                                 HM,15307,0,0,1917,5394,2219,1367,1109,1046,1036,617,329,128,64,81,,,,,,,,,,,,,
                                                                     H,4579,0,0,515,1475,573,356,344,364,391,275,149,63,33,41,,,,,,,,,,,,,
              Serviços sociais                                      HM,726,0,0,27,156,162,104,97,70,42,26,28,11,1,2,,,,,,,,,,,,,
                                                                     H,78,0,0,1,12,17,15,12,12,2,5,2,0,0,0,,,,,,,,,,,,,
              Serviços pessoais                                     HM,2758,0,0,140,499,609,529,393,285,147,83,38,24,7,4,,,,,,,,,,,,,
                                                                     H,1596,0,0,82,276,328,313,212,182,92,62,29,14,3,3,,,,,,,,,,,,,
              Serviços de transporte                                HM,201,0,0,2,20,33,58,20,15,20,17,10,5,0,1,,,,,,,,,,,,,
                                                                     H,148,0,0,2,10,23,38,17,13,16,15,8,5,0,1,,,,,,,,,,,,,
              Protecção do ambiente                                 HM,2129,0,0,136,716,479,346,197,124,62,42,19,5,2,1,,,,,,,,,,,,,
                                                                     H,730,0,0,44,229,164,118,70,45,30,20,6,2,1,1,,,,,,,,,,,,,
              Serviços de segurança                                 HM,798,0,0,115,271,68,40,59,80,41,25,19,18,25,37,,,,,,,,,,,,,
                                                                     H,675,0,0,92,226,44,32,50,72,38,23,18,18,25,37,,,,,,,,,,,,,
          Doutoramento                                              HM,26241,0,0,48,717,2544,3546,4009,4049,3512,2577,2043,1288,827,1081,,,,,,,,,,,,,
                                                                     H,14764,0,0,17,308,1167,1642,2150,2260,2023,1573,1285,886,621,832,,,,,,,,,,,,,
              Formação de professores e ciências da educação        HM,1323,0,0,1,26,68,91,175,202,264,180,141,88,44,43,,,,,,,,,,,,,
                                                                     H,502,0,0,0,4,18,25,55,74,105,83,57,40,20,21,,,,,,,,,,,,,
              Artes                                                 HM,481,0,0,2,13,27,52,72,83,47,58,32,39,23,33,,,,,,,,,,,,,
                                                                     H,283,0,0,1,7,11,27,37,44,32,31,20,29,21,23,,,,,,,,,,,,,
              Letras                                                HM,2733,0,0,0,38,95,216,341,414,442,343,295,199,156,194,,,,,,,,,,,,,
                                                                     H,1392,0,0,0,12,38,105,169,176,212,176,147,120,101,136,,,,,,,,,,,,,
              Ciências sociais e do comportamento                   HM,3186,0,0,9,61,261,431,469,480,459,363,263,185,109,96,,,,,,,,,,,,,
                                                                     H,1724,0,0,3,25,96,189,221,228,247,238,184,130,87,76,,,,,,,,,,,,,
              Jornalismo e informação                               HM,271,0,0,2,10,22,44,45,42,35,26,31,8,3,3,,,,,,,,,,,,,
                                                                     H,150,0,0,1,6,7,21,18,26,22,17,21,7,3,1,,,,,,,,,,,,,
              Comércio e administração                              HM,1035,0,0,4,40,82,192,206,159,124,86,68,36,16,22,,,,,,,,,,,,,
                                                                     H,631,0,0,2,17,47,77,118,102,86,63,54,34,15,16,,,,,,,,,,,,,
              Direito                                               HM,849,0,0,0,25,73,98,101,129,109,79,65,54,38,78,,,,,,,,,,,,,
                                                                     H,538,0,0,0,11,25,41,49,78,66,63,53,47,32,73,,,,,,,,,,,,,
              Ciências da vida                                      HM,1898,0,0,2,84,380,389,332,252,178,111,72,45,27,26,,,,,,,,,,,,,
                                                                     H,689,0,0,0,19,125,131,118,106,76,47,22,20,10,15,,,,,,,,,,,,,
              Ciências físicas                                      HM,2923,0,0,1,114,420,477,503,486,285,171,167,137,90,72,,,,,,,,,,,,,
                                                                     H,1608,0,0,0,58,216,214,303,291,168,88,73,75,69,53,,,,,,,,,,,,,
              Matemáticas e estatísticas                            HM,1184,0,0,1,22,141,208,234,177,142,105,65,36,28,25,,,,,,,,,,,,,
                                                                     H,630,0,0,0,15,86,108,108,93,65,49,35,28,23,20,,,,,,,,,,,,,
              Ciências informáticas                                 HM,698,0,0,1,21,79,149,179,124,70,37,18,13,1,6,,,,,,,,,,,,,
                                                                     H,554,0,0,1,19,66,119,143,92,54,31,13,11,1,4,,,,,,,,,,,,,
              Engenharia e técnicas afins                           HM,2772,0,0,3,67,292,430,480,466,347,242,224,103,53,65,,,,,,,,,,,,,
                                                                     H,2088,0,0,0,40,198,273,355,367,277,188,193,91,44,62,,,,,,,,,,,,,
              Indústrias de transformação e de tratamento           HM,253,0,0,0,5,30,35,56,49,36,15,15,7,4,1,,,,,,,,,,,,,
                                                                     H,133,0,0,0,2,16,15,35,26,16,9,6,4,3,1,,,,,,,,,,,,,
              Arquitectura e construção                             HM,1207,0,0,1,20,93,144,165,202,189,147,112,48,39,47,,,,,,,,,,,,,
                                                                     H,867,0,0,0,15,53,83,112,134,136,123,91,41,34,45,,,,,,,,,,,,,
"              Agricultura, silvicultura e pesca                     HM",666,0,0,0,1,23,61,85,125,132,78,67,37,19,38,,,,,,,,,,,,,
                                                                     H,378,0,0,0,0,9,23,39,61,82,42,46,29,16,31,,,,,,,,,,,,,
              Ciências veterinárias                                 HM,296,0,0,0,9,16,43,43,52,48,31,15,16,10,13,,,,,,,,,,,,,
                                                                     H,159,0,0,0,5,3,10,20,28,28,21,9,14,9,12,,,,,,,,,,,,,
              Saúde                                                 HM,3598,0,0,20,137,358,349,368,448,502,437,339,202,150,288,,,,,,,,,,,,,
                                                                     H,1942,0,0,8,39,117,120,168,232,281,266,225,148,121,217,,,,,,,,,,,,,
              Serviços sociais                                      HM,49,0,0,0,3,6,7,3,7,6,5,3,5,1,3,,,,,,,,,,,,,
                                                                     H,9,0,0,0,1,0,1,1,4,1,1,0,0,0,0,,,,,,,,,,,,,
              Serviços pessoais                                     HM,381,0,0,1,10,25,58,70,76,47,37,30,13,7,7,,,,,,,,,,,,,
                                                                     H,239,0,0,1,6,15,26,42,52,36,23,24,5,4,5,,,,,,,,,,,,,
              Serviços de transporte                                HM,17,0,0,0,1,2,2,2,5,3,2,0,0,0,0,,,,,,,,,,,,,
                                                                     H,11,0,0,0,1,2,1,1,3,2,1,0,0,0,0,,,,,,,,,,,,,
              Protecção do ambiente                                 HM,346,0,0,0,10,48,65,71,62,39,21,17,9,2,2,,,,,,,,,,,,,
                                                                     H,169,0,0,0,6,17,29,30,35,23,12,8,6,1,2,,,,,,,,,,,,,
              Serviços de segurança                                 HM,75,0,0,0,0,3,5,9,9,8,3,4,8,7,19,,,,,,,,,,,,,
                                                                     H,68,0,0,0,0,2,4,8,8,8,1,4,7,7,19,,,,,,,,,,,,,
