"3.12 - ALOJAMENTOS CLÁSSICOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES POR ÁREA UTIL",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,,,,
Área útil,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais,,,
      Algarve,178574,1377,4407,22054,61108,54183,19846,8390,3722,1880,1607,,,
          Menos de 30 m²,3473,1377,1278,818,0,0,0,0,0,0,0,,,
          30 m²  - 39 m²,4877,0,924,2248,1705,0,0,0,0,0,0,,,
          40 m² - 49 m²,7729,0,659,2874,2630,1138,285,84,37,7,15,,,
          50 m² - 59 m²,10814,0,527,3629,4143,1967,357,111,37,29,14,,,
          60 m² - 79 m²,28765,0,583,6903,14338,5030,1223,434,144,58,52,,,
          80 m² - 99 m²,41471,0,237,3651,21104,12189,2824,912,330,137,87,,,
          100 m² - 119 m²,31252,0,93,1165,10063,14266,3556,1238,523,206,142,,,
          120 m² - 149 m²,24490,0,54,513,4816,11906,4543,1525,639,316,178,,,
          150 m² - 199 m²,14374,0,38,180,1649,5295,4000,1821,765,364,262,,,
          200 m² ou mais,11329,0,14,73,660,2392,3058,2265,1247,763,857,,,
    Região Autónoma dos Açores,80425,372,1785,7286,17172,20744,14182,8845,4691,2677,2671,,,
        Menos de 30 m²,1518,372,590,556,0,0,0,0,0,0,0,,,
        30 m²  - 39 m²,1930,0,251,786,893,0,0,0,0,0,0,,,
        40 m² - 49 m²,4336,0,222,918,1313,1144,407,174,92,37,29,,,
        50 m² - 59 m²,5275,0,188,955,1501,1662,500,221,80,87,81,,,
        60 m² - 79 m²,10796,0,222,1696,3563,3015,1333,558,209,109,91,,,
        80 m² - 99 m²,13022,0,134,1183,4008,3944,2077,955,369,198,154,,,
        100 m² - 119 m²,12774,0,61,544,2634,4099,2800,1484,618,270,264,,,
        120 m² - 149 m²,11638,0,52,359,1785,3443,2739,1685,829,422,324,,,
        150 m² - 199 m²,9391,0,43,171,932,2127,2471,1702,995,556,394,,,
        200 m² ou mais,9745,0,22,118,543,1310,1855,2066,1499,998,1334,,,
      Região Autónoma dos Açores,80425,372,1785,7286,17172,20744,14182,8845,4691,2677,2671,,,
          Menos de 30 m²,1518,372,590,556,0,0,0,0,0,0,0,,,
          30 m²  - 39 m²,1930,0,251,786,893,0,0,0,0,0,0,,,
          40 m² - 49 m²,4336,0,222,918,1313,1144,407,174,92,37,29,,,
          50 m² - 59 m²,5275,0,188,955,1501,1662,500,221,80,87,81,,,
          60 m² - 79 m²,10796,0,222,1696,3563,3015,1333,558,209,109,91,,,
          80 m² - 99 m²,13022,0,134,1183,4008,3944,2077,955,369,198,154,,,
          100 m² - 119 m²,12774,0,61,544,2634,4099,2800,1484,618,270,264,,,
          120 m² - 149 m²,11638,0,52,359,1785,3443,2739,1685,829,422,324,,,
          150 m² - 199 m²,9391,0,43,171,932,2127,2471,1702,995,556,394,,,
          200 m² ou mais,9745,0,22,118,543,1310,1855,2066,1499,998,1334,,,
    Região Autónoma da Madeira,92113,763,3122,13595,28666,25230,10955,5271,2297,1218,996,,,
        Menos de 30 m²,2653,763,1159,731,0,0,0,0,0,0,0,,,
        30 m²  - 39 m²,3460,0,505,1562,1393,0,0,0,0,0,0,,,
        40 m² - 49 m²,5599,0,342,1536,1788,1344,357,142,52,23,15,,,
        50 m² - 59 m²,7104,0,271,1693,2442,1975,460,153,46,37,27,,,
        60 m² - 79 m²,13008,0,393,3122,5006,2977,928,366,133,44,39,,,
        80 m² - 99 m²,17651,0,241,2781,7314,4684,1598,676,204,85,68,,,
        100 m² - 119 m²,15840,0,105,1267,5442,5296,2197,896,381,167,89,,,
        120 m² - 149 m²,11526,0,49,545,2913,4404,1999,923,374,172,147,,,
        150 m² - 199 m²,7893,0,34,234,1401,2654,1829,939,434,228,140,,,
        200 m² ou mais,7379,0,23,124,967,1896,1587,1176,673,462,471,,,
      Região Autónoma da Madeira,92113,763,3122,13595,28666,25230,10955,5271,2297,1218,996,,,
          Menos de 30 m²,2653,763,1159,731,0,0,0,0,0,0,0,,,
          30 m²  - 39 m²,3460,0,505,1562,1393,0,0,0,0,0,0,,,
          40 m² - 49 m²,5599,0,342,1536,1788,1344,357,142,52,23,15,,,
          50 m² - 59 m²,7104,0,271,1693,2442,1975,460,153,46,37,27,,,
          60 m² - 79 m²,13008,0,393,3122,5006,2977,928,366,133,44,39,,,
          80 m² - 99 m²,17651,0,241,2781,7314,4684,1598,676,204,85,68,,,
          100 m² - 119 m²,15840,0,105,1267,5442,5296,2197,896,381,167,89,,,
          120 m² - 149 m²,11526,0,49,545,2913,4404,1999,923,374,172,147,,,
          150 m² - 199 m²,7893,0,34,234,1401,2654,1829,939,434,228,140,,,
          200 m² ou mais,7379,0,23,124,967,1896,1587,1176,673,462,471,,,
