"6.13 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2009), POR PAÍSES DE NATURALIDADE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Cabo Verde,61953,28962,3296,1579,3067,1329,73,49,8,3,2,1,4,2,26,13,7,2,30,17,2,2,17,8,11,6,0,0,0,0,1,1,0,0,0,0,2840,1202,0,0,15,11,0,0,0,0,15,5,1,0,1,0,14,7
    Guiné-Bissau,29578,16558,1589,962,1567,824,33,20,4,3,3,2,5,3,36,19,2,2,73,52,4,3,8,5,5,3,0,0,2,0,0,0,1,1,0,0,1293,653,0,0,3,3,1,0,0,0,28,12,1,0,1,1,64,42
    Moçambique,73084,33912,2406,1166,762,415,24,11,16,11,12,8,8,4,88,58,11,5,51,37,16,10,6,0,18,10,2,1,0,0,0,0,1,1,1,0,383,191,21,10,20,10,3,2,0,0,21,15,3,3,3,1,54,27
    São Tomé e Príncipe,18645,8247,1066,499,1219,554,8,5,0,0,1,1,1,0,26,11,1,0,10,7,1,1,1,0,2,1,2,2,0,0,0,0,0,0,0,0,1144,516,1,0,1,1,0,0,0,0,8,5,0,0,0,0,12,4
    Outros países - África,12651,6829,579,370,652,353,31,18,2,1,4,2,7,2,21,8,5,1,42,33,8,4,0,0,7,3,0,0,1,1,0,0,0,0,0,0,20,14,5,1,5,2,3,3,0,0,6,6,1,1,0,0,484,253
    América,186165,80345,11881,5155,11199,4646,98,51,15,9,49,23,77,34,202,79,26,10,420,176,19,4,8,2,63,26,9,1,3,2,8,1,1,0,2,0,47,28,4,2,494,258,165,78,531,240,8453,3400,4,3,6,4,495,215
    Argentina,1375,644,52,26,82,35,4,1,0,0,1,0,3,2,0,0,0,0,12,4,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,4,2,0,0,1,0,7,2,0,0,0,0,44,23
    Brasil,139703,58979,9980,4281,9298,3772,74,41,11,6,36,18,67,27,124,45,22,9,283,127,13,4,6,2,44,17,4,0,2,1,7,1,0,0,0,0,29,17,3,1,58,28,2,1,3,1,8419,3384,3,2,2,1,86,39
    Canadá,7572,3531,287,131,186,80,2,1,0,0,1,0,0,0,7,1,2,1,7,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,157,73,0,0,1,1,0,0,0,0,2,0
    Estados Unidos da América,7242,3466,288,135,487,261,5,1,1,1,3,1,0,0,15,8,1,0,11,5,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,7,5,0,0,402,218,3,2,0,0,13,8,1,1,0,0,21,9
"    Venezuela, República Bolivariana da",25157,11634,1042,476,688,315,9,6,2,1,1,1,1,1,40,20,1,0,55,25,2,0,1,0,11,4,2,1,1,1,0,0,0,0,0,0,6,4,1,1,10,3,0,0,521,237,4,1,0,0,1,1,19,8
    Outros países - América,5116,2091,232,106,458,183,4,1,1,1,7,3,6,4,16,5,0,0,52,14,2,0,1,0,3,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,17,7,3,2,6,2,9,4,0,0,3,2,323,136
    Ásia,32853,17977,1738,1030,2932,1659,29,16,15,9,23,12,48,27,118,85,12,9,64,33,3,1,0,0,4,2,1,1,4,4,0,0,11,7,6,1,17,9,2,1,16,8,3,2,0,0,5,4,512,259,708,329,1331,840
    China,10887,5620,883,464,825,381,5,2,1,0,6,1,35,16,5,3,0,0,38,17,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,706,329,21,9
    Índia,8129,4653,258,179,585,312,6,5,1,1,4,3,5,5,25,17,2,1,5,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,6,4,0,0,4,2,0,0,0,0,1,1,511,259,0,0,13,9
    Japão,323,132,14,6,34,12,1,0,2,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,23,10
    Macau,2078,913,57,26,41,18,1,0,0,0,0,0,0,0,4,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,14
    Paquistão,2015,1334,95,72,187,104,1,1,0,0,1,1,1,1,7,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,171,94
    Timor Leste,1789,809,56,34,65,35,0,0,0,0,1,0,0,0,9,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,52,25
    Outros países - Ásia,7632,4516,375,249,1195,797,15,8,11,7,11,7,7,5,66,52,9,7,12,10,2,1,0,0,2,1,1,1,0,0,0,0,11,7,6,1,3,1,2,1,6,4,2,2,0,0,3,3,0,0,2,0,1024,679
    Oceânia,1375,620,48,18,63,26,1,0,1,1,2,0,0,0,5,2,1,0,2,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,46,19
    Austrália,1252,565,42,16,46,19,1,0,0,0,2,0,0,0,1,0,1,0,2,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,15
    Outros países da Oceânia,123,55,6,2,17,7,0,0,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,4
    Outros países,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
