"3.15 - ALOJAMENTOS CLÁSSICOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ENTIDADE PROPRIETÁRIA, EXISTENCIA DE ENCARGOS POR COMPRA  E PESSOAS RESIDENTES POR ÉPOCA DE CONSTRUÇÃO  DO EDIFÍCIO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Alojamentos clássicos ocupados como residência habitual,,,,,,,,,,,Pessoas residentes,,
,Total,Ocupante proprietário ,,,Outra entidade proprietária,,,,,,,Total,Em alojamentos  ocupados pelo proprietário,
Época de construção do edifício,,Total,C/ encargos por  compra,S/ encargos por compra,Total,"Ascendentes, descendentes  de 1º ou 2º grau",Particulares ou  empresas privadas,Empresa pública,"Estado, institutos públicos autónomos, instituições s/ fins lucrativos",Autarquias locais,Cooperativas de habitação,,,
          1946 - 1960,32939,22092,3975,18117,10847,2297,7788,43,438,238,43,71633,47505,
          1961 - 1970,34030,24455,4627,19828,9575,2233,6522,56,463,260,41,76822,54548,
          1971 - 1980,48600,37164,8867,28297,11436,3011,6485,185,804,885,66,116941,88523,
          1981 - 1990,46700,37707,13486,24221,8993,2606,4966,60,417,887,57,121531,98618,
          1991 - 1995,21465,17880,8484,9396,3585,1030,2168,8,63,302,14,59047,49809,
          1996 - 2000,26505,22223,13760,8463,4282,1179,2519,8,67,500,9,74807,63742,
          2001 - 2005,28355,24194,17777,6417,4161,1017,2487,24,70,527,36,79927,69159,
          2006 - 2011,16102,13924,10440,3484,2178,589,1288,7,33,250,11,43752,38368,
        Algarve,178574,126011,53258,72753,52563,10611,37079,150,809,3609,305,444338,313691,
          Até 1919,5681,3717,351,3366,1964,433,1462,6,42,18,3,12036,7859,
          1919 - 1945,8761,5368,731,4637,3393,677,2553,11,50,91,11,18602,11243,
          1946 - 1960,11852,7274,1273,6001,4578,968,3364,15,90,121,20,26434,16020,
          1961 - 1970,14442,8850,1684,7166,5592,1083,4289,9,66,122,23,33327,19840,
          1971 - 1980,29154,19172,4776,14396,9982,2051,7102,18,212,517,82,71265,46002,
          1981 - 1990,37466,26233,9878,16355,11233,2310,7760,36,222,810,95,94858,65906,
          1991 - 1995,16769,12366,5872,6494,4403,909,3007,9,35,414,29,43876,32389,
          1996 - 2000,17615,13568,7824,5744,4047,857,2693,8,29,444,16,47180,36717,
          2001 - 2005,23352,18514,12823,5691,4838,872,3229,14,47,659,17,62080,49576,
          2006 - 2011,13482,10949,8046,2903,2533,451,1620,24,16,413,9,34680,28139,
      Região Autónoma dos Açores,80425,64014,32370,31644,16411,4319,8395,292,1454,1817,134,243270,194707,
        Até 1919,4699,3695,1031,2664,1004,366,551,3,45,36,3,12459,9760,
        1919 - 1945,6796,5242,1916,3326,1554,570,839,10,75,52,8,19135,14688,
        1946 - 1960,8466,6442,2397,4045,2024,651,1085,33,133,106,16,24978,18949,
        1961 - 1970,6315,4875,1814,3061,1440,476,804,9,89,51,11,18643,14354,
        1971 - 1980,8268,6419,2454,3965,1849,494,923,27,214,175,16,25241,19615,
