"6.39 - POPULAÇÃO RESIDENTE EMPREGADA, SEGUNDO O SECTOR DE ACTIVIDADE ECONÓMICA E SEXO, POR SITUAÇÃO NA PROFISSÃO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Primário,,Secundário,,Terciário,,,,,,,,
,,,,,,,Total,,Serviços de natureza social,,Serviços relacionados com actividade económica,,,,
Situação na profissão,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,
          Membro de uma cooperativa de produção,77,52,23,18,33,21,21,13,4,1,17,12,,,
          Outra situação,1097,459,54,45,144,112,899,302,588,158,311,144,,,
    Região Autónoma da Madeira,108808,55220,3695,2527,18302,15688,86811,37005,38602,12113,48209,24892,,,
        Empregador,9586,6414,523,323,1983,1775,7080,4316,1198,389,5882,3927,,,
        Trabalhador por conta própria,5688,3508,1337,808,788,662,3563,2038,809,131,2754,1907,,,
        Trabalhador familiar não remunerado,501,225,158,86,67,59,276,80,92,2,184,78,,,
        Trabalhador por conta de outrem,92061,44608,1643,1287,15324,13075,75094,30246,36055,11447,39039,18799,,,
        Membro de uma cooperativa de produção,62,27,2,1,25,16,35,10,8,2,27,8,,,
        Outra situação,910,438,32,22,115,101,763,315,440,142,323,173,,,
      Região Autónoma da Madeira,108808,55220,3695,2527,18302,15688,86811,37005,38602,12113,48209,24892,,,
          Empregador,9586,6414,523,323,1983,1775,7080,4316,1198,389,5882,3927,,,
          Trabalhador por conta própria,5688,3508,1337,808,788,662,3563,2038,809,131,2754,1907,,,
          Trabalhador familiar não remunerado,501,225,158,86,67,59,276,80,92,2,184,78,,,
          Trabalhador por conta de outrem,92061,44608,1643,1287,15324,13075,75094,30246,36055,11447,39039,18799,,,
          Membro de uma cooperativa de produção,62,27,2,1,25,16,35,10,8,2,27,8,,,
          Outra situação,910,438,32,22,115,101,763,315,440,142,323,173,,,
