"3.21 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O ESCALÃO DE ENCARGOS, POR ÉPOCA DE CONSTRUÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica                                 Época de construção,Alojamentos clássicos segundo o escalão de encargos (euros),,,,,,,,,,,,,
,Total,Sem Encargos,Menos de 75,De 75 a menos de 100 ,De 100 a menos de 150 ,De 150 a menos de 200 ,De 200 a menos de 250 ,De 250 a menos de 300 ,De 300 a menos de 350 ,De 350 a menos 400 ,De 400 a menos de 500 ,De 500 a menos de 650 ,De 650 a menos de 800 ,800  ou mais
          1946 - 1960,22092,18117,363,206,457,464,446,407,346,293,517,240,131,105
          1961 - 1970,24455,19828,457,230,442,505,553,541,399,353,596,278,154,119
          1971 - 1980,37164,28297,747,498,876,921,1004,1067,911,699,1109,543,287,205
          1981 - 1990,37707,24221,911,728,1450,1428,1588,1584,1330,1080,1739,877,418,353
          1991 - 1995,17880,9396,351,318,728,863,981,1079,947,832,1201,641,282,261
          1996 - 2000,22223,8463,296,291,740,1066,1410,1933,1733,1623,2326,1304,517,521
          2001 - 2005,24194,6417,242,199,573,838,1425,2198,2209,2260,3398,2449,1046,940
          2006 - 2011,13924,3484,84,114,321,460,663,1003,1213,1315,2130,1710,700,727
      Algarve,126011,72753,1431,1137,2509,3294,4292,5712,5825,5704,9243,6059,4433,3619
          Até 1919,3717,3366,22,11,24,30,22,23,18,12,57,31,55,46
          1919 - 1945,5368,4637,45,24,42,60,79,72,65,42,92,41,93,76
          1946 - 1960,7274,6001,80,53,86,90,108,124,116,82,191,88,153,102
          1961 - 1970,8850,7166,98,67,115,132,140,170,149,140,263,118,160,132
          1971 - 1980,19172,14396,260,160,332,379,489,557,463,375,661,295,445,360
          1981 - 1990,26233,16355,446,332,755,952,1006,1151,1001,909,1426,710,668,522
          1991 - 1995,12366,6494,144,154,326,491,608,767,622,599,932,526,365,338
          1996 - 2000,13568,5744,136,120,275,454,654,887,1026,908,1319,935,641,469
          2001 - 2005,18514,5691,137,129,356,446,771,1312,1495,1634,2683,1941,1057,862
          2006 - 2011,10949,2903,63,87,198,260,415,649,870,1003,1619,1374,796,712
    Região Autónoma dos Açores,64014,31644,1692,776,1759,2031,2479,2681,2462,2434,4450,2938,6261,2407
        Até 1919,3695,2664,84,33,62,72,59,55,48,34,107,44,316,117
        1919 - 1945,5242,3326,136,46,131,113,132,141,125,101,186,99,557,149
        1946 - 1960,6442,4045,130,61,150,180,190,186,143,133,315,172,563,174
        1961 - 1970,4875,3061,122,51,116,121,142,127,116,116,209,92,456,146
        1971 - 1980,6419,3965,162,66,160,168,181,178,149,164,304,186,573,163
        1981 - 1990,12086,6622,620,213,355,370,382,357,372,340,634,350,1094,377
        1991 - 1995,4737,2178,96,77,170,156,186,214,210,171,335,203,537,204
        1996 - 2000,6348,2412,104,81,236,311,330,379,327,317,568,417,596,270
        2001 - 2005,7833,2147,140,87,211,294,464,530,481,569,958,692,831,429
        2006 - 2011,6337,1224,98,61,168,246,413,514,491,489,834,683,738,378
      Região Autónoma dos Açores,64014,31644,1692,776,1759,2031,2479,2681,2462,2434,4450,2938,6261,2407
          Até 1919,3695,2664,84,33,62,72,59,55,48,34,107,44,316,117
          1919 - 1945,5242,3326,136,46,131,113,132,141,125,101,186,99,557,149
          1946 - 1960,6442,4045,130,61,150,180,190,186,143,133,315,172,563,174
          1961 - 1970,4875,3061,122,51,116,121,142,127,116,116,209,92,456,146
          1971 - 1980,6419,3965,162,66,160,168,181,178,149,164,304,186,573,163
          1981 - 1990,12086,6622,620,213,355,370,382,357,372,340,634,350,1094,377
