"6.02 - POPULAÇÃO RESIDENTE SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA CORPO DIPLOMÁTICO E SEXO POR GRUPO ETÁRIO",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1000000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
Zona Geográfica,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Etário,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          90 ou mais anos,3473,1103,1779,612,208,64,149,49,587,156,575,164,0,0,0,0,0,0,0,0,0,0,175,58
          Menos de 1 ano,4397,2182,1633,797,357,201,285,165,1044,494,964,470,0,0,0,0,0,0,0,0,0,0,114,55
          18 ou mais anos,370704,178778,160345,78736,26596,12910,18558,8941,75286,35513,73556,34154,0,0,0,0,0,0,0,0,0,0,16363,8524
    Região Autónoma dos Açores,246772,121534,123132,60962,56456,27914,42659,21061,0,0,20476,9479,0,0,0,0,0,0,0,0,0,0,4049,2118
        0 - 4 anos,13380,6835,6166,3148,3218,1630,2727,1388,0,0,982,502,0,0,0,0,0,0,0,0,0,0,287,167
        5 - 9 anos,14538,7421,6942,3560,3626,1875,2769,1381,0,0,937,449,0,0,0,0,0,0,0,0,0,0,264,156
        10 - 14 anos,16279,8348,7808,4006,4103,2104,3012,1556,0,0,1096,551,0,0,0,0,0,0,0,0,0,0,260,131
        15 - 19 anos,17011,8707,8205,4189,4127,2122,3231,1662,0,0,1234,628,0,0,0,0,0,0,0,0,0,0,214,106
        20 - 24 anos,17720,9061,8488,4282,4212,2192,3321,1693,0,0,1384,715,0,0,0,0,0,0,0,0,0,0,315,179
        25 - 29 anos,18410,9285,8613,4328,4288,2164,3498,1793,0,0,1679,836,0,0,0,0,0,0,0,0,0,0,332,164
        30 - 34 anos,20388,10283,9697,4916,4722,2366,3691,1887,0,0,1873,908,0,0,0,0,0,0,0,0,0,0,405,206
        35 - 39 anos,19577,9814,9521,4843,4610,2271,3324,1674,0,0,1751,844,0,0,0,0,0,0,0,0,0,0,371,182
        40 - 44 anos,17911,9073,9066,4641,4275,2147,2834,1431,0,0,1405,683,0,0,0,0,0,0,0,0,0,0,331,171
        45 - 49 anos,17987,9095,9117,4733,4232,2088,2902,1475,0,0,1414,616,0,0,0,0,0,0,0,0,0,0,322,183
        50 - 54 anos,16250,8128,8305,4219,3628,1841,2649,1296,0,0,1420,629,0,0,0,0,0,0,0,0,0,0,248,143
        55 - 59 anos,13707,6976,7105,3647,2972,1521,2210,1122,0,0,1225,580,0,0,0,0,0,0,0,0,0,0,195,106
        60 - 64 anos,11236,5389,5911,2851,2333,1128,1804,887,0,0,1078,469,0,0,0,0,0,0,0,0,0,0,110,54
        65 - 69 anos,9363,4307,5096,2335,1880,869,1389,628,0,0,894,415,0,0,0,0,0,0,0,0,0,0,104,60
        70 - 74 anos,7860,3360,4544,1991,1491,633,1113,456,0,0,617,234,0,0,0,0,0,0,0,0,0,0,95,46
        75 - 79 anos,6950,2750,4007,1651,1234,491,974,361,0,0,645,210,0,0,0,0,0,0,0,0,0,0,90,37
        80 - 84 anos,4633,1622,2620,990,850,279,667,221,0,0,439,115,0,0,0,0,0,0,0,0,0,0,57,17
        85 - 89 anos,2582,817,1378,481,485,153,410,112,0,0,278,65,0,0,0,0,0,0,0,0,0,0,31,6
        90 ou mais anos,990,263,543,151,170,40,134,38,0,0,125,30,0,0,0,0,0,0,0,0,0,0,18,4
        Menos de 1 ano,2720,1406,1244,653,627,329,605,298,0,0,196,100,0,0,0,0,0,0,0,0,0,0,48,26
        18 ou mais anos,192357,93687,97321,47733,43026,21039,32184,15725,0,0,16730,7600,0,0,0,0,0,0,0,0,0,0,3096,1590
      Região Autónoma dos Açores,246772,121534,123132,60962,56456,27914,42659,21061,0,0,20476,9479,0,0,0,0,0,0,0,0,0,0,4049,2118
          0 - 4 anos,13380,6835,6166,3148,3218,1630,2727,1388,0,0,982,502,0,0,0,0,0,0,0,0,0,0,287,167
          5 - 9 anos,14538,7421,6942,3560,3626,1875,2769,1381,0,0,937,449,0,0,0,0,0,0,0,0,0,0,264,156
          10 - 14 anos,16279,8348,7808,4006,4103,2104,3012,1556,0,0,1096,551,0,0,0,0,0,0,0,0,0,0,260,131
          15 - 19 anos,17011,8707,8205,4189,4127,2122,3231,1662,0,0,1234,628,0,0,0,0,0,0,0,0,0,0,214,106
          20 - 24 anos,17720,9061,8488,4282,4212,2192,3321,1693,0,0,1384,715,0,0,0,0,0,0,0,0,0,0,315,179
          25 - 29 anos,18410,9285,8613,4328,4288,2164,3498,1793,0,0,1679,836,0,0,0,0,0,0,0,0,0,0,332,164
          30 - 34 anos,20388,10283,9697,4916,4722,2366,3691,1887,0,0,1873,908,0,0,0,0,0,0,0,0,0,0,405,206
          35 - 39 anos,19577,9814,9521,4843,4610,2271,3324,1674,0,0,1751,844,0,0,0,0,0,0,0,0,0,0,371,182
          40 - 44 anos,17911,9073,9066,4641,4275,2147,2834,1431,0,0,1405,683,0,0,0,0,0,0,0,0,0,0,331,171
          45 - 49 anos,17987,9095,9117,4733,4232,2088,2902,1475,0,0,1414,616,0,0,0,0,0,0,0,0,0,0,322,183
          50 - 54 anos,16250,8128,8305,4219,3628,1841,2649,1296,0,0,1420,629,0,0,0,0,0,0,0,0,0,0,248,143
          55 - 59 anos,13707,6976,7105,3647,2972,1521,2210,1122,0,0,1225,580,0,0,0,0,0,0,0,0,0,0,195,106
          60 - 64 anos,11236,5389,5911,2851,2333,1128,1804,887,0,0,1078,469,0,0,0,0,0,0,0,0,0,0,110,54
          65 - 69 anos,9363,4307,5096,2335,1880,869,1389,628,0,0,894,415,0,0,0,0,0,0,0,0,0,0,104,60
          70 - 74 anos,7860,3360,4544,1991,1491,633,1113,456,0,0,617,234,0,0,0,0,0,0,0,0,0,0,95,46
          75 - 79 anos,6950,2750,4007,1651,1234,491,974,361,0,0,645,210,0,0,0,0,0,0,0,0,0,0,90,37
          80 - 84 anos,4633,1622,2620,990,850,279,667,221,0,0,439,115,0,0,0,0,0,0,0,0,0,0,57,17
          85 - 89 anos,2582,817,1378,481,485,153,410,112,0,0,278,65,0,0,0,0,0,0,0,0,0,0,31,6
          90 ou mais anos,990,263,543,151,170,40,134,38,0,0,125,30,0,0,0,0,0,0,0,0,0,0,18,4
          Menos de 1 ano,2720,1406,1244,653,627,329,605,298,0,0,196,100,0,0,0,0,0,0,0,0,0,0,48,26
          18 ou mais anos,192357,93687,97321,47733,43026,21039,32184,15725,0,0,16730,7600,0,0,0,0,0,0,0,0,0,0,3096,1590
    Região Autónoma da Madeira,267785,126268,115271,54387,13122,6467,0,0,26732,12980,0,0,0,0,111541,51899,0,0,0,0,0,0,1119,535
        0 - 4 anos,12871,6610,5704,2923,927,486,0,0,1473,793,0,0,0,0,4722,2392,0,0,0,0,0,0,45,16
        5 - 9 anos,14971,7678,6679,3431,941,481,0,0,1778,933,0,0,0,0,5500,2803,0,0,0,0,0,0,73,30
        10 - 14 anos,16170,8266,7253,3678,804,402,0,0,1913,987,0,0,0,0,6114,3152,0,0,0,0,0,0,86,47
        15 - 19 anos,16582,8421,7339,3776,751,399,0,0,1975,962,0,0,0,0,6450,3253,0,0,0,0,0,0,67,31
        20 - 24 anos,16509,8355,7062,3618,710,327,0,0,1852,935,0,0,0,0,6804,3432,0,0,0,0,0,0,81,43
        25 - 29 anos,17869,8889,7470,3676,1085,513,0,0,1937,994,0,0,0,0,7322,3670,0,0,0,0,0,0,55,36
        30 - 34 anos,20823,10336,8934,4450,1519,748,0,0,2165,1104,0,0,0,0,8115,3990,0,0,0,0,0,0,90,44
        35 - 39 anos,22032,10943,9563,4843,1541,791,0,0,2245,1141,0,0,0,0,8587,4116,0,0,0,0,0,0,96,52
        40 - 44 anos,21268,10467,9114,4581,1285,634,0,0,2073,1058,0,0,0,0,8709,4150,0,0,0,0,0,0,87,44
        45 - 49 anos,21541,10266,8967,4305,1035,519,0,0,2096,1014,0,0,0,0,9337,4377,0,0,0,0,0,0,106,51
        50 - 54 anos,18284,8564,7279,3381,725,338,0,0,1772,854,0,0,0,0,8430,3952,0,0,0,0,0,0,78,39
        55 - 59 anos,15627,7298,6331,2963,546,290,0,0,1454,682,0,0,0,0,7244,3336,0,0,0,0,0,0,52,27
        60 - 64 anos,13340,5924,5419,2352,404,198,0,0,1130,521,0,0,0,0,6344,2835,0,0,0,0,0,0,43,18
        65 - 69 anos,11277,4569,4932,1934,265,119,0,0,905,354,0,0,0,0,5129,2142,0,0,0,0,0,0,46,20
        70 - 74 anos,10048,3721,4657,1666,224,88,0,0,704,250,0,0,0,0,4415,1700,0,0,0,0,0,0,48,17
        75 - 79 anos,8929,3136,4191,1446,196,75,0,0,588,206,0,0,0,0,3918,1396,0,0,0,0,0,0,36,13
        80 - 84 anos,5540,1729,2563,819,101,38,0,0,386,117,0,0,0,0,2475,750,0,0,0,0,0,0,15,5
        85 - 89 anos,2915,826,1305,412,40,11,0,0,211,57,0,0,0,0,1347,344,0,0,0,0,0,0,12,2
        90 ou mais anos,1189,270,509,133,23,10,0,0,75,18,0,0,0,0,579,109,0,0,0,0,0,0,3,0
        Menos de 1 ano,2507,1283,1059,537,184,101,0,0,296,153,0,0,0,0,960,490,0,0,0,0,0,0,8,2
        18 ou mais anos,213797,98615,91221,42096,9968,4837,0,0,20365,9682,0,0,0,0,91366,41574,0,0,0,0,0,0,877,426
      Região Autónoma da Madeira,267785,126268,115271,54387,13122,6467,0,0,26732,12980,0,0,0,0,111541,51899,0,0,0,0,0,0,1119,535
          0 - 4 anos,12871,6610,5704,2923,927,486,0,0,1473,793,0,0,0,0,4722,2392,0,0,0,0,0,0,45,16
          5 - 9 anos,14971,7678,6679,3431,941,481,0,0,1778,933,0,0,0,0,5500,2803,0,0,0,0,0,0,73,30
          10 - 14 anos,16170,8266,7253,3678,804,402,0,0,1913,987,0,0,0,0,6114,3152,0,0,0,0,0,0,86,47
          15 - 19 anos,16582,8421,7339,3776,751,399,0,0,1975,962,0,0,0,0,6450,3253,0,0,0,0,0,0,67,31
          20 - 24 anos,16509,8355,7062,3618,710,327,0,0,1852,935,0,0,0,0,6804,3432,0,0,0,0,0,0,81,43
          25 - 29 anos,17869,8889,7470,3676,1085,513,0,0,1937,994,0,0,0,0,7322,3670,0,0,0,0,0,0,55,36
          30 - 34 anos,20823,10336,8934,4450,1519,748,0,0,2165,1104,0,0,0,0,8115,3990,0,0,0,0,0,0,90,44
          35 - 39 anos,22032,10943,9563,4843,1541,791,0,0,2245,1141,0,0,0,0,8587,4116,0,0,0,0,0,0,96,52
          40 - 44 anos,21268,10467,9114,4581,1285,634,0,0,2073,1058,0,0,0,0,8709,4150,0,0,0,0,0,0,87,44
          45 - 49 anos,21541,10266,8967,4305,1035,519,0,0,2096,1014,0,0,0,0,9337,4377,0,0,0,0,0,0,106,51
          50 - 54 anos,18284,8564,7279,3381,725,338,0,0,1772,854,0,0,0,0,8430,3952,0,0,0,0,0,0,78,39
          55 - 59 anos,15627,7298,6331,2963,546,290,0,0,1454,682,0,0,0,0,7244,3336,0,0,0,0,0,0,52,27
          60 - 64 anos,13340,5924,5419,2352,404,198,0,0,1130,521,0,0,0,0,6344,2835,0,0,0,0,0,0,43,18
          65 - 69 anos,11277,4569,4932,1934,265,119,0,0,905,354,0,0,0,0,5129,2142,0,0,0,0,0,0,46,20
          70 - 74 anos,10048,3721,4657,1666,224,88,0,0,704,250,0,0,0,0,4415,1700,0,0,0,0,0,0,48,17
          75 - 79 anos,8929,3136,4191,1446,196,75,0,0,588,206,0,0,0,0,3918,1396,0,0,0,0,0,0,36,13
          80 - 84 anos,5540,1729,2563,819,101,38,0,0,386,117,0,0,0,0,2475,750,0,0,0,0,0,0,15,5
          85 - 89 anos,2915,826,1305,412,40,11,0,0,211,57,0,0,0,0,1347,344,0,0,0,0,0,0,12,2
          90 ou mais anos,1189,270,509,133,23,10,0,0,75,18,0,0,0,0,579,109,0,0,0,0,0,0,3,0
          Menos de 1 ano,2507,1283,1059,537,184,101,0,0,296,153,0,0,0,0,960,490,0,0,0,0,0,0,8,2
          18 ou mais anos,213797,98615,91221,42096,9968,4837,0,0,20365,9682,0,0,0,0,91366,41574,0,0,0,0,0,0,877,426
