"6.02 - POPULAÇÃO RESIDENTE SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA CORPO DIPLOMÁTICO E SEXO POR GRUPO ETÁRIO",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1000000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
Zona Geográfica,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Etário,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
        45 - 49 anos,730766,351628,272068,135118,66697,32074,65607,31169,88832,42002,89954,41545,37272,17531,44829,20819,16947,7737,35325,16767,0,0,13235,6866
        50 - 54 anos,687826,329556,257794,127956,62286,30134,60428,28753,83002,38818,83766,38706,34514,15932,42323,19426,17048,7672,33916,15472,0,0,12749,6687
        55 - 59 anos,648317,307821,242086,118222,57881,27850,55857,26186,78071,36457,78113,36201,32875,14972,39700,18266,17394,7746,34403,15617,0,0,11937,6304
        60 - 64 anos,610165,287233,230144,110490,52524,25194,51702,24436,73133,34402,70783,32834,32276,14800,37258,17149,16884,7334,34810,15245,0,0,10651,5349
        65 - 69 anos,531061,244128,212642,97903,44540,20824,43780,20427,60197,28143,57697,26524,27048,12418,29936,13823,14248,6118,31486,13382,0,0,9487,4566
        70 - 74 anos,478530,213380,204188,92266,39658,18007,37270,16689,49378,22100,48281,21322,22057,9832,25182,11033,12957,5265,30165,12235,0,0,9394,4631
        75 - 79 anos,413827,174245,181743,78573,33551,14146,30839,12881,39952,16967,39750,16448,18131,7345,20883,8492,11606,4393,28941,10983,0,0,8431,4017
        80 - 84 anos,287715,109974,127335,50952,23239,8938,20507,7673,26803,9964,27670,10081,11508,4216,14201,5137,8836,2995,21896,7424,0,0,5720,2594
        85 - 89 anos,158859,53992,70152,25110,13298,4517,11143,3688,14716,4846,15254,4929,5904,1988,7403,2337,5178,1545,12777,3831,0,0,3034,1201
        90 ou mais anos,67796,19235,29533,9032,5965,1663,4839,1281,6498,1778,6486,1768,2310,612,2897,760,2258,550,5690,1365,0,0,1320,426
        Menos de 1 ano,91534,46357,28847,14688,8836,4595,9463,4855,12723,6248,12093,6130,5545,2781,5919,2984,1803,881,4975,2534,0,0,1330,661
        18 ou mais anos,8251086,3879820,3074351,1468876,740476,350579,728672,342810,992334,465018,984142,455705,426036,197138,496027,228986,202388,90117,462845,207550,0,0,143815,73041
      Norte,3689682,1766260,1421115,686250,256426,123730,295196,142837,444960,214163,605315,286679,64815,30683,323387,153194,237591,108104,0,0,0,0,40877,20620
          0 - 4 anos,163398,83422,57721,29508,11396,5839,14449,7484,21869,11078,28865,14683,2962,1506,15925,8182,8463,4256,0,0,0,0,1748,886
