"6.34 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,,
,,,,,,,,,,,,,,,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,
      Actividades veterinárias,3512,1054,789,321,261,117,2,1,2350,580,5,2,105,33,
      Aluguer de veículos automóveis,3885,2345,266,208,50,39,2,2,3545,2080,2,2,20,14,
      Aluguer de bens de uso pessoal e doméstico,476,279,77,52,102,70,3,1,291,155,0,0,3,1,
      Aluguer de outras máquinas e equipamentos,2883,2350,386,323,147,130,6,6,2328,1879,1,1,15,11,
"      Locação de propriedade intelectual e produtos similares, excepto direitos de autor",44,26,6,5,5,5,0,0,33,16,0,0,0,0,
      Actividades das empresas de selecção e colocação de pessoal,4567,1718,283,151,67,37,1,0,4155,1509,0,0,61,21,
      Actividades das empresas de trabalho temporário,554,352,48,31,12,12,1,1,487,304,0,0,6,4,
      Outro fornecimento de recursos humanos,5126,2566,220,133,15,13,3,2,4783,2371,0,0,105,47,
      Agências de viagem e operadores turísticos,12847,4955,1733,896,544,231,15,6,10404,3749,1,0,150,73,
      Outros serviços de reservas e actividades relacionadas,51,17,5,1,3,2,0,0,42,14,0,0,1,0,
      Actividades de  segurança privada,37153,32341,958,858,351,332,26,25,35635,30968,13,13,170,145,
      Actividades  relacionadas com sistemas de segurança,348,279,40,35,17,17,1,1,290,226,0,0,0,0,
      Actividades de investigação,74,32,2,1,6,5,0,0,56,22,0,0,10,4,
      Actividades combinadas de apoio aos  edifícios,8,4,0,0,2,2,0,0,6,2,0,0,0,0,
      Actividades de limpeza,85192,8438,3121,896,10407,442,1111,22,69586,6923,17,1,950,154,
      Actividades de plantação e manutenção de jardins,11803,9523,1288,1061,1691,1547,79,53,8566,6723,16,15,163,124,
      Actividades de serviços administrativos e  de apoio,2311,667,235,99,132,56,6,2,1899,499,0,0,39,11,
      Actividades dos centros de chamadas,6672,2501,59,29,10,5,0,0,6529,2433,1,1,73,33,
"      Organização de feiras, congressos e outros eventos similares",5337,2601,1191,694,458,242,2,1,3492,1567,1,1,193,96,
"      Actividades de serviços de apoio prestados às empresas, n.e.",10723,4433,1493,893,829,432,35,10,8178,3004,1,0,187,94,
"      Administração pública em geral, económica e social",183210,91392,0,0,0,0,0,0,183210,91392,0,0,0,0,
"      Negócios estrangeiros, defesa, justiça, segurança, ordem pública e protecção civil",121673,95005,0,0,0,0,0,0,121673,95005,0,0,0,0,
      Actividades de segurança social obrigatória,9748,1979,0,0,0,0,0,0,9748,1979,0,0,0,0,
      Educação pré-escolar,43700,1175,1735,136,173,11,32,4,41054,991,14,2,692,31,
      Ensino básico (1º e 2º Ciclos),103973,17508,2587,445,411,114,49,5,98297,16491,28,7,2601,446,
      Ensinos básico (3º Ciclo) e secundário,148144,37122,1628,461,385,121,23,4,143406,35861,16,3,2686,672,
      Ensinos pós-secundário não superior e superior,45415,19888,572,241,172,77,3,1,40771,17965,5,3,3892,1601,
      Outras actividades educativas,35313,13340,6094,2798,2640,994,19,7,24551,8894,15,6,1994,641,
      Actividades de serviços de apoio à educação,198,25,16,5,6,2,0,0,170,17,0,0,6,1,
      Actividades dos estabelecimentos de saúde com internamento,121257,29872,4803,1730,681,301,8,0,114206,27302,21,3,1538,536,
"      Actividades de prática clínica em ambulatório, de medicina dentária e de odontologia",78556,19094,10417,4704,2064,1209,14,1,64598,12709,8,2,1455,469,
      Outras actividades de saúde humana,22463,5625,2693,885,1558,497,2,0,17624,4090,3,2,583,151,
"      Actividades dos estabelecimentos de cuidados continuados integrados,  com alojamento",1808,245,135,36,4,0,1,0,1636,203,0,0,32,6,
"      Actividades dos estabelecimentos para pessoas com  doença do foro mental e do abuso de drogas, com alojamento",1409,373,60,18,8,4,0,0,1303,335,1,1,37,15,
"      Actividades de apoio social para pessoas idosas e com deficiência,  com alojamento",70688,6845,2707,432,482,29,119,10,66281,6195,21,2,1078,177,
      Outras actividades de apoio  social com alojamento,2683,370,96,17,47,5,5,0,2491,341,0,0,44,7,
"      Actividades de apoio social para pessoas idosas e com deficiência, sem alojamento",25129,1530,1150,130,918,39,83,6,22525,1272,16,4,437,79,
      Outras actividades de apoio social sem alojamento,32605,3240,1702,224,949,27,73,6,29144,2858,5,3,732,122,
"      Actividades de teatro, de música, de dança e outras actividades artísticas e literárias",10480,7158,2279,1668,3005,2188,5,3,4586,2940,3,1,602,358,
"      Actividades das bibliotecas, arquivos, museus e outras actividades culturais",6658,2314,375,153,142,73,7,3,5840,1977,1,1,293,107,
      Lotarias e outros jogos de aposta,3844,2416,210,144,172,128,5,3,3438,2134,0,0,19,7,
      Actividades desportivas,20497,12296,3327,2118,739,545,16,8,15506,9019,2,1,907,605,
      Actividades de diversão e recreativas,2247,1287,402,279,200,141,9,5,1566,831,1,0,69,31,
"      Actividades de organizações económicas, patronais e profissionais",3043,1120,133,69,41,17,1,0,2808,1008,1,1,59,25,
      Actividades de organizações sindicais,1631,526,0,0,0,0,0,0,1585,495,0,0,46,31,
      Outras actividades de organizações associativas,13994,6315,474,215,154,85,3,1,12725,5787,7,0,631,227,
      Reparação de computadores e de equipamento de comunicação,2444,2105,280,258,440,434,1,1,1700,1392,0,0,23,20,
      Reparação de bens de uso pessoal e doméstico,7126,5358,1065,827,2851,2241,69,31,3055,2200,5,4,81,55,
      Outras actividades de serviços pessoais,61133,9537,14413,2652,16055,2372,249,40,29736,4342,23,7,657,124,
      Actividades das famílias empregadoras de pessoal doméstico,81582,1198,1351,46,15735,115,5208,34,57846,957,13,0,1429,46,
      Actividades de produção de bens pelas famílias para uso próprio,3,0,0,0,2,0,0,0,1,0,0,0,0,0,
      Actividades de produção de serviços pelas famílias para uso próprio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
      Actividades dos organismos internacionais e outras instituições extra-territoriais,1189,628,47,22,5,3,1,1,1096,585,0,0,40,17,
