"6.34 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,,
,,,,,,,,,,,,,,,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,
      Fabricação de pesticidas e  de outros produtos agroquímicos,248,151,20,13,2,0,1,1,225,137,0,0,0,0,
"      Fabricação de tintas, vernizes e produtos similares; mastiques; tintas de impressão",2682,2033,166,132,16,11,3,2,2487,1879,1,1,9,8,
"      Fabricação de sabões e detergentes, produtos de limpeza e de polimento, perfumes e produtos de higiene",3305,1582,272,163,75,40,5,3,2928,1365,1,0,24,11,
      Fabricação de outros produtos químicos,981,763,117,101,17,15,0,0,840,643,0,0,7,4,
      Fabricação de fibras sintéticas ou artificiais,773,592,29,24,1,1,0,0,741,565,0,0,2,2,
      Fabricação de produtos farmacêuticos de base,252,105,15,6,0,0,0,0,235,98,0,0,2,1,
      Fabricação de preparações farmacêuticas,11078,5033,438,213,24,15,2,1,10560,4784,1,1,53,19,
      Fabricação de artigos de borracha,4959,4230,219,190,50,46,4,2,4668,3980,1,0,17,12,
      Fabricação de artigos de matérias plásticas,15184,9650,932,690,153,107,9,4,14014,8806,15,13,61,30,
      Fabricação de vidro e artigos de vidro,7370,5744,477,389,87,83,6,4,6772,5247,5,5,23,16,
      Fabricação de produtos cerâmicos refractários,331,303,8,7,1,1,0,0,320,293,0,0,2,2,
      Fabricação de produtos cerâmicos para a construção,4370,3095,270,217,109,83,5,4,3971,2781,5,1,10,9,
      Fabricação de outros  produtos de porcelana  e cerâmicos não refractários,14354,7126,648,445,422,220,26,11,13182,6417,37,14,39,19,
"      Fabricação de cimento, cal e gesso",2860,2359,98,82,29,19,5,3,2707,2239,0,0,21,16,
"      Fabricação de produtos de betão, gesso e  cimento",6441,5446,523,434,84,78,8,4,5799,4906,2,2,25,22,
"      Serragem, corte e acabamento de rochas ornamentais e de outras pedras de construção",9454,8206,1605,1379,352,337,26,23,7423,6429,10,7,38,31,
      Fabricação de produtos abrasivos e de outros produtos minerais não metálicos,667,484,24,18,4,3,0,0,638,462,0,0,1,1,
      Siderurgia e fabricação de ferro-ligas,881,761,45,38,3,3,0,0,832,719,0,0,1,1,
"      Fabricação de tubos, condutas, perfis ocos e respectivos acessórios,  de aço",691,578,32,27,11,10,0,0,645,539,1,0,2,2,
      Outras actividades da primeira transformação do aço,311,252,6,5,2,1,0,0,303,246,0,0,0,0,
      Obtenção e primeira transformação de metais preciosos e de outros metais não ferrosos,2382,1856,158,134,39,36,2,2,2174,1675,3,3,6,6,
      Fundição de metais ferrosos e não ferrosos,7290,6131,408,360,88,83,5,5,6765,5662,3,3,21,18,
      Fabricação de elementos de construção em metal,67320,59020,8799,7712,3442,3377,109,100,54622,47531,54,49,294,251,
