"3.09 - ALOJAMENTOS CLÁSSICOS, SEGUNDO A FORMA DE OCUPAÇÃO, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES, POR ÉPOCA DE CONSTRUÇÃO DO EDIFÍCIO ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Alojamentos clássicos, segundo a forma de ocupação",,,,,,,,,Famílias clássicas,Pessoas residentes,,,
Zona Geográfica,,Ocupados,,,Vagos,,,,,,,,,
Época de construção,Total         ,Total,Residência habitual,Residência secundária,Total,Para venda,Para arrendamento,Para demolição,Outros,,,,,
          2001 - 2005,39618,36682,28355,8327,2936,1287,403,46,1200,28562,79927,,,
          2006 - 2011,25920,21663,16102,5561,4257,2558,292,14,1393,16188,43752,,,
      Algarve,377619,327715,178574,149141,49904,13939,12109,1719,22137,181837,444338,,,
          Até 1919,11654,7996,5681,2315,3658,389,218,647,2404,5760,12036,,,
          1919 - 1945,17696,13046,8761,4285,4650,547,367,469,3267,8917,18602,,,
          1946 - 1960,21075,16954,11852,5102,4121,488,589,276,2768,12062,26434,,,
          1961 - 1970,25962,22309,14442,7867,3653,435,915,134,2169,14746,33327,,,
          1971 - 1980,55631,49340,29154,20186,6291,600,2831,97,2763,29805,71265,,,
          1981 - 1990,77118,70715,37466,33249,6403,824,2404,50,3125,38371,94858,,,
          1991 - 1995,36938,34191,16769,17422,2747,434,927,16,1370,17108,43876,,,
          1996 - 2000,39295,36095,17615,18480,3200,728,1199,15,1258,17854,47180,,,
          2001 - 2005,52806,48417,23352,25065,4389,1515,1503,8,1363,23623,62080,,,
          2006 - 2011,39444,28652,13482,15170,10792,7979,1156,7,1650,13591,34680,,,
    Região Autónoma dos Açores,109337,95835,80425,15410,13502,2368,2050,448,8636,81453,243270,,,
        Até 1919,7328,6063,4699,1364,1265,185,105,66,909,4767,12459,,,
        1919 - 1945,10439,8584,6796,1788,1855,293,179,102,1281,6866,19135,,,
        1946 - 1960,12345,10247,8466,1781,2098,266,239,87,1506,8603,24978,,,
        1961 - 1970,9235,7763,6315,1448,1472,221,165,80,1006,6423,18643,,,
        1971 - 1980,11352,9857,8268,1589,1495,225,229,51,990,8398,25241,,,
        1981 - 1990,18893,17014,14713,2301,1879,280,340,32,1227,14938,44845,,,
        1991 - 1995,6928,6453,5437,1016,475,57,131,5,282,5491,17808,,,
        1996 - 2000,9550,8968,7698,1270,582,88,164,11,319,7804,25376,,,
        2001 - 2005,12470,11456,9919,1537,1014,177,258,4,575,10007,30517,,,
        2006 - 2011,10797,9430,8114,1316,1367,576,240,10,541,8156,24268,,,
