"6.18 - POPULAÇÃO RESIDENTE, SEGUNDO O ESTADO CIVIL LEGAL E SEXO, POR VIVENCIA EM UNIÃO DE FACTO E GRUPO ETÁRIO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,,,,,,,,,,,,,,,
Vivência em união de facto e grupo etário,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,,,,,
        20 - 24 anos,1604,652,1534,640,14,2,54,9,2,1,,,,,,,,,,,,,,,,,,
        25 - 29 anos,2438,1146,2080,1045,55,18,291,83,12,0,,,,,,,,,,,,,,,,,,
        30 - 34 anos,2459,1294,1768,1041,59,19,618,232,14,2,,,,,,,,,,,,,,,,,,
        35 - 39 anos,1853,963,914,538,95,40,799,381,45,4,,,,,,,,,,,,,,,,,,
        40 - 44 anos,1359,720,546,321,75,29,669,363,69,7,,,,,,,,,,,,,,,,,,
        45 - 49 anos,1140,615,338,212,68,37,629,348,105,18,,,,,,,,,,,,,,,,,,
        50 - 54 anos,746,417,189,127,64,41,389,228,104,21,,,,,,,,,,,,,,,,,,
        55 - 59 anos,441,273,97,62,25,18,235,167,84,26,,,,,,,,,,,,,,,,,,
        60 - 64 anos,268,157,38,18,8,8,154,112,68,19,,,,,,,,,,,,,,,,,,
        65 - 69 anos,180,119,26,20,14,10,78,60,62,29,,,,,,,,,,,,,,,,,,
        70 - 74 anos,84,53,10,7,10,7,29,25,35,14,,,,,,,,,,,,,,,,,,
        75 ou mais anos,74,48,7,4,8,5,14,13,45,26,,,,,,,,,,,,,,,,,,
      Não vive em união de facto,233797,115021,98348,53261,111028,55510,8653,3780,15768,2470,,,,,,,,,,,,,,,,,,
        Menos de 15 anos,44197,22604,44197,22604,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
        15 - 19 anos,16682,8651,16393,8613,281,38,5,0,3,0,,,,,,,,,,,,,,,,,,
        20 - 24 anos,16116,8409,13247,7536,2732,839,126,32,11,2,,,,,,,,,,,,,,,,,,
        25 - 29 anos,15972,8139,7875,4955,7584,3013,487,168,26,3,,,,,,,,,,,,,,,,,,
        30 - 34 anos,17929,8989,4481,2800,12378,5758,1011,423,59,8,,,,,,,,,,,,,,,,,,
        35 - 39 anos,17724,8851,2890,1769,13383,6435,1349,625,102,22,,,,,,,,,,,,,,,,,,
        40 - 44 anos,16552,8353,2125,1364,12963,6422,1267,545,197,22,,,,,,,,,,,,,,,,,,
        45 - 49 anos,16847,8480,1781,1126,13302,6668,1355,613,409,73,,,,,,,,,,,,,,,,,,
        50 - 54 anos,15504,7711,1301,785,12425,6330,1103,499,675,97,,,,,,,,,,,,,,,,,,
        55 - 59 anos,13266,6703,1016,569,10512,5633,793,365,945,136,,,,,,,,,,,,,,,,,,
        60 - 64 anos,10968,5232,716,336,8380,4463,507,237,1365,196,,,,,,,,,,,,,,,,,,
        65 - 69 anos,9183,4188,640,267,6486,3524,289,122,1768,275,,,,,,,,,,,,,,,,,,
        70 - 74 anos,7776,3307,516,203,4729,2671,186,89,2345,344,,,,,,,,,,,,,,,,,,
        75 ou mais anos,15081,5404,1170,334,5873,3716,175,62,7863,1292,,,,,,,,,,,,,,,,,,
      Região Autónoma dos Açores,246772,121534,106223,57352,111524,55744,12612,5801,16413,2637,,,,,,,,,,,,,,,,,,
        Vive em união de facto,12975,6513,7875,4091,496,234,3959,2021,645,167,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,329,56,328,56,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          20 - 24 anos,1604,652,1534,640,14,2,54,9,2,1,,,,,,,,,,,,,,,,,,
          25 - 29 anos,2438,1146,2080,1045,55,18,291,83,12,0,,,,,,,,,,,,,,,,,,
          30 - 34 anos,2459,1294,1768,1041,59,19,618,232,14,2,,,,,,,,,,,,,,,,,,
          35 - 39 anos,1853,963,914,538,95,40,799,381,45,4,,,,,,,,,,,,,,,,,,
          40 - 44 anos,1359,720,546,321,75,29,669,363,69,7,,,,,,,,,,,,,,,,,,
          45 - 49 anos,1140,615,338,212,68,37,629,348,105,18,,,,,,,,,,,,,,,,,,
          50 - 54 anos,746,417,189,127,64,41,389,228,104,21,,,,,,,,,,,,,,,,,,
          55 - 59 anos,441,273,97,62,25,18,235,167,84,26,,,,,,,,,,,,,,,,,,
          60 - 64 anos,268,157,38,18,8,8,154,112,68,19,,,,,,,,,,,,,,,,,,
          65 - 69 anos,180,119,26,20,14,10,78,60,62,29,,,,,,,,,,,,,,,,,,
          70 - 74 anos,84,53,10,7,10,7,29,25,35,14,,,,,,,,,,,,,,,,,,
          75 ou mais anos,74,48,7,4,8,5,14,13,45,26,,,,,,,,,,,,,,,,,,
        Não vive em união de facto,233797,115021,98348,53261,111028,55510,8653,3780,15768,2470,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,44197,22604,44197,22604,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,16682,8651,16393,8613,281,38,5,0,3,0,,,,,,,,,,,,,,,,,,
          20 - 24 anos,16116,8409,13247,7536,2732,839,126,32,11,2,,,,,,,,,,,,,,,,,,
          25 - 29 anos,15972,8139,7875,4955,7584,3013,487,168,26,3,,,,,,,,,,,,,,,,,,
          30 - 34 anos,17929,8989,4481,2800,12378,5758,1011,423,59,8,,,,,,,,,,,,,,,,,,
          35 - 39 anos,17724,8851,2890,1769,13383,6435,1349,625,102,22,,,,,,,,,,,,,,,,,,
          40 - 44 anos,16552,8353,2125,1364,12963,6422,1267,545,197,22,,,,,,,,,,,,,,,,,,
          45 - 49 anos,16847,8480,1781,1126,13302,6668,1355,613,409,73,,,,,,,,,,,,,,,,,,
          50 - 54 anos,15504,7711,1301,785,12425,6330,1103,499,675,97,,,,,,,,,,,,,,,,,,
          55 - 59 anos,13266,6703,1016,569,10512,5633,793,365,945,136,,,,,,,,,,,,,,,,,,
          60 - 64 anos,10968,5232,716,336,8380,4463,507,237,1365,196,,,,,,,,,,,,,,,,,,
          65 - 69 anos,9183,4188,640,267,6486,3524,289,122,1768,275,,,,,,,,,,,,,,,,,,
          70 - 74 anos,7776,3307,516,203,4729,2671,186,89,2345,344,,,,,,,,,,,,,,,,,,
          75 ou mais anos,15081,5404,1170,334,5873,3716,175,62,7863,1292,,,,,,,,,,,,,,,,,,
    Região Autónoma da Madeira,267785,126268,120911,61013,113335,56410,13617,5889,19922,2956,,,,,,,,,,,,,,,,,,
      Vive em união de facto,16091,8070,10590,5249,811,442,3953,2149,737,230,,,,,,,,,,,,,,,,,,
        Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
        15 - 19 anos,169,33,167,31,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
        20 - 24 anos,1435,501,1395,494,16,4,22,3,2,0,,,,,,,,,,,,,,,,,,
        25 - 29 anos,2796,1322,2590,1251,60,23,143,47,3,1,,,,,,,,,,,,,,,,,,
        30 - 34 anos,2993,1531,2478,1342,87,29,415,158,13,2,,,,,,,,,,,,,,,,,,
        35 - 39 anos,2502,1305,1707,927,115,46,657,329,23,3,,,,,,,,,,,,,,,,,,
        40 - 44 anos,1859,968,991,543,123,70,675,342,70,13,,,,,,,,,,,,,,,,,,
        45 - 49 anos,1561,818,613,321,119,68,732,408,97,21,,,,,,,,,,,,,,,,,,
        50 - 54 anos,1121,576,328,170,114,70,562,319,117,17,,,,,,,,,,,,,,,,,,
        55 - 59 anos,703,422,153,81,77,56,361,251,112,34,,,,,,,,,,,,,,,,,,
        60 - 64 anos,408,251,68,36,39,30,208,154,93,31,,,,,,,,,,,,,,,,,,
        65 - 69 anos,249,148,44,19,27,19,99,72,79,38,,,,,,,,,,,,,,,,,,
        70 - 74 anos,156,108,32,20,19,15,55,48,50,25,,,,,,,,,,,,,,,,,,
        75 ou mais anos,139,87,24,14,14,11,24,18,77,44,,,,,,,,,,,,,,,,,,
      Não vive em união de facto,251694,118198,110321,55764,112524,55968,9664,3740,19185,2726,,,,,,,,,,,,,,,,,,
        Menos de 15 anos,44012,22554,44012,22554,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
        15 - 19 anos,16413,8388,16332,8381,78,6,1,0,2,1,,,,,,,,,,,,,,,,,,
        20 - 24 anos,15074,7854,13858,7519,1155,317,53,16,8,2,,,,,,,,,,,,,,,,,,
        25 - 29 anos,15073,7567,9807,5628,4926,1841,328,97,12,1,,,,,,,,,,,,,,,,,,
        30 - 34 anos,17830,8805,6325,3709,10666,4801,776,287,63,8,,,,,,,,,,,,,,,,,,
        35 - 39 anos,19530,9638,4368,2448,13730,6636,1321,535,111,19,,,,,,,,,,,,,,,,,,
        40 - 44 anos,19409,9499,3514,1857,14115,6988,1539,619,241,35,,,,,,,,,,,,,,,,,,
        45 - 49 anos,19980,9448,2797,1342,14995,7371,1645,664,543,71,,,,,,,,,,,,,,,,,,
        50 - 54 anos,17163,7988,1998,813,12975,6521,1336,552,854,102,,,,,,,,,,,,,,,,,,
        55 - 59 anos,14924,6876,1455,516,11168,5784,1052,411,1249,165,,,,,,,,,,,,,,,,,,
        60 - 64 anos,12932,5673,1239,311,9321,4889,687,273,1685,200,,,,,,,,,,,,,,,,,,
        65 - 69 anos,11028,4421,1248,247,7164,3764,402,156,2214,254,,,,,,,,,,,,,,,,,,
        70 - 74 anos,9892,3613,1087,175,5546,2959,228,70,3031,409,,,,,,,,,,,,,,,,,,
        75 ou mais anos,18434,5874,2281,264,6685,4091,296,60,9172,1459,,,,,,,,,,,,,,,,,,
      Região Autónoma da Madeira,267785,126268,120911,61013,113335,56410,13617,5889,19922,2956,,,,,,,,,,,,,,,,,,
        Vive em união de facto,16091,8070,10590,5249,811,442,3953,2149,737,230,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,169,33,167,31,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
          20 - 24 anos,1435,501,1395,494,16,4,22,3,2,0,,,,,,,,,,,,,,,,,,
          25 - 29 anos,2796,1322,2590,1251,60,23,143,47,3,1,,,,,,,,,,,,,,,,,,
          30 - 34 anos,2993,1531,2478,1342,87,29,415,158,13,2,,,,,,,,,,,,,,,,,,
          35 - 39 anos,2502,1305,1707,927,115,46,657,329,23,3,,,,,,,,,,,,,,,,,,
          40 - 44 anos,1859,968,991,543,123,70,675,342,70,13,,,,,,,,,,,,,,,,,,
          45 - 49 anos,1561,818,613,321,119,68,732,408,97,21,,,,,,,,,,,,,,,,,,
          50 - 54 anos,1121,576,328,170,114,70,562,319,117,17,,,,,,,,,,,,,,,,,,
          55 - 59 anos,703,422,153,81,77,56,361,251,112,34,,,,,,,,,,,,,,,,,,
          60 - 64 anos,408,251,68,36,39,30,208,154,93,31,,,,,,,,,,,,,,,,,,
          65 - 69 anos,249,148,44,19,27,19,99,72,79,38,,,,,,,,,,,,,,,,,,
          70 - 74 anos,156,108,32,20,19,15,55,48,50,25,,,,,,,,,,,,,,,,,,
          75 ou mais anos,139,87,24,14,14,11,24,18,77,44,,,,,,,,,,,,,,,,,,
        Não vive em união de facto,251694,118198,110321,55764,112524,55968,9664,3740,19185,2726,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,44012,22554,44012,22554,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,16413,8388,16332,8381,78,6,1,0,2,1,,,,,,,,,,,,,,,,,,
          20 - 24 anos,15074,7854,13858,7519,1155,317,53,16,8,2,,,,,,,,,,,,,,,,,,
          25 - 29 anos,15073,7567,9807,5628,4926,1841,328,97,12,1,,,,,,,,,,,,,,,,,,
          30 - 34 anos,17830,8805,6325,3709,10666,4801,776,287,63,8,,,,,,,,,,,,,,,,,,
          35 - 39 anos,19530,9638,4368,2448,13730,6636,1321,535,111,19,,,,,,,,,,,,,,,,,,
          40 - 44 anos,19409,9499,3514,1857,14115,6988,1539,619,241,35,,,,,,,,,,,,,,,,,,
          45 - 49 anos,19980,9448,2797,1342,14995,7371,1645,664,543,71,,,,,,,,,,,,,,,,,,
          50 - 54 anos,17163,7988,1998,813,12975,6521,1336,552,854,102,,,,,,,,,,,,,,,,,,
          55 - 59 anos,14924,6876,1455,516,11168,5784,1052,411,1249,165,,,,,,,,,,,,,,,,,,
          60 - 64 anos,12932,5673,1239,311,9321,4889,687,273,1685,200,,,,,,,,,,,,,,,,,,
          65 - 69 anos,11028,4421,1248,247,7164,3764,402,156,2214,254,,,,,,,,,,,,,,,,,,
          70 - 74 anos,9892,3613,1087,175,5546,2959,228,70,3031,409,,,,,,,,,,,,,,,,,,
          75 ou mais anos,18434,5874,2281,264,6685,4091,296,60,9172,1459,,,,,,,,,,,,,,,,,,
