"3.13 - ALOJAMENTOS CLÁSSICOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÉPOCA DE CONSTRUÇÃO DOS EDÍFICIOS, POR INSTALAÇÕES EXISTENTES NOS ALOJAMENTOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a época de construção dos edifícios",,,,,,,,,,,,
Instalações existentes,,Antes de 1919,De 1919 a 1945,De 1946 a 1960,De 1961 a 1970,De 1971 a 1980,De 1981 a 1990,De 1991 a 1995,De 1996 a 2000,De 2001 a 2005,De 2006 a 2011,,,
          Só água,362,82,88,68,46,24,24,8,5,10,7,,,
          Só sistema de aquecimento,1705,435,458,259,159,124,125,34,48,33,30,,,
          Sem instalalações,552,114,122,104,59,55,33,15,9,25,16,,,
      Algarve,178574,5681,8761,11852,14442,29154,37466,16769,17615,23352,13482,,,
"          Com água, retrete, sistema de aquecimento e instalação de banho",132600,3375,5438,7632,9876,20723,28312,13119,14415,18958,10752,,,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",594,78,89,90,65,86,77,34,29,32,14,,,
"          Com água, retrete e instalação de banho",41990,1465,2507,3576,4178,7989,8815,3506,3084,4241,2629,,,
"          Com água, retrete e sem instalação de banho",628,100,142,114,71,69,52,23,23,24,10,,,
          Só água e sistema de aquecimento,293,89,69,52,20,25,13,5,6,5,9,,,
          Só retrete e sistema de aquecimento,249,35,33,33,27,36,41,17,9,10,8,,,
          Só retrete,257,59,42,44,38,22,21,12,6,11,2,,,
          Só água,410,107,100,75,42,29,25,7,11,8,6,,,
          Só sistema de aquecimento,626,181,153,112,32,53,35,27,6,10,17,,,
          Sem instalalações,927,192,188,124,93,122,75,19,26,53,35,,,
    Região Autónoma dos Açores,80425,4699,6796,8466,6315,8268,14713,5437,7698,9919,8114,,,
"        Com água, retrete, sistema de aquecimento e instalação de banho",32315,1542,1977,2708,2027,2889,6241,2598,3579,4914,3840,,,
"        Com água, retrete, sistema de aquecimento e sem instalação de banho",126,9,18,26,11,12,16,7,12,7,8,,,
"        Com água, retrete e instalação de banho",47029,3012,4616,5585,4158,5268,8345,2811,4075,4951,4208,,,
"        Com água, retrete e sem instalação de banho",527,77,101,77,75,62,53,11,14,21,36,,,
        Só água e sistema de aquecimento,55,5,4,7,7,4,7,4,4,8,5,,,
        Só retrete e sistema de aquecimento,6,2,2,0,0,0,0,0,0,2,0,,,
        Só retrete,25,1,1,9,2,2,5,0,2,0,3,,,
        Só água,242,36,60,39,28,19,36,3,9,7,5,,,
        Só sistema de aquecimento,15,0,0,1,1,1,6,1,2,1,2,,,
        Sem instalalações,85,15,17,14,6,11,4,2,1,8,7,,,
      Região Autónoma dos Açores,80425,4699,6796,8466,6315,8268,14713,5437,7698,9919,8114,,,
"          Com água, retrete, sistema de aquecimento e instalação de banho",32315,1542,1977,2708,2027,2889,6241,2598,3579,4914,3840,,,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",126,9,18,26,11,12,16,7,12,7,8,,,
"          Com água, retrete e instalação de banho",47029,3012,4616,5585,4158,5268,8345,2811,4075,4951,4208,,,
"          Com água, retrete e sem instalação de banho",527,77,101,77,75,62,53,11,14,21,36,,,
          Só água e sistema de aquecimento,55,5,4,7,7,4,7,4,4,8,5,,,
          Só retrete e sistema de aquecimento,6,2,2,0,0,0,0,0,0,2,0,,,
          Só retrete,25,1,1,9,2,2,5,0,2,0,3,,,
          Só água,242,36,60,39,28,19,36,3,9,7,5,,,
          Só sistema de aquecimento,15,0,0,1,1,1,6,1,2,1,2,,,
          Sem instalalações,85,15,17,14,6,11,4,2,1,8,7,,,
    Região Autónoma da Madeira,92113,2774,4858,7088,7562,11744,15195,9061,12126,14561,7144,,,
"        Com água, retrete, sistema de aquecimento e instalação de banho",20123,408,707,1182,1324,2285,3237,2280,3147,3702,1851,,,
"        Com água, retrete, sistema de aquecimento e sem instalação de banho",109,5,12,16,17,12,15,9,11,8,4,,,
"        Com água, retrete e instalação de banho",70221,2132,3871,5621,6011,9220,11758,6686,8882,10788,5252,,,
"        Com água, retrete e sem instalação de banho",974,134,145,160,127,140,106,53,54,36,19,,,
        Só água e sistema de aquecimento,33,2,4,7,6,4,0,1,1,2,6,,,
        Só retrete e sistema de aquecimento,16,0,0,1,1,4,5,1,3,1,0,,,
        Só retrete,109,12,18,22,14,10,14,7,6,3,3,,,
        Só água,356,55,66,66,46,45,32,12,14,14,6,,,
        Só sistema de aquecimento,10,2,1,0,1,3,2,1,0,0,0,,,
        Sem instalalações,162,24,34,13,15,21,26,11,8,7,3,,,
      Região Autónoma da Madeira,92113,2774,4858,7088,7562,11744,15195,9061,12126,14561,7144,,,
"          Com água, retrete, sistema de aquecimento e instalação de banho",20123,408,707,1182,1324,2285,3237,2280,3147,3702,1851,,,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",109,5,12,16,17,12,15,9,11,8,4,,,
"          Com água, retrete e instalação de banho",70221,2132,3871,5621,6011,9220,11758,6686,8882,10788,5252,,,
"          Com água, retrete e sem instalação de banho",974,134,145,160,127,140,106,53,54,36,19,,,
          Só água e sistema de aquecimento,33,2,4,7,6,4,0,1,1,2,6,,,
          Só retrete e sistema de aquecimento,16,0,0,1,1,4,5,1,3,1,0,,,
          Só retrete,109,12,18,22,14,10,14,7,6,3,3,,,
          Só água,356,55,66,66,46,45,32,12,14,14,6,,,
          Só sistema de aquecimento,10,2,1,0,1,3,2,1,0,0,0,,,
          Sem instalalações,162,24,34,13,15,21,26,11,8,7,3,,,
