"6.07 - POPULAÇÃO PORTUGUESA RESIDENTE, NASCIDA NO ESTRANGEIRO, SEGUNDO O GRUPO ETÁRIO, POR PAISES DE NATURALIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 a 84 anos,De 85 ou mais anos,,,,,,,,,
País de naturalidade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  H,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
      Hungria  HM,69,3,2,4,2,4,3,4,9,3,6,5,4,4,3,5,2,3,3,,,,,,,,,
               H,21,2,0,2,1,0,1,0,4,0,3,3,0,0,1,3,1,0,0,,,,,,,,,
      Roménia  HM,901,27,28,35,47,52,82,189,179,115,67,41,24,6,1,3,1,3,1,,,,,,,,,
               H,471,16,22,17,22,23,42,77,103,65,42,22,13,4,0,0,1,2,0,,,,,,,,,
      Bulgária  HM,353,8,5,9,13,32,35,39,39,48,43,40,18,17,3,2,2,0,0,,,,,,,,,
                H,153,4,1,5,4,13,13,15,18,16,21,20,8,9,3,1,2,0,0,,,,,,,,,
      Eslovénia  HM,9,0,0,2,0,0,0,2,0,0,0,0,1,3,0,1,0,0,0,,,,,,,,,
                 H,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
      Chipre  HM,7,0,0,1,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,
              H,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,
      Outros países (parcial)  HM,24182,753,1470,3718,5811,3788,1709,1689,1897,1274,939,595,268,128,64,27,25,9,18,,,,,,,,,
                               H,12406,379,738,1910,2944,1890,740,892,1062,728,522,339,152,61,29,9,6,3,2,,,,,,,,,
      Noruega  HM,59,11,8,4,6,4,4,5,7,1,1,0,3,1,1,1,2,0,0,,,,,,,,,
               H,27,6,5,2,4,1,1,1,2,0,0,0,2,1,0,1,1,0,0,,,,,,,,,
      Suíça  HM,15246,519,1206,3073,5001,3260,1194,310,194,119,103,75,52,48,38,20,15,8,11,,,,,,,,,
             H,7607,264,599,1593,2520,1617,555,143,91,55,50,41,27,21,19,6,3,3,0,,,,,,,,,
      Rússia (Federação da)  HM,1259,18,9,41,58,98,117,165,210,176,162,119,49,26,7,1,1,0,2,,,,,,,,,
                             H,505,9,5,25,32,49,34,60,83,67,62,47,19,10,1,0,1,0,1,,,,,,,,,
      Outros países - Europa  HM,7618,205,247,600,746,426,394,1209,1486,978,673,401,164,53,18,5,7,1,5,,,,,,,,,
                              H,4267,100,129,290,388,223,150,688,886,606,410,251,104,29,9,2,1,0,1,,,,,,,,,
      África  HM,273448,894,1485,3074,4924,5967,7665,12722,50142,46972,39093,32003,24263,14819,9539,7372,5960,3857,2697,,,,,,,,,
              H,127010,469,773,1569,2522,2877,3561,5857,24284,22660,18905,14935,10882,6459,4070,2972,2211,1286,718,,,,,,,,,
      África do Sul  HM,10338,33,86,304,647,1170,1479,1692,2084,1753,486,201,95,101,60,63,35,25,24,,,,,,,,,
                     H,4856,16,47,156,333,569,727,801,996,820,199,73,33,23,14,20,14,7,8,,,,,,,,,
      Angola  HM,136312,336,473,880,1147,1597,2129,4031,28517,25839,20628,16742,12121,7215,4537,3645,3021,2033,1421,,,,,,,,,
              H,62106,179,251,444,569,777,1012,1892,13911,12495,9778,7516,5203,2939,1815,1320,1060,633,312,,,,,,,,,
      Cabo Verde  HM,27676,176,303,760,1461,1334,1420,1864,2392,2846,3030,3254,3297,1713,1339,1071,757,390,269,,,,,,,,,
