"6.05 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NACIONALIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 a 84 anos,De 85 ou mais anos,,,,,,,,,
Nacionalidade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Polónia  HM,731,20,16,13,14,70,180,156,101,52,37,22,19,14,6,5,2,2,2,,,,,,,,,
               H,195,10,5,5,8,9,27,34,24,22,19,8,11,6,3,1,1,0,2,,,,,,,,,
      República Checa  HM,165,3,3,4,4,9,50,36,20,11,9,6,3,2,3,0,0,1,1,,,,,,,,,
                       H,39,1,1,1,2,0,8,3,5,5,4,4,1,1,1,0,0,1,1,,,,,,,,,
      Eslováquia  HM,86,3,0,1,2,4,22,36,6,4,3,1,4,0,0,0,0,0,0,,,,,,,,,
                  H,22,1,0,1,1,0,2,7,4,1,2,1,2,0,0,0,0,0,0,,,,,,,,,
      Hungria  HM,303,11,15,12,8,12,40,58,68,34,17,7,7,5,5,1,1,1,1,,,,,,,,,
               H,87,1,6,5,6,3,10,10,14,7,9,4,4,3,2,1,1,1,0,,,,,,,,,
      Roménia  HM,22816,1149,1188,1291,1358,2775,3265,3830,2948,2314,1228,873,422,99,43,15,11,3,4,,,,,,,,,
               H,11699,574,621,687,690,1288,1574,1991,1599,1235,632,495,230,54,15,7,4,0,3,,,,,,,,,
      Bulgária  HM,4896,177,196,245,306,555,568,609,567,561,508,341,166,71,9,7,4,4,2,,,,,,,,,
                H,2558,84,108,126,164,298,295,321,287,271,266,184,99,45,4,2,2,1,1,,,,,,,,,
      Eslovénia  HM,48,3,1,0,0,5,10,10,6,6,1,1,2,2,1,0,0,0,0,,,,,,,,,
                 H,14,3,0,0,0,0,1,5,2,0,0,0,2,1,0,0,0,0,0,,,,,,,,,
      Chipre  HM,11,0,1,1,0,0,5,0,1,1,0,2,0,0,0,0,0,0,0,,,,,,,,,
              H,6,0,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,,,,,,,,,
      Outros países (parcial)  HM,48730,1856,1919,3066,3434,3091,3712,6591,7111,5656,4957,3944,2010,777,289,169,65,50,33,,,,,,,,,
                               H,24143,963,961,1517,1694,1496,1480,3064,3572,2933,2641,2124,1051,370,138,68,30,28,13,,,,,,,,,
      Noruega  HM,294,5,6,6,7,8,10,16,14,23,23,28,20,32,42,25,19,7,3,,,,,,,,,
               H,146,2,5,3,2,2,4,5,5,12,12,13,6,19,29,10,11,5,1,,,,,,,,,
      Suíça  HM,1543,56,110,199,263,123,46,41,50,56,88,84,85,109,112,60,23,27,11,,,,,,,,,
             H,771,35,47,106,123,59,23,10,21,25,37,49,45,54,67,36,11,18,5,,,,,,,,,
