"3.19 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais ,,,
"        100 - 149,99 euros",296,1,0,19,69,103,63,23,6,6,6,296,856,
        150 - 199.99 euros,366,0,1,28,108,131,51,26,9,4,8,367,1027,
"        200 - 249,99 euros",578,1,6,48,166,201,80,41,19,6,10,582,1600,
"        250 - 299,99 euros",863,0,6,54,255,314,118,53,32,17,14,864,2491,
"        300 - 349,99 euros",962,0,6,67,290,338,138,65,31,14,13,964,2797,
"        350 - 399,99 euros",1002,0,6,49,258,405,162,66,25,15,16,1002,3007,
"        400 - 499,99 euros",1829,0,5,73,425,682,316,157,83,41,47,1835,5548,
"        500 - 649,99 euros",1684,0,4,37,266,620,372,212,97,44,32,1688,5420,
"        650 - 799,99 euros",909,0,1,9,108,293,219,138,71,41,29,910,2984,
        800 euros ou mais,1131,1,2,8,77,279,301,205,123,67,68,1132,3788,
      Pequenos patrões da indústria,70727,31,267,1888,11926,24523,14067,8404,4287,2530,2804,71195,236585,
        Sem encargos,35348,23,138,823,5070,11749,7289,4699,2437,1481,1639,35656,116259,
        Com encargos,35379,8,129,1065,6856,12774,6778,3705,1850,1049,1165,35539,120326,
        Menos de 75 euros,641,0,3,29,133,207,112,78,30,21,28,645,2079,
"        75  - 99,99 euros",570,0,5,30,118,200,116,47,23,14,17,571,1904,
"        100 - 149,99 euros",1337,0,6,46,271,506,223,135,73,37,40,1341,4567,
        150 - 199.99 euros,1700,1,10,72,378,612,286,163,82,41,55,1705,5698,
"        200 - 249,99 euros",2638,1,10,135,626,983,438,221,107,58,59,2647,8868,
"        250 - 299,99 euros",3504,1,20,142,840,1369,555,289,131,81,76,3514,11769,
"        300 - 349,99 euros",3554,2,10,132,843,1413,563,275,138,84,94,3570,11874,
"        350 - 399,99 euros",3574,0,15,108,845,1353,618,295,160,96,84,3585,12164,
