"3.19 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais ,,,
        Com encargos,227914,216,2247,18614,79437,80213,25230,11257,5378,2762,2560,228997,652497,
        Menos de 75 euros,4324,20,70,407,1500,1477,449,203,104,59,35,4351,11816,
"        75  - 99,99 euros",4147,4,53,376,1544,1420,409,186,66,48,41,4166,11324,
"        100 - 149,99 euros",10131,17,157,993,3473,3573,999,472,224,120,103,10181,27850,
        150 - 199.99 euros,15905,38,277,1852,5927,5133,1466,613,303,157,139,15966,42542,
"        200 - 249,99 euros",23214,32,378,2853,8920,7421,1943,864,412,205,186,23299,62032,
"        250 - 299,99 euros",32418,29,384,3451,12904,10647,2776,1119,587,273,248,32521,89075,
"        300 - 349,99 euros",30131,16,269,2575,11787,10400,2722,1177,599,313,273,30219,85127,
"        350 - 399,99 euros",27807,10,202,1973,10239,10174,2845,1203,610,293,258,27915,80811,
"        400 - 499,99 euros",40851,20,289,2666,13925,15172,4653,2033,1055,519,519,41135,119761,
"        500 - 649,99 euros",22364,10,63,787,5582,8959,3738,1743,703,399,380,22475,69812,
"        650 - 799,99 euros",10482,13,71,449,2461,3853,1933,907,382,195,218,10573,32802,
        800 euros ou mais,6140,7,34,232,1175,1984,1297,737,333,181,160,6196,19545,
      Operários qualificados e semi-qualificados,380220,377,2685,19450,108692,148104,52129,24556,11918,6408,5901,383107,1241114,
        Sem encargos,151210,275,1364,7468,35999,58197,24143,12240,5858,3040,2626,152941,489581,
        Com encargos,229010,102,1321,11982,72693,89907,27986,12316,6060,3368,3275,230166,751533,
        Menos de 75 euros,4797,7,63,370,1637,1717,514,231,125,74,59,4827,14844,
"        75  - 99,99 euros",4593,5,40,273,1446,1725,582,280,122,63,57,4621,14776,
"        100 - 149,99 euros",11776,11,103,690,3517,4534,1535,677,354,186,169,11827,38624,
        150 - 199.99 euros,17658,16,143,1101,5519,6833,2141,958,485,250,212,17727,57735,
"        200 - 249,99 euros",25951,12,167,1601,8773,10072,2783,1262,627,337,317,26035,84109,
"        250 - 299,99 euros",35182,10,203,2001,12220,13675,3840,1561,831,458,383,35311,114565,
"        300 - 349,99 euros",31655,10,155,1635,10953,12406,3470,1438,730,450,408,31795,103376,
"        350 - 399,99 euros",27264,5,114,1317,8998,10904,3125,1417,646,352,386,27375,89623,
"        400 - 499,99 euros",39848,13,186,1849,12367,15956,4995,2195,1072,572,643,40128,131520,
"        500 - 649,99 euros",17289,1,58,577,4045,7208,2873,1233,571,353,370,17405,58358,
"        650 - 799,99 euros",8515,7,65,395,2179,3252,1340,645,299,170,163,8593,28843,
        800 euros ou mais,4482,5,24,173,1039,1625,788,419,198,103,108,4522,15160,
      Assalariados do sector primário,20705,91,291,1348,5549,7385,3125,1520,691,340,365,20967,65915,
        Sem encargos,12738,73,208,868,3188,4520,2020,996,438,216,211,12910,39190,
        Com encargos,7967,18,83,480,2361,2865,1105,524,253,124,154,8057,26725,
        Menos de 75 euros,333,3,3,23,106,114,52,17,6,7,2,336,1083,
"        75  - 99,99 euros",256,0,2,22,82,95,23,16,10,5,1,260,824,
"        100 - 149,99 euros",635,0,10,46,170,213,98,53,17,14,14,637,2186,
        150 - 199.99 euros,776,1,15,60,227,266,96,55,30,10,16,780,2588,
"        200 - 249,99 euros",944,2,13,57,294,350,119,52,34,11,12,948,3128,
"        250 - 299,99 euros",1030,1,8,57,344,369,133,52,32,15,19,1036,3429,
"        300 - 349,99 euros",908,2,6,47,290,335,120,49,25,14,20,916,2990,
"        350 - 399,99 euros",771,0,2,44,227,287,115,49,20,16,11,776,2630,
"        400 - 499,99 euros",1248,7,15,64,366,465,166,85,37,18,25,1278,4157,
"        500 - 649,99 euros",480,0,1,21,113,184,79,40,22,5,15,489,1685,
"        650 - 799,99 euros",385,1,6,28,99,128,59,36,12,6,10,394,1313,
        800 euros ou mais,201,1,2,11,43,59,45,20,8,3,9,207,712,
      Trabalhadores administrativos do comércio e serviços não qualificados,72372,193,1054,6348,23964,24431,8649,3915,1908,981,929,73119,208306,
        Sem encargos,34497,138,535,2807,10026,11635,4883,2291,1116,562,504,34908,95166,
        Com encargos,37875,55,519,3541,13938,12796,3766,1624,792,419,425,38211,113140,
        Menos de 75 euros,1439,3,23,181,474,491,146,54,35,18,14,1448,4024,
"        75  - 99,99 euros",1091,2,15,113,366,400,111,49,14,12,9,1097,3007,
"        100 - 149,99 euros",2531,3,39,282,902,855,218,119,56,25,32,2545,6989,
        150 - 199.99 euros,3415,8,74,386,1226,1121,337,135,69,23,36,3436,9574,
"        200 - 249,99 euros",4464,10,83,496,1706,1437,390,170,81,57,34,4496,12702,
"        250 - 299,99 euros",5198,4,85,522,2103,1621,461,193,111,56,42,5219,15349,
"        300 - 349,99 euros",4601,4,46,395,1803,1580,416,185,91,48,33,4631,14062,
"        350 - 399,99 euros",3835,4,26,319,1517,1339,355,137,56,39,43,3863,11899,
"        400 - 499,99 euros",6292,10,82,519,2344,2171,637,263,116,74,76,6382,19519,
"        500 - 649,99 euros",2419,1,8,118,732,938,322,147,75,31,47,2448,7956,
"        650 - 799,99 euros",1748,5,22,140,530,590,256,100,49,21,35,1783,5441,
        800 euros ou mais,842,1,16,70,235,253,117,72,39,15,24,863,2618,
      Operários não qualificados,45361,113,473,3011,13354,16815,5975,2814,1373,743,690,45812,142710,
        Sem encargos,20700,81,286,1371,5271,7602,3105,1545,713,381,345,20964,64327,
        Com encargos,24661,32,187,1640,8083,9213,2870,1269,660,362,345,24848,78383,
        Menos de 75 euros,655,1,10,50,213,239,66,34,20,14,8,661,1953,
"        75  - 99,99 euros",551,1,9,39,163,211,65,37,17,3,6,556,1698,
"        100 - 149,99 euros",1411,8,22,90,439,524,176,80,29,25,18,1421,4510,
        150 - 199.99 euros,2077,2,20,166,700,737,254,96,54,23,25,2091,6395,
"        200 - 249,99 euros",3089,8,33,244,1020,1128,323,146,106,45,36,3106,9606,
"        250 - 299,99 euros",3819,3,21,282,1329,1456,395,149,103,45,36,3836,11936,
"        300 - 349,99 euros",3317,0,20,200,1145,1290,348,150,72,49,43,3327,10474,
"        350 - 399,99 euros",2686,3,11,169,924,1031,283,132,50,37,46,2703,8595,
"        400 - 499,99 euros",4064,3,22,252,1369,1476,484,229,115,58,56,4115,13281,
"        500 - 649,99 euros",1547,0,5,68,375,637,249,102,44,31,36,1565,5212,
"        650 - 799,99 euros",943,2,10,54,275,311,143,78,33,15,22,959,3056,
        800 euros ou mais,502,1,4,26,131,173,84,36,17,17,13,508,1667,
      Trabalhadores não qualificados do sector primário,6212,61,113,423,1683,2264,894,402,186,96,90,6422,19303,
        Sem encargos,4277,46,97,320,1190,1520,611,260,123,56,54,4420,12796,
        Com encargos,1935,15,16,103,493,744,283,142,63,40,36,2002,6507,
        Menos de 75 euros,140,0,2,14,40,51,15,8,5,3,2,141,435,
"        75  - 99,99 euros",105,0,3,6,21,48,16,7,2,0,2,109,345,
"        100 - 149,99 euros",212,1,4,13,63,74,28,12,6,7,4,214,723,
        150 - 199.99 euros,261,1,1,8,64,108,40,22,9,6,2,261,883,
"        200 - 249,99 euros",240,0,1,14,63,102,30,16,5,4,5,241,804,
"        250 - 299,99 euros",214,0,1,11,56,77,35,18,6,5,5,214,724,
"        300 - 349,99 euros",169,1,1,4,45,62,29,13,8,3,3,176,609,
"        350 - 399,99 euros",143,2,1,2,35,61,20,10,4,4,4,156,488,
"        400 - 499,99 euros",271,7,0,16,70,106,36,22,6,3,5,305,880,
"        500 - 649,99 euros",80,1,0,8,13,22,19,6,6,4,1,81,269,
"        650 - 799,99 euros",63,0,0,4,17,22,12,4,3,0,1,66,223,
        800 euros ou mais,37,2,2,3,6,11,3,4,3,1,2,38,124,
      Pessoal das forças armadas,13503,7,44,442,3357,5494,2254,1082,441,210,172,13533,41202,
        Sem encargos,2155,1,8,66,471,818,363,208,116,58,46,2164,6659,
        Com encargos,11348,6,36,376,2886,4676,1891,874,325,152,126,11369,34543,
        Menos de 75 euros,220,0,1,6,69,103,25,11,3,1,1,220,701,
"        75  - 99,99 euros",158,0,2,6,42,68,26,9,1,3,1,158,476,
"        100 - 149,99 euros",426,2,2,20,109,177,77,28,5,4,2,426,1347,
        150 - 199.99 euros,601,0,1,20,190,242,74,37,18,7,12,601,1808,
"        200 - 249,99 euros",816,1,4,52,260,330,96,39,22,6,6,818,2377,
"        250 - 299,99 euros",1268,2,4,67,459,486,133,71,24,14,8,1274,3636,
"        300 - 349,99 euros",1340,0,6,61,468,513,184,59,28,11,10,1343,3812,
"        350 - 399,99 euros",1356,0,5,47,392,590,191,77,30,15,9,1358,3937,
"        400 - 499,99 euros",2191,0,4,65,520,974,351,171,59,23,24,2197,6595,
"        500 - 649,99 euros",1593,1,4,18,249,695,365,159,54,26,22,1595,5146,
"        650 - 799,99 euros",788,0,3,10,88,290,207,106,47,22,15,788,2650,
        800 euros ou mais,591,0,0,4,40,208,162,107,34,20,16,591,2058,
      Outras pessoas activas n.e.,8800,58,201,845,2515,2779,1208,569,272,170,183,8877,25040,
        Sem encargos,4010,46,121,367,998,1238,598,321,134,85,102,4052,11060,
        Com encargos,4790,12,80,478,1517,1541,610,248,138,85,81,4825,13980,
        Menos de 75 euros,192,0,9,26,48,61,25,11,3,6,3,192,557,
"        75  - 99,99 euros",116,1,3,17,36,39,11,3,3,2,1,116,320,
"        100 - 149,99 euros",246,2,7,23,76,76,28,17,8,7,2,248,696,
        150 - 199.99 euros,350,0,5,41,106,115,43,26,5,5,4,355,963,
"        200 - 249,99 euros",430,3,5,58,150,123,45,21,13,9,3,430,1217,
"        250 - 299,99 euros",604,1,16,77,225,189,45,28,12,5,6,607,1726,
"        300 - 349,99 euros",602,2,8,69,207,189,73,16,17,12,9,606,1768,
"        350 - 399,99 euros",520,0,9,50,194,161,61,15,12,10,8,522,1519,
"        400 - 499,99 euros",778,2,9,65,244,284,95,31,19,8,21,788,2248,
"        500 - 649,99 euros",485,1,3,27,141,166,86,33,17,5,6,492,1527,
"        650 - 799,99 euros",218,0,4,15,51,69,37,22,9,6,5,219,668,
        800 euros ou mais,249,0,2,10,39,69,61,25,20,10,13,250,771,
      Inactivos,1231974,3284,15123,83409,327684,418310,193017,97579,45723,24770,23075,1242361,2712902,
        Sem encargos,1057279,2985,13249,70624,276415,356301,169284,86246,40195,21695,20285,1065754,2271337,
        Com encargos,174695,299,1874,12785,51269,62009,23733,11333,5528,3075,2790,176607,441565,
        Menos de 75 euros,19162,69,343,1770,6508,6440,2213,921,459,240,199,19324,43669,
"        75  - 99,99 euros",8860,14,101,723,2679,3305,1097,512,209,119,101,8930,21380,
"        100 - 149,99 euros",14808,29,166,1222,4513,5470,1800,855,389,204,160,14941,36655,
        150 - 199.99 euros,14103,18,150,1106,4357,5328,1657,737,393,193,164,14215,35950,
"        200 - 249,99 euros",13837,14,128,1090,4320,5052,1711,733,403,218,168,13951,35776,
"        250 - 299,99 euros",13017,10,108,974,4050,4704,1595,747,419,235,175,13162,34968,
"        300 - 349,99 euros",11851,14,112,866,3571,4240,1580,755,332,189,192,11965,31660,
"        350 - 399,99 euros",11129,14,95,718,3245,4124,1470,711,348,219,185,11245,30026,
"        400 - 499,99 euros",26641,52,267,1934,8009,9639,3515,1650,776,422,377,27045,67579,
"        500 - 649,99 euros",12395,9,71,596,2887,4436,2170,1107,546,303,270,12539,33404,
"        650 - 799,99 euros",18502,38,240,1276,4999,6097,2979,1456,653,376,388,18760,43762,
        800 euros ou mais,10390,18,93,510,2131,3174,1946,1149,601,357,411,10530,26736,
