"6.11 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2009), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Terras de Bouro,7253,3478,95,48,74,41,25,16,0,0,4,2,0,0,5,3,0,0,6,2,0,0,13,6,8,4,8,5,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1
            Vila Verde,47888,22945,767,401,419,268,207,130,6,4,24,12,1,0,2,1,1,1,31,27,1,1,25,14,29,17,6,5,5,3,0,0,3,1,2,0,26,17,0,0,21,15,11,8,0,0,6,4,0,0,4,2,8,6
          Ave,511737,247027,7378,3616,3160,1816,1044,589,29,19,246,133,13,8,163,81,21,11,504,325,37,22,94,51,406,252,45,23,30,12,3,1,15,6,1,0,108,69,7,3,25,16,13,11,17,10,179,74,0,0,12,3,148,97
            Fafe,50633,23946,504,233,412,235,250,141,1,1,7,3,0,0,1,0,1,1,34,20,6,3,14,5,35,28,15,7,0,0,1,1,0,0,0,0,10,9,3,1,5,3,0,0,0,0,22,7,0,0,2,1,5,4
            Guimarães,158124,76767,1730,861,946,555,295,159,10,7,73,43,7,4,61,33,10,5,157,113,11,6,19,13,100,59,8,5,23,10,1,0,0,0,0,0,38,23,0,0,10,6,3,3,0,0,53,25,0,0,2,0,65,41
            Póvoa de Lanhoso,21886,10413,369,176,293,176,103,58,1,0,4,2,0,0,1,1,0,0,56,29,1,1,12,5,90,66,7,4,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,3,0,0,0,0,7,5
            Vieira do Minho,12997,6252,167,76,107,63,38,25,1,0,1,0,0,0,3,2,0,0,12,9,0,0,5,4,25,13,10,5,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,5,1,1,1,0,0,1,0,2,1
            Vila Nova de Famalicão,133832,64849,2058,1015,787,446,213,126,7,5,75,41,2,2,51,20,2,2,138,84,13,9,19,9,103,60,3,1,4,1,1,0,8,3,0,0,31,21,1,1,6,4,7,6,5,4,57,19,0,0,2,1,39,27
            Vizela,23736,11653,480,244,111,62,31,17,0,0,7,4,0,0,12,3,1,0,18,15,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,16,9,0,0,1,0,4,2
            Santo Tirso,71530,34334,1186,577,325,174,63,34,4,3,67,34,2,1,23,14,6,2,56,30,6,3,20,11,28,14,2,1,0,0,0,0,1,1,1,0,12,8,0,0,1,1,1,1,4,3,12,5,0,0,4,1,12,7
            Trofa,38999,18813,884,434,179,105,51,29,5,3,12,6,2,1,11,8,1,1,33,25,0,0,5,4,10,4,0,0,1,0,0,0,5,1,0,0,10,3,2,1,1,1,2,1,3,2,11,5,0,0,0,0,14,10
          Grande Porto,1287282,610455,36125,17555,6756,3713,1054,594,120,77,338,192,97,55,689,393,88,58,1077,645,89,48,127,64,293,178,49,32,78,43,35,15,68,30,19,6,599,383,29,13,128,74,55,27,93,40,893,355,41,20,90,43,607,328
            Espinho,31786,15112,833,394,174,100,35,20,3,2,5,3,0,0,11,6,1,0,38,26,6,3,8,4,8,5,1,0,8,3,0,0,0,0,0,0,8,8,2,1,6,5,2,0,16,6,8,1,0,0,2,2,6,5
            Gondomar,168027,81007,4156,1998,617,371,118,71,18,8,43,26,6,3,64,35,9,8,116,73,21,10,18,11,31,21,7,3,2,2,0,0,9,5,0,0,55,38,0,0,3,3,3,2,3,2,48,24,1,0,4,3,38,23
            Maia,135306,64855,4933,2394,615,337,104,56,8,6,28,17,4,2,64,34,9,4,95,56,2,1,14,8,19,11,2,1,5,4,1,0,5,2,0,0,73,53,6,3,3,2,0,0,19,5,91,32,4,1,9,5,50,34
