"6.11 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2009), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Miranda do Douro,7482,3667,138,75,89,48,46,25,0,0,2,1,0,0,2,2,0,0,35,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
            Mirandela,23850,11353,397,169,238,137,60,33,0,0,9,5,0,0,4,3,0,0,38,21,2,1,4,3,22,14,29,13,0,0,0,0,1,0,3,1,41,27,1,1,3,2,0,0,0,0,9,7,0,0,2,1,10,5
            Mogadouro,9542,4699,127,62,132,76,27,14,2,1,2,1,0,0,2,1,0,0,87,52,0,0,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2
            Vimioso,4669,2283,79,41,85,43,52,26,0,0,0,0,0,0,0,0,0,0,27,16,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
            Vinhais,9066,4485,94,41,107,61,65,36,0,0,3,1,0,0,2,1,0,0,19,12,1,1,0,0,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,3,2
            Boticas,5750,2779,45,21,76,45,34,19,0,0,1,1,0,0,6,3,0,0,6,5,3,2,3,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,2,0,0,2,2,0,0,0,0,1,1
            Chaves,41243,19738,711,351,572,304,258,128,3,1,16,9,2,0,8,3,0,0,84,50,2,1,7,4,51,29,32,21,2,1,0,0,4,1,0,0,11,9,1,1,33,16,4,2,0,0,33,11,0,0,2,2,19,15
            Montalegre,10537,5096,89,37,136,79,59,31,0,0,9,6,0,0,15,9,1,1,9,4,2,1,9,5,14,10,1,1,0,0,0,0,0,0,0,0,3,2,0,0,9,6,0,0,0,0,4,2,0,0,0,0,1,1
            Murça,5952,2900,103,45,60,38,21,15,0,0,3,3,0,0,4,2,0,0,10,6,0,0,4,2,16,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Valpaços,16882,7975,190,79,271,145,110,53,2,1,8,5,0,0,4,3,0,0,34,20,3,1,5,3,27,17,44,24,0,0,5,4,1,0,0,0,5,3,0,0,4,2,9,5,0,0,8,3,0,0,0,0,2,1
            Vila Pouca de Aguiar,13187,6362,153,68,175,89,44,20,1,1,22,10,0,0,5,3,1,1,24,12,3,1,4,2,52,31,3,2,0,0,0,0,0,0,0,0,1,0,0,0,7,3,1,1,2,1,4,1,0,0,1,0,0,0
        Centro,2327755,1111263,53290,25320,17012,9266,4747,2603,235,131,1153,621,131,67,1203,676,171,103,1237,748,190,107,541,311,1416,851,98,52,284,151,61,29,319,126,98,48,1074,607,67,30,799,434,347,185,232,120,1564,685,54,27,129,55,862,499
          Baixo Vouga,390822,187078,9759,4590,3108,1661,639,343,33,18,168,85,19,8,203,125,37,24,324,207,29,16,97,53,200,114,33,14,60,29,11,6,47,16,11,5,203,100,8,6,318,171,64,34,204,104,234,90,5,5,17,8,144,80
            Águeda,47729,22891,962,456,372,216,75,41,1,0,17,10,0,0,32,16,3,3,51,33,5,3,16,8,28,20,9,4,11,5,0,0,17,10,0,0,25,12,0,0,15,10,6,4,24,15,20,11,0,0,0,0,17,11
            Albergaria-a-Velha,25252,12230,502,225,146,82,36,21,0,0,11,5,1,0,6,3,2,2,6,4,0,0,3,1,22,12,2,0,0,0,0,0,1,1,0,0,6,6,0,0,10,6,6,3,10,4,9,4,0,0,0,0,15,10
            Anadia,29150,13967,575,283,242,133,61,29,4,3,2,1,1,0,20,14,2,2,17,11,2,0,17,10,13,10,0,0,0,0,11,6,4,1,0,0,19,10,2,2,31,16,2,1,12,6,17,7,0,0,0,0,5,4
            Aveiro,78450,37120,2571,1194,666,323,90,47,12,5,31,14,6,2,52,29,12,6,67,43,9,6,17,11,28,12,7,3,9,3,0,0,15,1,1,0,62,27,1,1,30,14,9,6,47,23,98,37,5,5,4,3,54,25
            Estarreja,26997,13012,650,312,144,85,31,20,0,0,11,7,0,0,5,3,0,0,34,25,0,0,8,5,8,4,0,0,1,1,0,0,1,0,1,0,3,2,1,0,14,6,0,0,18,7,4,1,0,0,0,0,4,4
            Ílhavo,38598,18407,1034,477,260,140,47,23,0,0,21,9,5,2,12,9,10,5,36,21,1,1,3,2,16,9,3,1,3,2,0,0,1,0,1,0,15,7,1,1,32,20,8,4,14,7,14,7,0,0,3,1,14,9
            Mealhada,20428,9823,511,233,119,68,38,22,1,1,3,2,1,1,8,5,0,0,9,6,0,0,5,3,5,3,1,0,8,5,0,0,3,2,0,0,8,5,0,0,9,5,4,2,0,0,11,3,0,0,2,1,3,2
            Murtosa,10585,5096,204,100,182,93,23,12,0,0,12,6,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,103,53,10,4,12,7,4,1,0,0,0,0,4,2
            Oliveira do Bairro,23028,10915,882,419,215,118,45,23,4,3,11,6,0,0,29,20,1,0,14,11,1,1,12,7,14,8,3,2,7,2,0,0,0,0,3,2,17,8,0,0,14,7,1,1,23,14,14,3,0,0,1,0,1,0
            Ovar,55398,26671,1212,593,372,197,80,47,10,5,27,14,2,2,24,15,7,6,56,33,9,4,11,3,30,12,5,2,19,10,0,0,2,0,0,0,20,9,2,1,16,10,3,2,9,3,19,7,0,0,3,2,18,10
            Sever do Vouga,12356,5962,139,71,83,48,22,11,1,1,2,1,0,0,4,3,0,0,4,2,1,0,2,1,24,17,1,1,0,0,0,0,2,1,5,3,3,2,1,1,1,0,2,1,1,0,2,2,0,0,2,0,3,1
            Vagos,22851,10984,517,227,307,158,91,47,0,0,20,10,3,1,11,8,0,0,18,10,1,1,3,2,12,7,2,1,1,1,0,0,1,0,0,0,24,12,0,0,43,24,13,6,34,18,22,7,0,0,2,1,6,2
          Baixo Mondego,332326,156603,7724,3677,2125,1159,506,285,20,13,105,64,21,11,127,74,17,8,150,82,21,9,126,73,123,77,7,4,16,9,10,4,20,10,1,1,192,108,13,7,84,47,56,28,12,7,350,167,3,1,20,9,125,61
            Cantanhede,36595,17394,765,376,298,171,121,67,0,0,6,4,2,2,13,8,1,1,24,13,1,0,13,8,32,24,0,0,0,0,0,0,1,0,0,0,20,8,2,1,28,17,7,3,3,2,15,9,0,0,4,2,5,2
            Coimbra,143396,66941,3590,1700,895,478,107,61,10,6,44,29,15,8,65,39,8,2,64,30,12,5,13,6,34,20,3,3,8,4,3,1,14,7,1,1,121,72,5,3,20,15,3,1,6,2,241,120,3,1,10,3,85,39
            Condeixa-a-Nova,17078,8001,650,313,78,38,21,13,2,2,8,5,0,0,6,3,0,0,2,1,1,0,6,3,11,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0,0,0,7,2,0,0,0,0,7,4
            Figueira da Foz,62125,29375,1296,613,414,218,75,43,8,5,21,13,1,0,23,11,4,2,35,21,4,2,60,32,25,14,1,0,7,4,7,3,4,2,0,0,22,14,5,2,19,7,8,4,1,1,64,26,0,0,4,3,16,9
            Mira,12465,5902,247,124,149,79,62,31,0,0,1,1,0,0,1,0,0,0,13,8,0,0,2,2,11,10,3,1,0,0,0,0,0,0,0,0,1,1,0,0,10,5,31,15,1,1,9,2,0,0,0,0,4,2
            Montemor-o-Velho,26171,12616,656,312,93,62,14,11,0,0,6,2,1,1,8,6,1,1,7,4,2,1,17,13,3,2,0,0,0,0,0,0,0,0,0,0,19,10,1,1,1,1,1,1,1,1,7,5,0,0,2,1,2,1
            Penacova,15251,7208,213,103,98,58,55,32,0,0,4,3,2,0,8,5,0,0,5,5,1,1,2,2,5,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,1,2,1,0,0,5,2,0,0,0,0,4,3
            Soure,19245,9166,307,136,100,55,51,27,0,0,15,7,0,0,3,2,3,2,0,0,0,0,13,7,2,2,0,0,0,0,0,0,1,1,0,0,4,2,0,0,0,0,4,3,0,0,2,1,0,0,0,0,2,1
          Pinhal Litoral,260942,125876,5342,2562,1968,1060,786,431,24,14,117,60,14,11,93,54,19,9,106,62,14,7,37,22,100,60,5,3,14,9,4,2,70,25,9,6,143,79,8,4,50,30,23,14,5,2,197,84,5,1,12,4,113,67
            Batalha,15805,7648,438,201,128,73,42,24,3,2,17,8,0,0,7,4,0,0,3,2,0,0,1,1,3,2,0,0,5,5,0,0,6,3,0,0,13,8,4,2,18,9,0,0,0,0,2,0,0,0,0,0,4,3
            Leiria,126897,61319,2694,1295,921,477,284,156,16,9,59,31,11,9,48,26,14,5,48,27,4,3,15,8,27,13,1,0,8,4,3,1,42,13,5,3,98,49,3,1,12,10,15,9,5,2,118,50,0,0,7,3,78,45
            Marinha Grande,38681,18623,950,460,250,121,81,38,4,3,17,9,0,0,25,16,2,2,21,9,3,1,5,3,18,9,3,2,1,0,0,0,1,0,2,2,15,9,0,0,3,1,0,0,0,0,28,11,4,1,2,0,15,5
            Pombal,55217,26422,793,377,548,319,344,194,0,0,17,9,1,0,9,5,2,1,26,20,4,2,16,10,41,27,1,1,0,0,1,1,9,5,2,1,10,8,1,1,14,8,1,0,0,0,41,20,1,0,0,0,7,6
            Porto de Mós,24342,11864,467,229,121,70,35,19,1,0,7,3,2,2,4,3,1,1,8,4,3,1,0,0,11,9,0,0,0,0,0,0,12,4,0,0,7,5,0,0,3,2,7,5,0,0,8,3,0,0,3,1,9,8
          Pinhal Interior Norte,131468,62617,3050,1443,960,524,260,150,43,21,105,58,2,2,176,87,14,10,41,25,24,15,26,14,68,40,0,0,6,3,1,0,7,2,2,0,56,37,6,3,19,13,6,3,1,0,46,22,0,0,12,3,39,16
            Arganil,12145,5788,273,121,84,48,16,11,6,2,6,3,0,0,39,21,3,3,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,3,2,0,0,0,0,4,1
            Góis,4260,2003,120,53,24,13,5,3,0,0,2,1,0,0,11,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
            Lousã,17604,8518,404,197,109,55,12,6,0,0,15,9,0,0,12,5,0,0,4,2,4,3,5,2,4,4,0,0,4,1,0,0,1,0,0,0,23,13,2,1,2,1,1,0,0,0,11,4,0,0,5,2,4,2
            Miranda do Corvo,13098,6311,398,192,47,22,7,5,1,1,7,2,0,0,14,5,0,0,4,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,4,1
            Oliveira do Hospital,20855,10007,348,168,134,81,24,14,8,4,29,17,1,1,10,6,4,3,6,4,7,4,5,4,15,6,0,0,1,1,1,0,2,1,0,0,5,5,0,0,6,6,0,0,0,0,3,3,0,0,3,1,4,1
            Pampilhosa da Serra,4481,2065,170,79,65,36,39,21,2,1,1,1,0,0,2,1,2,1,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2
            Penela,5983,2841,133,62,35,16,4,2,3,2,3,1,0,0,10,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1,1,0,0,1,1,0,0,3,2,0,0,1,0,1,1
            Tábua,12071,5743,283,143,102,55,35,17,10,5,8,6,0,0,15,8,1,1,6,4,6,4,4,2,7,4,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0
            Vila Nova de Poiares,7281,3485,188,89,65,37,23,16,3,1,4,2,0,0,8,5,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,9,6,0,0,1,0,2,0
            Alvaiázere,7287,3406,182,92,62,37,18,13,0,0,1,1,1,1,17,7,0,0,6,3,0,0,8,4,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,2,2,0,0,0,0,2,2
            Ansião,13128,6187,237,108,121,62,57,30,1,0,3,2,0,0,12,7,0,0,4,3,0,0,1,0,12,7,0,0,1,1,0,0,1,0,0,0,6,4,1,0,4,2,4,2,1,0,4,1,0,0,1,0,8,3
            Castanheira de Pêra,3191,1520,57,25,22,10,2,0,4,1,2,1,0,0,4,3,1,1,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1
            Figueiró dos Vinhos,6169,2892,151,64,36,23,9,8,2,1,5,3,0,0,6,3,2,1,3,2,0,0,1,1,2,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0
            Pedrógão Grande,3915,1851,106,50,54,29,9,4,3,3,19,9,0,0,16,8,0,0,2,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
          Dão-Lafões,277240,131554,4800,2251,2445,1376,638,353,14,8,336,179,12,7,137,78,23,11,116,74,18,14,155,87,465,284,27,13,5,4,3,1,20,7,2,1,128,83,15,4,81,44,16,9,4,2,160,74,9,4,8,5,53,30
            Aguiar da Beira,5473,2580,111,43,55,31,25,13,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1
            Carregal do Sal,9835,4664,182,104,94,56,16,9,0,0,17,9,0,0,13,7,1,0,15,8,0,0,3,3,18,13,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,2,0,0,1,1,1,1,0,0,1,0,0,0
            Castro Daire,15339,7370,177,84,186,104,44,21,0,0,11,8,0,0,3,2,2,0,5,3,0,0,10,7,105,61,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
            Mangualde,19880,9559,297,155,129,61,32,16,2,1,24,12,0,0,12,7,2,1,11,6,0,0,6,2,6,3,1,0,0,0,2,1,0,0,0,0,5,3,0,0,18,9,0,0,0,0,4,0,0,0,0,0,4,0
            Mortágua,9607,4621,129,49,125,77,35,21,0,0,5,5,0,0,7,3,3,2,0,0,0,0,37,20,4,4,0,0,0,0,0,0,1,1,0,0,24,14,0,0,5,4,0,0,0,0,2,1,0,0,1,1,1,1
            Nelas,14037,6676,193,93,132,75,30,17,0,0,21,13,0,0,20,11,3,1,4,4,0,0,11,5,26,14,0,0,1,1,0,0,0,0,0,0,2,1,0,0,8,4,1,1,0,0,3,1,0,0,0,0,2,2
            Oliveira de Frades,10261,4868,238,115,79,45,25,15,0,0,7,3,3,2,3,2,1,1,6,4,2,2,2,1,12,8,0,0,0,0,0,0,2,0,2,1,0,0,0,0,5,3,0,0,1,1,4,0,0,0,1,0,3,2
            Penalva do Castelo,7956,3815,119,57,65,38,25,14,2,1,11,5,0,0,4,3,0,0,4,4,1,1,1,0,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,0,0,0,0,0,0
            Santa Comba Dão,11597,5466,176,80,106,60,11,7,0,0,14,7,1,0,8,4,4,2,6,5,0,0,12,7,16,10,0,0,0,0,0,0,0,0,0,0,9,4,0,0,12,7,0,0,0,0,7,4,0,0,0,0,6,3
            São Pedro do Sul,16851,7891,246,115,126,66,55,29,4,2,19,12,0,0,1,1,0,0,1,1,7,5,1,0,17,7,0,0,0,0,0,0,0,0,0,0,7,4,2,0,0,0,0,0,1,0,8,2,0,0,0,0,3,3
            Sátão,12444,5905,221,99,139,78,63,33,0,0,18,8,0,0,3,2,0,0,5,5,1,1,4,1,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,0,0,1,1
            Tondela,28946,13730,435,207,287,170,61,32,0,0,51,27,1,1,19,12,1,1,8,6,3,3,43,26,34,22,1,1,2,2,0,0,1,0,0,0,15,14,1,0,16,7,8,3,0,0,16,7,0,0,2,2,4,4
            Vila Nova de Paiva,5176,2463,78,34,63,36,37,20,0,0,10,6,0,0,1,1,0,0,2,2,0,0,0,0,8,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0
            Viseu,99274,46915,2005,925,800,441,166,97,4,3,122,61,7,4,40,21,5,3,48,25,2,1,20,13,151,94,22,10,1,0,1,0,14,6,0,0,58,35,9,2,11,7,7,5,0,0,80,39,9,4,2,1,21,10
            Vouzela,10564,5031,193,91,59,38,13,9,2,1,6,3,0,0,2,1,0,0,1,1,1,1,5,2,13,8,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1,0,4,3,0,0,0,0,5,3
          Pinhal Interior Sul,40705,19321,958,435,247,136,84,47,2,2,22,11,2,1,19,10,3,1,13,9,4,1,3,2,32,19,1,0,7,5,0,0,3,2,0,0,25,17,3,1,6,2,0,0,0,0,8,2,0,0,1,0,9,4
            Oleiros,5721,2721,141,64,45,21,28,11,0,0,4,4,0,0,3,1,2,1,1,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
            Proença-a-Nova,8314,3985,176,78,47,29,16,10,0,0,2,1,0,0,2,1,0,0,5,3,0,0,0,0,4,2,0,0,1,1,0,0,3,2,0,0,11,8,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
            Sertã,15880,7546,294,138,111,61,32,20,2,2,8,3,0,0,13,7,1,0,2,1,2,0,3,2,18,13,1,0,1,1,0,0,0,0,0,0,11,6,0,0,4,1,0,0,0,0,5,2,0,0,0,0,8,3
            Vila de Rei,3452,1582,170,70,14,8,2,2,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
            Mação,7338,3487,177,85,30,17,6,4,0,0,5,2,2,1,1,1,0,0,4,3,1,1,0,0,3,1,0,0,3,2,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0
          Serra da Estrela,43737,20609,772,331,353,199,110,59,4,2,48,26,1,0,6,4,1,1,14,9,2,1,13,10,60,39,0,0,0,0,13,6,1,0,0,0,11,7,1,1,51,27,0,0,0,0,5,1,0,0,0,0,12,6
            Fornos de Algodres,4989,2353,118,49,44,25,20,9,1,1,4,2,0,0,0,0,0,0,0,0,0,0,1,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,8,0,0,0,0,1,0,0,0,0,0,0,0
            Gouveia,14046,6500,228,87,165,93,56,30,1,0,13,8,1,0,3,2,0,0,9,7,0,0,3,2,39,24,0,0,0,0,4,2,0,0,0,0,7,4,0,0,24,11,0,0,0,0,0,0,0,0,0,0,5,3
            Seia,24702,11756,426,195,144,81,34,20,2,1,31,16,0,0,3,2,1,1,5,2,2,1,9,7,16,11,0,0,0,0,9,4,0,0,0,0,4,3,1,1,16,8,0,0,0,0,4,1,0,0,0,0,7,3
          Beira Interior Norte,104417,49558,1854,866,747,404,378,195,7,4,16,8,13,5,12,8,2,1,110,63,10,6,19,10,57,35,5,4,5,3,7,2,3,1,2,2,32,21,2,0,15,10,1,1,2,2,23,10,2,0,2,0,22,13
            Almeida,7242,3395,128,56,72,34,32,14,0,0,3,1,0,0,0,0,0,0,29,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,3,2
            Celorico da Beira,7693,3611,134,65,64,34,22,12,0,0,2,1,7,4,2,1,0,0,4,3,0,0,8,4,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,5,0,0,0,0,3,0,0,0,0,0,3,2
            Figueira de Castelo Rodrigo,6260,2996,130,57,66,39,31,18,0,0,0,0,0,0,2,1,0,0,22,13,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
            Guarda,42541,20319,764,370,176,99,64,36,4,2,5,3,4,1,2,2,1,1,26,14,2,1,3,3,21,13,5,4,2,1,3,0,3,1,0,0,8,6,1,0,1,1,0,0,2,2,7,3,2,0,0,0,10,5
            Manteigas,3430,1622,58,31,22,13,12,6,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0
            Meda,5202,2460,99,49,31,18,21,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
            Pinhel,9627,4584,156,72,42,25,17,10,3,2,4,2,0,0,0,0,0,0,5,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,1,1,0,0,4,2,0,0,0,0,1,1
            Sabugal,12544,5885,234,98,175,89,136,64,0,0,1,0,0,0,4,3,1,0,18,13,8,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
            Trancoso,9878,4686,151,68,99,53,43,24,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,24,15,0,0,3,2,3,2,0,0,0,0,14,7,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0
          Beira Interior Sul,75028,35686,1564,770,441,244,189,107,7,4,21,13,1,1,17,9,2,0,34,21,6,5,16,11,11,9,0,0,21,8,0,0,6,2,0,0,25,7,0,0,6,4,1,1,2,1,25,10,16,8,3,1,32,22
            Castelo Branco,56109,26661,1120,553,325,186,115,70,6,4,16,10,1,1,16,8,2,0,28,18,5,4,13,10,11,9,0,0,18,6,0,0,5,2,0,0,19,5,0,0,6,4,0,0,2,1,18,7,13,6,3,1,28,20
            Idanha-a-Nova,9716,4621,201,101,48,26,21,12,1,0,1,1,0,0,0,0,0,0,4,2,1,1,2,1,0,0,0,0,2,1,0,0,0,0,0,0,6,2,0,0,0,0,1,1,0,0,3,1,3,2,0,0,3,2
            Penamacor,5682,2760,114,62,61,29,52,24,0,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0
            Vila Velha de Ródão,3521,1644,129,54,7,3,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
          Cova da Beira,87869,42025,1477,698,596,334,304,164,5,4,37,18,4,2,18,12,7,4,43,26,10,6,5,3,77,47,1,1,1,1,7,4,2,1,0,0,14,10,1,1,2,0,6,3,0,0,26,11,2,1,4,1,20,14
            Belmonte,6859,3294,167,74,38,19,23,12,0,0,3,2,0,0,0,0,0,0,6,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
            Covilhã,51797,24725,825,398,307,173,144,78,3,3,19,11,3,2,5,5,6,4,22,14,8,5,1,0,46,25,1,1,0,0,0,0,2,1,0,0,7,3,0,0,2,0,4,2,0,0,16,6,2,1,0,0,16,12
            Fundão,29213,14006,485,226,251,142,137,74,2,1,15,5,1,0,13,7,1,0,15,9,2,1,4,3,27,20,0,0,1,1,7,4,0,0,0,0,7,7,1,1,0,0,2,1,0,0,9,5,0,0,4,1,3,2
          Oeste,362540,175117,10458,5034,2609,1401,379,206,52,29,144,79,24,14,250,141,26,17,177,103,38,19,38,22,99,47,10,8,117,66,3,2,103,44,65,30,157,90,6,1,134,68,152,81,2,2,378,166,9,6,30,10,216,150
            Alcobaça,56693,27457,1074,510,349,186,71,36,7,3,30,17,0,0,36,21,4,2,25,15,9,5,9,6,20,12,0,0,3,2,0,0,16,5,6,3,39,25,0,0,30,17,1,0,0,0,19,7,4,3,6,3,14,4
            Bombarral,13193,6353,374,185,102,54,16,9,2,1,9,5,0,0,4,1,0,0,4,3,0,0,6,3,12,4,0,0,24,15,0,0,6,1,0,0,3,3,0,0,1,1,8,5,0,0,6,2,0,0,0,0,1,1
            Caldas da Rainha,51729,24505,1717,826,358,189,61,31,7,3,20,9,2,2,42,24,7,4,20,16,4,3,2,1,17,6,1,1,2,0,0,0,14,5,8,3,24,16,0,0,40,17,24,16,1,1,34,17,3,1,7,2,18,11
            Nazaré,15158,7237,299,133,120,70,35,24,1,1,8,4,0,0,21,12,1,0,7,4,4,3,0,0,4,3,1,1,2,1,0,0,1,0,2,0,3,3,0,0,3,2,12,6,0,0,5,1,2,2,3,1,5,2
            Óbidos,11772,5724,466,232,113,65,21,14,1,1,4,2,1,1,15,8,1,1,5,3,0,0,1,1,14,7,0,0,6,3,0,0,1,0,0,0,8,5,1,0,13,7,8,5,0,0,6,3,0,0,1,0,6,4
            Peniche,27753,13444,539,255,228,114,50,26,5,4,9,3,0,0,37,19,1,1,24,14,1,1,3,2,4,0,0,0,4,1,0,0,5,3,1,1,14,5,1,1,8,4,27,14,1,1,16,4,0,0,0,0,17,10
            Alenquer,43267,21066,1419,716,278,139,18,10,8,4,10,7,11,5,21,13,1,1,33,17,11,4,4,3,3,1,0,0,6,6,3,2,21,11,6,2,9,5,3,0,9,5,0,0,0,0,76,30,0,0,4,2,21,11
            Arruda dos Vinhos,13391,6571,785,379,99,53,6,4,0,0,2,2,5,4,7,5,0,0,4,1,0,0,0,0,1,1,0,0,4,3,0,0,3,0,0,0,11,5,0,0,0,0,2,1,0,0,52,26,0,0,0,0,2,1
            Cadaval,14228,6871,464,210,105,64,28,12,2,2,4,2,0,0,12,9,1,1,6,4,2,0,1,1,3,2,0,0,0,0,0,0,4,3,2,1,3,2,0,0,4,2,8,3,0,0,9,6,0,0,0,0,16,14
            Lourinhã,25735,12518,810,377,225,118,27,17,4,2,23,13,2,0,26,12,4,2,9,4,3,1,3,2,3,2,3,2,21,11,0,0,9,7,3,1,6,3,0,0,5,2,43,22,0,0,14,7,0,0,2,0,15,8
