"3.23 - ALOJAMENTOS CLÁSSICOS ARRENDADOS E SUBARRENDADOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO E ESCALÕES DE RENDA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalões de renda,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais ,,,
"        100  -  149,99 euros",315,5,15,81,121,65,16,4,3,5,0,327,879,
"        150  -  199,99 euros",327,5,11,61,128,79,22,11,6,2,2,350,972,
"        200  -  299,99 euros",538,7,21,114,202,116,43,19,13,0,3,572,1677,
"        300  -  399,99 euros",341,9,12,60,137,76,26,10,1,4,6,374,1072,
"        400  -  499,99 euros",33,2,1,3,14,5,6,1,1,0,0,61,163,
"        500  -  649,99 euros",15,0,1,1,5,3,2,0,0,1,2,19,71,
        650 euros ou mais,17,0,3,4,3,5,2,0,0,0,0,17,52,
      Pessoal das forças armadas,2259,20,78,404,868,537,217,81,24,16,14,2291,5480,
        Menos de 20 euros,81,0,3,18,35,19,3,1,2,0,0,81,191,
"        20 - 34,99 euros",122,0,4,7,60,38,8,1,3,1,0,127,320,
"        35  -  49,99 euros",120,0,0,4,34,39,35,6,1,1,0,121,333,
"        50  -  74,99 euros",92,1,1,5,29,38,14,3,1,0,0,92,257,
"        75  -  99,99 euros",59,0,3,6,16,17,14,1,1,1,0,60,171,
"        100  -  149,99 euros",78,0,4,7,31,21,8,3,1,1,2,78,203,
"        150  -  199,99 euros",91,3,3,21,31,18,10,4,1,0,0,93,225,
"        200  -  299,99 euros",349,9,21,87,110,79,20,14,3,3,3,350,790,
"        300  -  399,99 euros",601,7,28,147,248,109,36,17,6,1,2,616,1337,
"        400  -  499,99 euros",297,0,8,52,148,62,19,6,0,1,1,298,690,
"        500  -  649,99 euros",187,0,1,31,80,49,13,9,1,1,2,191,454,
        650 euros ou mais,182,0,2,19,46,48,37,16,4,6,4,184,509,
      Outras pessoas activas n.e.,5868,95,316,1120,2135,1465,442,146,86,38,25,6089,17011,
        Menos de 20 euros,388,7,15,68,143,112,23,10,3,3,4,394,1320,
"        20 - 34,99 euros",299,0,7,47,128,92,15,3,5,1,1,304,1023,
"        35  -  49,99 euros",191,0,11,25,59,67,20,7,1,0,1,194,642,
"        50  -  74,99 euros",233,2,11,43,79,67,19,7,3,2,0,241,727,
"        75  -  99,99 euros",166,2,7,30,56,47,16,0,5,3,0,171,488,
"        100  -  149,99 euros",400,9,27,84,134,95,31,11,5,3,1,411,1061,
"        150  -  199,99 euros",506,13,39,115,182,92,45,14,6,0,0,538,1391,
"        200  -  299,99 euros",1289,31,74,281,452,301,90,32,17,5,6,1329,3557,
"        300  -  399,99 euros",1293,21,94,271,488,265,87,31,22,9,5,1329,3627,
"        400  -  499,99 euros",580,3,15,89,244,171,32,11,7,6,2,602,1728,
"        500  -  649,99 euros",320,5,8,49,117,95,29,10,3,3,1,351,909,
        650 euros ou mais,203,2,8,18,53,61,35,10,9,3,4,225,538,
      Inactivos,333471,4175,15772,58384,131086,82336,26625,8564,3502,1651,1376,338240,714639,
        Menos de 20 euros,43465,953,3214,9207,16295,9688,2873,774,250,109,102,43725,88377,
"        20 - 34,99 euros",44360,582,2541,8590,18180,10164,2922,842,302,135,102,44630,90592,
"        35  -  49,99 euros",30612,273,1338,5301,12989,7263,2333,661,262,114,78,30840,62355,
"        50  -  74,99 euros",40028,367,1350,6173,16992,10448,3132,900,355,166,145,40327,83118,
"        75  -  99,99 euros",27165,209,902,4096,10886,7156,2559,825,273,131,128,27468,57047,
"        100  -  149,99 euros",31713,415,1342,4862,11630,8390,3290,1035,409,187,153,32134,67919,
"        150  -  199,99 euros",21421,376,1111,3822,7944,4988,1946,724,274,131,105,21794,46872,
"        200  -  299,99 euros",34458,440,1620,6228,12762,8695,2769,1090,456,245,153,35021,79376,
"        300  -  399,99 euros",39033,472,1817,7222,15392,9434,2766,959,518,248,205,39912,87563,
"        400  -  499,99 euros",8849,24,226,1281,3693,2468,680,244,117,55,61,9240,22328,
"        500  -  649,99 euros",6270,30,131,789,2333,1912,604,228,113,67,63,6666,15452,
        650 euros ou mais,6097,34,180,813,1990,1730,751,282,173,63,81,6483,13640,
