"6.40 - TRABALHADORES POR CONTA DE OUTRÉM, SEGUNDO O NÚMERO DE HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA  E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Total,,De 1 h a menos de 5 h,,De 5 h a menos de 15 h,,De 15 h a menos de 30 h,,De 30 h a menos de 35 h,,De 35 h a menos de 40 h,,De 40 h a menos de 45 h,, 45 h ou mais,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
"          Comércio a retalho de outro equipamento  para uso doméstico, em estabelecimentos especializados",25764,15877,122,48,812,474,703,223,258,90,1652,888,17210,10526,5007,3628
"          Comércio a retalho de bens culturais e recreativos, em estabelecimentos especializados",3898,1690,45,13,136,50,312,132,112,40,278,109,2334,981,681,365
"          Comércio a retalho de outros produtos, em estabelecimentos especializados",45027,14118,370,69,1664,487,2472,489,1079,224,3241,964,28598,8674,7603,3211
"          Comércio a retalho em bancas,  feiras e unidades móveis de venda",296,169,6,2,19,11,14,5,12,6,50,31,128,72,67,42
"          Comércio a retalho não efectuado em estabelecimentos,  bancas, feiras ou unidades móveis de venda",623,298,8,0,47,19,46,8,25,4,56,21,315,156,126,90
          Transporte interurbano  de passageiros por caminho-de-ferro,1310,1175,2,1,29,25,7,5,12,5,102,73,955,878,203,188
          Transporte de mercadorias por caminho-de-ferro,24,24,0,0,0,0,0,0,1,1,1,1,10,10,12,12
          Outros transportes terrestres  de passageiros,8133,7209,35,28,272,222,123,76,128,90,967,823,4442,3933,2166,2037
          Transportes rodoviários de mercadorias e actividades de mudanças,17211,15400,37,31,513,446,164,125,145,112,1252,949,7498,6455,7602,7282
          Transportes por oleodutos ou gasodutos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Transportes marítimos de passageiros,405,280,0,0,10,8,2,2,5,3,93,43,124,81,171,143
          Transportes marítimos de mercadorias,218,174,0,0,9,6,1,1,4,3,45,25,57,46,102,93
          Transportes de passageiros por vias navegáveis interiores,16,9,0,0,0,0,0,0,1,1,4,3,9,5,2,0
          Transportes de mercadorias por vias navegáveis interiores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Transportes aéreos de passageiros,961,596,4,1,17,9,135,76,97,54,305,190,301,191,102,75
          Transportes aéreos de mercadorias e transportes espaciais,7,2,0,0,1,1,0,0,0,0,3,0,2,1,1,0
          Armazenagem,47,33,2,1,3,2,1,0,0,0,5,1,28,23,8,6
          Actividades auxiliares dos transportes,4604,3281,16,10,149,97,164,85,124,85,1282,764,1949,1482,920,758
          Actividades postais sujeitas a obrigações do serviço universal,4302,2880,39,16,157,99,175,104,81,48,1137,778,2047,1334,666,501
          Outras actividades postais e de courier,198,164,1,0,8,8,1,1,3,2,17,10,99,83,69,60
          Estabelecimentos hoteleiros,11109,4570,80,21,481,173,287,104,217,73,782,315,6340,2453,2922,1431
          Residencias para férias e outros alojamentos de curta duração,410,119,4,0,20,2,36,5,14,4,43,12,218,74,75,22
          Parques de campismo e de caravanismo,154,83,1,1,9,6,3,2,8,2,18,10,83,40,32,22
          Outros locais de alojamento,76,10,0,0,3,0,1,0,5,1,34,1,20,4,13,4
          Restaurantes (inclui actividades de restauração em meios móveis),28028,10326,314,90,1675,629,1399,441,857,282,1829,605,12216,4046,9738,4233
          Fornecimento de refeições para eventos e outras actividades de serviço de refeições,3082,410,67,3,302,29,296,13,156,15,375,44,1537,185,349,121
          Estabelecimentos de bebidas,14068,5284,173,49,813,278,468,141,291,105,981,355,6649,2334,4693,2022
"          Edição  de livros, de jornais e de outras publicações",1081,607,4,2,37,20,33,22,28,17,265,142,483,251,231,153
          Edição de programas informáticos,25,17,0,0,0,0,1,0,2,1,3,2,16,12,3,2
"          Actividades cinematográficas, de vídeo e de produção de programas de televisão",562,345,4,2,29,10,89,47,28,15,62,42,267,164,83,65
          Actividades de gravação de som e edição de música,11,8,0,0,1,1,0,0,0,0,2,1,6,4,2,2
          Actividades de rádio,360,207,1,1,14,10,20,10,18,11,99,61,142,66,66,48
          Actividades de  televisão,432,281,2,1,13,8,6,6,6,3,161,102,140,91,104,70
          Actividades de telecomunicações por fio,10150,6137,41,24,278,157,356,201,410,194,1607,961,5479,3170,1979,1430
          Actividades de telecomunicações sem fio,66,23,0,0,3,1,3,0,0,0,4,2,51,18,5,2
          Actividades de telecomunicações por satélite,5,5,0,0,0,0,0,0,0,0,1,1,2,2,2,2
          Outras actividades de telecomunicações,129,63,2,1,2,1,1,0,3,1,8,6,90,38,23,16
          Consultoria e programação informática e actividades relacionadas,5667,4285,18,14,121,82,57,30,57,38,531,359,3430,2596,1453,1166
"          Actividades de processamento de dados, domiciliação de informação  e actividades relacionadas; portais Web",45,17,0,0,2,1,4,1,0,0,3,0,26,11,10,4
          Outras actividades dos serviços de informação,82,23,1,0,5,4,1,0,3,2,19,6,33,4,20,7
          Intermediação monetária,16046,8847,62,19,505,198,138,25,164,66,3685,1939,6123,3178,5369,3422
          Actividades das sociedades gestoras de participações sociais,176,79,0,0,3,1,5,1,2,1,12,2,95,39,59,35
"          Trusts, fundos e  entidades financeiras similares",98,45,0,0,2,1,1,0,1,0,21,10,44,17,29,17
"          Outras actividades de serviços financeiros, excepto seguros e fundos de pensões",811,432,0,0,31,11,10,2,12,6,181,94,325,156,252,163
          Seguros,3682,1808,32,7,125,50,56,14,65,29,1271,612,1426,617,707,479
          Resseguros,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
          Fundos de pensões e regimes profissionais complementares,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"          Actividades auxiliares de serviços financeiros, excepto seguros e fundos de pensões",189,126,0,0,7,4,1,1,4,2,31,16,73,50,73,53
          Actividades auxiliares de seguros e de fundos de pensões,1348,621,8,3,37,16,19,5,24,7,315,130,618,246,327,214
          Actividades de gestão de fundos,44,23,0,0,2,1,1,0,0,0,12,5,16,9,13,8
          Compra e venda de bens imobiliários,649,349,3,1,36,16,20,10,16,8,77,28,334,184,163,102
          Arrendamento de bens imobiliários,91,46,1,1,3,2,9,4,2,1,17,7,46,21,13,10
          Actividades imobiliárias por conta de outrem,3684,1629,43,11,169,57,124,31,79,31,458,177,1992,833,819,489
          Actividades jurídicas e dos cartórios notariais,3382,694,41,8,123,21,108,17,97,16,869,169,1666,299,478,164
          Actividades de contabilidade e auditoria;  consultoria fiscal,11537,3506,164,24,410,100,247,52,152,45,1868,512,6818,1830,1878,943
          Actividades das sedes sociais,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
          Actividades de consultoria para os negócios e a gestão,565,232,3,0,11,6,13,7,8,3,91,33,347,136,92,47
"          Actividades de arquitectura, de engenharia e técnicas afins",6263,4036,25,19,160,79,82,40,86,45,917,540,3494,2174,1499,1139
          Actividades de ensaios e análises técnicas,1261,781,6,3,34,13,14,9,12,7,118,58,810,501,267,190
          Investigação e desenvolvimento das ciências físicas e naturais,1182,547,0,0,22,7,26,9,40,18,345,140,494,231,255,142
          Investigação e desenvolvimento das ciências sociais e humanas,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
          Publicidade,2088,1329,15,11,77,43,56,17,42,24,213,122,1288,824,397,288
          Estudos de mercado e sondagens de opinião,561,215,13,2,27,9,64,21,34,13,75,27,252,99,96,44
          Actividades de design,1985,1379,7,3,27,15,24,11,19,12,190,121,1211,831,507,386
          Actividades fotográficas,695,352,7,3,33,19,14,7,12,4,49,25,420,206,160,88
          Actividades de tradução e interpretação,153,52,1,0,1,0,3,2,6,2,29,8,100,34,13,6
"          Outras actividades de consultoria, científicas, técnicas e similares, n.e.",337,168,3,2,8,3,6,2,9,6,46,18,176,82,89,55
          Actividades veterinárias,660,156,4,2,19,1,16,4,28,3,123,39,330,64,140,43
          Aluguer de veículos automóveis,584,364,2,2,14,6,4,2,6,4,47,28,368,224,143,98
          Aluguer de bens de uso pessoal e doméstico,74,44,0,0,2,1,5,3,0,0,8,4,48,28,11,8
          Aluguer de outras máquinas e equipamentos,640,533,2,2,19,18,4,1,5,4,41,27,368,294,201,187
"          Locação de propriedade intelectual e produtos similares, excepto direitos de autor",7,6,0,0,0,0,0,0,0,0,0,0,6,5,1,1
          Actividades das empresas de selecção e colocação de pessoal,1044,431,8,3,29,9,73,33,48,24,117,35,591,231,178,96
          Actividades das empresas de trabalho temporário,104,68,0,0,5,3,0,0,0,0,21,11,50,30,28,24
          Outro fornecimento de recursos humanos,988,529,7,1,72,27,83,25,42,13,93,50,499,269,192,144
          Agências de viagem e operadores turísticos,2162,815,19,7,95,37,32,8,50,12,564,172,968,344,434,235
          Outros serviços de reservas e actividades relacionadas,6,2,0,0,0,0,0,0,0,0,3,1,1,0,2,1
          Actividades de  segurança privada,9171,8288,32,25,296,261,146,129,156,138,679,596,5434,4851,2428,2288
          Actividades  relacionadas com sistemas de segurança,76,55,0,0,5,1,0,0,0,0,5,5,48,34,18,15
          Actividades de investigação,7,3,0,0,0,0,0,0,0,0,2,2,3,0,2,1
          Actividades combinadas de apoio aos  edifícios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de limpeza,19139,1885,691,15,2132,81,3826,59,1413,57,2338,256,7099,1123,1640,294
          Actividades de plantação e manutenção de jardins,2076,1668,19,13,87,62,51,38,58,43,335,238,1257,1036,269,238
          Actividades de serviços administrativos e  de apoio,466,132,4,1,19,3,17,2,14,2,139,44,227,67,46,13
          Actividades dos centros de chamadas,1367,557,6,3,40,17,120,55,157,66,80,39,860,325,104,52
"          Organização de feiras, congressos e outros eventos similares",985,490,12,3,57,19,57,17,25,10,164,65,460,243,210,133
"          Actividades de serviços de apoio prestados às empresas, n.e.",2012,761,19,7,94,37,52,20,63,18,485,139,983,352,316,188
"          Administração pública em geral, económica e social",46414,24687,227,96,1677,704,1407,494,1982,1014,27524,14296,10061,5972,3536,2111
"          Negócios estrangeiros, defesa, justiça, segurança, ordem pública e protecção civil",29713,23319,81,57,782,540,332,205,818,650,9130,6707,9251,7268,9319,7892
          Actividades de segurança social obrigatória,2536,512,10,2,84,13,23,4,61,11,1664,349,432,96,262,37
          Educação pré-escolar,13611,324,64,2,527,13,821,18,835,16,6766,118,4161,120,437,37
          Ensino básico (1º e 2º Ciclos),33928,6091,202,19,1978,434,4512,847,2908,555,16508,2913,5603,863,2217,460
          Ensinos básico (3º Ciclo) e secundário,50204,13271,186,46,1614,409,5436,1434,4272,1159,24773,6613,8407,2021,5516,1589
          Ensinos pós-secundário não superior e superior,12614,5673,62,26,526,247,724,340,639,274,4706,1855,3300,1434,2657,1497
          Outras actividades educativas,8644,3165,98,26,718,236,1103,417,610,235,2420,763,2640,968,1055,520
          Actividades de serviços de apoio à educação,50,4,0,0,4,0,2,0,1,1,25,1,16,2,2,0
          Actividades dos estabelecimentos de saúde com internamento,36523,8924,86,18,603,120,317,72,681,135,14420,2940,14329,3220,6087,2419
"          Actividades de prática clínica em ambulatório, de medicina dentária e de odontologia",21087,4297,118,10,510,75,649,93,582,89,7673,1444,8346,1484,3209,1102
          Outras actividades de saúde humana,5898,1378,45,7,222,55,290,42,184,40,1082,241,3195,593,880,400
"          Actividades dos estabelecimentos de cuidados continuados integrados,  com alojamento",307,44,0,0,7,1,12,1,12,1,80,13,158,19,38,9
"          Actividades dos estabelecimentos para pessoas com  doença do foro mental e do abuso de drogas, com alojamento",384,94,0,0,8,3,9,4,17,6,225,34,99,32,26,15
"          Actividades de apoio social para pessoas idosas e com deficiência,  com alojamento",18971,1896,70,9,568,52,368,47,481,58,7553,747,8434,787,1497,196
          Outras actividades de apoio  social com alojamento,716,99,2,0,19,2,9,2,18,4,302,32,284,48,82,11
"          Actividades de apoio social para pessoas idosas e com deficiência, sem alojamento",6338,382,36,0,227,17,174,6,169,11,2004,126,3161,183,567,39
          Outras actividades de apoio social sem alojamento,7586,762,39,5,246,22,211,21,218,15,3290,316,3068,297,514,86
"          Actividades de teatro, de música, de dança e outras actividades artísticas e literárias",1145,770,15,5,74,47,93,61,69,45,197,112,509,361,188,139
"          Actividades das bibliotecas, arquivos, museus e outras actividades culturais",1292,457,3,1,47,15,25,7,50,17,719,223,375,159,73,35
          Lotarias e outros jogos de aposta,1057,722,6,0,45,26,25,9,46,39,300,206,482,336,153,106
          Actividades desportivas,4652,2861,58,40,395,289,647,514,339,248,1084,574,1539,766,590,430
          Actividades de diversão e recreativas,290,167,2,2,16,9,13,7,15,7,58,30,139,83,47,29
"          Actividades de organizações económicas, patronais e profissionais",931,341,5,4,34,6,24,6,26,9,396,116,327,132,119,68
          Actividades de organizações sindicais,399,129,1,0,18,7,12,5,22,6,262,75,68,28,16,8
          Outras actividades de organizações associativas,3383,1665,47,24,168,90,196,112,120,66,853,265,1103,416,896,692
          Reparação de computadores e de equipamento de comunicação,474,417,2,2,17,15,7,6,5,5,30,24,337,296,76,69
          Reparação de bens de uso pessoal e doméstico,1207,895,12,7,49,33,23,7,20,10,88,63,807,600,208,175
          Outras actividades de serviços pessoais,9925,1681,123,18,506,61,212,23,137,19,702,141,6013,982,2232,437
          Actividades das famílias empregadoras de pessoal doméstico,18372,228,651,7,1905,11,4407,11,1242,12,1791,31,6117,119,2259,37
          Actividades de produção de bens pelas famílias para uso próprio,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
          Actividades de produção de serviços pelas famílias para uso próprio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades dos organismos internacionais e outras instituições extra-territoriais,86,47,1,1,5,4,1,0,2,1,33,15,29,17,15,9
      Centro,749892,379596,3794,1255,24871,10550,25367,6221,17942,6251,153887,56944,388611,206294,135420,92081
          Culturas temporárias,6160,3732,100,62,242,135,330,167,185,103,593,361,3336,1907,1374,997
          Culturas permanentes,1920,1075,7,4,53,32,56,26,42,16,189,110,1231,658,342,229
          Cultura de materiais de propagação vegetativa,3,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0
          Produção animal,3517,1777,17,6,112,49,82,23,47,20,250,94,1981,893,1028,692
          Agricultura e produção animal combinadas,532,349,6,5,21,12,17,8,8,6,40,23,266,160,174,135
          Actividades dos serviços relacionados com a agricultura e com a produção animal,123,91,0,0,4,4,1,1,2,1,14,9,74,54,28,22
"          Caça, repovoamento cinegético  e actividades dos serviços relacionados",30,26,0,0,2,2,1,1,1,1,4,4,17,13,5,5
          Silvicultura e outras actividades florestais,599,409,3,2,17,12,13,5,9,5,73,36,399,277,85,72
          Exploração florestal,1799,1581,8,6,60,51,24,16,35,29,185,141,1125,990,362,348
"          Extracção de cortiça, resina e apanha de outros produtos florestais, excepto madeira",128,101,1,0,1,1,4,4,1,1,8,7,92,70,21,18
          Actividades dos serviços relacionados com a silvicultura e exploração florestal,288,208,0,0,9,5,2,1,6,5,73,44,164,124,34,29
          Pesca,2185,1937,5,4,81,62,55,48,51,40,145,104,515,376,1333,1303
          Aquicultura,129,109,0,0,3,2,1,0,1,1,20,16,86,74,18,16
          Extracção de hulha (inclui antracite),31,24,0,0,3,3,0,0,2,1,1,0,20,15,5,5
          Extracção de lenhite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Extracção de petróleo bruto,50,45,1,1,3,3,0,0,0,0,1,1,7,6,38,34
          Extracção de gás natural,8,7,0,0,1,0,0,0,0,0,0,0,3,3,4,4
          Extracção e preparação de minérios de ferro,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1
          Extracção e preparação de minérios metálicos não ferrosos,303,280,0,0,9,8,1,0,0,0,21,15,215,200,57,57
"          Extracção de pedra, areia e argila",2469,2227,7,6,66,56,12,10,15,11,154,122,1686,1518,529,504
"          Indústrias extractivas, n.e.",319,268,1,1,12,9,0,0,3,3,19,11,193,159,91,85
"          Actividades dos serviços relacionados com a extracção de petróleo e gás, excepto a prospecção",8,8,0,0,0,0,0,0,0,0,0,0,2,2,6,6
          Outras actividades dos serviços relacionados com as indústrias extractivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Abate de animais, preparação e conservação de carne e de produtos à base de carne",4008,1773,13,4,131,48,48,7,36,13,209,81,2609,1056,962,564
"          Preparação e conservação de peixes, crustáceos e moluscos",2613,769,1,0,114,27,16,5,15,6,158,55,1873,441,436,235
          Preparação e conservação de frutos e de produtos hortícolas,718,225,0,0,24,5,7,1,8,0,60,23,490,127,129,69
          Produção de óleos e gorduras animais e vegetais,336,189,1,1,9,4,5,3,1,0,20,8,241,130,59,43
          Indústria de lacticínios,1885,829,4,1,57,21,30,7,12,3,104,52,1324,542,354,203
"          Transformação de cereais e leguminosas; fabricação de amidos, de féculas e de produtos afins",428,319,1,0,14,8,3,2,3,3,19,14,302,214,86,78
          Fabricação de produtos de padaria e outros produtos à base de farinha,4443,2120,24,10,187,83,106,27,95,39,344,167,2554,1099,1133,695
          Fabricação de outros produtos alimentares,1501,597,1,0,43,15,20,6,16,2,108,41,1065,384,248,149
          Fabricação de alimentos para animais,1516,1174,3,3,38,30,16,7,8,6,73,46,999,764,379,318
          Indústria das bebidas,2418,1400,6,3,55,26,15,5,18,9,244,128,1694,939,386,290
          Indústria do tabaco,27,21,0,0,0,0,2,0,0,0,3,3,14,11,8,7
          Preparação e fiação de fibras têxteis,789,352,1,0,19,8,5,2,5,3,41,24,653,277,65,38
          Tecelagem de têxteis,261,138,2,1,8,3,1,0,2,0,19,11,204,105,25,18
          Acabamento de têxteis,528,271,1,1,15,6,4,1,5,4,24,14,436,224,43,21
          Fabricação de outros têxteis,2517,934,4,2,67,20,18,2,19,6,124,51,2058,732,227,121
"          Confecção de artigos de vestuário, excepto artigos de peles com pêlo",12319,1828,19,1,368,61,125,20,105,23,687,103,10021,1315,994,305
          Fabricação de artigos de peles com pêlo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
          Fabricação de artigos de malha,696,98,0,0,30,1,4,3,2,0,24,2,580,80,56,12
"          Curtimenta e acabamento de peles sem pêlo e com pêlo; fabricação de artigos de viagem e de uso pessoal, de marroquinaria, de correeiro e de seleiro",1597,981,1,0,41,26,8,2,17,10,88,45,1201,718,241,180
          Indústria do calçado,1746,514,2,0,49,12,20,4,13,5,84,24,1416,391,162,78
"          Serração, aplainamento e impregnação da madeira",3581,2737,11,9,113,89,36,26,41,28,247,153,2596,1953,537,479
"          Fabricação de artigos de madeira, de cortiça, de espartaria e de cestaria, excepto mobiliário",5579,4321,21,16,173,132,33,17,42,32,438,316,4095,3132,777,676
"          Fabricação de pasta, de papel e cartão (excepto canelado)",3742,3042,9,7,63,45,24,7,28,22,821,676,2253,1820,544,465
          Fabricação de papel e de cartão canelados e de artigos de papel e de cartão,1253,723,1,0,45,19,7,4,4,2,139,93,872,471,185,134
          Impressão e actividades dos serviços relacionados com a impressão,2423,1417,9,3,77,39,19,8,33,18,231,135,1808,1050,246,164
          Reprodução de suportes gravados,11,10,0,0,0,0,0,0,0,0,1,0,8,8,2,2
          Fabricação de produtos de coqueria,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
          Fabricação de produtos petrolíferos refinados e de aglomerados de combustíveis,275,239,0,0,9,8,2,2,3,3,33,29,123,98,105,99
"          Fabricação de produtos químicos de base, adubos e compostos azotados, matérias plásticas e borracha sintética, sob formas primárias",1552,1170,3,2,27,19,7,6,8,4,108,66,1133,837,266,236
          Fabricação de pesticidas e  de outros produtos agroquímicos,32,19,0,0,2,1,0,0,1,1,2,1,17,10,10,6
"          Fabricação de tintas, vernizes e produtos similares; mastiques; tintas de impressão",341,264,0,0,8,6,2,1,2,0,28,20,247,190,54,47
"          Fabricação de sabões e detergentes, produtos de limpeza e de polimento, perfumes e produtos de higiene",536,244,3,1,18,5,2,0,3,2,37,14,380,156,93,66
          Fabricação de outros produtos químicos,151,102,0,0,2,1,2,0,2,2,10,7,122,81,13,11
          Fabricação de fibras sintéticas ou artificiais,150,96,0,0,2,1,0,0,1,0,5,4,104,62,38,29
          Fabricação de produtos farmacêuticos de base,49,23,0,0,1,0,0,0,1,0,6,3,32,15,9,5
          Fabricação de preparações farmacêuticas,2035,967,2,0,36,14,9,3,16,9,177,90,1296,542,499,309
          Fabricação de artigos de borracha,900,668,3,2,25,19,3,1,8,7,66,46,660,480,135,113
          Fabricação de artigos de matérias plásticas,6119,3422,13,6,142,76,45,15,30,16,346,166,4675,2511,868,632
          Fabricação de vidro e artigos de vidro,3474,2527,1,1,78,53,7,4,46,35,692,574,2104,1444,546,416
          Fabricação de produtos cerâmicos refractários,262,244,0,0,7,7,4,4,1,1,12,11,152,139,86,82
          Fabricação de produtos cerâmicos para a construção,3194,2196,4,4,79,56,11,3,14,9,168,111,2425,1610,493,403
          Fabricação de outros  produtos de porcelana  e cerâmicos não refractários,10333,4739,15,10,234,98,50,18,62,31,441,214,8281,3566,1250,802
"          Fabricação de cimento, cal e gesso",1062,925,2,2,28,22,4,2,10,7,262,234,585,513,171,145
"          Fabricação de produtos de betão, gesso e  cimento",2464,2034,3,1,62,44,25,10,10,8,149,110,1635,1326,580,535
"          Serragem, corte e acabamento de rochas ornamentais e de outras pedras de construção",2160,1826,4,1,71,55,21,14,11,4,138,102,1670,1426,245,224
          Fabricação de produtos abrasivos e de outros produtos minerais não metálicos,273,189,0,0,5,2,1,1,2,0,13,10,219,149,33,27
          Siderurgia e fabricação de ferro-ligas,157,134,0,0,2,0,0,0,1,1,8,8,105,86,41,39
"          Fabricação de tubos, condutas, perfis ocos e respectivos acessórios,  de aço",216,185,1,1,3,3,0,0,0,0,9,8,181,151,22,22
          Outras actividades da primeira transformação do aço,161,137,0,0,5,5,0,0,0,0,5,4,123,107,28,21
          Obtenção e primeira transformação de metais preciosos e de outros metais não ferrosos,681,551,1,1,17,11,3,2,4,3,26,21,544,438,86,75
          Fundição de metais ferrosos e não ferrosos,2263,1764,4,3,75,54,12,3,9,9,106,84,1748,1349,309,262
          Fabricação de elementos de construção em metal,16924,14256,42,35,475,394,102,56,103,80,886,680,12171,10201,3145,2810
"          Fabricação de reservatórios, recipientes, caldeiras e radiadores metálicos para aquecimento central",1476,1209,7,4,37,28,5,2,16,12,81,62,915,740,415,361
          Fabricação de geradores de vapor (excepto caldeiras para aquecimento central),8,5,0,0,0,0,0,0,0,0,2,1,3,3,3,1
          Fabricação de armas e munições,8,5,0,0,1,1,0,0,0,0,1,0,5,3,1,1
"          Fabricação de produtos forjados, estampados e laminados; metalurgia dos pós",11,9,0,0,2,1,0,0,0,0,0,0,5,5,4,3
          Tratamento e revestimento de metais; actividades de mecânica geral,1154,862,0,0,32,21,9,6,11,8,69,55,850,615,183,157
"          Fabricação de cutelaria, ferramentas e ferragens",7806,5571,13,9,256,172,49,18,45,28,532,309,5419,3718,1492,1317
          Fabricação de outros produtos metálicos,1127,773,0,0,33,25,7,5,9,5,48,32,832,542,198,164
"          Fabricação de componentes  e de placas, electrónicos",805,483,1,0,27,18,7,4,7,3,64,23,576,340,123,95
          Fabricação de computadores e de equipamento periférico,56,40,1,1,1,1,0,0,0,0,1,1,50,34,3,3
          Fabricação de aparelhos e equipamentos para comunicações,117,69,0,0,0,0,1,0,3,1,12,9,65,35,36,24
          Fabricação de receptores  de rádio e de televisão e bens de consumo similares,255,86,1,1,10,4,0,0,0,0,12,5,206,62,26,14
"          Fabricação de instrumentos e aparelhos de medida, verificação e navegação; relógios e material de relojoaria",231,141,0,0,2,1,5,1,3,1,10,8,180,110,31,20
"          Fabricação de equipamentos de radiação, electromedicina e electroterapêutico",46,35,0,0,0,0,1,0,0,0,5,5,30,23,10,7
          Fabricação de instrumentos e de equipamentos  ópticos e fotográficos,46,20,0,0,2,2,0,0,1,0,3,1,35,12,5,5
          Fabricação de suportes de informação magnéticos e ópticos,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"          Fabricação de motores, geradores e transformadores eléctricos e fabricação de material de distribuição e de controlo para instalações eléctricas",509,375,0,0,18,10,4,2,1,0,15,6,363,267,108,90
          Fabricação de acumuladores e pilhas,115,97,0,0,7,7,0,0,0,0,8,5,93,81,7,4
          Fabricação de fios e cabos isolados e seus acessórios,215,166,0,0,3,3,1,1,1,1,19,16,156,114,35,31
          Fabricação de lâmpadas eléctricas e de outro equipamento de iluminação,749,370,1,0,23,11,6,3,4,1,47,19,551,255,117,81
          Fabricação de aparelhos para uso doméstico,1686,928,2,2,49,23,13,6,15,9,104,54,1254,620,249,214
          Fabricação de outro equipamento eléctrico,792,387,0,0,17,8,8,3,6,1,38,13,620,287,103,75
          Fabricação de máquinas e de equipamentos para uso geral,1518,931,1,1,21,11,4,0,8,4,114,59,1091,652,279,204
          Fabricação de outras máquinas para uso geral,2289,1861,1,0,65,52,14,9,12,6,139,108,1587,1255,471,431
"          Fabricação de máquinas e de tractores para a agricultura, pecuária e silvicultura",358,305,1,1,9,9,2,0,1,1,9,9,287,241,49,44
"          Fabricação de máquinas-ferramentas, excepto portáteis",43,33,0,0,1,1,0,0,0,0,2,2,32,24,8,6
          Fabricação de outras máquinas e equipamento para uso específico,1048,852,3,2,33,27,11,7,7,4,50,32,723,580,221,200
          Fabricação de veículos automóveis,3412,2613,3,3,67,40,28,27,93,75,279,201,2505,1903,437,364
"          Fabricação de carroçarias, reboques e semi-reboques",272,239,0,0,9,8,3,1,0,0,18,15,219,194,23,21
          Fabricação de componentes e acessórios para veículos automóveis,7504,4157,4,3,197,107,69,57,49,26,425,234,5852,3128,908,602
          Construção naval,467,408,0,0,15,14,1,1,1,1,25,21,309,261,116,110
          Fabricação de material circulante para caminhos-de-ferro,16,16,0,0,0,0,0,0,0,0,2,2,12,12,2,2
"          Fabricação de aeronaves, de veículos espaciais e equipamento relacionado",209,188,0,0,3,2,0,0,1,1,29,20,154,144,22,21
          Fabricação de veículos militares de combate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Fabricação de  equipamento de transporte, n.e.",683,332,0,0,15,6,3,0,4,2,34,17,563,265,64,42
          Fabrico de mobiliário e de colchões,7001,4332,10,6,211,112,35,14,46,26,384,207,5500,3354,815,613
"          Fabricação de joalharia, ourivesaria, bijutaria e artigos similares; cunhagem de moedas",75,27,0,0,5,1,0,0,1,0,4,1,59,20,6,5
          Fabricação de instrumentos musicais,4,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0
          Fabricação de artigos de desporto,74,36,0,0,1,1,0,0,1,1,7,2,56,26,9,6
          Fabricação de jogos e de brinquedos,187,49,0,0,4,0,2,0,1,0,14,2,146,42,20,5
          Fabricação de instrumentos e material médico-cirurgico,206,109,1,0,2,1,5,1,5,0,16,10,144,75,33,22
"          Indústrias transformadoras, n.e.",1110,453,2,2,44,17,18,9,13,6,82,39,821,283,130,97
"          Reparação e  manutenção de produtos metálicos, máquinas e equipamentos",1729,1540,3,2,48,39,13,7,12,11,99,73,1220,1095,334,313
          Instalação de máquinas e de equipamentos industriais,548,485,1,0,23,20,4,1,6,4,31,23,346,309,137,128
"          Produção, transporte, distribuição e comércio de electricidade",4486,3997,16,14,137,112,40,24,52,39,948,825,2379,2137,914,846
          Produção de gás; distribuição de combustíveis gasosos por condutas; comércio de gás por condutas,425,328,1,0,16,11,3,2,1,1,42,31,284,208,78,75
"          Produção e distribuição de vapor,  água quente e fria  e ar frio por conduta; produção de gelo",9,8,0,0,0,0,1,0,0,0,2,2,6,6,0,0
"          Captação, tratamento  e distribuição de água",2662,2041,6,3,59,41,16,8,44,34,1150,862,1079,850,308,243
"          Recolha, drenagem  e tratamento de águas residuais",531,434,2,2,12,11,4,2,3,3,99,79,325,268,86,69
          Recolha de resíduos,1109,959,2,1,21,20,9,8,20,20,196,172,698,596,163,142
