"6.40 - TRABALHADORES POR CONTA DE OUTRÉM, SEGUNDO O NÚMERO DE HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA  E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Total,,De 1 h a menos de 5 h,,De 5 h a menos de 15 h,,De 15 h a menos de 30 h,,De 30 h a menos de 35 h,,De 35 h a menos de 40 h,,De 40 h a menos de 45 h,, 45 h ou mais,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
      Fabricação de produtos de coqueria,12,12,0,0,0,0,0,0,0,0,4,4,7,7,1,1
      Fabricação de produtos petrolíferos refinados e de aglomerados de combustíveis,4194,3293,9,6,110,92,24,14,43,29,1459,1108,1581,1212,968,832
"      Fabricação de produtos químicos de base, adubos e compostos azotados, matérias plásticas e borracha sintética, sob formas primárias",6556,4777,23,16,136,92,47,22,61,35,789,466,4335,3173,1165,973
      Fabricação de pesticidas e  de outros produtos agroquímicos,225,137,7,3,6,3,1,0,1,1,32,15,134,84,44,31
"      Fabricação de tintas, vernizes e produtos similares; mastiques; tintas de impressão",2487,1879,7,5,66,52,17,8,23,13,270,144,1681,1307,423,350
"      Fabricação de sabões e detergentes, produtos de limpeza e de polimento, perfumes e produtos de higiene",2928,1365,14,6,97,35,41,10,24,10,270,118,1987,892,495,294
      Fabricação de outros produtos químicos,840,643,1,0,20,15,12,4,9,9,78,52,561,427,159,136
      Fabricação de fibras sintéticas ou artificiais,741,565,0,0,17,13,7,4,3,1,40,27,555,423,119,97
      Fabricação de produtos farmacêuticos de base,235,98,0,0,6,3,3,0,6,2,33,10,138,57,49,26
      Fabricação de preparações farmacêuticas,10560,4784,19,11,215,80,66,24,112,51,1406,580,5972,2504,2770,1534
      Fabricação de artigos de borracha,4668,3980,10,8,120,89,26,16,27,21,366,304,3493,2996,626,546
      Fabricação de artigos de matérias plásticas,14014,8806,35,15,371,221,115,52,80,41,944,488,10375,6403,2094,1586
      Fabricação de vidro e artigos de vidro,6772,5247,7,4,180,137,32,22,78,61,1046,863,4276,3212,1153,948
      Fabricação de produtos cerâmicos refractários,320,293,0,0,13,12,4,4,1,1,13,12,184,163,105,101
      Fabricação de produtos cerâmicos para a construção,3971,2781,9,7,106,78,17,5,20,12,216,140,2947,1998,656,541
      Fabricação de outros  produtos de porcelana  e cerâmicos não refractários,13182,6417,22,16,330,159,92,33,88,41,619,304,10388,4767,1643,1097
"      Fabricação de cimento, cal e gesso",2707,2239,12,8,68,51,18,7,25,14,705,579,1384,1178,495,402
"      Fabricação de produtos de betão, gesso e  cimento",5799,4906,13,11,177,133,49,26,42,34,426,285,3562,2993,1530,1424
"      Serragem, corte e acabamento de rochas ornamentais e de outras pedras de construção",7423,6429,40,28,255,202,68,37,53,30,501,358,5456,4803,1050,971
      Fabricação de produtos abrasivos e de outros produtos minerais não metálicos,638,462,2,2,18,11,1,1,5,2,40,28,480,340,92,78
      Siderurgia e fabricação de ferro-ligas,832,719,1,0,11,8,4,1,5,3,55,42,567,486,189,179
"      Fabricação de tubos, condutas, perfis ocos e respectivos acessórios,  de aço",645,539,3,2,16,15,2,1,4,3,42,32,478,397,100,89
      Outras actividades da primeira transformação do aço,303,246,0,0,9,7,2,1,0,0,19,9,222,191,51,38
      Obtenção e primeira transformação de metais preciosos e de outros metais não ferrosos,2174,1675,6,3,69,43,12,6,8,5,124,91,1647,1263,308,264
      Fundição de metais ferrosos e não ferrosos,6765,5662,13,10,224,165,48,18,37,32,314,258,5106,4260,1023,919
      Fabricação de elementos de construção em metal,54622,47531,157,135,1759,1485,372,219,353,259,3123,2424,39051,34005,9807,9004
