"3.24 - ALOJAMENTOS CLÁSSICOS ARRENDADOS E SUBARRENDADOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O ESCALÃO DE RENDA, POR ÉPOCA DE CONSTRUÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Alojamentos clássicos arrendados segundo o escalão de renda (Euros),,,,,,,,,,,,,
 Época de construção,Total,Menos de 20 ,De 20 a menos de 35 ,De 35 a menos de 50 ,De 50 a menos de 75 ,De 75 a menos de 100 ,De 100 a menos de 150 ,De 150 a menos de 200 ,De 200 a menos de 300 ,De 300 a menos de 400 ,De 400 a menos de 500 ,De 500 a menos de 650 ,650  ou mais,
          1991 - 1995,2037,99,82,64,65,66,99,147,554,580,191,60,30,
          1996 - 2000,2528,157,101,70,113,71,119,165,540,693,328,110,61,
          2001 - 2005,2522,178,91,124,89,59,126,129,441,704,350,167,64,
          2006 - 2011,1290,108,66,40,43,28,54,86,247,320,152,111,35,
      Algarve,36308,2112,1775,1321,1692,1154,1468,1715,5500,10675,5435,2561,900,
          Até 1919,1190,202,152,72,83,52,91,81,197,192,45,11,12,
          1919 - 1945,2322,357,249,144,167,91,154,189,419,405,77,34,36,
          1946 - 1960,3180,254,267,219,230,170,205,208,597,733,188,77,32,
          1961 - 1970,4096,189,207,236,260,188,206,225,837,1165,352,155,76,
          1971 - 1980,6985,338,279,229,325,249,321,369,1224,2325,844,339,143,
          1981 - 1990,7692,209,215,176,323,190,217,308,1151,2705,1470,567,161,
          1991 - 1995,2972,111,92,74,71,58,78,116,375,997,651,272,77,
          1996 - 2000,2724,134,87,52,70,53,57,96,304,854,631,296,90,
          2001 - 2005,3380,214,134,68,101,60,86,82,278,858,785,548,166,
          2006 - 2011,1767,104,93,51,62,43,53,41,118,441,392,262,107,
    Região Autónoma dos Açores,10433,845,700,405,556,445,767,716,1920,2376,904,581,218,
        Até 1919,486,20,25,7,29,17,51,71,118,92,24,18,14,
        1919 - 1945,828,51,35,24,43,42,79,81,189,171,75,23,15,
        1946 - 1960,1210,110,64,35,65,67,120,129,235,237,95,36,17,
        1961 - 1970,849,43,52,23,32,30,85,72,166,210,79,45,12,
        1971 - 1980,1145,130,85,45,48,36,86,70,207,277,86,49,26,
        1981 - 1990,1636,101,68,47,55,34,120,122,325,432,183,120,29,
        1991 - 1995,406,8,7,6,7,13,16,32,111,105,45,42,14,
        1996 - 2000,939,104,77,44,56,37,65,33,183,198,72,56,14,
        2001 - 2005,1565,169,138,62,80,85,80,68,241,312,154,125,51,
        2006 - 2011,1369,109,149,112,141,84,65,38,145,342,91,67,26,
      Região Autónoma dos Açores,10433,845,700,405,556,445,767,716,1920,2376,904,581,218,
          Até 1919,486,20,25,7,29,17,51,71,118,92,24,18,14,
          1919 - 1945,828,51,35,24,43,42,79,81,189,171,75,23,15,
          1946 - 1960,1210,110,64,35,65,67,120,129,235,237,95,36,17,
          1961 - 1970,849,43,52,23,32,30,85,72,166,210,79,45,12,
          1971 - 1980,1145,130,85,45,48,36,86,70,207,277,86,49,26,
          1981 - 1990,1636,101,68,47,55,34,120,122,325,432,183,120,29,
          1991 - 1995,406,8,7,6,7,13,16,32,111,105,45,42,14,
          1996 - 2000,939,104,77,44,56,37,65,33,183,198,72,56,14,
          2001 - 2005,1565,169,138,62,80,85,80,68,241,312,154,125,51,
          2006 - 2011,1369,109,149,112,141,84,65,38,145,342,91,67,26,
    Região Autónoma da Madeira,14264,1079,2148,1139,1337,637,885,699,1522,2071,1361,953,433,
        Até 1919,605,143,138,67,56,45,36,23,34,46,12,1,4,
        1919 - 1945,1041,208,181,124,112,62,60,43,99,88,35,18,11,
        1946 - 1960,1429,275,221,149,146,93,96,71,136,149,52,33,8,
        1961 - 1970,1096,112,131,68,138,75,77,61,137,167,65,42,23,
        1971 - 1980,1661,188,167,96,135,63,80,84,224,330,185,73,36,
        1981 - 1990,2428,62,440,208,264,118,203,160,339,342,143,104,45,
        1991 - 1995,1214,30,175,82,88,50,79,70,139,202,138,107,54,
        1996 - 2000,1792,21,271,123,144,55,99,66,191,304,252,211,55,
        2001 - 2005,2262,28,320,186,206,64,125,92,174,341,342,264,120,
        2006 - 2011,736,12,104,36,48,12,30,29,49,102,137,100,77,
      Região Autónoma da Madeira,14264,1079,2148,1139,1337,637,885,699,1522,2071,1361,953,433,
          Até 1919,605,143,138,67,56,45,36,23,34,46,12,1,4,
          1919 - 1945,1041,208,181,124,112,62,60,43,99,88,35,18,11,
          1946 - 1960,1429,275,221,149,146,93,96,71,136,149,52,33,8,
          1961 - 1970,1096,112,131,68,138,75,77,61,137,167,65,42,23,
          1971 - 1980,1661,188,167,96,135,63,80,84,224,330,185,73,36,
          1981 - 1990,2428,62,440,208,264,118,203,160,339,342,143,104,45,
          1991 - 1995,1214,30,175,82,88,50,79,70,139,202,138,107,54,
          1996 - 2000,1792,21,271,123,144,55,99,66,191,304,252,211,55,
          2001 - 2005,2262,28,320,186,206,64,125,92,174,341,342,264,120,
          2006 - 2011,736,12,104,36,48,12,30,29,49,102,137,100,77,
