"3.10 - ALOJAMENTOS CLÁSSICOS, SEGUNDO A FORMA DE OCUPAÇÃO, FAMÍLIAS CLÁSSICAS  E PESSOAS RESIDENTES, POR TIPO DE EDIFÍCIO E NUMERO DE ALOJAMENTOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Alojamentos clássicos, segundo a forma de ocupação",,,,,,,,,Famílias clássicas,Pessoas residentes,,,
Zona Geográfica,,Ocupados,,,Vagos,,,,,,,,,
 Tipo de edificio e número de alojamentos,Total         ,Total,Residência habitual,Residência secundária,Total,Para venda,Para arrendamento,Para demolição,Outros,,,,,
          2 alojamentos,4413,3568,2966,602,845,104,274,6,461,3031,7359,,,
          3 alojamentos,1366,1054,865,189,312,34,103,5,170,877,2065,,,
          4 alojamentos,1470,1135,873,262,335,44,132,7,152,886,2121,,,
          5 - 9 alojamentos,3283,2543,1872,671,740,143,253,12,332,1908,4579,,,
          10 - 15 alojamentos,1333,1039,726,313,294,88,94,1,111,736,1728,,,
          16 ou mais alojamentos,1203,846,619,227,357,71,47,1,238,634,1379,,,
        Norte,1846589,1644158,1319665,324493,202431,50168,32093,7338,112832,1328268,3651862,,,
          Total de edifícios principalmente residenciais,1836394,1636321,1313398,322923,200073,49853,31632,7271,111317,1321924,3634401,,,
            1 alojamento,1048571,938574,720025,218549,109997,19607,9571,6509,74310,725278,2069354,,,
            2 alojamentos,143407,131621,119531,12090,11786,1630,3622,184,6350,120223,322235,,,
            3 alojamentos,44905,38707,34470,4237,6198,835,2006,139,3218,34711,88085,,,
            4 alojamentos,48898,41995,35790,6205,6903,1306,2381,78,3138,36031,95336,,,
            5 - 9 alojamentos,219989,196467,163938,32529,23522,7658,6142,225,9497,164870,444992,,,
            10 - 15 alojamentos,150411,132804,111228,21576,17607,7811,3455,62,6279,111730,293693,,,
            16 ou mais alojamentos,180213,156153,128416,27737,24060,11006,4455,74,8525,129081,320706,,,
          Edifícios exclusivamente residenciais (100%),1557312,1393648,1117403,276245,163664,38963,23505,6843,94353,1124445,3113216,,,
            1 alojamento,994237,891296,682955,208341,102941,18687,8767,6257,69230,687847,1962857,,,
            2 alojamentos,130490,120698,109985,10713,9792,1348,2994,167,5283,110544,296712,,,
            3 alojamentos,36125,31740,28594,3146,4385,555,1503,103,2224,28783,73437,,,
            4 alojamentos,33808,29174,25322,3852,4634,818,1582,72,2162,25464,66853,,,
            5 - 9 alojamentos,151029,135816,115288,20528,15213,5034,3846,193,6140,115880,313862,,,
            10 - 15 alojamentos,100010,88399,74960,13439,11611,5311,2163,40,4097,75287,199084,,,
            16 ou mais alojamentos,111613,96525,80299,16226,15088,7210,2650,11,5217,80640,200411,,,
          Edifícios principalmente residenciais (de 50% a 99%),279082,242673,195995,46678,36409,10890,8127,428,16964,197479,521185,,,
            1 alojamento,54334,47278,37070,10208,7056,920,804,252,5080,37431,106497,,,
            2 alojamentos,12917,10923,9546,1377,1994,282,628,17,1067,9679,25523,,,
            3 alojamentos,8780,6967,5876,1091,1813,280,503,36,994,5928,14648,,,
            4 alojamentos,15090,12821,10468,2353,2269,488,799,6,976,10567,28483,,,
            5 - 9 alojamentos,68960,60651,48650,12001,8309,2624,2296,32,3357,48990,131130,,,
            10 - 15 alojamentos,50401,44405,36268,8137,5996,2500,1292,22,2182,36443,94609,,,
