"6.35 - POPULAÇÃO RESIDENTE EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA E HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica   ,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
 Ramos de actividade económica Horas de trabalho na semana de referência,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          15 - 29 horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          30 - 34 horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          35 - 39 horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          40 - 44 horas,11,8,0,0,1,1,0,0,10,7,0,0,0,0
          45 ou mais horas,21,21,0,0,0,0,0,0,21,21,0,0,0,0
        Indústrias alimentares,66565,34248,6382,4130,1300,767,299,148,58191,28983,100,57,293,163
          1 - 4 horas,386,187,53,31,38,21,0,0,285,129,0,0,10,6
          5 - 14 horas,2692,1237,339,189,89,38,0,0,2225,989,17,10,22,11
          15 - 29 horas,1163,432,126,69,77,29,63,34,870,279,5,4,22,17
          30 - 34 horas,981,422,147,73,80,31,26,7,717,306,2,1,9,4
          35 - 39 horas,5089,2463,395,218,102,53,27,12,4531,2162,7,6,27,12
          40 - 44 horas,39623,18536,1757,1019,307,171,55,28,37343,17238,46,20,115,60
          45 ou mais horas,16631,10971,3565,2531,607,424,128,67,12220,7880,23,16,88,53
        Indústria das bebidas,11662,7300,613,454,186,149,30,22,10749,6621,12,8,72,46
          1 - 4 horas,47,25,4,3,4,3,0,0,36,16,0,0,3,3
          5 - 14 horas,380,214,38,25,13,10,0,0,322,175,1,0,6,4
          15 - 29 horas,156,53,14,7,8,7,7,6,125,32,0,0,2,1
          30 - 34 horas,148,82,23,16,5,1,3,3,107,56,3,3,7,3
          35 - 39 horas,1504,801,61,40,19,15,1,0,1413,739,2,1,8,6
          40 - 44 horas,7156,4451,211,152,66,55,9,7,6838,4219,2,1,30,17
          45 ou mais horas,2271,1674,262,211,71,58,10,6,1908,1384,4,3,16,12
        Indústria do tabaco,828,580,14,11,1,1,0,0,810,567,0,0,3,1
          1 - 4 horas,4,2,0,0,0,0,0,0,4,2,0,0,0,0
          5 - 14 horas,36,21,0,0,0,0,0,0,36,21,0,0,0,0
          15 - 29 horas,4,1,0,0,0,0,0,0,4,1,0,0,0,0
          30 - 34 horas,11,9,1,1,1,1,0,0,9,7,0,0,0,0
          35 - 39 horas,124,90,1,1,0,0,0,0,123,89,0,0,0,0
          40 - 44 horas,471,332,8,8,0,0,0,0,462,323,0,0,1,1
          45 ou mais horas,178,125,4,1,0,0,0,0,172,124,0,0,2,0
        Fabricação de têxteis,30076,16026,1902,1154,736,219,58,21,27265,14587,34,12,81,33
          1 - 4 horas,127,37,19,8,31,6,0,0,73,22,2,0,2,1
          5 - 14 horas,938,404,81,44,60,11,0,0,787,346,1,1,9,2
          15 - 29 horas,423,123,34,18,61,5,21,7,300,92,1,0,6,1
          30 - 34 horas,289,98,32,16,52,13,3,1,198,66,1,0,3,2
          35 - 39 horas,1616,774,126,67,90,44,1,0,1385,659,3,1,11,3
          40 - 44 horas,22768,12113,772,426,202,60,15,7,21724,11598,22,9,33,13
          45 ou mais horas,3915,2477,838,575,240,80,18,6,2798,1804,4,1,17,11
        Indústria do vestuário,114995,21655,8218,3246,4455,684,283,54,101544,17551,86,7,409,113
          1 - 4 horas,476,97,70,26,162,22,0,0,219,41,2,0,23,8
          5 - 14 horas,3963,704,395,138,342,48,0,0,3174,510,8,0,44,8
          15 - 29 horas,1551,274,138,49,316,30,76,16,992,173,0,0,29,6
          30 - 34 horas,1133,208,122,54,255,28,21,3,716,119,2,0,17,4
          35 - 39 horas,6108,1225,477,179,479,82,24,4,5077,946,4,0,47,14
          40 - 44 horas,87386,14391,3623,1110,1478,231,91,13,81959,12984,54,5,181,48
          45 ou mais horas,14378,4756,3393,1690,1423,243,71,18,9407,2778,16,2,68,25
        Indústria do couro e dos produtos do couro,42559,18025,2988,1891,807,451,98,43,38497,15566,39,16,130,58
          1 - 4 horas,159,64,23,8,21,16,0,0,106,38,0,0,9,2
          5 - 14 horas,1276,532,137,82,46,28,0,0,1079,415,4,0,10,7
