"6.35 - POPULAÇÃO RESIDENTE EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA E HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica   ,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
 Ramos de actividade económica Horas de trabalho na semana de referência,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
"        Recolha, tratamento e eliminação  de resíduos; valorização de materiais",13844,10778,690,555,191,161,15,15,12882,10000,4,4,62,43
          1 - 4 horas,52,39,6,3,5,5,0,0,40,30,0,0,1,1
          5 - 14 horas,469,374,33,25,10,8,0,0,421,336,1,1,4,4
          15 - 29 horas,154,99,21,16,8,7,5,5,118,69,0,0,2,2
          30 - 34 horas,264,201,15,9,7,5,0,0,241,186,0,0,1,1
          35 - 39 horas,2405,1839,54,38,24,17,1,1,2308,1771,0,0,18,12
          40 - 44 horas,7906,6053,248,191,74,61,3,3,7555,5783,1,1,25,14
          45 ou mais horas,2594,2173,313,273,63,58,6,6,2199,1825,2,2,11,9
        Descontaminação e actividades similares,11,9,2,1,0,0,0,0,9,8,0,0,0,0
          1 - 4 horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          5 - 14 horas,1,1,1,1,0,0,0,0,0,0,0,0,0,0
          15 - 29 horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          30 - 34 horas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          35 - 39 horas,3,1,1,0,0,0,0,0,2,1,0,0,0,0
          40 - 44 horas,5,5,0,0,0,0,0,0,5,5,0,0,0,0
          45 ou mais horas,2,2,0,0,0,0,0,0,2,2,0,0,0,0
        Promoção imobiliária (desenvolvimento de projectos de edifícios); construção de edifícios,288347,268713,41491,38357,19763,19388,690,661,224034,208095,131,129,2238,2083
          1 - 4 horas,2046,1845,372,322,418,396,0,0,1168,1047,0,0,88,80
          5 - 14 horas,11590,10663,2069,1877,929,894,0,0,8330,7643,19,18,243,231
          15 - 29 horas,3898,3228,638,508,725,692,209,205,2205,1711,5,5,116,107
          30 - 34 horas,4169,3616,819,649,865,829,36,30,2344,2016,3,3,102,89
          35 - 39 horas,24633,20465,3403,2945,2186,2126,58,57,18706,15075,9,9,271,253
          40 - 44 horas,173187,163406,20467,19076,9981,9867,223,211,141477,133281,60,60,979,911
          45 ou mais horas,68824,65490,13723,12980,4659,4584,164,158,49804,47322,35,34,439,412
        Engenharia civil,22094,19940,1317,1170,350,342,19,16,20296,18309,12,12,100,91
          1 - 4 horas,82,62,8,6,12,11,0,0,60,44,0,0,2,1
          5 - 14 horas,768,691,81,72,25,25,0,0,657,589,2,2,3,3
          15 - 29 horas,178,130,27,17,9,8,0,0,135,99,0,0,7,6
          30 - 34 horas,248,208,22,14,12,11,0,0,209,179,0,0,5,4
          35 - 39 horas,2582,1953,115,88,34,34,0,0,2418,1820,1,1,14,10
          40 - 44 horas,11909,10942,567,522,163,160,10,8,11122,10207,7,7,40,38
          45 ou mais horas,6327,5954,497,451,95,93,9,8,5695,5371,2,2,29,29
        Actividades especializadas de construção,61806,56869,11262,10298,8879,8810,149,142,41035,37184,42,40,439,395
          1 - 4 horas,500,457,96,79,178,178,0,0,212,187,0,0,14,13
          5 - 14 horas,2694,2435,577,513,478,468,0,0,1598,1415,6,5,35,34
          15 - 29 horas,974,792,121,94,388,381,41,39,397,257,1,1,26,20
          30 - 34 horas,1019,916,174,142,426,420,10,10,387,323,0,0,22,21
          35 - 39 horas,5207,4334,897,746,1017,1015,11,10,3229,2520,5,5,48,38
          40 - 44 horas,36735,33912,5270,4806,4016,3984,52,50,27172,24868,22,21,203,183
          45 ou mais horas,14677,14023,4127,3918,2376,2364,35,33,8040,7614,8,8,91,86
"        Comércio, manutenção  e reparação, de veículos automóveis e motociclos",110192,92547,18032,15773,11142,10835,358,297,79965,65085,50,30,645,527
          1 - 4 horas,792,636,183,152,207,191,0,0,378,273,0,0,24,20
          5 - 14 horas,4406,3639,898,754,599,574,0,0,2843,2261,5,3,61,47
          15 - 29 horas,1478,1028,225,161,342,334,93,75,776,426,0,0,42,32
          30 - 34 horas,1284,1010,245,183,391,377,17,12,611,420,1,1,19,17
          35 - 39 horas,8660,6101,1170,888,964,928,40,34,6404,4189,3,3,79,59
          40 - 44 horas,65953,55053,7713,6622,4289,4168,123,107,53543,43935,25,12,260,209
          45 ou mais horas,27619,25080,7598,7013,4350,4263,85,69,15410,13581,16,11,160,143
"        Comércio por grosso (inclui agentes), excepto de veículos automóveis e motociclos",122761,83518,16637,12623,7282,5854,374,218,97778,64329,40,29,650,465
          1 - 4 horas,779,450,154,85,156,108,0,0,450,243,0,0,19,14
          5 - 14 horas,4572,2984,800,544,351,274,0,0,3349,2124,6,4,66,38
          15 - 29 horas,2746,1359,363,240,307,230,82,48,1948,808,2,1,44,32
          30 - 34 horas,1985,1111,389,240,336,245,14,9,1218,596,2,1,26,20
          35 - 39 horas,10208,5935,1296,856,644,504,27,13,8171,4516,0,0,70,46
          40 - 44 horas,68938,44834,5732,4104,2263,1811,112,72,60587,38679,16,11,228,157
          45 ou mais horas,33533,26845,7903,6554,3225,2682,139,76,22055,17363,14,12,197,158
"        Comércio a retalho, excepto de veículos automóveis e motociclos",520342,230051,79984,46189,59438,28168,3700,1456,373958,152695,229,97,3033,1446
          1 - 4 horas,5684,1976,1122,488,1411,551,0,0,3013,879,6,2,132,56
          5 - 14 horas,21677,8957,3893,2063,3306,1476,0,0,14173,5299,22,10,283,109
          15 - 29 horas,28102,8191,2143,959,2479,1089,724,304,22417,5710,28,9,311,120
          30 - 34 horas,14334,4728,2089,981,2472,1205,203,85,9358,2363,10,4,202,90
          35 - 39 horas,38092,15668,5424,2672,4900,2309,346,142,27085,10396,7,1,330,148
          40 - 44 horas,275941,112607,26005,13818,18231,8172,926,342,229687,89785,103,42,989,448
          45 ou mais horas,136512,77924,39308,25208,26639,13366,1501,583,68225,38263,53,29,786,475
        Transportes terrestres e transportes por oledutos ou gasodutos,109508,94986,9380,7614,7368,6942,152,130,91914,79686,245,237,449,377
          1 - 4 horas,679,552,102,77,215,184,0,0,346,276,0,0,16,15
          5 - 14 horas,3968,3345,483,373,454,425,0,0,2981,2505,10,9,40,33
          15 - 29 horas,1667,1229,226,140,310,283,47,39,1054,743,3,3,27,21
          30 - 34 horas,1610,1170,246,148,294,260,9,7,1042,736,4,4,15,15
          35 - 39 horas,10724,8190,793,542,664,615,9,6,9198,6980,14,13,46,34
          40 - 44 horas,48279,40667,3147,2458,2005,1892,34,27,42903,36131,42,40,148,119
          45 ou mais horas,42581,39833,4383,3876,3426,3283,53,51,34390,32315,172,168,157,140
        Transportes por água,3349,2643,184,154,36,32,3,2,3091,2420,1,1,34,34
          1 - 4 horas,13,12,4,3,0,0,0,0,9,9,0,0,0,0
          5 - 14 horas,114,88,7,6,4,4,0,0,100,75,0,0,3,3
          15 - 29 horas,43,35,9,9,4,4,0,0,28,20,0,0,2,2
          30 - 34 horas,49,37,4,4,7,6,0,0,38,27,0,0,0,0
          35 - 39 horas,592,332,29,20,6,4,0,0,555,306,0,0,2,2
          40 - 44 horas,1103,869,51,40,3,3,0,0,1046,823,0,0,3,3
          45 ou mais horas,1435,1270,80,72,12,11,3,2,1315,1160,1,1,24,24
        Transportes aéreos,12135,7405,0,0,0,0,0,0,12082,7369,0,0,53,36
          1 - 4 horas,65,46,0,0,0,0,0,0,62,44,0,0,3,2
          5 - 14 horas,304,180,0,0,0,0,0,0,302,178,0,0,2,2
          15 - 29 horas,1024,639,0,0,0,0,0,0,1018,634,0,0,6,5
          30 - 34 horas,1172,689,0,0,0,0,0,0,1166,683,0,0,6,6
          35 - 39 horas,3969,2534,0,0,0,0,0,0,3953,2526,0,0,16,8
          40 - 44 horas,3871,2263,0,0,0,0,0,0,3858,2256,0,0,13,7
          45 ou mais horas,1730,1054,0,0,0,0,0,0,1723,1048,0,0,7,6
        Armazenagem e actividades auxiliares dos transportes(inclui manuseamento),19510,13906,887,721,190,169,9,7,18308,12923,5,4,111,82
          1 - 4 horas,121,94,13,11,7,3,0,0,98,77,0,0,3,3
          5 - 14 horas,621,429,47,38,13,12,0,0,553,374,0,0,8,5
          15 - 29 horas,748,472,34,26,6,4,1,0,697,433,0,0,10,9
          30 - 34 horas,707,503,29,25,12,11,0,0,653,457,0,0,13,10
          35 - 39 horas,5671,3472,163,131,26,23,0,0,5457,3302,0,0,25,16
          40 - 44 horas,8035,5936,317,248,43,40,3,3,7636,5618,5,4,31,23
          45 ou mais horas,3607,3000,284,242,83,76,5,4,3214,2662,0,0,21,16
        Actividades postais e de courier,16756,10992,74,66,16,14,1,1,16583,10867,1,1,81,43
          1 - 4 horas,123,53,0,0,0,0,0,0,121,52,0,0,2,1
          5 - 14 horas,646,398,5,4,1,1,0,0,627,387,0,0,13,6
          15 - 29 horas,592,342,0,0,1,1,0,0,582,337,0,0,9,4
          30 - 34 horas,341,197,2,2,1,1,0,0,334,192,0,0,4,2
          35 - 39 horas,5388,3445,6,6,1,0,0,0,5368,3433,0,0,13,6
          40 - 44 horas,7387,4839,28,24,6,6,1,1,7326,4794,0,0,26,14
          45 ou mais horas,2279,1718,33,30,6,5,0,0,2225,1672,1,1,14,10
        Alojamento,68908,29749,7105,4095,1812,892,300,111,59178,24421,26,13,487,217
          1 - 4 horas,574,201,99,45,72,30,0,0,378,117,2,2,23,7
          5 - 14 horas,3283,1259,492,259,142,65,0,0,2585,910,1,1,63,24
          15 - 29 horas,1679,635,243,141,120,54,82,31,1196,395,1,0,37,14
          30 - 34 horas,1216,471,191,103,65,36,11,5,915,313,2,1,32,13
          35 - 39 horas,5034,1909,376,198,93,35,15,6,4485,1650,2,0,63,20
          40 - 44 horas,39342,15868,1800,893,332,136,66,24,36986,14745,6,3,152,67
          45 ou mais horas,17780,9406,3904,2456,988,536,126,45,12633,6291,12,6,117,72
        Restauração e similares,222853,89493,48762,26917,16456,7746,2676,955,152867,52973,148,62,1944,840
          1 - 4 horas,3132,1159,696,294,456,237,0,0,1843,562,3,1,134,65
          5 - 14 horas,13715,5151,3105,1516,1018,497,0,0,9306,3021,16,5,270,112
          15 - 29 horas,9158,3231,1362,707,502,247,544,210,6546,1981,9,0,195,86
          30 - 34 horas,5382,1831,781,331,234,104,113,49,4132,1297,6,2,116,48
          35 - 39 horas,14846,5159,2128,1009,581,246,162,67,11787,3764,6,2,182,71
          40 - 44 horas,86866,29050,9951,4762,2662,1152,458,158,73296,22775,50,19,449,184
          45 ou mais horas,89754,43912,30739,18298,11003,5263,1399,471,45957,19573,58,33,598,274
        Actividades de edição,7380,3785,898,548,349,205,2,2,5905,2907,0,0,226,123
          1 - 4 horas,64,36,18,11,9,3,0,0,27,15,0,0,10,7
          5 - 14 horas,287,130,56,38,22,7,0,0,194,77,0,0,15,8
          15 - 29 horas,250,138,59,34,41,24,1,1,130,69,0,0,19,10
          30 - 34 horas,257,137,67,42,29,17,1,1,146,68,0,0,14,9
          35 - 39 horas,1685,802,136,87,58,37,0,0,1457,664,0,0,34,14
          40 - 44 horas,2810,1304,262,140,75,45,0,0,2411,1084,0,0,62,35
          45 ou mais horas,2027,1238,300,196,115,72,0,0,1540,930,0,0,72,40
"        Actividades cinematográficas, de vídeo, de produção de programas de televisão, de gravação de som e de edição de música",6174,3920,1388,1013,476,394,2,1,3856,2262,0,0,452,250
          1 - 4 horas,71,40,26,14,11,8,0,0,29,15,0,0,5,3
          5 - 14 horas,285,165,83,61,33,26,0,0,145,66,0,0,24,12
          15 - 29 horas,419,240,78,57,36,29,0,0,282,143,0,0,23,11
          30 - 34 horas,284,196,77,59,50,43,1,0,133,77,0,0,23,17
          35 - 39 horas,692,413,140,95,46,39,0,0,466,260,0,0,40,19
          40 - 44 horas,2218,1343,336,235,97,82,0,0,1685,970,0,0,100,56
          45 ou mais horas,2205,1523,648,492,203,167,1,1,1116,731,0,0,237,132
        Actividades de rádio e de  televisão,5437,3239,491,315,81,59,1,0,4703,2777,0,0,161,88
          1 - 4 horas,45,30,14,10,4,1,0,0,23,17,0,0,4,2
          5 - 14 horas,235,135,52,26,11,8,0,0,157,93,0,0,15,8
          15 - 29 horas,161,86,40,25,5,4,0,0,103,51,0,0,13,6
          30 - 34 horas,180,108,28,19,8,5,0,0,137,80,0,0,7,4
          35 - 39 horas,1551,890,72,39,6,4,0,0,1440,830,0,0,33,17
          40 - 44 horas,1928,1104,123,75,18,13,1,0,1742,990,0,0,44,26
          45 ou mais horas,1337,886,162,121,29,24,0,0,1101,716,0,0,45,25
        Telecomunicações,49100,30560,3007,2330,608,540,10,8,45064,27409,11,10,400,263
          1 - 4 horas,295,165,31,23,17,12,0,0,233,120,0,0,14,10
          5 - 14 horas,1531,830,157,106,35,28,0,0,1307,679,0,0,32,17
          15 - 29 horas,1637,846,63,43,21,16,2,2,1523,770,2,1,26,14
          30 - 34 horas,1733,832,70,45,22,22,0,0,1615,750,0,0,26,15
          35 - 39 horas,7285,4495,271,191,49,42,2,1,6898,4213,2,2,63,46
          40 - 44 horas,25358,14867,1088,790,195,172,4,3,23917,13801,4,4,150,97
          45 ou mais horas,11261,8525,1327,1132,269,248,2,2,9571,7076,3,3,89,64
        Consultoria e programação informática e actividades relacionadas,33053,25026,3961,3376,1686,1567,1,0,27075,19838,1,1,329,244
          1 - 4 horas,130,104,19,15,48,41,0,0,59,44,0,0,4,4
          5 - 14 horas,734,497,115,94,82,74,0,0,524,319,0,0,13,10
          15 - 29 horas,416,287,77,53,82,72,0,0,240,150,0,0,17,12
          30 - 34 horas,462,335,74,60,103,95,0,0,263,166,0,0,22,14
          35 - 39 horas,2936,2031,282,218,190,170,0,0,2406,1603,0,0,58,40
          40 - 44 horas,18038,13305,1464,1188,466,434,1,0,15973,11588,0,0,134,95
          45 ou mais horas,10337,8467,1930,1748,715,681,0,0,7610,5968,1,1,81,69
        Actividades dos serviços de informação,1215,499,134,71,35,21,0,0,1008,398,0,0,38,9
          1 - 4 horas,6,2,1,0,2,1,0,0,2,1,0,0,1,0
          5 - 14 horas,39,18,3,1,1,1,0,0,32,15,0,0,3,1
          15 - 29 horas,47,22,7,5,4,1,0,0,32,15,0,0,4,1
          30 - 34 horas,32,17,7,2,2,1,0,0,21,12,0,0,2,2
          35 - 39 horas,227,91,17,7,4,3,0,0,198,79,0,0,8,2
          40 - 44 horas,587,209,49,20,11,6,0,0,515,183,0,0,12,0
          45 ou mais horas,277,140,50,36,11,8,0,0,208,93,0,0,8,3
"        Actividades de serviços financeiros, excepto seguros e fundos de pensões",74966,39434,2429,1329,256,174,8,3,71950,37744,1,0,322,184
          1 - 4 horas,275,124,25,15,18,8,0,0,212,89,0,0,20,12
          5 - 14 horas,2399,997,126,55,20,10,0,0,2227,914,0,0,26,18
          15 - 29 horas,830,215,73,36,18,8,1,1,721,160,0,0,17,10
          30 - 34 horas,999,440,94,55,20,16,2,0,862,355,0,0,21,14
          35 - 39 horas,16898,8488,467,226,35,27,0,0,16338,8212,0,0,58,23
          40 - 44 horas,28972,14242,861,470,56,36,2,0,27958,13680,1,0,94,56
          45 ou mais horas,24593,14928,783,472,89,69,3,2,23632,14334,0,0,86,51
"        Seguros, resseguros e fundos de pensões, excepto segurança social obrigatória",20667,10586,2478,1660,1582,1128,5,2,16414,7679,2,1,186,116
          1 - 4 horas,201,93,42,23,55,36,0,0,93,25,0,0,11,9
          5 - 14 horas,798,345,143,83,106,67,0,0,536,187,0,0,13,8
          15 - 29 horas,520,240,99,65,97,64,1,0,311,100,0,0,12,11
          30 - 34 horas,530,270,121,78,100,68,0,0,306,122,0,0,3,2
          35 - 39 horas,6701,3001,368,209,187,107,0,0,6118,2671,0,0,28,14
          40 - 44 horas,7067,3240,749,463,389,266,2,1,5873,2483,1,0,53,27
          45 ou mais horas,4850,3397,956,739,648,520,2,1,3177,2091,1,1,66,45
        Actividades auxiliares de serviços financeiros e dos seguros,8920,5167,1976,1476,1458,1089,1,0,5363,2525,0,0,122,77
          1 - 4 horas,94,43,19,8,42,23,0,0,29,11,0,0,4,1
          5 - 14 horas,335,188,96,70,81,57,0,0,153,58,0,0,5,3
          15 - 29 horas,210,113,55,40,61,42,0,0,89,28,0,0,5,3
          30 - 34 horas,227,124,61,43,70,50,0,0,92,28,0,0,4,3
          35 - 39 horas,1698,779,234,149,148,99,0,0,1297,519,0,0,19,12
          40 - 44 horas,3336,1620,520,352,377,253,0,0,2403,996,0,0,36,19
          45 ou mais horas,3020,2300,991,814,679,565,1,0,1300,885,0,0,49,36
        Actividades imobiliárias,26349,12806,7843,4801,2487,1625,17,8,15404,6037,3,2,595,333
          1 - 4 horas,364,137,90,33,97,50,0,0,161,47,0,0,16,7
          5 - 14 horas,1340,554,423,224,182,95,0,0,700,215,0,0,35,20
          15 - 29 horas,1205,411,256,113,164,106,4,2,740,165,0,0,41,25
          30 - 34 horas,981,458,367,196,182,106,0,0,393,135,0,0,39,21
          35 - 39 horas,3283,1367,815,444,317,203,1,1,2072,683,2,1,76,35
          40 - 44 horas,11152,4788,2263,1302,642,396,6,2,8064,2995,1,1,176,92
          45 ou mais horas,8024,5091,3629,2489,903,669,6,3,3274,1797,0,0,212,133
        Actividades jurídicas e  de contabilidade,91921,35936,23562,13005,14334,7246,10,2,51737,14771,1,1,2277,911
          1 - 4 horas,1147,372,257,108,332,172,0,0,515,74,0,0,43,18
          5 - 14 horas,3610,1308,917,445,819,440,0,0,1777,385,0,0,97,38
          15 - 29 horas,2764,1120,608,317,832,459,1,0,1201,295,0,0,122,49
          30 - 34 horas,2945,1199,789,390,1033,520,2,1,982,237,0,0,139,51
          35 - 39 horas,15167,4484,2447,1109,1913,843,3,0,10457,2403,1,1,346,128
          40 - 44 horas,38540,11952,7057,3346,3996,1762,3,1,26789,6618,0,0,695,225
          45 ou mais horas,27748,15501,11487,7290,5409,3050,1,0,10016,4759,0,0,835,402
        Actividades das sedes sociais e de consultoria para a gestão,2968,1300,407,232,184,116,1,0,2330,936,0,0,46,16
          1 - 4 horas,23,7,6,3,5,3,0,0,10,1,0,0,2,0
          5 - 14 horas,105,45,17,9,13,8,0,0,74,28,0,0,1,0
          15 - 29 horas,71,37,14,7,16,11,0,0,37,18,0,0,4,1
          30 - 34 horas,59,33,16,11,7,5,0,0,34,16,0,0,2,1
          35 - 39 horas,430,169,42,23,31,18,0,0,350,124,0,0,7,4
          40 - 44 horas,1570,596,146,62,48,29,0,0,1355,498,0,0,21,7
          45 ou mais horas,710,413,166,117,64,42,1,0,470,251,0,0,9,3
"        Actividades de arquitectura, de engenharia e técnicas afins; actividades de ensaios e de análises técnicas",37375,24569,7366,5513,4283,3181,4,3,24666,15320,0,0,1056,552
          1 - 4 horas,271,164,47,27,102,63,0,0,107,65,0,0,15,9
          5 - 14 horas,1106,676,201,144,237,168,0,0,624,343,0,0,44,21
          15 - 29 horas,959,519,228,138,335,215,2,1,344,138,0,0,50,27
          30 - 34 horas,1098,612,303,180,337,222,0,0,408,184,0,0,50,26
          35 - 39 horas,5656,3169,823,507,605,426,1,1,4028,2138,0,0,199,97
          40 - 44 horas,17159,10751,2372,1655,1189,864,1,1,13166,8023,0,0,431,208
          45 ou mais horas,11126,8678,3392,2862,1478,1223,0,0,5989,4429,0,0,267,164
        Actividades de investigação científica e de desenvolvimento,7931,3420,229,126,123,54,0,0,5393,2381,0,0,2186,859
          1 - 4 horas,26,14,3,2,7,3,0,0,13,7,0,0,3,2
          5 - 14 horas,135,48,7,3,5,2,0,0,93,33,0,0,30,10
          15 - 29 horas,173,62,7,3,17,5,0,0,107,39,0,0,42,15
          30 - 34 horas,299,117,14,6,10,6,0,0,165,61,0,0,110,44
          35 - 39 horas,2564,1037,45,20,24,8,0,0,1997,804,0,0,498,205
          40 - 44 horas,2766,1176,83,46,23,4,0,0,1908,864,0,0,752,262
          45 ou mais horas,1968,966,70,46,37,26,0,0,1110,573,0,0,751,321
"        Publicidade,  estudos de mercado e sondagens de opinião",18314,10195,3236,2248,1382,1051,13,9,13291,6671,4,3,388,213
          1 - 4 horas,203,88,39,18,38,23,0,0,114,44,0,0,12,3
          5 - 14 horas,773,375,159,86,82,63,0,0,501,211,2,1,29,14
          15 - 29 horas,771,337,102,55,61,39,1,0,559,219,0,0,48,24
          30 - 34 horas,617,311,94,57,85,59,1,0,410,180,0,0,27,15
          35 - 39 horas,2429,1113,320,182,149,111,1,1,1897,787,0,0,62,32
          40 - 44 horas,8512,4597,1042,682,407,297,4,4,6941,3551,1,1,117,62
          45 ou mais horas,5009,3374,1480,1168,560,459,6,4,2869,1679,1,1,93,63
"        Outras actividades de consultoria,  científicas, técnicas e similares",17599,10566,3208,2109,3859,2358,10,5,10150,5894,3,1,369,199
          1 - 4 horas,225,128,45,26,118,73,0,0,48,20,0,0,14,9
          5 - 14 horas,643,342,126,77,248,132,0,0,238,118,0,0,31,15
          15 - 29 horas,733,341,122,57,368,177,5,2,202,82,0,0,36,23
          30 - 34 horas,714,376,131,65,376,212,0,0,180,86,0,0,27,13
          35 - 39 horas,2175,1138,319,182,489,281,2,2,1314,645,0,0,51,28
          40 - 44 horas,7973,4681,1033,654,993,610,1,0,5821,3354,0,0,125,63
          45 ou mais horas,5136,3560,1432,1048,1267,873,2,1,2347,1589,3,1,85,48
        Actividades veterinárias,3512,1054,789,321,261,117,2,1,2350,580,5,2,105,33
          1 - 4 horas,33,12,9,3,8,2,0,0,14,6,0,0,2,1
          5 - 14 horas,100,24,20,7,13,3,0,0,60,10,0,0,7,4
          15 - 29 horas,156,33,44,12,19,8,1,0,82,12,0,0,10,1
          30 - 34 horas,191,43,54,11,20,10,1,1,109,19,0,0,7,2
          35 - 39 horas,701,210,96,25,34,14,0,0,563,169,0,0,8,2
          40 - 44 horas,1415,359,233,89,67,31,0,0,1077,227,1,0,37,12
          45 ou mais horas,916,373,333,174,100,49,0,0,445,137,4,2,34,11
        Actividades de aluguer,7288,5000,735,588,304,244,11,9,6197,4130,3,3,38,26
          1 - 4 horas,57,36,11,9,10,6,0,0,34,21,0,0,2,0
          5 - 14 horas,248,143,29,19,20,9,0,0,193,112,1,1,5,2
          15 - 29 horas,104,63,15,14,12,12,3,3,73,34,0,0,1,0
          30 - 34 horas,97,57,9,5,14,10,1,1,72,40,0,0,1,1
          35 - 39 horas,668,383,65,51,40,34,1,1,562,297,0,0,0,0
          40 - 44 horas,3985,2599,251,186,94,72,3,1,3617,2326,2,2,18,12
          45 ou mais horas,2129,1719,355,304,114,101,3,3,1646,1300,0,0,11,11
        Actividades de emprego,10247,4636,551,315,94,62,5,3,9425,4184,0,0,172,72
          1 - 4 horas,77,25,6,3,1,0,0,0,65,19,0,0,5,3
          5 - 14 horas,437,178,32,16,3,3,0,0,390,153,0,0,12,6
          15 - 29 horas,605,229,24,11,7,4,3,3,554,202,0,0,17,9
          30 - 34 horas,391,150,17,9,13,6,0,0,355,133,0,0,6,2
          35 - 39 horas,1198,444,64,33,9,7,1,0,1097,398,0,0,27,6
          40 - 44 horas,5435,2349,199,106,26,16,0,0,5131,2198,0,0,79,29
          45 ou mais horas,2104,1261,209,137,35,26,1,0,1833,1081,0,0,26,17
"        Agências de viagem, operadores turísticos, outros serviços de reservas e actividades relacionadas",12898,4972,1738,897,547,233,15,6,10446,3763,1,0,151,73
          1 - 4 horas,145,54,26,13,24,8,0,0,90,30,0,0,5,3
          5 - 14 horas,598,211,93,41,39,15,0,0,453,152,0,0,13,3
          15 - 29 horas,338,113,75,35,53,12,6,2,187,56,0,0,17,8
          30 - 34 horas,383,131,85,38,50,18,0,0,236,71,0,0,12,4
          35 - 39 horas,3080,920,266,106,72,24,1,0,2707,774,0,0,34,16
          40 - 44 horas,5456,2030,507,238,139,61,3,1,4770,1716,0,0,37,14
          45 ou mais horas,2898,1513,686,426,170,95,5,3,2003,964,1,0,33,25
        Actividades de investigação e segurança,37575,32652,1000,894,374,354,27,26,35981,31216,13,13,180,149
          1 - 4 horas,150,120,7,6,11,11,0,0,128,100,0,0,4,3
          5 - 14 horas,1416,1167,61,55,30,25,0,0,1311,1075,1,1,13,11
          15 - 29 horas,723,602,33,25,23,23,5,5,651,541,0,0,11,8
          30 - 34 horas,711,602,31,23,20,19,2,1,650,553,0,0,8,6
          35 - 39 horas,2905,2399,85,71,63,62,1,1,2721,2240,1,1,34,24
          40 - 44 horas,21353,18238,395,347,110,100,6,6,20794,17745,7,7,41,33
          45 ou mais horas,10317,9524,388,367,117,114,13,13,9726,8962,4,4,69,64
"        Actividades relacionadas com edifícios, plantação e manutenção de jardins",97003,17965,4409,1957,12100,1991,1190,75,78158,13648,33,16,1113,278
          1 - 4 horas,3797,303,177,27,798,68,0,0,2660,140,0,0,162,68
          5 - 14 horas,9951,940,451,142,1754,128,0,0,7571,638,8,3,167,29
          15 - 29 horas,16172,773,292,59,2589,151,420,24,12677,516,5,0,189,23
          30 - 34 horas,7137,597,210,51,1247,152,115,6,5476,367,3,3,86,18
          35 - 39 horas,11960,2266,417,165,1204,241,90,12,10097,1807,3,2,149,39
          40 - 44 horas,37053,9734,1619,776,2927,743,197,19,32065,8118,11,7,234,71
          45 ou mais horas,10933,3352,1243,737,1581,508,368,14,7612,2062,3,1,126,30
        Actividades de serviços administrativos e de apoio prestados às empresas,25043,10202,2978,1715,1429,735,43,13,20098,7503,3,2,492,234
          1 - 4 horas,456,191,75,32,111,50,0,0,244,95,0,0,26,14
          5 - 14 horas,1340,523,218,105,140,70,0,0,925,324,0,0,57,24
          15 - 29 horas,1596,660,158,89,113,57,16,4,1249,483,0,0,60,27
          30 - 34 horas,1380,513,147,81,100,48,1,0,1089,360,0,0,43,24
          35 - 39 horas,4324,1445,299,148,139,66,4,1,3795,1193,0,0,87,37
          40 - 44 horas,11392,4321,884,463,365,187,8,3,10005,3610,3,2,127,56
          45 ou mais horas,4555,2549,1197,797,461,257,14,5,2791,1438,0,0,92,52
        Administração Pública e Defesa;  Segurança Social Obrigatória,314631,188376,0,0,0,0,0,0,314631,188376,0,0,0,0
          1 - 4 horas,1595,829,0,0,0,0,0,0,1595,829,0,0,0,0
          5 - 14 horas,9830,4838,0,0,0,0,0,0,9830,4838,0,0,0,0
          15 - 29 horas,5353,2229,0,0,0,0,0,0,5353,2229,0,0,0,0
          30 - 34 horas,12455,6464,0,0,0,0,0,0,12455,6464,0,0,0,0
          35 - 39 horas,149675,78377,0,0,0,0,0,0,149675,78377,0,0,0,0
          40 - 44 horas,79955,52526,0,0,0,0,0,0,79955,52526,0,0,0,0
          45 ou mais horas,55768,43113,0,0,0,0,0,0,55768,43113,0,0,0,0
        Educação,376743,89058,12632,4086,3787,1319,126,21,348249,80219,78,21,11871,3392
          1 - 4 horas,2888,693,305,92,283,88,0,0,2079,447,0,0,221,66
          5 - 14 horas,17545,4535,1666,560,671,215,0,0,14105,3455,11,4,1092,301
          15 - 29 horas,36087,9041,1889,642,787,248,40,8,31858,7708,11,4,1502,431
          30 - 34 horas,28228,6980,990,341,418,150,4,2,25688,6174,8,0,1120,313
          35 - 39 horas,170772,35882,2648,531,453,142,24,4,163950,34341,17,3,3680,861
          40 - 44 horas,78641,17471,2753,805,566,212,24,5,72831,15714,20,7,2447,728
          45 ou mais horas,42582,14456,2381,1115,609,264,34,2,37738,12380,11,3,1809,692
        Actividades de saúde humana,222276,54591,17913,7319,4303,2007,24,1,196428,44101,32,7,3576,1156
          1 - 4 horas,1579,397,302,103,297,120,0,0,907,156,0,0,73,18
