"3.11- ALOJAMENTOS CLÁSSICOS OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES,  POR NÚMERO DE PESSOAS E FAMÍLIAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,,Total de divisões,Famílias clássicas,Pessoas residentes
Número de pessoas e número de famílias nos alojamentos,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais,,,
            Com 1 pessoa,2,1,0,0,1,0,0,0,0,0,0,5,2,2
            Com 2 pessoas,622,7,23,115,257,143,44,17,9,6,1,2660,1243,1244
            Com 3 pessoas,390,3,11,59,154,105,37,12,3,1,5,1740,780,1170
            Com 4 pessoas,380,3,3,33,157,110,43,19,5,5,2,1782,760,1520
            Com 5 pessoas,325,1,3,27,101,111,36,22,11,7,6,1634,649,1625
            Com 6 pessoas,180,3,4,11,56,58,21,15,6,2,4,899,360,1080
            Com 7 pessoas,102,0,2,2,27,36,9,10,8,6,2,563,204,714
            Com 8 pessoas,43,0,0,5,6,17,5,5,2,3,0,232,86,344
            Com 9 ou mais pessoas,26,0,0,1,5,7,5,5,2,1,0,148,52,261
          Alojamentos com 3 ou mais famílias,486,0,10,55,135,167,62,21,14,8,14,2411,1683,2460
            Com 1 pessoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Com 2 pessoas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Com 3 pessoas,133,0,3,20,42,46,14,2,3,0,3,617,399,399
            Com 4 pessoas,121,0,1,20,37,43,5,6,6,1,2,574,417,484
            Com 5 pessoas,76,0,0,10,16,34,12,2,1,1,0,367,280,380
            Com 6 pessoas,54,0,4,2,17,15,12,2,1,0,1,261,198,324
            Com 7 pessoas,35,0,1,2,11,9,2,4,1,3,2,193,142,245
            Com 8 pessoas,30,0,0,1,4,11,6,4,1,1,2,176,112,240
            Com 9 ou mais pessoas,37,0,1,0,8,9,11,1,1,2,4,223,135,388
    Região Autónoma dos Açores,,,,,,,,,,,,,,
       Alojamentos,80425,372,1785,7286,17172,20744,14182,8845,4691,2677,2671,436070,81453,243270
          Com 1 pessoa,12911,186,634,2162,3595,2979,1698,853,391,219,194,60580,12911,12911
          Com 2 pessoas,20722,89,499,2090,4936,5482,3487,2005,1051,538,545,108651,20914,41444
          Com 3 pessoas,19066,50,318,1454,4087,5024,3488,2247,1131,666,601,104776,19275,57198
          Com 4 pessoas,16213,29,207,955,2798,4249,3130,2190,1260,687,708,93923,16343,64852
          Com 5 pessoas,6718,14,85,373,1059,1780,1338,889,509,315,356,39521,6854,33590
          Com 6 pessoas,2723,2,22,151,415,713,537,366,206,153,158,16252,2848,16338
          Com 7 pessoas,1021,2,13,51,138,263,233,140,77,47,57,6091,1084,7147
          Com 8 pessoas,476,0,5,31,76,112,108,67,30,29,18,2775,546,3808
          Com 9 ou mais pessoas,575,0,2,19,68,142,163,88,36,23,34,3501,678,5982
        Alojamentos com 1 família,79656,369,1772,7217,17019,20555,14027,8759,4648,2651,2639,431807,79656,239706
          Com 1 pessoa,12909,186,634,2162,3595,2978,1698,853,391,219,193,60565,12909,12909
          Com 2 pessoas,20530,88,495,2066,4883,5429,3457,1994,1045,534,539,107691,20530,41060
          Com 3 pessoas,18926,49,314,1440,4060,4990,3463,2225,1126,661,598,104016,18926,56778
          Com 4 pessoas,16118,29,205,947,2780,4225,3109,2180,1252,685,706,93404,16118,64472
          Com 5 pessoas,6620,14,84,367,1043,1754,1317,879,501,308,353,38950,6620,33100
          Com 6 pessoas,2636,1,20,148,400,694,521,353,200,149,150,15721,2636,15816
          Com 7 pessoas,975,2,13,45,131,258,222,130,73,46,55,5817,975,6825
          Com 8 pessoas,433,0,5,28,70,102,95,61,29,27,16,2525,433,3464
          Com 9 ou mais pessoas,509,0,2,14,57,125,145,84,31,22,29,3118,509,5282
        Alojamentos com 2 famílias,585,3,10,60,118,150,114,59,33,21,17,3162,1168,2544
          Com 1 pessoa,2,0,0,0,0,1,0,0,0,0,1,15,2,2
          Com 2 pessoas,191,1,4,24,53,53,29,11,6,4,6,954,382,382
          Com 3 pessoas,71,1,2,12,13,17,9,8,5,4,0,364,142,213
          Com 4 pessoas,70,0,1,6,13,20,13,10,5,1,1,380,140,280
          Com 5 pessoas,81,0,1,6,15,21,17,9,5,5,2,458,162,405
          Com 6 pessoas,70,1,2,3,12,17,15,9,4,4,3,403,140,420
          Com 7 pessoas,35,0,0,6,4,3,9,8,3,1,1,206,70,245
          Com 8 pessoas,28,0,0,2,3,8,10,3,1,1,0,156,56,224
          Com 9 ou mais pessoas,37,0,0,1,5,10,12,1,4,1,3,226,74,373
        Alojamentos com 3 ou mais famílias,184,0,3,9,35,39,41,27,10,5,15,1101,629,1020
          Com 1 pessoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Com 2 pessoas,1,0,0,0,0,0,1,0,0,0,0,6,2,2
          Com 3 pessoas,69,0,2,2,14,17,16,14,0,1,3,396,207,207
          Com 4 pessoas,25,0,1,2,5,4,8,0,3,1,1,139,85,100
          Com 5 pessoas,17,0,0,0,1,5,4,1,3,2,1,113,72,85
          Com 6 pessoas,17,0,0,0,3,2,1,4,2,0,5,128,72,102
          Com 7 pessoas,11,0,0,0,3,2,2,2,1,0,1,68,39,77
          Com 8 pessoas,15,0,0,1,3,2,3,3,0,1,2,94,57,120
          Com 9 ou mais pessoas,29,0,0,4,6,7,6,3,1,0,2,157,95,327
      Região Autónoma dos Açores,,,,,,,,,,,,,,
         Alojamentos,80425,372,1785,7286,17172,20744,14182,8845,4691,2677,2671,436070,81453,243270
            Com 1 pessoa,12911,186,634,2162,3595,2979,1698,853,391,219,194,60580,12911,12911
            Com 2 pessoas,20722,89,499,2090,4936,5482,3487,2005,1051,538,545,108651,20914,41444
            Com 3 pessoas,19066,50,318,1454,4087,5024,3488,2247,1131,666,601,104776,19275,57198
            Com 4 pessoas,16213,29,207,955,2798,4249,3130,2190,1260,687,708,93923,16343,64852
            Com 5 pessoas,6718,14,85,373,1059,1780,1338,889,509,315,356,39521,6854,33590
            Com 6 pessoas,2723,2,22,151,415,713,537,366,206,153,158,16252,2848,16338
            Com 7 pessoas,1021,2,13,51,138,263,233,140,77,47,57,6091,1084,7147
            Com 8 pessoas,476,0,5,31,76,112,108,67,30,29,18,2775,546,3808
            Com 9 ou mais pessoas,575,0,2,19,68,142,163,88,36,23,34,3501,678,5982
          Alojamentos com 1 família,79656,369,1772,7217,17019,20555,14027,8759,4648,2651,2639,431807,79656,239706
            Com 1 pessoa,12909,186,634,2162,3595,2978,1698,853,391,219,193,60565,12909,12909
            Com 2 pessoas,20530,88,495,2066,4883,5429,3457,1994,1045,534,539,107691,20530,41060
            Com 3 pessoas,18926,49,314,1440,4060,4990,3463,2225,1126,661,598,104016,18926,56778
            Com 4 pessoas,16118,29,205,947,2780,4225,3109,2180,1252,685,706,93404,16118,64472
            Com 5 pessoas,6620,14,84,367,1043,1754,1317,879,501,308,353,38950,6620,33100
            Com 6 pessoas,2636,1,20,148,400,694,521,353,200,149,150,15721,2636,15816
            Com 7 pessoas,975,2,13,45,131,258,222,130,73,46,55,5817,975,6825
            Com 8 pessoas,433,0,5,28,70,102,95,61,29,27,16,2525,433,3464
            Com 9 ou mais pessoas,509,0,2,14,57,125,145,84,31,22,29,3118,509,5282
          Alojamentos com 2 famílias,585,3,10,60,118,150,114,59,33,21,17,3162,1168,2544
            Com 1 pessoa,2,0,0,0,0,1,0,0,0,0,1,15,2,2
            Com 2 pessoas,191,1,4,24,53,53,29,11,6,4,6,954,382,382
            Com 3 pessoas,71,1,2,12,13,17,9,8,5,4,0,364,142,213
            Com 4 pessoas,70,0,1,6,13,20,13,10,5,1,1,380,140,280
            Com 5 pessoas,81,0,1,6,15,21,17,9,5,5,2,458,162,405
            Com 6 pessoas,70,1,2,3,12,17,15,9,4,4,3,403,140,420
            Com 7 pessoas,35,0,0,6,4,3,9,8,3,1,1,206,70,245
            Com 8 pessoas,28,0,0,2,3,8,10,3,1,1,0,156,56,224
            Com 9 ou mais pessoas,37,0,0,1,5,10,12,1,4,1,3,226,74,373
          Alojamentos com 3 ou mais famílias,184,0,3,9,35,39,41,27,10,5,15,1101,629,1020
            Com 1 pessoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Com 2 pessoas,1,0,0,0,0,0,1,0,0,0,0,6,2,2
            Com 3 pessoas,69,0,2,2,14,17,16,14,0,1,3,396,207,207
            Com 4 pessoas,25,0,1,2,5,4,8,0,3,1,1,139,85,100
            Com 5 pessoas,17,0,0,0,1,5,4,1,3,2,1,113,72,85
            Com 6 pessoas,17,0,0,0,3,2,1,4,2,0,5,128,72,102
            Com 7 pessoas,11,0,0,0,3,2,2,2,1,0,1,68,39,77
            Com 8 pessoas,15,0,0,1,3,2,3,3,0,1,2,94,57,120
            Com 9 ou mais pessoas,29,0,0,4,6,7,6,3,1,0,2,157,95,327
    Região Autónoma da Madeira,,,,,,,,,,,,,,
       Alojamentos,92113,763,3122,13595,28666,25230,10955,5271,2297,1218,996,431365,92664,264357
          Com 1 pessoa,17522,456,1468,4476,5459,3460,1223,575,201,116,88,70907,17522,17522
          Com 2 pessoas,23619,173,879,4101,8006,5842,2483,1154,497,260,224,107186,23742,47238
          Com 3 pessoas,22628,85,451,2950,7838,6415,2656,1205,565,271,192,106684,22715,67884
          Com 4 pessoas,17516,31,206,1457,5018,5873,2640,1254,529,278,230,88104,17605,70064
          Com 5 pessoas,6600,10,79,413,1572,2265,1087,606,280,149,139,34869,6669,33000
          Com 6 pessoas,2515,4,26,123,524,828,488,273,116,70,63,13739,2558,15090
          Com 7 pessoas,918,0,6,46,145,302,176,117,53,46,27,5241,950,6426
          Com 8 pessoas,418,3,4,21,65,129,99,46,24,15,12,2354,454,3344
          Com 9 ou mais pessoas,377,1,3,8,39,116,103,41,32,13,21,2281,449,3789
        Alojamentos com 1 família,91688,761,3114,13554,28541,25107,10901,5239,2282,1210,979,429180,91688,262496
          Com 1 pessoa,17522,456,1468,4476,5459,3460,1223,575,201,116,88,70907,17522,17522
          Com 2 pessoas,23496,171,876,4077,7954,5819,2474,1150,495,258,222,106644,23496,46992
          Com 3 pessoas,22565,85,449,2945,7819,6392,2650,1201,564,269,191,106370,22565,67695
          Com 4 pessoas,17446,31,205,1453,4994,5845,2634,1253,526,276,229,87758,17446,69784
          Com 5 pessoas,6542,10,78,410,1560,2245,1078,601,278,148,134,34541,6542,32710
          Com 6 pessoas,2477,4,25,121,517,820,478,265,115,70,62,13527,2477,14862
          Com 7 pessoas,891,0,6,44,138,295,174,112,51,45,26,5088,891,6237
          Com 8 pessoas,398,3,4,20,63,124,91,44,24,15,10,2236,398,3184
          Com 9 ou mais pessoas,351,1,3,8,37,107,99,38,28,13,17,2109,351,3510
        Alojamentos com 2 famílias,347,2,6,39,112,94,43,25,9,7,10,1730,694,1386
          Com 1 pessoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Com 2 pessoas,122,2,3,24,52,23,9,4,1,2,2,534,244,244
          Com 3 pessoas,39,0,0,3,16,11,4,3,1,1,0,190,78,117
          Com 4 pessoas,59,0,1,4,21,24,3,1,2,2,1,288,118,236
          Com 5 pessoas,51,0,1,3,10,17,9,4,2,1,4,288,102,255
          Com 6 pessoas,34,0,1,2,6,8,9,6,1,0,1,188,68,204
          Com 7 pessoas,22,0,0,2,6,5,1,4,2,1,1,126,44,154
          Com 8 pessoas,11,0,0,1,1,2,5,1,0,0,1,64,22,88
          Com 9 ou mais pessoas,9,0,0,0,0,4,3,2,0,0,0,52,18,88
        Alojamentos com 3 ou mais famílias,78,0,2,2,13,29,11,7,6,1,7,455,282,475
          Com 1 pessoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Com 2 pessoas,1,0,0,0,0,0,0,0,1,0,0,8,2,2
          Com 3 pessoas,24,0,2,2,3,12,2,1,0,1,1,124,72,72
          Com 4 pessoas,11,0,0,0,3,4,3,0,1,0,0,58,41,44
          Com 5 pessoas,7,0,0,0,2,3,0,1,0,0,1,40,25,35
          Com 6 pessoas,4,0,0,0,1,0,1,2,0,0,0,24,13,24
          Com 7 pessoas,5,0,0,0,1,2,1,1,0,0,0,27,15,35
          Com 8 pessoas,9,0,0,0,1,3,3,1,0,0,1,54,34,72
          Com 9 ou mais pessoas,17,0,0,0,2,5,1,1,4,0,4,120,80,191
      Região Autónoma da Madeira,,,,,,,,,,,,,,
         Alojamentos,92113,763,3122,13595,28666,25230,10955,5271,2297,1218,996,431365,92664,264357
            Com 1 pessoa,17522,456,1468,4476,5459,3460,1223,575,201,116,88,70907,17522,17522
            Com 2 pessoas,23619,173,879,4101,8006,5842,2483,1154,497,260,224,107186,23742,47238
            Com 3 pessoas,22628,85,451,2950,7838,6415,2656,1205,565,271,192,106684,22715,67884
            Com 4 pessoas,17516,31,206,1457,5018,5873,2640,1254,529,278,230,88104,17605,70064
            Com 5 pessoas,6600,10,79,413,1572,2265,1087,606,280,149,139,34869,6669,33000
            Com 6 pessoas,2515,4,26,123,524,828,488,273,116,70,63,13739,2558,15090
            Com 7 pessoas,918,0,6,46,145,302,176,117,53,46,27,5241,950,6426
            Com 8 pessoas,418,3,4,21,65,129,99,46,24,15,12,2354,454,3344
            Com 9 ou mais pessoas,377,1,3,8,39,116,103,41,32,13,21,2281,449,3789
          Alojamentos com 1 família,91688,761,3114,13554,28541,25107,10901,5239,2282,1210,979,429180,91688,262496
            Com 1 pessoa,17522,456,1468,4476,5459,3460,1223,575,201,116,88,70907,17522,17522
            Com 2 pessoas,23496,171,876,4077,7954,5819,2474,1150,495,258,222,106644,23496,46992
            Com 3 pessoas,22565,85,449,2945,7819,6392,2650,1201,564,269,191,106370,22565,67695
            Com 4 pessoas,17446,31,205,1453,4994,5845,2634,1253,526,276,229,87758,17446,69784
            Com 5 pessoas,6542,10,78,410,1560,2245,1078,601,278,148,134,34541,6542,32710
            Com 6 pessoas,2477,4,25,121,517,820,478,265,115,70,62,13527,2477,14862
            Com 7 pessoas,891,0,6,44,138,295,174,112,51,45,26,5088,891,6237
            Com 8 pessoas,398,3,4,20,63,124,91,44,24,15,10,2236,398,3184
            Com 9 ou mais pessoas,351,1,3,8,37,107,99,38,28,13,17,2109,351,3510
          Alojamentos com 2 famílias,347,2,6,39,112,94,43,25,9,7,10,1730,694,1386
            Com 1 pessoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Com 2 pessoas,122,2,3,24,52,23,9,4,1,2,2,534,244,244
            Com 3 pessoas,39,0,0,3,16,11,4,3,1,1,0,190,78,117
            Com 4 pessoas,59,0,1,4,21,24,3,1,2,2,1,288,118,236
            Com 5 pessoas,51,0,1,3,10,17,9,4,2,1,4,288,102,255
            Com 6 pessoas,34,0,1,2,6,8,9,6,1,0,1,188,68,204
            Com 7 pessoas,22,0,0,2,6,5,1,4,2,1,1,126,44,154
            Com 8 pessoas,11,0,0,1,1,2,5,1,0,0,1,64,22,88
            Com 9 ou mais pessoas,9,0,0,0,0,4,3,2,0,0,0,52,18,88
          Alojamentos com 3 ou mais famílias,78,0,2,2,13,29,11,7,6,1,7,455,282,475
            Com 1 pessoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Com 2 pessoas,1,0,0,0,0,0,0,0,1,0,0,8,2,2
            Com 3 pessoas,24,0,2,2,3,12,2,1,0,1,1,124,72,72
            Com 4 pessoas,11,0,0,0,3,4,3,0,1,0,0,58,41,44
            Com 5 pessoas,7,0,0,0,2,3,0,1,0,0,1,40,25,35
            Com 6 pessoas,4,0,0,0,1,0,1,2,0,0,0,24,13,24
            Com 7 pessoas,5,0,0,0,1,2,1,1,0,0,0,27,15,35
            Com 8 pessoas,9,0,0,0,1,3,3,1,0,0,1,54,34,72
            Com 9 ou mais pessoas,17,0,0,0,2,5,1,1,4,0,4,120,80,191
