"6.31 - POPULAÇÃO RESIDENTE, COM ACTIVIDADE ECONÓMICA, EMPREGADA SEGUNDO A SITUAÇÃO NA PROFISSÃO E DESEMPREGADA EM SENTIDO RESTRITO, POR GRUPO ETÁRIO E SEXO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total ,"População empregada, segundo a situação na profissão",,,,,,,População desempregada,,,,,
Grupo etário e sexo,,Total,Patrão/Empregador,Trabalhador por conta própria ou isolado,Trabalhador Familiar não remunerado,Trabalhador por conta de outrém,Membro activo de cooperativa de produção,Outra situação,Total,Procura 1º emprego,Procura novo emprego,,,
                            H,130480,117966,14548,7240,315,94986,51,826,12514,834,11680,,,
          40 - 44 anos      HM,240719,211570,22985,14481,1153,171375,117,1459,29149,2343,26806,,,
                            H,123599,110781,15089,8186,396,86394,57,659,12818,676,12142,,,
          45 - 49 anos      HM,232760,201928,23819,15871,1392,159225,120,1501,30832,2322,28510,,,
                            H,122338,108186,16180,9194,455,81631,58,668,14152,677,13475,,,
          50 - 54 anos      HM,196236,166081,20455,14309,1532,128489,74,1222,30155,1975,28180,,,
                            H,106666,92050,14209,8625,498,68162,40,516,14616,605,14011,,,
          55 - 59 anos      HM,135498,111718,16183,11974,1372,81179,47,963,23780,1557,22223,,,
                            H,78868,65648,11688,7270,491,45710,31,458,13220,629,12591,,,
          60 - 64 anos      HM,60997,50958,10466,8715,1130,30102,27,518,10039,656,9383,,,
                            H,36667,30533,7612,5305,419,16900,15,282,6134,286,5848,,,
          65 - 69 anos      HM,11562,11503,3648,2789,383,4473,7,203,59,17,42,,,
                            H,7649,7626,2805,1886,174,2644,4,113,23,8,15,,,
          70 - 74 anos      HM,4031,4031,1564,1144,177,1047,0,99,0,0,0,,,
                            H,2954,2954,1270,791,102,735,0,56,0,0,0,,,
          75 ou mais anos      HM,2752,2752,1071,899,146,543,1,92,0,0,0,,,
                               H,2051,2051,871,638,82,404,1,55,0,0,0,,,
      Centro      HM,1056225,940211,102495,70539,6836,749892,420,10029,116014,21570,94444,,,
                     H,553200,497941,68698,42865,2371,379596,242,4169,55259,9756,45503,,,
          15 - 19 anos      HM,12677,7391,270,100,99,6714,16,192,5286,4039,1247,,,
                            H,7518,4661,141,65,58,4280,10,107,2857,2166,691,,,
          20 - 24 anos      HM,71239,55607,2615,1002,243,50536,49,1162,15632,8314,7318,,,
                            H,37641,30143,1406,522,159,27559,35,462,7498,3903,3595,,,
          25 - 29 anos      HM,118204,103240,6447,3156,246,91512,39,1840,14964,3470,11494,,,
                            H,59209,52297,3622,1708,138,46060,24,745,6912,1671,5241,,,
          30 - 34 anos      HM,144103,130152,10552,5913,249,111928,39,1471,13951,1454,12497,,,
                            H,72503,66476,6573,3389,119,55776,25,594,6027,612,5415,,,
          35 - 39 anos      HM,151204,137927,13574,8183,420,114614,59,1077,13277,1087,12190,,,
                            H,76186,70573,8802,4875,143,56288,32,433,5613,350,5263,,,
          40 - 44 anos      HM,143477,130947,14835,9622,661,104821,55,953,12530,882,11648,,,
                            H,73378,67903,9866,5740,199,51656,32,410,5475,271,5204,,,
