"3.20 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÁREA ÚTIL DO ALOJAMENTO, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a área útil do alojamento",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Menos de 30m2,De 30 a menos de 40m2,De 40 a menos de 50 m2,De 50 a menos de 60 m2,De 60 a menos de 80 m2,De 80 a menos de 100 m2,De 100 a menos de 120 m2,De 120 a menos de 150 m2,De 150 a menos de 200 m2,200 m2 ou mais,,,
        Menos de 75 euros,159,1,2,4,5,17,34,41,26,13,16,159,440,
"        75  - 99,99 euros",138,0,2,2,4,22,27,23,36,11,11,138,375,
"        100 - 149,99 euros",296,2,1,4,12,22,54,56,66,46,33,296,856,
        150 - 199.99 euros,366,0,2,8,14,47,72,71,63,60,29,367,1027,
"        200 - 249,99 euros",578,2,4,8,20,56,119,115,120,72,62,582,1600,
"        250 - 299,99 euros",863,0,8,21,15,85,176,184,169,110,95,864,2491,
"        300 - 349,99 euros",962,0,4,8,26,95,198,226,179,124,102,964,2797,
"        350 - 399,99 euros",1002,1,5,8,12,73,206,227,208,151,111,1002,3007,
"        400 - 499,99 euros",1829,2,2,16,23,104,292,387,407,289,307,1835,5548,
"        500 - 649,99 euros",1684,0,2,6,9,60,169,286,421,342,389,1688,5420,
"        650 - 799,99 euros",909,0,4,2,6,17,70,107,199,206,298,910,2984,
        800 euros ou mais,1131,1,1,0,6,21,33,90,161,275,543,1132,3788,
      Pequenos patrões da indústria,70727,174,297,976,1408,4441,9791,12742,14678,12958,13262,71195,236585,
        Sem encargos,35348,111,170,526,740,2215,4821,6539,7585,6267,6374,35656,116259,
        Com encargos,35379,63,127,450,668,2226,4970,6203,7093,6691,6888,35539,120326,
        Menos de 75 euros,641,3,4,19,18,62,104,121,132,88,90,645,2079,
"        75  - 99,99 euros",570,2,8,12,26,56,112,101,122,63,68,571,1904,
"        100 - 149,99 euros",1337,2,10,31,34,126,229,242,285,196,182,1341,4567,
        150 - 199.99 euros,1700,4,9,37,55,179,287,306,329,284,210,1705,5698,
"        200 - 249,99 euros",2638,7,8,38,69,257,511,513,530,386,319,2647,8868,
"        250 - 299,99 euros",3504,6,18,55,92,295,612,714,733,556,423,3514,11769,
"        300 - 349,99 euros",3554,6,15,50,75,246,619,753,723,633,434,3570,11874,
"        350 - 399,99 euros",3574,9,9,43,75,235,560,740,725,651,527,3585,12164,
"        400 - 499,99 euros",6580,15,29,88,109,400,940,1199,1339,1280,1181,6618,22340,
"        500 - 649,99 euros",5146,4,4,37,61,185,557,831,1076,1165,1226,5167,17740,
"        650 - 799,99 euros",2963,3,5,28,34,125,258,399,604,659,848,2984,10224,
        800 euros ou mais,3172,2,8,12,20,60,181,284,495,730,1380,3192,11099,
      Pequenos patrões do comércio e serviços,56290,179,312,855,1290,4192,8646,10399,11438,9588,9391,56690,176366,
        Sem encargos,27523,94,164,458,656,2002,4014,5003,5585,4803,4744,27746,83400,
        Com encargos,28767,85,148,397,634,2190,4632,5396,5853,4785,4647,28944,92966,
