"3.20 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÁREA ÚTIL DO ALOJAMENTO, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a área útil do alojamento",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Menos de 30m2,De 30 a menos de 40m2,De 40 a menos de 50 m2,De 50 a menos de 60 m2,De 60 a menos de 80 m2,De 80 a menos de 100 m2,De 100 a menos de 120 m2,De 120 a menos de 150 m2,De 150 a menos de 200 m2,200 m2 ou mais,,,
"            500 - 649,99 euros",364,0,0,2,1,11,25,58,81,92,94,364,1107,
"            650 - 799,99 euros",182,0,0,1,0,2,4,20,49,44,62,182,579,
            800 euros ou mais,234,0,0,0,0,3,6,16,34,52,123,235,768,
          Profissionais técnicos intermédios independentes,4407,8,17,39,70,210,628,816,988,784,847,4413,13663,
            Sem encargos,1566,4,9,15,29,73,204,283,335,284,330,1570,4719,
            Com encargos,2841,4,8,24,41,137,424,533,653,500,517,2843,8944,
            Menos de 75 euros,40,0,0,1,1,6,7,9,10,4,2,40,131,
"            75  - 99,99 euros",35,0,0,3,1,1,8,7,7,4,4,35,97,
"            100 - 149,99 euros",79,0,3,0,3,6,15,22,15,10,5,79,221,
            150 - 199.99 euros,163,0,0,2,7,10,41,30,33,24,16,163,491,
"            200 - 249,99 euros",184,1,1,3,5,20,44,43,26,22,19,184,552,
"            250 - 299,99 euros",340,0,2,4,8,28,76,86,69,40,27,340,971,
"            300 - 349,99 euros",288,2,0,2,2,12,44,71,83,40,32,288,913,
"            350 - 399,99 euros",315,0,0,1,5,9,57,63,78,64,38,315,978,
"            400 - 499,99 euros",511,1,2,3,5,21,73,101,135,79,91,512,1602,
"            500 - 649,99 euros",425,0,0,4,3,11,34,65,107,106,95,425,1420,
"            650 - 799,99 euros",243,0,0,1,1,7,14,21,65,60,74,244,825,
            800 euros ou mais,218,0,0,0,0,6,11,15,25,47,114,218,743,
          Trabalhadores industriais e artesanais independentes,15779,69,112,310,465,1164,2644,3395,3290,2457,1873,15841,53310,
            Sem encargos,8914,41,67,197,313,695,1472,1957,1856,1358,958,8964,29491,
            Com encargos,6865,28,45,113,152,469,1172,1438,1434,1099,915,6877,23819,
            Menos de 75 euros,167,2,2,6,6,24,22,41,30,23,11,167,541,
"            75  - 99,99 euros",151,0,2,4,4,10,30,34,33,20,14,152,501,
"            100 - 149,99 euros",353,0,4,10,9,33,68,82,77,43,27,354,1183,
            150 - 199.99 euros,554,3,2,8,26,39,119,104,108,91,54,555,1903,
"            200 - 249,99 euros",735,3,3,10,18,64,144,163,151,91,88,738,2544,
"            250 - 299,99 euros",971,7,10,13,16,79,181,217,189,161,98,971,3388,
"            300 - 349,99 euros",923,2,7,17,23,56,163,194,205,131,125,923,3254,
"            350 - 399,99 euros",813,0,6,9,12,54,133,194,177,146,82,815,2857,
"            400 - 499,99 euros",1151,6,5,18,19,68,189,248,242,176,180,1153,4011,
"            500 - 649,99 euros",635,2,2,11,12,27,71,103,131,140,136,636,2207,
"            650 - 799,99 euros",272,2,2,5,5,14,33,43,55,55,58,273,939,
            800 euros ou mais,140,1,0,2,2,1,19,15,36,22,42,140,491,
          Prestadores de serviços e comerciantes independentes,16394,63,105,347,468,1286,2609,3418,3359,2478,2261,16473,50440,
            Sem encargos,8637,48,64,209,288,722,1305,1759,1714,1360,1168,8695,25567,
            Com encargos,7757,15,41,138,180,564,1304,1659,1645,1118,1093,7778,24873,
            Menos de 75 euros,156,1,3,3,7,23,35,37,27,8,12,156,430,
"            75  - 99,99 euros",118,0,2,3,3,12,17,29,24,14,14,118,354,
"            100 - 149,99 euros",338,0,10,15,10,40,59,70,70,35,29,342,1042,
            150 - 199.99 euros,504,1,2,15,22,62,103,107,106,51,35,506,1571,
"            200 - 249,99 euros",772,4,3,29,27,86,173,169,136,81,64,774,2419,
"            250 - 299,99 euros",977,4,6,15,28,87,216,262,174,104,81,979,3041,
"            300 - 349,99 euros",907,0,2,13,27,83,186,220,184,115,77,910,2842,
"            350 - 399,99 euros",891,1,3,13,14,46,159,220,219,125,91,891,2867,
"            400 - 499,99 euros",1401,3,6,22,18,70,219,302,343,220,198,1405,4583,
"            500 - 649,99 euros",894,0,1,5,17,30,75,148,212,189,217,896,3020,
"            650 - 799,99 euros",466,1,2,4,6,17,42,60,91,105,138,467,1557,
            800 euros ou mais,333,0,1,1,1,8,20,35,59,71,137,334,1147,
          Trabalhadores independentes do sector primário,8100,77,82,234,348,834,1356,1791,1498,1026,854,8134,25037,
            Sem encargos,7222,71,75,212,324,785,1227,1624,1319,867,718,7251,21908,
            Com encargos,878,6,7,22,24,49,129,167,179,159,136,883,3129,
            Menos de 75 euros,56,2,0,4,3,6,9,14,13,2,3,56,177,
"            75  - 99,99 euros",36,0,0,4,6,4,9,6,3,1,3,36,123,
"            100 - 149,99 euros",74,1,2,2,2,3,17,16,12,9,10,76,272,
            150 - 199.99 euros,82,0,4,3,3,7,19,16,17,7,6,82,270,
"            200 - 249,99 euros",93,0,0,3,3,6,17,18,19,19,8,93,334,
"            250 - 299,99 euros",101,1,0,1,1,9,13,26,22,17,11,102,375,
"            300 - 349,99 euros",78,0,0,1,1,2,10,14,20,19,11,78,287,
"            350 - 399,99 euros",64,1,0,1,3,2,6,11,13,16,11,64,230,
"            400 - 499,99 euros",152,1,0,2,2,8,20,27,31,33,28,152,534,
"            500 - 649,99 euros",66,0,1,1,0,1,4,9,13,19,18,66,240,
"            650 - 799,99 euros",42,0,0,0,0,1,1,6,10,8,16,44,164,
            800 euros ou mais,34,0,0,0,0,0,4,4,6,9,11,34,123,
          Directores e quadros dirigentes do Estado e empresas,15342,9,22,69,146,552,1671,2627,3461,3061,3724,15367,47135,
            Sem encargos,3651,1,5,19,45,128,343,555,811,750,994,3668,11233,
            Com encargos,11691,8,17,50,101,424,1328,2072,2650,2311,2730,11699,35902,
            Menos de 75 euros,131,1,1,1,0,9,15,31,29,21,23,131,387,
"            75  - 99,99 euros",140,0,0,1,3,8,21,33,36,18,20,140,399,
"            100 - 149,99 euros",313,0,0,3,5,17,42,65,68,59,54,313,963,
            150 - 199.99 euros,430,0,2,7,8,42,72,73,91,62,73,431,1245,
"            200 - 249,99 euros",680,1,2,5,16,50,135,141,154,94,82,680,1931,
"            250 - 299,99 euros",1169,1,3,10,17,93,243,273,238,177,114,1169,3325,
"            300 - 349,99 euros",1229,1,4,7,16,67,227,316,310,167,114,1230,3565,
"            350 - 399,99 euros",1309,1,2,4,13,62,217,334,331,200,145,1309,3693,
"            400 - 499,99 euros",1979,2,3,8,13,43,194,410,563,384,359,1980,5978,
"            500 - 649,99 euros",1970,1,0,2,7,20,115,253,512,504,556,1971,6356,
"            650 - 799,99 euros",1036,0,0,1,1,8,30,93,186,299,418,1036,3457,
            800 euros ou mais,1305,0,0,1,2,5,17,50,132,326,772,1309,4603,
          Dirigentes de pequenas empresas e organizações,3221,4,11,23,36,161,434,618,738,567,629,3232,9959,
            Sem encargos,982,2,6,8,8,44,121,182,243,174,194,988,3067,
            Com encargos,2239,2,5,15,28,117,313,436,495,393,435,2244,6892,
            Menos de 75 euros,31,0,1,0,1,1,6,9,5,5,3,31,86,
"            75  - 99,99 euros",24,0,0,0,1,2,4,5,3,7,2,24,76,
"            100 - 149,99 euros",52,0,0,0,1,2,7,17,11,8,6,52,164,
            150 - 199.99 euros,100,1,0,2,6,10,19,25,15,11,11,100,280,
"            200 - 249,99 euros",142,0,2,4,3,21,35,31,28,11,7,142,400,
"            250 - 299,99 euros",267,0,2,3,6,26,53,64,62,29,22,267,756,
"            300 - 349,99 euros",249,0,0,4,1,19,54,53,65,33,20,249,741,
"            350 - 399,99 euros",269,0,0,0,3,14,50,76,61,41,24,270,805,
"            400 - 499,99 euros",396,0,0,1,3,14,57,81,107,66,67,397,1247,
"            500 - 649,99 euros",355,1,0,1,2,4,24,53,75,92,103,357,1153,
"            650 - 799,99 euros",181,0,0,0,0,2,4,11,45,49,70,181,605,
            800 euros ou mais,173,0,0,0,1,2,0,11,18,41,100,174,579,
          Quadros intelectuais e científicos,57388,60,156,457,892,2922,7242,10514,13221,10239,11685,57519,157419,
            Sem encargos,15102,27,47,129,238,801,1694,2484,3261,2869,3552,15166,41789,
            Com encargos,42286,33,109,328,654,2121,5548,8030,9960,7370,8133,42353,115630,
            Menos de 75 euros,566,0,8,9,17,37,92,112,124,81,86,566,1515,
"            75  - 99,99 euros",542,0,2,14,15,36,100,122,114,71,68,544,1390,
"            100 - 149,99 euros",1378,2,9,24,37,96,218,290,320,199,183,1380,3619,
            150 - 199.99 euros,1953,4,16,38,73,191,357,397,397,267,213,1956,4877,
"            200 - 249,99 euros",3011,6,17,53,107,305,603,696,611,346,267,3018,7129,
"            250 - 299,99 euros",4562,4,13,50,120,415,961,1111,1028,488,372,4568,11065,
"            300 - 349,99 euros",4701,5,13,45,97,327,851,1176,1168,579,440,4706,11852,
"            350 - 399,99 euros",4975,5,10,31,63,237,783,1213,1373,711,549,4985,12801,
"            400 - 499,99 euros",7726,2,18,37,74,275,963,1605,2069,1460,1223,7740,21016,
"            500 - 649,99 euros",6433,1,0,17,30,125,405,898,1641,1608,1708,6442,19318,
"            650 - 799,99 euros",3237,3,3,8,7,53,138,243,695,849,1238,3243,10293,
            800 euros ou mais,3202,1,0,2,14,24,77,167,420,711,1786,3205,10755,
          Quadros técnicos intermédios,47632,84,152,472,849,2873,7692,10422,10752,7479,6857,47747,145078,
            Sem encargos,11209,34,62,176,273,796,1723,2332,2434,1762,1617,11265,34820,
            Com encargos,36423,50,90,296,576,2077,5969,8090,8318,5717,5240,36482,110258,
            Menos de 75 euros,497,0,3,6,23,48,86,126,99,60,46,497,1424,
"            75  - 99,99 euros",472,0,4,7,18,38,75,117,98,62,53,475,1434,
"            100 - 149,99 euros",1259,6,4,24,29,99,233,303,283,173,105,1260,3761,
            150 - 199.99 euros,2005,4,14,36,84,216,432,467,384,217,151,2010,5739,
"            200 - 249,99 euros",3140,11,11,51,105,291,723,789,640,321,198,3144,8904,
"            250 - 299,99 euros",4909,8,16,59,108,440,1168,1256,990,516,348,4914,14002,
"            300 - 349,99 euros",4611,9,12,28,68,324,1012,1229,996,535,398,4617,13395,
"            350 - 399,99 euros",4688,3,8,24,50,245,837,1198,1195,671,457,4696,14004,
"            400 - 499,99 euros",6559,5,12,31,56,256,915,1586,1708,1074,916,6570,19987,
"            500 - 649,99 euros",4584,3,2,17,24,66,325,712,1231,1116,1088,4594,14946,
"            650 - 799,99 euros",2041,1,2,6,8,37,100,197,456,548,686,2047,6861,
            800 euros ou mais,1658,0,2,7,3,17,63,110,238,424,794,1658,5801,
          Quadros administrativos intermédios,6665,24,37,100,176,526,1292,1550,1380,843,737,6682,19625,
            Sem encargos,1700,5,13,35,51,132,311,348,350,246,209,1709,5014,
            Com encargos,4965,19,24,65,125,394,981,1202,1030,597,528,4973,14611,
            Menos de 75 euros,68,3,1,2,4,6,14,15,12,8,3,68,193,
"            75  - 99,99 euros",72,0,0,0,4,6,18,19,14,7,4,72,189,
"            100 - 149,99 euros",159,1,4,6,10,19,29,33,35,14,8,159,441,
            150 - 199.99 euros,317,1,5,9,10,50,76,68,57,26,15,317,892,
"            200 - 249,99 euros",530,5,4,12,25,71,125,128,92,29,39,531,1466,
"            250 - 299,99 euros",758,2,2,11,24,77,193,205,150,60,34,760,2188,
"            300 - 349,99 euros",755,2,3,7,16,60,168,229,139,77,54,758,2181,
"            350 - 399,99 euros",693,0,2,4,8,39,148,182,154,90,66,693,2038,
"            400 - 499,99 euros",809,1,1,8,14,47,122,204,194,113,105,810,2426,
"            500 - 649,99 euros",516,3,1,5,7,12,63,88,121,120,96,516,1649,
"            650 - 799,99 euros",185,0,1,1,3,3,21,17,46,37,56,186,601,
            800 euros ou mais,103,1,0,0,0,4,4,14,16,16,48,103,347,
          Empregados administrativos do comércio e serviços,90778,459,841,1920,2925,8669,19451,21015,17290,10336,7872,91145,268827,
            Sem encargos,25344,192,314,750,1056,2578,4993,5535,4583,2966,2377,25529,74207,
            Com encargos,65434,267,527,1170,1869,6091,14458,15480,12707,7370,5495,65616,194620,
            Menos de 75 euros,1034,18,24,52,63,140,221,237,162,76,41,1037,2884,
"            75  - 99,99 euros",1086,9,16,37,53,123,286,255,180,69,58,1091,3068,
"            100 - 149,99 euros",2745,22,47,101,149,355,603,623,441,251,153,2751,7800,
            150 - 199.99 euros,4933,44,80,174,259,697,1246,1067,766,379,221,4944,13768,
"            200 - 249,99 euros",7496,46,92,203,335,1024,1929,1785,1186,571,325,7512,21015,
"            250 - 299,99 euros",10663,41,94,185,349,1215,2781,2647,1970,903,478,10687,30729,
"            300 - 349,99 euros",9825,20,51,155,190,908,2464,2654,1916,910,557,9843,29116,
"            350 - 399,99 euros",8252,24,36,88,164,559,1880,2214,1752,924,611,8274,25061,
"            400 - 499,99 euros",10559,22,64,109,187,742,2039,2557,2295,1462,1082,10602,32315,
"            500 - 649,99 euros",5341,10,7,34,60,180,600,1014,1310,1091,1035,5355,17372,
"            650 - 799,99 euros",2151,8,9,23,42,96,282,270,494,456,471,2167,7014,
            800 euros ou mais,1349,3,7,9,18,52,127,157,235,278,463,1353,4478,
          Operários qualificados e semi-qualificados,156515,1002,1614,4225,5984,15081,32759,36275,29647,17478,12450,157415,527852,
            Sem encargos,62593,567,828,2194,3040,6609,12016,13995,11659,6818,4867,63196,211171,
            Com encargos,93922,435,786,2031,2944,8472,20743,22280,17988,10660,7583,94219,316681,
            Menos de 75 euros,1445,26,25,64,80,195,327,340,210,107,71,1451,4640,
"            75  - 99,99 euros",1534,17,24,58,84,156,340,398,257,128,72,1541,5089,
"            100 - 149,99 euros",4667,31,81,184,213,550,961,1088,802,464,293,4683,15824,
            150 - 199.99 euros,7743,63,92,234,347,934,1819,1667,1300,782,505,7762,26139,
"            200 - 249,99 euros",12503,55,138,320,492,1373,2955,3013,2232,1189,736,12538,41818,
"            250 - 299,99 euros",17176,75,128,334,563,1676,4264,4165,3164,1738,1069,17219,57603,
"            300 - 349,99 euros",14575,54,112,241,373,1240,3471,3736,2786,1555,1007,14616,48678,
"            350 - 399,99 euros",11163,40,48,204,262,782,2496,2819,2251,1356,905,11190,37723,
"            400 - 499,99 euros",14328,46,98,253,348,1029,2857,3408,3049,1818,1422,14391,48747,
"            500 - 649,99 euros",5307,16,20,75,96,286,744,1093,1136,948,893,5329,18397,
"            650 - 799,99 euros",2229,5,16,44,58,181,325,366,512,370,352,2241,7661,
            800 euros ou mais,1252,7,4,20,28,70,184,187,289,205,258,1258,4362,
          Assalariados do sector primário,6838,67,119,297,387,865,1449,1449,1090,655,460,6879,22586,
            Sem encargos,4326,47,92,210,302,592,862,886,655,407,273,4359,13856,
            Com encargos,2512,20,27,87,85,273,587,563,435,248,187,2520,8730,
            Menos de 75 euros,70,1,0,5,7,9,20,14,8,4,2,70,232,
"            75  - 99,99 euros",73,0,1,9,7,14,19,9,10,3,1,74,241,
"            100 - 149,99 euros",188,2,4,13,7,16,41,46,37,15,7,188,674,
            150 - 199.99 euros,244,3,2,10,9,27,66,48,48,17,14,244,862,
"            200 - 249,99 euros",351,4,5,8,11,45,82,77,67,33,19,351,1225,
"            250 - 299,99 euros",358,1,3,6,14,40,102,93,50,29,20,359,1223,
"            300 - 349,99 euros",326,2,4,6,11,34,93,73,54,28,21,327,1120,
"            350 - 399,99 euros",256,2,1,9,5,29,48,56,44,38,24,256,912,
"            400 - 499,99 euros",386,3,3,13,10,42,84,91,74,37,29,389,1314,
"            500 - 649,99 euros",148,1,3,4,1,10,20,32,26,31,20,149,528,
"            650 - 799,99 euros",65,0,1,3,1,3,8,15,9,6,19,65,217,
            800 euros ou mais,47,1,0,1,2,4,4,9,8,7,11,48,182,
          Trabalhadores administrativos do comércio e serviços não qualificados,20925,236,332,841,1092,2652,4794,4566,3294,1777,1341,21031,62091,
            Sem encargos,10097,142,187,464,595,1275,2094,2126,1569,920,725,10161,29122,
            Com encargos,10828,94,145,377,497,1377,2700,2440,1725,857,616,10870,32969,
            Menos de 75 euros,298,7,11,23,25,55,69,57,27,8,16,298,787,
"            75  - 99,99 euros",243,4,3,8,13,44,59,56,36,11,9,243,685,
"            100 - 149,99 euros",690,7,13,44,39,118,181,130,86,42,30,691,2002,
            150 - 199.99 euros,1093,12,14,55,84,183,278,216,137,76,38,1096,3121,
"            200 - 249,99 euros",1541,17,28,78,79,237,403,329,214,107,49,1544,4598,
"            250 - 299,99 euros",1805,9,20,48,80,248,503,431,290,102,74,1811,5421,
"            300 - 349,99 euros",1506,9,18,27,60,162,401,364,263,116,86,1509,4672,
"            350 - 399,99 euros",1123,5,13,27,34,102,275,288,218,106,55,1125,3604,
"            400 - 499,99 euros",1531,16,10,37,52,150,372,372,250,146,126,1540,4837,
"            500 - 649,99 euros",555,2,5,10,16,28,91,125,115,88,75,559,1857,
"            650 - 799,99 euros",301,4,5,17,10,32,49,50,66,37,31,311,927,
            800 euros ou mais,142,2,5,3,5,18,19,22,23,18,27,143,458,
          Operários não qualificados,17378,163,250,575,812,1931,3675,3922,3016,1808,1226,17481,57524,
            Sem encargos,7945,97,152,317,459,907,1540,1777,1383,782,531,8014,26160,
            Com encargos,9433,66,98,258,353,1024,2135,2145,1633,1026,695,9467,31364,
            Menos de 75 euros,196,4,2,13,11,31,45,46,16,19,9,197,596,
"            75  - 99,99 euros",181,3,2,6,10,19,39,43,25,22,12,181,592,
"            100 - 149,99 euros",539,7,11,20,35,69,109,121,86,46,35,544,1808,
            150 - 199.99 euros,850,5,15,31,37,125,189,194,127,77,50,854,2749,
"            200 - 249,99 euros",1342,14,15,39,65,184,314,297,210,136,68,1347,4386,
"            250 - 299,99 euros",1684,9,15,41,62,187,414,393,303,152,108,1688,5521,
"            300 - 349,99 euros",1401,6,9,37,38,142,329,325,268,148,99,1402,4715,
"            350 - 399,99 euros",1014,4,9,23,23,85,271,246,171,117,65,1018,3370,
"            400 - 499,99 euros",1355,9,16,30,44,118,286,325,245,166,116,1361,4639,
"            500 - 649,99 euros",501,1,2,10,8,31,80,92,113,89,75,501,1710,
"            650 - 799,99 euros",221,3,2,4,11,19,38,38,45,36,25,223,745,
            800 euros ou mais,149,1,0,4,9,14,21,25,24,18,33,151,533,
          Trabalhadores não qualificados do sector primário,2351,56,69,144,197,351,477,430,318,194,115,2371,7585,
            Sem encargos,1791,50,54,113,154,285,368,326,231,137,73,1808,5669,
            Com encargos,560,6,15,31,43,66,109,104,87,57,42,563,1916,
            Menos de 75 euros,39,0,4,5,4,4,10,7,4,0,1,39,133,
"            75  - 99,99 euros",35,0,3,2,5,3,9,6,5,2,0,35,110,
"            100 - 149,99 euros",63,2,1,5,6,13,13,6,8,4,5,63,224,
            150 - 199.99 euros,81,1,1,2,5,13,13,20,13,9,4,81,285,
"            200 - 249,99 euros",71,0,1,3,6,7,12,16,9,6,11,71,243,
"            250 - 299,99 euros",57,0,1,2,2,8,9,10,13,9,3,57,192,
"            300 - 349,99 euros",46,0,1,2,1,5,8,9,10,5,5,46,185,
"            350 - 399,99 euros",38,0,1,0,2,1,7,10,8,5,4,38,134,
"            400 - 499,99 euros",101,2,2,8,11,12,20,16,14,9,7,104,319,
"            500 - 649,99 euros",14,0,0,0,0,0,5,3,2,4,0,14,47,
"            650 - 799,99 euros",8,0,0,1,1,0,1,1,1,2,1,8,25,
            800 euros ou mais,7,1,0,1,0,0,2,0,0,2,1,7,19,
          Pessoal das forças armadas,1321,2,6,12,23,81,204,285,277,210,221,1322,4061,
            Sem encargos,249,0,0,7,8,12,35,59,47,46,35,249,753,
            Com encargos,1072,2,6,5,15,69,169,226,230,164,186,1073,3308,
            Menos de 75 euros,14,0,0,0,1,1,3,3,3,1,2,14,44,
"            75  - 99,99 euros",9,1,0,0,0,1,2,2,1,2,0,9,25,
"            100 - 149,99 euros",56,0,0,0,2,9,9,11,15,5,5,56,173,
            150 - 199.99 euros,69,0,1,0,1,9,7,20,13,11,7,69,215,
"            200 - 249,99 euros",105,1,1,1,2,12,28,23,24,8,5,105,294,
"            250 - 299,99 euros",144,0,1,0,1,8,40,35,24,13,22,145,409,
"            300 - 349,99 euros",162,0,0,1,3,10,27,47,39,21,14,162,458,
"            350 - 399,99 euros",107,0,1,2,2,5,19,20,23,16,19,107,331,
"            400 - 499,99 euros",182,0,0,0,2,11,18,42,38,37,34,182,590,
"            500 - 649,99 euros",126,0,1,1,0,0,9,17,31,33,34,126,427,
"            650 - 799,99 euros",65,0,0,0,0,3,5,1,16,12,28,65,228,
            800 euros ou mais,33,0,1,0,1,0,2,5,3,5,16,33,114,
          Outras pessoas activas n.e.,3275,32,53,107,142,391,644,705,541,351,309,3283,9631,
            Sem encargos,1549,16,39,67,70,197,289,321,234,165,151,1553,4417,
            Com encargos,1726,16,14,40,72,194,355,384,307,186,158,1730,5214,
            Menos de 75 euros,54,1,0,3,4,5,14,11,7,7,2,54,155,
"            75  - 99,99 euros",47,1,1,1,5,7,13,7,8,1,3,47,136,
"            100 - 149,99 euros",105,4,1,4,8,13,25,20,16,8,6,105,299,
            150 - 199.99 euros,147,1,3,3,8,18,35,32,29,11,7,148,402,
"            200 - 249,99 euros",175,2,2,4,10,34,40,40,20,14,9,175,502,
"            250 - 299,99 euros",232,3,1,7,11,29,61,58,27,20,15,232,692,
"            300 - 349,99 euros",249,2,4,8,12,28,51,64,43,24,13,249,765,
"            350 - 399,99 euros",194,1,2,5,1,20,45,48,39,20,13,196,596,
"            400 - 499,99 euros",248,1,0,2,5,27,46,50,60,31,26,249,759,
"            500 - 649,99 euros",157,0,0,2,7,9,18,35,36,25,25,157,503,
"            650 - 799,99 euros",52,0,0,1,1,1,2,9,11,13,14,52,172,
            800 euros ou mais,66,0,0,0,0,3,5,10,11,12,25,66,233,
          Inactivos,395518,4191,6594,15983,22733,50350,79146,77642,64443,40180,34256,398413,947364,
            Sem encargos,346366,3802,6007,14528,20710,45078,69240,67314,55540,34779,29368,348833,811909,
            Com encargos,49152,389,587,1455,2023,5272,9906,10328,8903,5401,4888,49580,135455,
            Menos de 75 euros,4440,94,103,245,317,652,1002,885,625,311,206,4484,10822,
"            75  - 99,99 euros",2378,23,50,102,126,315,542,553,364,175,128,2393,6183,
"            100 - 149,99 euros",4386,41,73,156,234,535,996,1074,698,330,249,4418,11729,
            150 - 199.99 euros,4504,29,65,135,206,574,1051,1039,723,408,274,4530,12481,
"            200 - 249,99 euros",4709,43,54,125,204,572,1047,1109,816,453,286,4740,13213,
"            250 - 299,99 euros",4503,25,43,121,177,479,1031,993,798,477,359,4535,13021,
"            300 - 349,99 euros",4025,20,26,90,118,399,881,924,813,413,341,4054,11656,
"            350 - 399,99 euros",3565,16,18,61,94,296,715,842,747,425,351,3593,10443,
"            400 - 499,99 euros",6930,44,74,185,238,671,1364,1504,1341,817,692,6998,19250,
"            500 - 649,99 euros",3488,7,6,53,96,221,455,643,814,564,629,3523,10116,
"            650 - 799,99 euros",3845,37,49,132,150,413,571,481,742,619,651,3904,9896,
            800 euros ou mais,2379,10,26,50,63,145,251,281,422,409,722,2408,6645,
        Centro,727091,6318,9917,26233,35160,82005,123510,131074,129367,97391,86116,732727,1888204,
"          Empresários com profissões intelectuais, científicas e técnicas",2392,3,5,20,24,105,249,341,449,482,714,2400,7019,
            Sem encargos,816,1,1,6,10,34,70,121,143,166,264,821,2354,
            Com encargos,1576,2,4,14,14,71,179,220,306,316,450,1579,4665,
            Menos de 75 euros,20,1,0,0,0,0,5,3,6,1,4,20,61,
"            75  - 99,99 euros",20,0,0,1,1,2,3,2,2,4,5,20,57,
"            100 - 149,99 euros",58,0,1,0,1,6,5,9,15,11,10,58,161,
            150 - 199.99 euros,63,0,0,0,2,6,14,14,9,10,8,63,175,
"            200 - 249,99 euros",109,0,2,0,3,9,21,20,21,16,17,109,288,
"            250 - 299,99 euros",143,0,0,5,2,10,26,32,35,13,20,144,371,
"            300 - 349,99 euros",166,0,0,2,2,16,30,23,46,33,14,167,472,
"            350 - 399,99 euros",179,0,0,2,0,8,24,29,33,51,32,179,497,
"            400 - 499,99 euros",271,1,1,3,2,9,25,43,64,61,62,271,805,
"            500 - 649,99 euros",240,0,0,1,0,2,20,26,39,65,87,240,757,
"            650 - 799,99 euros",138,0,0,0,0,2,3,12,23,33,65,138,462,
            800 euros ou mais,169,0,0,0,1,1,3,7,13,18,126,170,559,
          Empresários da indústria comércio e serviços,9255,26,22,93,107,369,787,1235,1701,1946,2969,9296,29660,
            Sem encargos,4761,12,13,49,56,189,372,658,883,982,1547,4795,14893,
            Com encargos,4494,14,9,44,51,180,415,577,818,964,1422,4501,14767,
            Menos de 75 euros,79,3,0,1,1,5,9,12,18,15,15,79,244,
"            75  - 99,99 euros",47,0,0,1,2,6,3,6,12,9,8,47,159,
"            100 - 149,99 euros",156,1,0,2,1,15,16,25,35,33,28,157,509,
            150 - 199.99 euros,203,0,1,4,4,14,32,38,32,40,38,203,617,
"            200 - 249,99 euros",293,1,0,3,9,24,52,51,46,60,47,293,938,
"            250 - 299,99 euros",412,2,3,7,11,21,58,80,85,81,64,412,1306,
"            300 - 349,99 euros",413,0,1,8,7,29,56,84,70,73,85,413,1302,
"            350 - 399,99 euros",410,1,2,5,6,19,37,54,95,87,104,410,1351,
"            400 - 499,99 euros",798,2,1,8,5,25,83,101,180,166,227,800,2607,
"            500 - 649,99 euros",725,1,1,4,1,12,40,79,137,173,277,727,2424,
"            650 - 799,99 euros",404,1,0,1,2,7,9,26,61,115,182,404,1389,
            800 euros ou mais,554,2,0,0,2,3,20,21,47,112,347,556,1921,
          Empresários do sector primário,325,1,3,4,3,25,32,45,52,50,110,326,1085,
            Sem encargos,217,1,3,2,1,19,22,30,39,30,70,218,700,
            Com encargos,108,0,0,2,2,6,10,15,13,20,40,108,385,
            Menos de 75 euros,2,0,0,0,0,0,0,0,1,1,0,2,9,
"            75  - 99,99 euros",2,0,0,1,0,0,0,0,0,1,0,2,6,
"            100 - 149,99 euros",9,0,0,0,1,1,0,0,3,2,2,9,31,
            150 - 199.99 euros,9,0,0,1,0,0,1,3,1,1,2,9,31,
"            200 - 249,99 euros",5,0,0,0,0,2,1,1,0,0,1,5,20,
"            250 - 299,99 euros",9,0,0,0,0,0,1,3,1,2,2,9,34,
"            300 - 349,99 euros",6,0,0,0,1,1,0,1,2,0,1,6,26,
"            350 - 399,99 euros",11,0,0,0,0,1,2,1,1,4,2,11,34,
"            400 - 499,99 euros",25,0,0,0,0,1,2,4,2,6,10,25,85,
"            500 - 649,99 euros",14,0,0,0,0,0,1,2,0,1,10,14,46,
"            650 - 799,99 euros",5,0,0,0,0,0,1,0,0,1,3,5,23,
            800 euros ou mais,11,0,0,0,0,0,1,0,2,1,7,11,40,
          Pequenos patrões com profissões intelectuais e científicas,2812,6,4,16,28,103,229,396,551,540,939,2822,8259,
            Sem encargos,1038,3,1,6,10,41,82,130,199,184,382,1042,2933,
            Com encargos,1774,3,3,10,18,62,147,266,352,356,557,1780,5326,
            Menos de 75 euros,21,0,0,0,1,0,1,9,2,5,3,21,59,
"            75  - 99,99 euros",21,0,0,0,0,2,2,5,4,3,5,21,62,
"            100 - 149,99 euros",48,0,0,0,0,3,4,6,17,12,6,48,143,
            150 - 199.99 euros,58,0,0,0,2,7,12,11,7,4,15,59,142,
