"4.15 - FAMÍLIAS CLÁSSICAS, SEGUNDO O TIPO DE ALOJAMENTO OCUPADO COMO RESIDÊNCIA HABITUAL E O REGIME DE PROPRIEDADE DOS ALOJAMENTOS CLÁSSICOS POR DIMENSÃO DAS FAMÍLIAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total    ,Alojamentos clássicos,,,,Alojamentos não clássicos,,,,Alojamentos colectivos,,,,
Dimensão das famílias,,Proprietário ou co-proprietário,Proprietário em prop. colectiva de coop de habitação,Arrendatário ou sub arrendatário,Outra situação,Barracas e casas rudimentares de madeira,Movéis,Improvisados,Local não destinado a habitação,Estabeleci-mentos hoteleiros ou similares,Alojamentos de convivência,,,
        Com 9 ou mais pessoas,120,58,2,48,8,2,0,2,0,0,0,,,
    Região Autónoma dos Açores,81715,63618,928,10812,6095,5,7,89,3,45,113,,,
      Com 1 pessoa,14006,9653,86,2609,1541,4,4,31,0,37,41,,,
      Com 2 pessoas,20871,16535,179,2654,1469,0,2,11,1,3,17,,,
      Com 3 pessoas,19231,15448,228,2218,1286,0,0,21,1,4,25,,,
      Com 4 pessoas,16295,13406,238,1655,962,1,0,12,0,0,21,,,
      Com 5 pessoas,6708,5261,113,863,452,0,0,8,1,1,9,,,
      Com 6 pessoas,2668,2030,45,389,198,0,1,5,0,0,0,,,
      Com 7 pessoas,989,696,14,195,83,0,0,1,0,0,0,,,
      Com 8 pessoas,436,274,14,97,51,0,0,0,0,0,0,,,
      Com 9 ou mais pessoas,511,315,11,132,53,0,0,0,0,0,0,,,
      Região Autónoma dos Açores,81715,63618,928,10812,6095,5,7,89,3,45,113,,,
        Com 1 pessoa,14006,9653,86,2609,1541,4,4,31,0,37,41,,,
        Com 2 pessoas,20871,16535,179,2654,1469,0,2,11,1,3,17,,,
        Com 3 pessoas,19231,15448,228,2218,1286,0,0,21,1,4,25,,,
        Com 4 pessoas,16295,13406,238,1655,962,1,0,12,0,0,21,,,
        Com 5 pessoas,6708,5261,113,863,452,0,0,8,1,1,9,,,
        Com 6 pessoas,2668,2030,45,389,198,0,1,5,0,0,0,,,
        Com 7 pessoas,989,696,14,195,83,0,0,1,0,0,0,,,
        Com 8 pessoas,436,274,14,97,51,0,0,0,0,0,0,,,
        Com 9 ou mais pessoas,511,315,11,132,53,0,0,0,0,0,0,,,
    Região Autónoma da Madeira,92823,70678,1409,14505,6072,8,0,44,1,71,35,,,
      Com 1 pessoa,18141,12415,203,3620,1808,1,0,17,1,48,28,,,
      Com 2 pessoas,23705,17981,260,3988,1451,1,0,9,0,12,3,,,
      Com 3 pessoas,22738,18039,397,3053,1233,4,0,7,0,4,1,,,
      Com 4 pessoas,17535,14294,331,1991,904,1,0,7,0,5,2,,,
