"6.47 - POPULAÇÃO RESIDENTE, DESEMPREGADAEM SENTIDO RESTRITO E À PROCURA DE NOVO EMPREGO, SEGUNDO A SITUAÇÃO NA ÚLTIMA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
      Actividades de investigação,6,2,1,0,0,0,0,0,4,2,0,0,1,0
      Actividades combinadas de apoio aos  edifícios,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Actividades de limpeza,16813,1236,270,49,2194,81,406,9,13523,1059,0,0,420,38
      Actividades de plantação e manutenção de jardins,2097,1594,69,52,150,133,32,25,1779,1334,3,3,64,47
      Actividades de serviços administrativos e  de apoio,613,142,18,3,105,29,2,1,445,100,0,0,43,9
      Actividades dos centros de chamadas,911,356,8,3,28,13,0,0,836,321,0,0,39,19
"      Organização de feiras, congressos e outros eventos similares",891,387,125,56,99,41,2,0,577,252,0,0,88,38
"      Actividades de serviços de apoio prestados às empresas, n.e.",1750,634,73,37,253,99,8,4,1344,464,0,0,72,30
"      Administração pública em geral, económica e social",10280,4395,0,0,0,0,0,0,10280,4395,0,0,0,0
"      Negócios estrangeiros, defesa, justiça, segurança, ordem pública e protecção civil",4018,2667,0,0,0,0,0,0,4018,2667,0,0,0,0
      Actividades de segurança social obrigatória,359,101,0,0,0,0,0,0,359,101,0,0,0,0
      Educação pré-escolar,3732,245,161,11,114,17,13,1,3224,202,3,1,217,13
      Ensino básico (1º e 2º Ciclos),6082,912,179,33,217,53,12,2,5322,766,2,0,350,58
      Ensinos básico (3º Ciclo) e secundário,5324,1260,94,16,223,69,4,0,4637,1079,0,0,366,96
      Ensinos pós-secundário não superior e superior,1691,613,35,11,91,42,4,1,1242,435,0,0,319,124
      Outras actividades educativas,3489,1181,391,146,652,222,3,2,2102,691,2,0,339,120
      Actividades de serviços de apoio à educação,14,1,0,0,5,0,0,0,9,1,0,0,0,0
      Actividades dos estabelecimentos de saúde com internamento,4398,977,129,25,180,42,6,3,3822,842,2,1,259,64
"      Actividades de prática clínica em ambulatório, de medicina dentária e de odontologia",3575,578,200,38,226,53,10,2,2942,441,0,0,197,44
      Outras actividades de saúde humana,2041,463,126,35,210,47,0,0,1568,355,0,0,137,26
"      Actividades dos estabelecimentos de cuidados continuados integrados,  com alojamento",116,12,6,0,2,0,0,0,101,11,0,0,7,1
"      Actividades dos estabelecimentos para pessoas com  doença do foro mental e do abuso de drogas, com alojamento",84,32,6,1,2,0,0,0,69,26,0,0,7,5
"      Actividades de apoio social para pessoas idosas e com deficiência,  com alojamento",5999,668,189,10,182,20,37,1,5316,598,1,0,274,39
      Outras actividades de apoio  social com alojamento,202,36,6,1,5,2,3,2,176,31,0,0,12,0
"      Actividades de apoio social para pessoas idosas e com deficiência, sem alojamento",2409,193,91,6,195,10,27,2,2008,165,1,0,87,10
      Outras actividades de apoio social sem alojamento,3070,361,142,14,165,15,8,0,2569,293,1,0,185,39
"      Actividades de teatro, de música, de dança e outras actividades artísticas e literárias",1872,1263,267,174,548,374,1,1,856,604,1,1,199,109
"      Actividades das bibliotecas, arquivos, museus e outras actividades culturais",655,254,57,25,64,31,2,0,453,176,0,0,79,22
      Lotarias e outros jogos de aposta,495,281,11,6,29,17,5,1,431,245,0,0,19,12
      Actividades desportivas,2283,1339,167,102,130,80,7,2,1817,1047,0,0,162,108
      Actividades de diversão e recreativas,571,339,31,21,59,40,2,2,461,267,0,0,18,9
"      Actividades de organizações económicas, patronais e profissionais",265,91,10,5,24,13,0,0,214,70,0,0,17,3
      Actividades de organizações sindicais,144,31,0,0,0,0,0,0,138,29,0,0,6,2
      Outras actividades de organizações associativas,978,312,32,13,69,25,0,0,780,241,1,1,96,32
      Reparação de computadores e de equipamento de comunicação,476,426,30,27,97,92,2,2,327,287,0,0,20,18
      Reparação de bens de uso pessoal e doméstico,1068,685,54,37,251,162,24,10,686,450,0,0,53,26
      Outras actividades de serviços pessoais,7765,707,595,47,964,90,94,9,5764,527,4,0,344,34
      Actividades das famílias empregadoras de pessoal doméstico,11908,246,134,9,3460,45,1323,21,6636,160,1,0,354,11
      Actividades de produção de bens pelas famílias para uso próprio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Actividades de produção de serviços pelas famílias para uso próprio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Actividades dos organismos internacionais e outras instituições extra-territoriais,74,21,1,0,3,1,0,0,65,19,0,0,5,1
