"6.47 - POPULAÇÃO RESIDENTE, DESEMPREGADAEM SENTIDO RESTRITO E À PROCURA DE NOVO EMPREGO, SEGUNDO A SITUAÇÃO NA ÚLTIMA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
"      Fabricação de sabões e detergentes, produtos de limpeza e de polimento, perfumes e produtos de higiene",552,197,11,3,18,12,0,0,510,177,0,0,13,5
      Fabricação de outros produtos químicos,123,86,5,3,3,1,0,0,109,77,0,0,6,5
      Fabricação de fibras sintéticas ou artificiais,66,46,3,3,0,0,0,0,62,43,0,0,1,0
      Fabricação de produtos farmacêuticos de base,24,13,0,0,0,0,1,0,22,12,0,0,1,1
      Fabricação de preparações farmacêuticas,1367,624,50,22,15,10,0,0,1253,571,0,0,49,21
      Fabricação de artigos de borracha,590,394,9,6,13,10,2,1,544,365,0,0,22,12
      Fabricação de artigos de matérias plásticas,1642,969,32,16,43,34,2,0,1531,897,1,1,33,21
      Fabricação de vidro e artigos de vidro,902,633,17,12,18,15,2,0,847,593,0,0,18,13
      Fabricação de produtos cerâmicos refractários,36,33,0,0,1,1,1,1,34,31,0,0,0,0
      Fabricação de produtos cerâmicos para a construção,593,383,18,12,10,7,2,2,548,351,0,0,15,11
      Fabricação de outros  produtos de porcelana  e cerâmicos não refractários,2314,965,44,20,87,41,10,2,2106,876,3,0,64,26
"      Fabricação de cimento, cal e gesso",237,174,6,4,16,13,1,1,199,145,0,0,15,11
"      Fabricação de produtos de betão, gesso e  cimento",685,557,15,14,22,17,1,1,623,504,1,1,23,20
"      Serragem, corte e acabamento de rochas ornamentais e de outras pedras de construção",1104,913,57,48,42,33,4,3,982,811,0,0,19,18
      Fabricação de produtos abrasivos e de outros produtos minerais não metálicos,58,45,0,0,5,5,1,0,51,40,0,0,1,0
      Siderurgia e fabricação de ferro-ligas,92,70,3,3,2,1,0,0,84,65,0,0,3,1
"      Fabricação de tubos, condutas, perfis ocos e respectivos acessórios,  de aço",83,67,1,1,2,2,0,0,76,60,0,0,4,4
      Outras actividades da primeira transformação do aço,16,15,0,0,1,1,0,0,15,14,0,0,0,0
      Obtenção e primeira transformação de metais preciosos e de outros metais não ferrosos,271,207,7,7,11,7,1,0,252,193,0,0,0,0
      Fundição de metais ferrosos e não ferrosos,955,798,25,21,18,16,3,3,885,737,1,1,23,20
      Fabricação de elementos de construção em metal,8663,7468,331,297,322,290,39,35,7723,6645,1,1,247,200
"      Fabricação de reservatórios, recipientes, caldeiras e radiadores metálicos para aquecimento central",596,447,25,21,22,16,2,2,521,387,0,0,26,21
      Fabricação de geradores de vapor (excepto caldeiras para aquecimento central),5,5,0,0,1,1,0,0,4,4,0,0,0,0
      Fabricação de armas e munições,51,31,0,0,0,0,0,0,48,29,0,0,3,2
"      Fabricação de produtos forjados, estampados e laminados; metalurgia dos pós",11,7,0,0,0,0,0,0,10,7,0,0,1,0
      Tratamento e revestimento de metais; actividades de mecânica geral,548,455,15,14,19,17,4,4,497,409,0,0,13,11
"      Fabricação de cutelaria, ferramentas e ferragens",1392,897,40,31,32,31,3,2,1285,809,1,1,31,23
      Fabricação de outros produtos metálicos,742,441,15,10,11,10,1,0,691,408,0,0,24,13
"      Fabricação de componentes  e de placas, electrónicos",1155,565,23,21,14,12,1,0,1087,516,0,0,30,16
      Fabricação de computadores e de equipamento periférico,95,64,3,2,1,1,0,0,88,59,0,0,3,2
      Fabricação de aparelhos e equipamentos para comunicações,77,31,3,1,4,4,0,0,67,24,0,0,3,2
      Fabricação de receptores  de rádio e de televisão e bens de consumo similares,305,110,5,4,5,3,0,0,288,101,0,0,7,2
"      Fabricação de instrumentos e aparelhos de medida, verificação e navegação; relógios e material de relojoaria",143,81,5,5,4,3,0,0,127,69,0,0,7,4
"      Fabricação de equipamentos de radiação, electromedicina e electroterapêutico",45,20,0,0,0,0,0,0,43,19,0,0,2,1
      Fabricação de instrumentos e de equipamentos  ópticos e fotográficos,160,80,2,2,6,4,0,0,147,74,0,0,5,0
