"4.08 - FAMÍLIAS CLÁSSICAS SEGUNDO O NÚMERO DE PESSOAS COM MENOS DE 15 ANOS, ENTRE OS 15 E 64 ANOS E COM 65 OU MAIS ANOS, POR DIMENSÃO DA FAMILIA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas com pessoas com menos de 15 anos,,,,,Famílias clássicas com pessoas entre os 15 e 64 anos,,,,,Famílias clássicas com pessoas com 65 ou mais anos,,,,,
Dimensão da família,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,
          Com 6 pessoas,12967,1773,3273,4033,3888,12967,0,77,2251,10639,12967,9601,2087,1194,85,
          Com 7 pessoas,3754,299,723,1097,1635,3754,0,10,388,3356,3754,2841,612,273,28,
          Com 8 pessoas,1414,82,208,368,756,1414,0,0,72,1342,1414,1078,229,93,14,
          Com 9 ou mais pessoas,1077,56,73,194,754,1077,1,1,16,1059,1077,809,190,64,14,
          Total de Pessoas nas Familias,2792992,1669951,636444,381016,105581,2792992,327518,459230,1138311,867933,2792992,2056199,423611,302701,10481,
      Alentejo,302975,230493,47474,21055,3953,302975,80577,61452,97912,63034,302975,182018,71673,48150,1134,
          Com 1 pessoa,71676,71674,2,0,0,71676,40789,30887,0,0,71676,30889,40787,0,0,
          Com 2 pessoas,103694,99581,4113,0,0,103694,38844,21496,43354,0,103694,47402,17513,38779,0,
          Com 3 pessoas,68492,40274,26758,1460,0,68492,884,8177,32631,26800,68492,54493,6830,6378,791,
          Com 4 pessoas,44375,15742,12383,16032,218,44375,57,766,18230,25322,44375,38784,3710,1637,244,
          Com 5 pessoas,10774,2690,3262,2454,2368,10774,2,107,3039,7626,10774,7808,2091,818,57,
          Com 6 pessoas,2866,445,775,835,811,2866,0,16,538,2312,2866,1894,536,410,26,
          Com 7 pessoas,711,70,141,192,308,711,0,3,96,612,711,465,143,90,13,
          Com 8 pessoas,244,10,27,65,142,244,0,0,18,226,244,178,35,29,2,
          Com 9 ou mais pessoas,143,7,13,17,106,143,1,0,6,136,143,105,28,9,1,
          Total de Pessoas nas Familias,741454,471382,160321,87815,21936,741454,121376,102126,276814,241138,741454,500437,126374,110737,3906,
      Algarve,182776,135099,31533,13814,2330,182776,36679,46098,63689,36310,182776,122357,37005,22726,688,
          Com 1 pessoa,45493,45492,1,0,0,45493,18620,26873,0,0,45493,26874,18619,0,0,
          Com 2 pessoas,60708,57089,3619,0,0,60708,17528,13964,29216,0,60708,32817,10381,17510,0,
          Com 3 pessoas,40600,21890,17522,1188,0,40600,504,4707,20843,14546,40600,32873,4035,3240,452,
          Com 4 pessoas,26387,8661,7499,10061,166,26387,26,482,11471,14408,26387,23000,2218,1022,147,
          Com 5 pessoas,6658,1586,2115,1657,1300,6658,1,63,1761,4833,6658,4888,1163,561,46,
          Com 6 pessoas,2122,317,616,681,508,2122,0,8,338,1776,2122,1373,427,295,27,
          Com 7 pessoas,512,46,127,155,184,512,0,0,50,462,512,336,98,68,10,
          Com 8 pessoas,176,11,25,49,91,176,0,0,9,167,176,115,40,18,3,
          Com 9 ou mais pessoas,120,7,9,23,81,120,0,1,1,118,120,81,24,12,3,
          Total de Pessoas nas Familias,446441,270292,105247,57873,13029,446441,55297,71223,178109,141812,446441,319864,69978,54140,2459,
    Região Autónoma dos Açores,81715,52775,17407,8971,2562,81715,10441,15415,30359,25500,81715,58598,15607,7279,231,
        Com 1 pessoa,14006,14006,0,0,0,14006,5615,8391,0,0,14006,8391,5615,0,0,
        Com 2 pessoas,20871,19866,1005,0,0,20871,4679,4901,11291,0,20871,12283,3922,4666,0,
        Com 3 pessoas,19231,10281,8551,399,0,19231,136,1848,10377,6870,19231,15666,2123,1317,125,
        Com 4 pessoas,16295,6055,4357,5798,85,16295,11,212,6695,9377,16295,14074,1632,540,49,
        Com 5 pessoas,6708,1898,2231,1420,1159,6708,0,49,1548,5111,6708,5053,1288,345,22,
        Com 6 pessoas,2668,528,858,753,529,2668,0,11,361,2296,2668,1784,619,248,17,
        Com 7 pessoas,989,105,265,340,279,989,0,3,71,915,989,672,208,98,11,
        Com 8 pessoas,436,22,97,139,178,436,0,0,15,421,436,305,96,32,3,
        Com 9 ou mais pessoas,511,14,43,122,332,511,0,0,1,510,511,370,104,33,4,
        Total de Pessoas nas Familias,243882,122500,64435,40686,16261,243882,15425,24917,91025,112515,243882,183216,39808,19932,926,
      Região Autónoma dos Açores,81715,52775,17407,8971,2562,81715,10441,15415,30359,25500,81715,58598,15607,7279,231,
          Com 1 pessoa,14006,14006,0,0,0,14006,5615,8391,0,0,14006,8391,5615,0,0,
          Com 2 pessoas,20871,19866,1005,0,0,20871,4679,4901,11291,0,20871,12283,3922,4666,0,
          Com 3 pessoas,19231,10281,8551,399,0,19231,136,1848,10377,6870,19231,15666,2123,1317,125,
          Com 4 pessoas,16295,6055,4357,5798,85,16295,11,212,6695,9377,16295,14074,1632,540,49,
          Com 5 pessoas,6708,1898,2231,1420,1159,6708,0,49,1548,5111,6708,5053,1288,345,22,
          Com 6 pessoas,2668,528,858,753,529,2668,0,11,361,2296,2668,1784,619,248,17,
          Com 7 pessoas,989,105,265,340,279,989,0,3,71,915,989,672,208,98,11,
