"6.15 -  POPULAÇÃO RESIDENTE COM 12 OU MAIS ANOS, SEGUNDO O ESTADO CIVIL LEGAL E O SEXO, POR GRUPO ETÁRIO E IDADE ANO A ANO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,,,,,,,,,,,,,,,
"Grupo etário e  
idade ano a ano",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,,,,,
        49 anos,151206,72817,19440,10529,109741,53925,17910,7706,4115,657,,,,,,,,,,,,,,,,,,
      50-54 anos,722360,346248,77329,40611,534639,264957,83524,35967,26868,4713,,,,,,,,,,,,,,,,,,
        50 anos,150694,72694,18418,9862,109708,54287,18208,7797,4360,748,,,,,,,,,,,,,,,,,,
        51 anos,145233,69654,16465,8739,106778,52809,17026,7241,4964,865,,,,,,,,,,,,,,,,,,
        52 anos,144244,68895,15371,8084,107042,52896,16415,6974,5416,941,,,,,,,,,,,,,,,,,,
        53 anos,145385,69549,14254,7336,108513,53787,16647,7358,5971,1068,,,,,,,,,,,,,,,,,,
        54 anos,136804,65456,12821,6590,102598,51178,15228,6597,6157,1091,,,,,,,,,,,,,,,,,,
      55-59 anos,677651,322095,54986,26415,515483,258861,67563,29856,39619,6963,,,,,,,,,,,,,,,,,,
        55 anos,141349,67522,12699,6417,106470,53103,15206,6798,6974,1204,,,,,,,,,,,,,,,,,,
        56 anos,137406,65586,11748,5791,103877,52111,14415,6357,7366,1327,,,,,,,,,,,,,,,,,,
        57 anos,131697,62577,10635,5113,100233,50276,13188,5863,7641,1325,,,,,,,,,,,,,,,,,,
        58 anos,134948,63829,10288,4830,103386,51889,12771,5580,8503,1530,,,,,,,,,,,,,,,,,,
        59 anos,132251,62581,9616,4264,101517,51482,11983,5258,9135,1577,,,,,,,,,,,,,,,,,,
      60-64 anos,634741,298546,40562,16553,487350,249767,49876,22024,56953,10202,,,,,,,,,,,,,,,,,,
        60 anos,131443,62324,9170,3950,100715,51445,11636,5140,9922,1789,,,,,,,,,,,,,,,,,,
        61 anos,129562,61650,8589,3659,99782,51322,10679,4769,10512,1900,,,,,,,,,,,,,,,,,,
        62 anos,132822,62724,8132,3314,102663,52792,10284,4511,11743,2107,,,,,,,,,,,,,,,,,,
        63 anos,123218,57466,7438,2923,94546,48359,9076,3990,12158,2194,,,,,,,,,,,,,,,,,,
        64 anos,117696,54382,7233,2707,89644,45849,8201,3614,12618,2212,,,,,,,,,,,,,,,,,,
      65-69 anos,551701,253004,31926,10988,410818,215243,30817,13328,78140,13445,,,,,,,,,,,,,,,,,,
        65 anos,122138,56042,7241,2606,92691,47729,7538,3253,14668,2454,,,,,,,,,,,,,,,,,,
        66 anos,116021,53197,6780,2386,86986,45102,7089,3108,15166,2601,,,,,,,,,,,,,,,,,,
        67 anos,111492,51361,6290,2176,83263,43811,6251,2698,15688,2676,,,,,,,,,,,,,,,,,,
        68 anos,105273,48360,5929,2000,77642,41271,5345,2272,16357,2817,,,,,,,,,,,,,,,,,,
        69 anos,96777,44044,5686,1820,70236,37330,4594,1997,16261,2897,,,,,,,,,,,,,,,,,,
      70-74 anos,496438,220461,29085,9325,338725,183734,19108,7737,109520,19665,,,,,,,,,,,,,,,,,,
        70 anos,99443,44893,5892,1951,70820,37844,4414,1857,18317,3241,,,,,,,,,,,,,,,,,,
        71 anos,101412,45478,5809,1920,70782,38173,4182,1733,20639,3652,,,,,,,,,,,,,,,,,,
        72 anos,101225,45104,5921,1941,69224,37664,3898,1537,22182,3962,,,,,,,,,,,,,,,,,,
        73 anos,97876,43032,5777,1822,65332,35638,3373,1325,23394,4247,,,,,,,,,,,,,,,,,,
        74 anos,96482,41954,5686,1691,62567,34415,3241,1285,24988,4563,,,,,,,,,,,,,,,,,,
      75-79 anos,429706,180131,26490,7372,251436,142369,12080,4303,139700,26087,,,,,,,,,,,,,,,,,,
        75 anos,96159,41352,5698,1683,60601,33604,3011,1077,26849,4988,,,,,,,,,,,,,,,,,,
        76 anos,88143,37312,5361,1534,53565,30025,2601,931,26616,4822,,,,,,,,,,,,,,,,,,
        77 anos,85413,35664,5164,1444,49897,28295,2311,807,28041,5118,,,,,,,,,,,,,,,,,,
        78 anos,83248,34407,5272,1411,46526,26662,2225,820,29225,5514,,,,,,,,,,,,,,,,,,
        79 anos,76743,31396,4995,1300,40847,23783,1932,668,28969,5645,,,,,,,,,,,,,,,,,,
      80-84 anos,297888,113325,20540,4711,133568,80366,6344,1930,137436,26318,,,,,,,,,,,,,,,,,,
        80 anos,71425,28249,4697,1192,35976,20979,1661,542,29091,5536,,,,,,,,,,,,,,,,,,
        81 anos,63850,24883,4388,1052,30131,18047,1462,463,27869,5321,,,,,,,,,,,,,,,,,,
        82 anos,59801,22629,4226,946,26351,15904,1210,373,28014,5406,,,,,,,,,,,,,,,,,,
        83 anos,52941,19570,3657,803,22004,13480,1084,300,26196,4987,,,,,,,,,,,,,,,,,,
        84 anos,49871,17994,3572,718,19106,11956,927,252,26266,5068,,,,,,,,,,,,,,,,,,
      85-89 anos,164356,55635,12764,2287,49697,32479,2723,666,99172,20203,,,,,,,,,,,,,,,,,,
        85 anos,43827,15341,3277,650,15282,9685,790,202,24478,4804,,,,,,,,,,,,,,,,,,
        86 anos,38395,13322,2930,536,12305,8009,622,152,22538,4625,,,,,,,,,,,,,,,,,,
        87 anos,32302,10743,2535,441,9410,6150,549,122,19808,4030,,,,,,,,,,,,,,,,,,
        88 anos,27307,8998,2233,352,7298,4888,425,116,17351,3642,,,,,,,,,,,,,,,,,,
        89 anos,22525,7231,1789,308,5402,3747,337,74,14997,3102,,,,,,,,,,,,,,,,,,
      90-94 anos,53847,15679,4514,660,9943,6927,774,159,38616,7933,,,,,,,,,,,,,,,,,,
        90 anos,18840,5788,1511,222,4047,2806,270,51,13012,2709,,,,,,,,,,,,,,,,,,
