"6.01 - POPULAÇÃO RESIDENTE, SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA, CORPO DIPLOMÁTICO E SEXO,  POR IDADE (ANO A ANO)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1000000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
Zona Geográfica,,,,,,,,,,,,,,,,,,,,,,,,
Idade ano a ano,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
      33 anos,162139,79266,53479,26441,16032,7832,16251,7934,21339,10270,20842,10029,8882,4259,11437,5551,3053,1504,8473,4212,0,0,2351,1234
      34 anos,168510,82571,56171,27837,16792,8084,16741,8205,22010,10789,21738,10573,9255,4439,11798,5717,3059,1477,8450,4138,0,0,2496,1312
      35 anos,170282,83517,57378,28448,16676,8105,16767,8221,22336,10964,21683,10498,9434,4504,11830,5715,3188,1590,8412,4116,0,0,2578,1356
      36 anos,167193,81550,56649,28020,16474,7982,16427,7981,21857,10494,21036,10090,9246,4511,11596,5607,3151,1489,8214,4020,0,0,2543,1356
      37 anos,162337,79086,55664,27673,16157,7829,15680,7638,20976,10136,20318,9638,8687,4109,11363,5417,3087,1505,7904,3868,0,0,2501,1273
      38 anos,164089,79725,56637,27831,15923,7764,16082,7783,20848,10144,20588,9723,8936,4314,11501,5468,3074,1441,7948,3932,0,0,2552,1325
      39 anos,160782,78429,56474,27867,15578,7670,15280,7419,20396,9764,19677,9388,8713,4213,11179,5362,3110,1516,7889,3899,0,0,2486,1331
      40 anos,157660,76831,55649,27729,15468,7522,14970,7274,19916,9681,19346,9160,8454,3969,11064,5226,2928,1424,7282,3521,0,0,2583,1325
      41 anos,154142,75159,56049,28163,14934,7294,14266,6875,19117,9156,18776,8857,8062,3775,10466,4995,2873,1335,7046,3390,0,0,2553,1319
      42 anos,152330,73891,55910,27758,14798,7192,14009,6838,18746,8939,18386,8561,7787,3718,10460,4931,2893,1336,6775,3263,0,0,2566,1355
      43 anos,153848,74306,56481,27921,14763,7109,14070,6756,18961,8991,18599,8692,7792,3772,10571,4999,2996,1364,6939,3316,0,0,2676,1386
      44 anos,155118,74775,57172,28397,14790,7034,14106,6766,18783,8949,18463,8627,7948,3675,10878,5091,3217,1527,7072,3326,0,0,2689,1383
      45 anos,156622,75475,58110,28812,14935,7199,14082,6737,18746,8859,18774,8706,7813,3681,10962,5135,3298,1449,7212,3482,0,0,2690,1415
      46 anos,157824,76089,59365,29503,14523,7027,14095,6670,18586,8913,18677,8655,7847,3665,11119,5190,3533,1624,7288,3410,0,0,2791,1432
      47 anos,152343,73251,57070,28127,14331,6919,13549,6454,17992,8520,18274,8424,7403,3498,10598,4949,3327,1577,7073,3336,0,0,2726,1447
      48 anos,152299,73357,57715,28746,14178,6830,13514,6495,17941,8478,17939,8197,7207,3410,10785,4945,3385,1567,6881,3285,0,0,2754,1404
      49 anos,151206,72817,57892,28968,13997,6706,13269,6288,17663,8246,17704,8179,7002,3277,10702,4977,3404,1520,6871,3254,0,0,2702,1402
      50 anos,150694,72694,57112,28512,14009,6859,13410,6465,17570,8269,17878,8230,7104,3314,10552,4834,3375,1538,6934,3216,0,0,2750,1457
      51 anos,145233,69654,55113,27472,13367,6453,12618,6036,17162,8021,16979,7857,6766,3084,10275,4723,3474,1521,6837,3116,0,0,2642,1371
      52 anos,144244,68895,54558,26868,13351,6545,12639,6019,16937,7914,17081,7845,6978,3213,10024,4659,3375,1500,6679,2959,0,0,2622,1373
      53 anos,145385,69549,55304,27302,13345,6438,12558,5904,16862,7936,17055,7886,6994,3235,10306,4740,3448,1556,6855,3170,0,0,2658,1382
      54 anos,136804,65456,51291,25402,12567,6018,11852,5625,16243,7532,16193,7517,6672,3086,9596,4422,3376,1557,6611,3011,0,0,2403,1286
      55 anos,141349,67522,53088,26016,13134,6416,12204,5839,16699,7836,16587,7744,6665,3070,9747,4438,3552,1590,7107,3216,0,0,2566,1357
      56 anos,137406,65586,51949,25670,12531,6023,11678,5470,16122,7593,16251,7470,6499,2932,9622,4498,3517,1578,6805,3066,0,0,2432,1286
      57 anos,131697,62577,49543,24193,11806,5769,11311,5361,15464,7064,15502,7138,6460,2945,9172,4278,3256,1447,6745,3082,0,0,2438,1300
