"6.10 - POPULAÇÃO RESIDENTE, SEGUNDO AS MIGRAÇÕES (RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População residente em 2011,,População que ainda não tinha nascido (em 31/12/2005),,População que mantém a mesma residência (relativamente a 31/12/2005),,População que mudou de residência (relativamente a 31/12/2005),,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,,,Na mesma freguesia,,Noutra freguesia do mesmo municipio,,Noutro municipio,,No estrangeiro,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,
            Óbidos,11772,5724,506,255,8688,4212,759,366,300,137,1229,605,290,149,,,,,,,,,,,,,,
            Peniche,27753,13444,1347,700,20167,9712,2618,1311,1742,825,1257,599,622,297,,,,,,,,,,,,,,
            Alenquer,43267,21066,2387,1218,30013,14584,3765,1823,2643,1239,3601,1779,858,423,,,,,,,,,,,,,,
            Arruda dos Vinhos,13391,6571,821,424,8930,4373,1156,568,249,111,1926,943,309,152,,,,,,,,,,,,,,
            Cadaval,14228,6871,672,342,10461,5056,1133,559,527,245,1175,534,260,135,,,,,,,,,,,,,,
            Lourinhã,25735,12518,1301,660,18190,8864,2509,1268,1074,492,2022,925,639,309,,,,,,,,,,,,,,
            Sobral de Monte Agraço,10156,5003,561,296,6930,3373,803,391,357,167,1352,688,153,88,,,,,,,,,,,,,,
            Torres Vedras,79465,38368,3817,1949,56678,27402,7042,3418,4813,2245,5442,2516,1673,838,,,,,,,,,,,,,,
          Médio Tejo,220661,105219,9328,4780,166203,79084,17531,8274,10559,4943,13461,6341,3579,1797,,,,,,,,,,,,,,
            Abrantes,39325,18950,1502,755,30337,14569,3398,1630,1967,941,1699,828,422,227,,,,,,,,,,,,,,
            Alcanena,13868,6686,583,280,10689,5152,1265,619,400,201,689,320,242,114,,,,,,,,,,,,,,
            Constância,4056,1946,198,103,3004,1442,295,136,107,60,419,191,33,14,,,,,,,,,,,,,,
            Entroncamento,20206,9629,1109,552,13158,6259,2358,1129,810,395,2508,1162,263,132,,,,,,,,,,,,,,
            Ferreira do Zêzere,8619,4098,345,175,6744,3188,524,246,285,143,524,244,197,102,,,,,,,,,,,,,,
            Sardoal,3939,1916,128,66,3091,1488,293,139,75,36,304,163,48,24,,,,,,,,,,,,,,
            Tomar,40677,19271,1538,821,30847,14565,3090,1451,2404,1091,2020,947,778,396,,,,,,,,,,,,,,
            Torres Novas,36717,17511,1647,870,27301,12995,2423,1134,2392,1112,2523,1195,431,205,,,,,,,,,,,,,,
            Vila Nova da Barquinha,7322,3555,318,155,5560,2688,373,179,211,97,798,399,62,37,,,,,,,,,,,,,,
            Ourém,45932,21657,1960,1003,35472,16738,3512,1611,1908,867,1977,892,1103,546,,,,,,,,,,,,,,
        Lisboa,2821876,1334605,150847,77003,1893383,886961,258667,122717,184090,88446,257224,123426,77665,36052,,,,,,,,,,,,,,
          Grande Lisboa,2042477,961132,108305,55332,1369597,637160,178839,84526,137071,65732,187946,90224,60719,28158,,,,,,,,,,,,,,
            Cascais,206479,96866,11063,5675,134357,62608,21454,10034,13966,6598,18370,8693,7269,3258,,,,,,,,,,,,,,
            Lisboa,547733,250874,24652,12656,376419,168649,35913,16489,49300,23508,44745,21484,16704,8088,,,,,,,,,,,,,,
            Loures,205054,98266,11029,5690,137264,65382,20227,9848,10702,5083,19949,9592,5883,2671,,,,,,,,,,,,,,
            Mafra,76685,37317,5113,2518,47777,23171,7199,3615,3830,1863,11207,5428,1559,722,,,,,,,,,,,,,,
            Oeiras,172120,80137,9319,4840,116479,53551,13919,6395,9339,4529,19111,9059,3953,1763,,,,,,,,,,,,,,
            Sintra,377835,180705,21776,11038,253732,120601,36652,17454,25246,12153,28926,14135,11503,5324,,,,,,,,,,,,,,
            Vila Franca de Xira,136886,65808,8346,4214,90677,43480,15155,7241,7068,3461,12896,6157,2744,1255,,,,,,,,,,,,,,
            Amadora,175136,82342,9079,4683,118777,55212,13780,6522,9931,4786,16913,8088,6656,3051,,,,,,,,,,,,,,
            Odivelas,144549,68817,7928,4018,94115,44506,14540,6928,7689,3751,15829,7588,4448,2026,,,,,,,,,,,,,,
          Península de Setúbal,779399,373473,42542,21671,523786,249801,79828,38191,47019,22714,69278,33202,16946,7894,,,,,,,,,,,,,,
            Alcochete,17569,8494,1244,605,10952,5237,1772,857,433,229,2805,1373,363,193,,,,,,,,,,,,,,
            Almada,174030,82496,8629,4393,118900,55982,15628,7445,13160,6295,13662,6503,4051,1878,,,,,,,,,,,,,,
            Barreiro,78764,37347,3751,1898,55411,26117,6675,3198,5682,2729,5752,2722,1493,683,,,,,,,,,,,,,,
            Moita,66029,31708,3573,1875,46194,22056,7360,3561,2842,1312,4797,2305,1263,599,,,,,,,,,,,,,,
            Montijo,51222,24723,3252,1681,31615,15069,5854,2764,2019,999,7012,3495,1470,715,,,,,,,,,,,,,,
            Palmela,62831,30486,3616,1850,41879,20280,7020,3388,2177,1060,7097,3420,1042,488,,,,,,,,,,,,,,
            Seixal,158269,75916,8853,4519,104795,50178,16097,7670,9900,4817,14633,6938,3991,1794,,,,,,,,,,,,,,
            Sesimbra,49500,24317,2962,1477,31993,15805,5931,2852,1280,661,6409,3055,925,467,,,,,,,,,,,,,,
            Setúbal,121185,57986,6662,3373,82047,39077,13491,6456,9526,4612,7111,3391,2348,1077,,,,,,,,,,,,,,
        Alentejo,757302,366739,33033,16893,554784,267906,78506,37825,33387,15817,45180,21851,12412,6447,,,,,,,,,,,,,,
          Alentejo Litoral,97925,48624,4115,2066,70285,34671,12212,6063,2690,1325,5948,2950,2675,1549,,,,,,,,,,,,,,
            Odemira,26066,13171,1001,500,18685,9403,2628,1329,972,461,1348,614,1432,864,,,,,,,,,,,,,,
            Alcácer do Sal,13046,6332,553,277,10140,4896,1188,588,468,225,509,239,188,107,,,,,,,,,,,,,,
            Grândola,14826,7506,597,296,10405,5133,2091,1016,264,143,1193,750,276,168,,,,,,,,,,,,,,
            Santiago do Cacém,29749,14586,1249,636,21465,10489,3842,1915,848,432,1900,874,445,240,,,,,,,,,,,,,,
            Sines,14238,7029,715,357,9590,4750,2463,1215,138,64,998,473,334,170,,,,,,,,,,,,,,
          Alto Alentejo,118410,56796,4688,2378,88597,42585,12813,6080,5562,2602,5443,2516,1307,635,,,,,,,,,,,,,,
            Mora,4978,2415,150,75,3906,1909,532,245,75,39,255,113,60,34,,,,,,,,,,,,,,
            Alter do Chão,3562,1680,122,53,2692,1293,414,173,30,12,256,121,48,28,,,,,,,,,,,,,,
            Arronches,3165,1535,97,52,2403,1182,346,169,43,20,247,100,29,12,,,,,,,,,,,,,,
            Avis,4571,2178,148,69,3422,1641,447,206,124,51,282,136,148,75,,,,,,,,,,,,,,
            Campo Maior,8456,4098,447,228,6376,3094,826,401,428,191,261,128,118,56,,,,,,,,,,,,,,
            Castelo de Vide,3407,1629,86,52,2573,1245,334,149,187,85,189,78,38,20,,,,,,,,,,,,,,
            Crato,3708,1725,100,48,3015,1406,305,144,78,35,180,76,30,16,,,,,,,,,,,,,,
            Elvas,23078,11092,1193,616,16520,7898,2455,1182,1766,840,827,401,317,155,,,,,,,,,,,,,,
            Fronteira,3410,1627,132,74,2716,1295,327,161,24,13,184,73,27,11,,,,,,,,,,,,,,
            Gavião,4132,1951,105,57,3278,1541,412,204,75,33,239,103,23,13,,,,,,,,,,,,,,
            Marvão,3512,1720,89,44,2737,1340,346,165,149,70,160,85,31,16,,,,,,,,,,,,,,
            Monforte,3329,1553,167,85,2531,1183,383,180,49,21,185,81,14,3,,,,,,,,,,,,,,
            Nisa,7450,3537,195,99,5938,2812,584,275,288,128,361,183,84,40,,,,,,,,,,,,,,
            Ponte de Sor,16722,8085,631,324,12681,6169,2172,1024,417,196,680,304,141,68,,,,,,,,,,,,,,
            Portalegre,24930,11971,1026,502,17809,8577,2930,1402,1829,868,1137,534,199,88,,,,,,,,,,,,,,
          Alentejo Central,166822,80222,7042,3651,121966,58607,17262,8315,9904,4673,8820,4081,1828,895,,,,,,,,,,,,,,
            Alandroal,5843,2833,228,110,4678,2271,582,279,94,43,221,111,40,19,,,,,,,,,,,,,,
            Arraiolos,7363,3576,294,151,5337,2571,922,448,158,86,589,290,63,30,,,,,,,,,,,,,,
            Borba,7333,3615,267,129,5665,2810,721,346,276,134,327,159,77,37,,,,,,,,,,,,,,
            Estremoz,14318,6813,512,269,11006,5240,1419,676,664,294,616,277,101,57,,,,,,,,,,,,,,
            Évora,56596,26831,2681,1398,38933,18325,4663,2255,6690,3156,2946,1353,683,344,,,,,,,,,,,,,,
            Montemor-o-Novo,17437,8461,660,335,12655,6168,1755,869,1127,515,990,459,250,115,,,,,,,,,,,,,,
            Mourão,2663,1315,119,54,2104,1046,232,117,20,10,146,67,42,21,,,,,,,,,,,,,,
            Portel,6428,3152,240,120,4941,2406,770,373,103,59,315,159,59,35,,,,,,,,,,,,,,
            Redondo,7031,3434,271,143,5284,2599,1083,514,34,18,303,137,56,23,,,,,,,,,,,,,,
            Reguengos de Monsaraz,10828,5274,471,258,8146,3966,1263,595,231,118,567,265,150,72,,,,,,,,,,,,,,
            Vendas Novas,11846,5705,534,278,8598,4176,1730,807,92,44,746,330,146,70,,,,,,,,,,,,,,
            Viana do Alentejo,5743,2780,253,130,4307,2091,638,318,65,32,414,183,66,26,,,,,,,,,,,,,,
            Vila Viçosa,8319,4057,313,173,6371,3103,895,443,296,140,370,163,74,35,,,,,,,,,,,,,,
            Sousel,5074,2376,199,103,3941,1835,589,275,54,24,270,128,21,11,,,,,,,,,,,,,,
          Baixo Alentejo,126692,61949,5465,2784,95078,46414,11744,5672,5382,2584,6756,3274,2267,1221,,,,,,,,,,,,,,
            Aljustrel,9257,4579,348,182,7243,3566,983,500,127,63,455,214,101,54,,,,,,,,,,,,,,
            Almodôvar,7449,3677,299,151,5913,2934,573,294,123,59,369,156,172,83,,,,,,,,,,,,,,
            Alvito,2504,1199,102,54,1753,833,295,151,35,18,241,102,78,41,,,,,,,,,,,,,,
            Barrancos,1834,890,79,38,1517,733,125,62,0,0,69,36,44,21,,,,,,,,,,,,,,
            Beja,35854,17387,1850,929,25158,12151,2969,1393,3296,1575,2071,1066,510,273,,,,,,,,,,,,,,
            Castro Verde,7276,3567,275,131,5568,2724,666,323,116,54,498,258,153,77,,,,,,,,,,,,,,
            Cuba,4878,2384,218,123,3627,1766,523,245,65,27,343,166,102,57,,,,,,,,,,,,,,
            Ferreira do Alentejo,8255,4021,345,176,6180,3009,872,412,140,75,532,234,186,115,,,,,,,,,,,,,,
            Mértola,7274,3593,192,103,6012,2960,515,253,124,57,333,164,98,56,,,,,,,,,,,,,,
            Moura,15167,7447,761,400,11442,5614,1506,725,663,316,515,241,280,151,,,,,,,,,,,,,,
            Ourique,5389,2656,145,66,4285,2138,475,225,80,36,309,139,95,52,,,,,,,,,,,,,,
            Serpa,15623,7632,578,298,11946,5804,1597,774,535,263,661,323,306,170,,,,,,,,,,,,,,
            Vidigueira,5932,2917,273,133,4434,2182,645,315,78,41,360,175,142,71,,,,,,,,,,,,,,
          Lezíria do Tejo,247453,119148,11723,6014,178858,85629,24475,11695,9849,4633,18213,9030,4335,2147,,,,,,,,,,,,,,
            Azambuja,21814,11031,1057,553,15128,7357,2200,1050,485,229,2537,1621,407,221,,,,,,,,,,,,,,
            Almeirim,23376,11100,1219,606,17041,8069,2439,1194,651,294,1623,739,403,198,,,,,,,,,,,,,,
            Alpiarça,7702,3699,385,206,5865,2803,765,357,0,0,546,262,141,71,,,,,,,,,,,,,,
            Benavente,29019,14166,1716,892,18539,9025,4075,1960,668,315,3061,1517,960,457,,,,,,,,,,,,,,
            Cartaxo,24462,11844,1118,597,17229,8325,2504,1217,1085,517,2082,969,444,219,,,,,,,,,,,,,,
            Chamusca,10120,4878,387,191,7880,3779,987,472,263,117,527,270,76,49,,,,,,,,,,,,,,
            Coruche,19944,9523,709,369,16203,7756,1666,765,438,191,740,350,188,92,,,,,,,,,,,,,,
            Golegã,5465,2560,196,91,4175,1962,570,260,75,36,411,194,38,17,,,,,,,,,,,,,,
            Rio Maior,21192,10255,1031,520,15454,7494,2428,1163,724,361,1233,555,322,162,,,,,,,,,,,,,,
            Salvaterra de Magos,22159,10645,1032,521,16404,7896,1896,883,583,274,1895,899,349,172,,,,,,,,,,,,,,
            Santarém,62200,29447,2873,1468,44940,21163,4945,2374,4877,2299,3558,1654,1007,489,,,,,,,,,,,,,,
        Algarve,451006,219931,22795,11594,298324,145108,55038,27062,23319,11350,33699,16319,17831,8498,,,,,,,,,,,,,,
          Algarve,451006,219931,22795,11594,298324,145108,55038,27062,23319,11350,33699,16319,17831,8498,,,,,,,,,,,,,,
            Albufeira,40828,20028,2228,1176,24281,11832,6058,3010,2208,1089,3622,1756,2431,1165,,,,,,,,,,,,,,
            Alcoutim,2917,1454,64,28,2498,1264,117,53,37,19,164,70,37,20,,,,,,,,,,,,,,
            Aljezur,5884,2905,231,110,3956,1944,620,319,133,62,415,204,529,266,,,,,,,,,,,,,,
            Castro Marim,6747,3355,263,121,5106,2535,463,249,113,51,545,282,257,117,,,,,,,,,,,,,,
            Faro,64560,30930,3270,1644,42751,20357,7016,3408,4868,2341,4804,2322,1851,858,,,,,,,,,,,,,,
            Lagoa,22975,11299,1177,596,15847,7838,2115,1011,1022,498,2094,1015,720,341,,,,,,,,,,,,,,
            Lagos,31049,15090,1592,834,19828,9623,3543,1773,2454,1152,1984,936,1648,772,,,,,,,,,,,,,,
            Loulé,70622,34449,3438,1694,46523,22682,9255,4512,4025,1977,4102,2015,3279,1569,,,,,,,,,,,,,,
            Monchique,6045,3046,208,112,4811,2406,567,298,48,27,210,96,201,107,,,,,,,,,,,,,,
            Olhão,45396,22174,2613,1362,29969,14629,4943,2380,3180,1573,3464,1633,1227,597,,,,,,,,,,,,,,
            Portimão,55614,26853,3055,1546,34681,16615,9307,4584,1670,801,4743,2328,2158,979,,,,,,,,,,,,,,
            São Brás de Alportel,10662,5232,517,285,7260,3548,1592,780,0,0,921,438,372,181,,,,,,,,,,,,,,
            Silves,37126,18525,1726,877,25593,12747,3977,1995,1173,600,3276,1618,1381,688,,,,,,,,,,,,,,
            Tavira,26167,12814,1170,601,18164,8883,2518,1238,1782,856,1636,805,897,431,,,,,,,,,,,,,,
            Vila do Bispo,5258,2624,188,104,3775,1849,546,295,148,75,355,178,246,123,,,,,,,,,,,,,,
            Vila Real de Santo António,19156,9153,1055,504,13281,6356,2401,1157,458,229,1364,623,597,284,,,,,,,,,,,,,,
      Região Autónoma dos Açores,246772,121534,13973,7141,172370,84590,24744,12231,19515,9488,13215,6433,2955,1651,,,,,,,,,,,,,,
        Região Autónoma dos Açores,246772,121534,13973,7141,172370,84590,24744,12231,19515,9488,13215,6433,2955,1651,,,,,,,,,,,,,,
          Região Autónoma dos Açores,246772,121534,13973,7141,172370,84590,24744,12231,19515,9488,13215,6433,2955,1651,,,,,,,,,,,,,,
            Vila do Porto,5552,2682,319,151,3716,1811,812,393,366,168,285,131,54,28,,,,,,,,,,,,,,
            Lagoa (R.A.A.),14442,7167,944,490,10494,5159,1260,630,630,325,942,457,172,106,,,,,,,,,,,,,,
            Nordeste,4937,2445,282,142,3711,1815,463,238,132,62,250,123,99,65,,,,,,,,,,,,,,
            Ponta Delgada,68809,33516,3905,2003,46604,22608,6346,3078,7562,3641,3887,1903,505,283,,,,,,,,,,,,,,
            Povoação,6327,3091,299,148,4550,2225,907,420,148,70,194,86,229,142,,,,,,,,,,,,,,
            Ribeira Grande,32112,16184,2538,1269,21618,10924,4260,2141,1730,848,1707,852,259,150,,,,,,,,,,,,,,
            Vila Franca do Campo,11229,5585,689,340,7952,3948,1100,541,804,384,409,198,275,174,,,,,,,,,,,,,,
            Angra do Heroísmo,35402,17265,1745,890,24954,12075,2822,1397,3891,1929,1587,767,403,207,,,,,,,,,,,,,,
            Vila da Praia da Vitória,21035,10432,1052,547,15062,7435,2156,1104,1364,669,1210,582,191,95,,,,,,,,,,,,,,
            Santa Cruz da Graciosa,4391,2174,201,120,3289,1621,404,199,213,105,219,93,65,36,,,,,,,,,,,,,,
            Calheta (R.A.A.),3773,1876,179,88,2903,1457,325,156,153,68,159,78,54,29,,,,,,,,,,,,,,
            Velas,5398,2689,255,139,3937,1945,583,293,265,128,278,137,80,47,,,,,,,,,,,,,,
            Lajes do Pico,4711,2327,193,104,3644,1797,463,232,116,61,242,110,53,23,,,,,,,,,,,,,,
            Madalena,6049,2963,267,131,4412,2144,581,305,260,124,426,208,103,51,,,,,,,,,,,,,,
            São Roque do Pico,3388,1666,142,82,2378,1155,398,181,154,78,243,131,73,39,,,,,,,,,,,,,,
            Horta,14994,7320,763,397,10257,5015,1335,662,1608,772,781,357,250,117,,,,,,,,,,,,,,
            Lajes das Flores,1504,780,74,38,997,514,215,110,58,27,127,73,33,18,,,,,,,,,,,,,,
            Santa Cruz das Flores,2289,1132,102,48,1626,799,265,126,61,29,202,107,33,23,,,,,,,,,,,,,,
            Corvo,430,240,24,14,266,143,49,25,0,0,67,40,24,18,,,,,,,,,,,,,,
      Região Autónoma da Madeira,267785,126268,13520,6961,200782,93847,18791,8959,13374,6240,15643,7416,5675,2845,,,,,,,,,,,,,,
        Região Autónoma da Madeira,267785,126268,13520,6961,200782,93847,18791,8959,13374,6240,15643,7416,5675,2845,,,,,,,,,,,,,,
          Região Autónoma da Madeira,267785,126268,13520,6961,200782,93847,18791,8959,13374,6240,15643,7416,5675,2845,,,,,,,,,,,,,,
            Calheta (R.A.M.),11521,5211,526,245,9054,4048,761,344,282,123,379,170,519,281,,,,,,,,,,,,,,
            Câmara de Lobos,35666,17221,2222,1156,28470,13661,2727,1317,681,330,1146,541,420,216,,,,,,,,,,,,,,
            Funchal,111892,52073,4954,2524,81414,37619,7256,3419,9972,4620,6192,2885,2104,1006,,,,,,,,,,,,,,
            Machico,21828,10620,952,494,17906,8678,1367,671,519,237,740,355,344,185,,,,,,,,,,,,,,
            Ponta do Sol,8862,4084,475,248,6821,3088,722,334,128,62,394,191,322,161,,,,,,,,,,,,,,
            Porto Moniz,2711,1183,97,53,2161,936,220,87,26,10,93,33,114,64,,,,,,,,,,,,,,
            Ribeira Brava,13375,6055,648,324,10677,4749,838,382,250,117,637,318,325,165,,,,,,,,,,,,,,
            Santa Cruz,43005,20877,2850,1497,29398,14133,3231,1602,1384,674,5264,2540,878,431,,,,,,,,,,,,,,
            Santana,7719,3530,282,138,6392,2881,523,246,83,43,232,112,207,110,,,,,,,,,,,,,,
            São Vicente,5723,2668,222,131,4624,2105,345,164,49,24,175,75,308,169,,,,,,,,,,,,,,
            Porto Santo,5483,2746,292,151,3865,1949,801,393,0,0,391,196,134,57,,,,,,,,,,,,,,
