"6.33 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR PROFISSÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
,,,,,,,,,,,,,,
Profissões ,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
      Agentes de negócios,23589,11550,4586,2784,4353,2915,0,0,14137,5595,0,0,513,256
      Administrativos e secretários especializados,64448,22087,1339,744,726,498,0,0,62014,20764,0,0,369,81
"      Agentes de nível intermédio da Administração Pública, para aplicação da lei e similares",12962,8627,79,76,126,119,0,0,12729,8409,0,0,28,23
"      Técnicos de nível intermédio dos serviços jurídicos, sociais e religiosos",13111,4176,94,33,86,32,0,0,12633,4026,0,0,298,85
      Técnicos de actividade física e de desporto,10125,7647,2232,1505,739,533,0,0,6468,5098,0,0,686,511
"      Técnicos de nível intermédio das actividades culturais, artísticas e culinárias",13869,7377,2233,1353,1900,1265,0,0,9423,4611,0,0,313,148
      Técnicos operadores das tecnologias de informação e comunicação e de apoio aos utilizadores,27689,23228,1954,1735,1663,1578,0,0,23786,19684,0,0,286,231
      Técnicos das telecomunicações e da radiodifusão,15808,13769,1803,1642,628,588,0,0,13030,11274,0,0,347,265
      Empregado de escritório em geral,254306,64389,6225,1088,848,263,0,0,245544,62580,0,0,1689,458
      Técnico de secretariado,370,8,0,0,1,0,0,0,363,8,0,0,6,0
      Operadores de processamento de texto e dados,2732,1221,149,67,17,6,0,0,2518,1123,0,0,48,25
"      Caixas, penhoristas e similares",3109,1960,143,88,37,21,0,0,2911,1838,0,0,18,13
      Pessoal de recepção e de informação a clientes,67788,21029,465,257,660,270,0,0,66082,20311,0,0,581,191
"      Operadores de dados, de contabilidade, estatística e serviços financeiros",3530,1278,0,0,25,12,0,0,3465,1252,0,0,40,14
"      Empregados de aprovisionamento, armazém, de serviços de apoio à produção e transportes",49500,38709,0,0,74,55,0,0,49238,38518,0,0,188,136
      Outro pessoal de apoio de tipo administrativo,13165,8111,0,0,61,22,0,0,12981,8037,0,0,123,52
"      Assistentes de viagem, cobradores e guias intérpretes",10225,3407,490,122,330,91,15,5,9253,3147,2,0,135,42
      Cozinheiro,81991,16348,7857,2055,872,204,648,103,71831,13777,66,12,717,197
