"4.05 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS, POR NACIONALIDADE E SEXO DO REPRESENTANTE DA FAMILIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (individuos),,,,,,,,,,Pessoas nas famílias,,,
Nacionalidade e sexo do representante da família,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
      Angola                                                             HM,9664,2057,1804,2164,1927,1033,461,135,51,32,29453,,,
                                                                          H,5514,1286,818,1154,1184,658,280,85,32,17,17103,,,
      Cabo Verde                                                         HM,13305,3627,2539,2614,2100,1281,679,234,129,102,39118,,,
                                                                          H,7014,2128,1171,1265,1137,700,371,123,67,52,20447,,,
      Guiné-Bissau                                                       HM,4971,1561,876,932,744,405,258,109,41,45,14204,,,
                                                                          H,3307,1284,496,519,466,258,155,68,29,32,8951,,,
      Moçambique                                                         HM,1431,396,322,319,259,86,33,10,4,2,3782,,,
                                                                          H,789,209,138,170,186,63,17,4,2,0,2200,,,
      São Tomé e Príncipe                                                HM,3381,888,600,666,549,365,192,77,25,19,10186,,,
                                                                          H,1738,498,254,301,306,206,114,40,9,10,5296,,,
      Outros países - África                                             HM,1770,757,312,279,216,118,54,22,10,2,4251,,,
                                                                          H,1450,664,240,213,168,92,42,19,10,2,3401,,,
      América                                                            HM,37737,9995,10026,9181,5748,2007,588,120,42,30,95625,,,
                                                                          H,22646,4858,5629,6003,4219,1419,386,84,25,23,61440,,,
      Argentina                                                          HM,136,36,35,30,27,6,2,0,0,0,346,,,
                                                                          H,103,24,24,26,21,6,2,0,0,0,276,,,
      Brasil                                                             HM,34968,9256,9187,8624,5300,1872,551,114,38,26,88735,,,
                                                                          H,20696,4443,5020,5596,3852,1311,353,79,23,19,56290,,,
      Canadá                                                             HM,410,99,151,74,74,11,1,0,0,0,980,,,
                                                                          H,301,53,111,61,68,7,1,0,0,0,771,,,
      Estados Unidos da América                                          HM,846,270,330,110,98,25,8,2,0,3,1867,,,
                                                                          H,605,146,262,84,76,24,8,2,0,3,1436,,,
"      Venezuela, República Bolivariana da                                HM",667,118,143,190,151,49,11,3,2,0,1926,,,
                                                                          H,485,72,96,137,129,39,9,2,1,0,1462,,,
