"6.28 - POPULAÇÃO RESIDENTE, COM 15 OU MAIS ANOS, SEGUNDO O GRUPO ETÁRIO, POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) E SEXO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica                                                            Condição perante a actividade económica e sexo,Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,
                                                                           H,3473,211,130,125,149,221,305,403,419,534,546,159,132,139,
"          Reformados, aposentados ou na reserva                                                     HM",768566,327,597,968,1580,2838,4134,7216,14563,49073,103361,153824,146601,283484,
                                                                                                      H,339551,136,314,498,843,1496,2116,3653,7133,21741,53028,72526,66252,109815,
          Incapacitados permanentes para o trabalho                                                     HM,54335,756,1886,2488,3325,4683,5937,7328,8511,9445,8230,1174,163,409,
                                                                                                          H,28694,474,1008,1359,1828,2601,3303,3994,4460,4929,4142,508,34,54,
          Outros casos                                                     HM,146843,11540,13723,11455,11513,13274,13929,15274,16406,18214,15272,2632,1414,2197,
                                                                             H,67458,6447,7044,5541,5161,5995,6150,6913,7154,8168,7273,858,326,428,
      Centro                                                     HM,2008497,118116,121132,134107,157863,167603,163432,167197,160346,151723,145228,134247,127352,260151,
                                                                      H,947879,60247,61322,66751,77586,81625,79587,80852,77742,73174,68676,61508,57285,101524,
          População ativa                                                     HM,1056225,12677,71239,118204,144103,151204,143477,140602,123486,89417,46006,9910,3633,2267,
                                                                                H,553200,7518,37641,59209,72503,76186,73378,72830,66211,50760,26329,6397,2599,1639,
          Empregados                                                     HM,940211,7391,55607,103240,130152,137927,130947,127983,111404,79130,40671,9859,3633,2267,
                                                                           H,497941,4661,30143,52297,66476,70573,67903,66839,60236,45023,23172,6380,2599,1639,
          Desempregados                                                     HM,116014,5286,15632,14964,13951,13277,12530,12619,12082,10287,5335,51,0,0,
                                                                              H,55259,2857,7498,6912,6027,5613,5475,5991,5975,5737,3157,17,0,0,
          População inativa                                                     HM,952272,105439,49893,15903,13760,16399,19955,26595,36860,62306,99222,124337,123719,257884,
                                                                                  H,394679,52729,23681,7542,5083,5439,6209,8022,11531,22414,42347,55111,54686,99885,
          Estudantes                                                     HM,146927,97927,39776,5879,1384,694,481,299,242,150,69,11,6,9,
                                                                           H,72193,48617,18869,3406,656,241,152,76,74,58,30,6,4,4,
          Domésticos                                                     HM,104087,621,1136,1869,3345,5302,7774,11138,14438,18139,20473,8440,5559,5853,
                                                                           H,2431,97,74,72,99,127,180,240,266,345,420,171,152,188,
"          Reformados, aposentados ou na reserva                                                     HM",591767,202,406,558,914,1444,2037,3902,9213,29091,64213,112972,116844,249971,
                                                                                                      H,266529,98,200,291,476,753,1075,2050,4762,14580,34798,53901,54219,99326,
          Incapacitados permanentes para o trabalho                                                     HM,32539,398,1086,1478,2016,2578,3089,4029,4950,5859,5630,901,163,362,
                                                                                                          H,17002,230,575,762,1037,1399,1649,2129,2652,3147,2921,396,38,67,
          Outros casos                                                     HM,76952,6291,7489,6119,6101,6381,6574,7227,8017,9067,8837,2013,1147,1689,
                                                                             H,36524,3687,3963,3011,2815,2919,3153,3527,3777,4284,4178,637,273,300,
      Lisboa                                                     HM,2383995,143346,151697,182228,223103,234961,204016,192953,182884,178352,176613,151763,127059,235020,
                                                                      H,1111029,73231,75625,88938,108190,114027,98098,91344,85225,81772,81319,69802,56343,87115,
          População ativa                                                     HM,1405058,18982,92885,160625,204790,215233,184121,170148,151481,117915,64967,15775,5028,3108,
                                                                                H,698989,9622,46431,78589,100683,106453,90886,83634,74533,59376,33650,9511,3455,2166,
          Empregados                                                     HM,1223276,9000,68545,138583,182483,192715,163913,151102,133693,102812,56659,15635,5028,3108,
                                                                           H,604856,4377,33519,67425,89830,95254,80429,73515,65063,51239,29127,9457,3455,2166,
          Desempregados                                                     HM,181782,9982,24340,22042,22307,22518,20208,19046,17788,15103,8308,140,0,0,
                                                                              H,94133,5245,12912,11164,10853,11199,10457,10119,9470,8137,4523,54,0,0,
          População inativa                                                     HM,978937,124364,58812,21603,18313,19728,19895,22805,31403,60437,111646,135988,122031,231912,
                                                                                  H,412040,63609,29194,10349,7507,7574,7212,7710,10692,22396,47669,60291,52888,84949,
          Estudantes                                                     HM,167906,113607,43747,6967,1619,791,365,254,217,133,79,62,39,26,
                                                                           H,85105,57965,21710,3913,750,306,141,89,87,53,36,27,19,9,
          Domésticos                                                     HM,84186,838,1438,2177,3228,4718,5793,7359,9453,11838,14293,7799,6002,9250,
                                                                           H,2018,180,146,95,117,183,174,199,166,197,214,138,87,122,
"          Reformados, aposentados ou na reserva                                                     HM",590651,315,568,644,966,1405,1709,3137,8484,33505,82639,124307,114001,218971,
                                                                                                      H,261371,139,267,315,514,720,950,1669,4525,15677,41306,58728,52296,84265,
          Incapacitados permanentes para o trabalho                                                     HM,28434,453,1131,1516,2048,2583,2911,3336,3991,4518,4401,854,174,518,
                                                                                                          H,13688,269,604,782,1063,1348,1514,1619,1864,2061,2058,377,45,84,
          Outros casos                                                     HM,107760,9151,11928,10299,10452,10231,9117,8719,9258,10443,10234,2966,1815,3147,
                                                                             H,49858,5056,6467,5244,5063,5017,4433,4134,4050,4408,4055,1021,441,469,
      Alentejo                                                     HM,654528,35631,38122,42477,50637,53244,51325,52985,51600,48890,46629,43087,44895,95006,
                                                                      H,313961,18120,19730,21809,25473,26744,25654,26183,25580,24321,22180,19567,19938,38662,
          População ativa                                                     HM,342654,4065,23230,37018,45687,47744,45299,45269,40772,30868,16836,3812,1274,780,
                                                                                H,181596,2390,12683,19289,23408,24635,23477,23555,21654,17232,9296,2471,923,583,
          Empregados                                                     HM,298691,2088,17296,31516,40360,42728,40380,40521,36214,27059,14684,3791,1274,780,
                                                                           H,159956,1298,9766,16635,21003,22379,21176,21253,19296,15086,8094,2464,923,583,
          Desempregados                                                     HM,43963,1977,5934,5502,5327,5016,4919,4748,4558,3809,2152,21,0,0,
                                                                              H,21640,1092,2917,2654,2405,2256,2301,2302,2358,2146,1202,7,0,0,
          População inativa                                                     HM,311874,31566,14892,5459,4950,5500,6026,7716,10828,18022,29793,39275,43621,94226,
                                                                                  H,132365,15730,7047,2520,2065,2109,2177,2628,3926,7089,12884,17096,19015,38079,
          Estudantes                                                     HM,42266,28637,10895,1614,435,227,157,104,105,57,18,8,8,1,
                                                                           H,20629,14217,5142,874,198,68,52,22,30,16,4,1,5,0,
          Domésticos                                                     HM,22326,242,407,555,874,1251,1674,2389,2960,3629,4074,1818,1196,1257,
                                                                           H,436,34,27,17,19,42,31,40,48,53,40,30,25,30,
"          Reformados, aposentados ou na reserva                                                     HM",209598,102,208,281,511,633,838,1410,3648,9907,21327,36441,41988,92304,
                                                                                                      H,93459,50,97,143,284,326,421,657,1913,5037,10992,16732,18872,37935,
          Incapacitados permanentes para o trabalho                                                     HM,9320,130,339,450,587,715,928,1093,1403,1568,1692,285,35,95,
                                                                                                          H,4441,73,162,219,286,365,471,564,660,727,771,119,8,16,
          Outros casos                                                     HM,28364,2455,3043,2559,2543,2674,2429,2720,2712,2861,2682,723,394,569,
                                                                             H,13400,1356,1619,1267,1278,1308,1202,1345,1275,1256,1077,214,105,98,
      Algarve                                                     HM,384032,22487,23086,27941,33909,36261,33491,32271,30510,29048,27259,23682,21254,42833,
                                                                      H,185681,11592,11605,13745,16632,17977,16399,15794,15054,14230,13353,11536,10110,17654,
          População ativa                                                     HM,220961,2877,14484,24330,30635,32664,29622,27685,24485,19227,11205,2548,764,435,
                                                                                H,114542,1566,7508,12122,15379,16621,15018,14133,12785,10615,6393,1577,521,304,
          Empregados                                                     HM,186191,1352,10182,20102,26250,28265,25450,23721,21070,16477,9580,2543,764,435,
                                                                           H,96248,701,5195,10010,13245,14423,12900,12033,10870,9040,5430,1576,521,304,
          Desempregados                                                     HM,34770,1525,4302,4228,4385,4399,4172,3964,3415,2750,1625,5,0,0,
                                                                              H,18294,865,2313,2112,2134,2198,2118,2100,1915,1575,963,1,0,0,
          População inativa                                                     HM,163071,19610,8602,3611,3274,3597,3869,4586,6025,9821,16054,21134,20490,42398,
                                                                                  H,71139,10026,4097,1623,1253,1356,1381,1661,2269,3615,6960,9959,9589,17350,
          Estudantes                                                     HM,25032,17544,5941,985,225,103,66,46,38,34,13,16,11,10,
                                                                           H,12512,8945,2828,508,107,41,18,13,12,14,7,8,9,2,
          Domésticos                                                     HM,15298,203,296,436,736,945,1180,1396,1825,2415,2683,1219,902,1062,
                                                                           H,533,36,20,13,20,37,36,53,74,84,81,31,25,23,
"          Reformados, aposentados ou na reserva                                                     HM",96563,42,54,95,125,221,273,531,1367,4329,10330,19197,19220,40779,
                                                                                                      H,45041,22,28,41,64,125,143,252,679,2053,5387,9623,9441,17183,
          Incapacitados permanentes para o trabalho                                                     HM,5446,90,202,283,327,428,520,607,809,954,975,144,32,75,
                                                                                                          H,2865,53,124,156,190,229,291,324,445,464,480,72,13,24,
          Outros casos                                                     HM,20732,1731,2109,1812,1861,1900,1830,2006,1986,2089,2053,558,325,472,
                                                                             H,10188,970,1097,905,872,924,893,1019,1059,1000,1005,225,101,118,
    Região Autónoma dos Açores                                                       HM,202575,17011,17720,18410,20388,19577,17911,17987,16250,13707,11236,9363,7860,15155,
                                                                      H,98930,8707,9061,9285,10283,9814,9073,9095,8128,6976,5389,4307,3360,5452,
        População ativa                                                       HM,114920,2619,11113,15489,17639,16633,14730,14026,11252,7096,3311,705,169,138,
                                                                                H,64658,1599,6258,8111,9395,8999,8219,8007,6711,4525,2128,467,126,113,
        Empregados                                                       HM,102127,1336,8372,13288,15956,15195,13591,12999,10523,6689,3169,702,169,138,
                                                                           H,57464,899,4866,6907,8464,8196,7545,7389,6232,4235,2026,466,126,113,
        Desempregados                                                       HM,12793,1283,2741,2201,1683,1438,1139,1027,729,407,142,3,0,0,
                                                                              H,7194,700,1392,1204,931,803,674,618,479,290,102,1,0,0,
        População inativa                                                       HM,87655,14392,6607,2921,2749,2944,3181,3961,4998,6611,7925,8658,7691,15017,
                                                                                  H,34272,7108,2803,1174,888,815,854,1088,1417,2451,3261,3840,3234,5339,
        Estudantes                                                       HM,17513,12096,4160,691,248,117,76,21,14,16,20,24,18,12,
                                                                           H,8337,5913,1817,357,121,39,24,9,7,11,8,17,8,6,
        Domésticos                                                       HM,15931,480,650,718,1028,1338,1500,1896,2190,2030,1713,960,646,782,
                                                                           H,338,95,37,25,17,26,19,27,25,23,14,9,9,12,
"        Reformados, aposentados ou na reserva                                                       HM",37497,32,60,77,106,158,222,416,1108,2921,4728,7136,6692,13841,
                                                                                                      H,17265,15,33,39,68,84,116,220,550,1625,2558,3633,3096,5228,
        Incapacitados permanentes para o trabalho                                                       HM,4476,89,223,237,323,327,399,547,705,731,687,128,24,56,
                                                                                                          H,2307,65,128,121,159,173,202,305,381,372,346,43,3,9,
        Outros casos                                                       HM,12238,1695,1514,1198,1044,1004,984,1081,981,913,777,410,311,326,
                                                                             H,6025,1020,788,632,523,493,493,527,454,420,335,138,118,84,
      Região Autónoma dos Açores                                                     HM,202575,17011,17720,18410,20388,19577,17911,17987,16250,13707,11236,9363,7860,15155,
                                                                      H,98930,8707,9061,9285,10283,9814,9073,9095,8128,6976,5389,4307,3360,5452,
          População ativa                                                     HM,114920,2619,11113,15489,17639,16633,14730,14026,11252,7096,3311,705,169,138,
                                                                                H,64658,1599,6258,8111,9395,8999,8219,8007,6711,4525,2128,467,126,113,
          Empregados                                                     HM,102127,1336,8372,13288,15956,15195,13591,12999,10523,6689,3169,702,169,138,
                                                                           H,57464,899,4866,6907,8464,8196,7545,7389,6232,4235,2026,466,126,113,
          Desempregados                                                     HM,12793,1283,2741,2201,1683,1438,1139,1027,729,407,142,3,0,0,
                                                                              H,7194,700,1392,1204,931,803,674,618,479,290,102,1,0,0,
          População inativa                                                     HM,87655,14392,6607,2921,2749,2944,3181,3961,4998,6611,7925,8658,7691,15017,
                                                                                  H,34272,7108,2803,1174,888,815,854,1088,1417,2451,3261,3840,3234,5339,
          Estudantes                                                     HM,17513,12096,4160,691,248,117,76,21,14,16,20,24,18,12,
                                                                           H,8337,5913,1817,357,121,39,24,9,7,11,8,17,8,6,
          Domésticos                                                     HM,15931,480,650,718,1028,1338,1500,1896,2190,2030,1713,960,646,782,
                                                                           H,338,95,37,25,17,26,19,27,25,23,14,9,9,12,
"          Reformados, aposentados ou na reserva                                                     HM",37497,32,60,77,106,158,222,416,1108,2921,4728,7136,6692,13841,
                                                                                                      H,17265,15,33,39,68,84,116,220,550,1625,2558,3633,3096,5228,
          Incapacitados permanentes para o trabalho                                                     HM,4476,89,223,237,323,327,399,547,705,731,687,128,24,56,
                                                                                                          H,2307,65,128,121,159,173,202,305,381,372,346,43,3,9,
          Outros casos                                                     HM,12238,1695,1514,1198,1044,1004,984,1081,981,913,777,410,311,326,
                                                                             H,6025,1020,788,632,523,493,493,527,454,420,335,138,118,84,
    Região Autónoma da Madeira                                                       HM,223773,16582,16509,17869,20823,22032,21268,21541,18284,15627,13340,11277,10048,18573,
                                                                      H,103714,8421,8355,8889,10336,10943,10467,10266,8564,7298,5924,4569,3721,5961,
        População ativa                                                       HM,127484,1773,9483,15161,18582,19248,17780,17224,13435,8980,4337,993,272,216,
                                                                                H,66281,989,5018,7549,9396,9873,9200,8864,7088,4895,2444,603,201,161,
        Empregados                                                       HM,108808,796,6505,12308,16111,16936,15644,15181,11872,8028,3950,989,272,216,
                                                                           H,55220,446,3433,5980,7927,8488,7903,7598,6063,4248,2173,599,201,161,
        Desempregados                                                       HM,18676,977,2978,2853,2471,2312,2136,2043,1563,952,387,4,0,0,
                                                                              H,11061,543,1585,1569,1469,1385,1297,1266,1025,647,271,4,0,0,
        População inativa                                                       HM,96289,14809,7026,2708,2241,2784,3488,4317,4849,6647,9003,10284,9776,18357,
                                                                                  H,37433,7432,3337,1340,940,1070,1267,1402,1476,2403,3480,3966,3520,5800,
        Estudantes                                                       HM,19370,13162,5104,871,132,50,16,10,6,9,4,2,0,4,
                                                                           H,9484,6491,2396,492,62,24,6,4,3,4,1,0,0,1,
        Domésticos                                                       HM,12740,167,240,376,593,957,1406,1764,1974,2033,1614,716,438,462,
                                                                           H,403,29,31,26,17,32,39,41,44,48,39,22,20,15,
"        Reformados, aposentados ou na reserva                                                       HM",44452,30,32,30,69,102,148,295,612,2199,5151,9034,9110,17640,
                                                                                                      H,16894,12,17,19,28,54,69,124,257,1119,2382,3704,3404,5705,
        Incapacitados permanentes para o trabalho                                                       HM,6706,87,229,316,398,500,697,895,984,1153,1169,207,22,49,
                                                                                                          H,3426,51,119,177,234,280,389,486,520,559,493,96,11,11,
        Outros casos                                                       HM,13021,1363,1421,1115,1049,1175,1221,1353,1273,1253,1065,325,206,202,
                                                                             H,7226,849,774,626,599,680,764,747,652,673,565,144,85,68,
      Região Autónoma da Madeira                                                     HM,223773,16582,16509,17869,20823,22032,21268,21541,18284,15627,13340,11277,10048,18573,
                                                                      H,103714,8421,8355,8889,10336,10943,10467,10266,8564,7298,5924,4569,3721,5961,
          População ativa                                                     HM,127484,1773,9483,15161,18582,19248,17780,17224,13435,8980,4337,993,272,216,
                                                                                H,66281,989,5018,7549,9396,9873,9200,8864,7088,4895,2444,603,201,161,
          Empregados                                                     HM,108808,796,6505,12308,16111,16936,15644,15181,11872,8028,3950,989,272,216,
